Sum of Action_Obligation_OMB19_19, Column Labels ,,,,
Row Labels, Products (All) , R&D , Services (Non-R&D) , Unlabeled , Grand Total 
2000,"85,364,046,935","27,181,823,212","76,723,094,443","42,266,913","189,311,231,504"
2001,"91,006,644,197","28,903,997,897","81,475,357,501","13,763,627","201,399,763,223"
2002,"105,821,239,417","33,658,699,603","94,106,889,400","115,755,417","233,702,583,837"
2003,"128,169,478,209","38,240,655,947","119,234,851,657","102,314,790","285,747,300,602"
2004,"136,876,068,514","39,485,855,917","126,320,967,627","9,330,458","302,692,222,516"
2005,"157,687,738,891","43,852,350,673","137,787,228,092","4,860,011","339,332,177,668"
2006,"168,662,710,808","46,948,688,234","149,507,916,693","135,846,691","365,255,162,427"
2007,"190,974,010,674","49,100,217,367","155,132,178,942","21,748,794","395,228,155,776"
2008,"224,253,380,627","46,664,999,667","174,932,346,003","434,503","445,851,160,800"
2009,"202,578,257,278","49,036,048,496","193,108,682,728","1,150,858","444,724,139,360"
2010,"187,395,708,995","45,991,703,387","185,588,988,326","-293,739","418,976,106,969"
2011,"196,204,233,077","42,488,367,986","178,742,464,906","-159,665","417,434,906,305"
2012,"190,962,231,883","37,185,306,888","169,657,945,570","-7,213","397,805,477,128"
2013,"161,642,468,041","29,089,334,395","144,614,383,325","-109,192","335,346,076,569"
2014,"139,024,265,185","26,017,956,216","139,342,736,628",,"304,384,958,029"
2015,"137,854,514,878","23,944,989,086","129,167,308,373","31,877","290,966,844,214"
2016,"155,903,059,223","24,595,517,362","132,570,763,566","3,762,057","313,073,102,207"
2017,"169,012,989,817","25,392,898,426","136,724,085,481","1,542,595","331,131,516,319"
2018,"186,478,670,661","26,421,115,486","151,609,070,929","687,832","364,509,544,908"
2019,"192,992,034,151","29,756,298,144","160,802,825,680","465,885","383,551,623,860"
2020,"214,137,697,619","29,691,385,074","169,990,096,434","308,839","413,819,487,967"
Grand Total,"3,423,001,449,081","743,648,209,464","3,007,140,182,305","453,701,339","7,174,243,542,189"
