fiscal_year,SubCustomer,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Navy,Medium,NULL,1,1,2,2,0,0
2e3,Navy,NULL,NULL,NULL,NULL,6,6,14,1468660.904066884
2e3,Navy,Unlabeled Vendor,NULL,1,1,1,1,1,53848.660904066885
2e3,NULL,Large+,0,1,1,1,1,0,0
2e3,Other DoD,Small,0,0,0,8,8,11,-1339193.5808417175
2e3,Other DoD,Small,0,0,1,58,58,64,2898737.4238344906
2e3,Other DoD,Small,0,1,1,1242,1270,5731,1991771662.0802042
2e3,Other DoD,Small,1,1,1,1,1,1,101684.85192007935
2e3,Other DoD,Large+,0,1,1,105,116,6638,3939417782.3437724
2e3,Other DoD,Large+,1,1,1,1,1,20,7638686.410656086
2e3,Other DoD,Medium,0,0,0,1,1,1,3460.3939350999008
2e3,Other DoD,Medium,0,0,1,19,19,22,676438.9967408248
2e3,Other DoD,Medium,0,1,1,247,250,886,411969693.92092955
2e3,Other DoD,Medium,1,0,1,13,13,14,516879.69392092957
2e3,Other DoD,Medium,1,1,1,146,146,437,139057411.08119598
2e3,Other DoD,NULL,NULL,NULL,NULL,2,2,12,4074287.9410514385
2e3,Other DoD,Unlabeled Vendor,NULL,1,1,1,1,11,3077795.0970667424
2001,Air Force,Small,0,0,0,71,71,99,-8022407.971215056
2001,Air Force,Small,0,0,1,533,534,724,19262277.885413785
2001,Air Force,Small,0,1,1,5416,5642,29038,11977513034.874065
2001,Air Force,Small,1,1,1,4,7,25,5334553.0030445615
2001,Air Force,Small,NULL,0,0,12,12,0,0
2001,Air Force,Small,NULL,1,1,2,2,0,0
2001,Air Force,Large+,0,1,1,148,186,19363,40509550774.97924
2001,Air Force,Large+,1,1,1,6,6,83,120681756.15831718
2001,Air Force,Medium,0,0,0,6,6,9,2448974.5363963465
2001,Air Force,Medium,0,0,1,66,66,97,3685352.892333241
2001,Air Force,Medium,0,1,1,982,1040,4895,2815432849.4326043
2001,Air Force,Medium,1,0,0,10,10,13,-1252251.5914752283
2001,Air Force,Medium,1,0,1,71,71,81,3618627.179629117
2001,Air Force,Medium,1,1,1,711,715,2191,803352136.7284805
2001,Air Force,Medium,NULL,0,0,8,8,1,816828.120675339
2001,Air Force,Medium,NULL,1,1,3,3,3,302863.27151951287
2001,Air Force,NULL,NULL,NULL,NULL,3,3,8,2703314.4201494604
2001,Air Force,Unlabeled Vendor,NULL,1,1,1,1,13,3315481.5942430114
2001,Army,Small,0,0,0,439,439,813,-916299.4741212289
2001,Army,Small,0,0,1,1698,1702,2879,49912639.08109604
2001,Army,Small,0,1,1,10132,10634,55789,18741323740.797123
2001,Army,Small,1,0,1,1,1,1,45152.22806531968
2001,Army,Small,1,1,1,10,10,160,61298221.69941876
2001,Army,Small,NULL,0,0,13,13,0,0
2001,Army,Small,NULL,0,1,3,3,3,37785.773595350125
2001,Army,Small,NULL,1,1,3,3,3,8842.983670080264
2001,Army,Large+,0,1,1,183,244,20177,26395929649.87545
2001,Army,Large+,1,1,1,9,9,1019,836383701.3562137
2001,Army,Medium,0,0,0,63,63,134,-1772445.3362856351
2001,Army,Medium,0,0,1,186,186,266,7003332.410738998
2001,Army,Medium,0,1,1,1942,2049,11127,7547538232.770551
2001,Army,Medium,1,0,0,20,20,25,-961591.4752283421
2001,Army,Medium,1,0,1,182,182,227,8164494.879601439
2001,Army,Medium,1,1,1,1314,1325,5794,2374851329.919734
2001,Army,Medium,NULL,0,0,11,11,7,8516.468308884583
2001,Army,Medium,NULL,0,1,9,9,18,56174.17741489067
2001,Army,Medium,NULL,1,1,3,3,6,213243.84168281205
2001,Army,NULL,NULL,NULL,NULL,3,3,15,30790631.054525323
2001,Army,Unlabeled Vendor,NULL,1,1,1,1,5,6995290.61721561
2001,DLA,Small,0,0,0,13,13,18,-3659515.637973983
2001,DLA,Small,0,0,1,293,294,514,26483692.222529754
2001,DLA,Small,0,1,1,3683,3942,29206,6119138315.804041
2001,DLA,Small,1,1,1,1,1,1,86501.5222806532
2001,DLA,Small,NULL,0,0,36,36,0,0
2001,DLA,Small,NULL,1,1,4,4,0,0
2001,DLA,Large+,0,1,1,128,155,24194,7039990308.607805
2001,DLA,Large+,1,1,1,9,9,32,515976993.6465541
2001,DLA,Medium,0,0,0,1,1,1,-66507.05784666481
2001,DLA,Medium,0,0,1,35,35,38,1383220.3155272626
2001,DLA,Medium,0,1,1,527,560,4268,1667762244.6720176
2001,DLA,Medium,1,0,1,12,12,17,902143.6479380017
2001,DLA,Medium,1,1,1,105,105,494,444887677.5532798
2001,DLA,Medium,NULL,0,0,6,6,0,0
2001,DLA,NULL,NULL,NULL,NULL,2,2,3,111778.30058123443
2001,MDA,Small,0,1,1,40,40,158,137284303.90257403
2001,MDA,Large+,0,1,1,18,18,252,2151686634.375865
2001,MDA,Medium,0,1,1,1,1,13,4462787.157486853
2001,MDA,Medium,1,1,1,2,2,9,21831846.111264877
2001,MilitaryHealth,Small,0,1,1,5,5,8,3353465.264323277
2001,MilitaryHealth,Large+,0,1,1,6,6,213,2199627673.6783834
2001,MilitaryHealth,Medium,0,1,1,5,5,115,1047415161.9153059
2001,Navy,Small,0,0,0,135,135,372,-868169.1115416551
2001,Navy,Small,0,0,1,888,888,1813,32202720.73069471
2001,Navy,Small,0,1,1,7709,8164,59551,14750725922.363686
2001,Navy,Small,1,0,0,1,1,1,-33267.367838361475
2001,Navy,Small,1,1,1,3,4,11,6426451.702186548
2001,Navy,Small,NULL,0,0,8,8,0,0
2001,Navy,Small,NULL,1,1,1,1,0,0
2001,Navy,Large+,0,1,1,169,233,27166,30324756010.240795
2001,Navy,Large+,1,1,1,9,10,240,197814752.28342098
2001,Navy,Medium,0,0,0,31,31,104,-844418.7655687794
2001,Navy,Medium,0,0,1,101,101,158,605063.6590091337
2001,Navy,Medium,0,1,1,1354,1416,10846,11950224162.74564
2001,Navy,Medium,1,0,0,9,9,18,-632471.6302241904
2001,Navy,Medium,1,0,1,85,85,103,4441068.364240243
2001,Navy,Medium,1,1,1,874,884,3629,1149055256.019928
2001,Navy,Medium,NULL,0,0,10,10,0,0
2001,Navy,Medium,NULL,1,1,2,2,0,0
2001,Navy,NULL,NULL,NULL,NULL,4,4,21,1420545.253252145
2001,Navy,Unlabeled Vendor,NULL,1,1,1,1,1,105175.75422086909
2001,NULL,Large+,0,1,1,1,1,0,0
2001,Other DoD,Small,0,0,0,13,13,15,-189081.0960420703
2001,Other DoD,Small,0,0,1,57,57,76,2062659.8394685856
2001,Other DoD,Small,0,1,1,1248,1290,5519,2011794121.7824523
2001,Other DoD,Large+,0,1,1,101,105,8289,4093864990.3127594
2001,Other DoD,Large+,1,1,1,2,2,18,10659492.111818433
2001,Other DoD,Medium,0,0,0,1,1,1,0
2001,Other DoD,Medium,0,0,1,27,27,40,822147.7996125104
2001,Other DoD,Medium,0,1,1,260,272,1190,835327932.1893163
2001,Other DoD,Medium,1,0,1,6,6,7,237906.17215610296
2001,Other DoD,Medium,1,1,1,96,96,212,163932050.9272073
2001,Other DoD,Medium,NULL,1,1,2,2,0,0
2001,Other DoD,NULL,NULL,NULL,NULL,1,1,3,259615.2781621921
2001,Other DoD,Unlabeled Vendor,NULL,1,1,1,1,14,4007969.8311652364
2002,Air Force,Small,0,0,0,106,106,148,-341824.8672204821
2002,Air Force,Small,0,0,1,574,574,744,18225714.735121887
2002,Air Force,Small,0,1,1,6129,6421,34104,14245838408.007627
2002,Air Force,Small,1,1,1,3,3,7,706086.0683644287
2002,Air Force,Small,NULL,0,0,16,16,0,0
2002,Air Force,Small,NULL,0,1,1,1,1,22264.741931090837
2002,Air Force,Small,NULL,1,1,1,1,0,0
2002,Air Force,Large+,0,0,0,1,1,2,-1728681.7377093832
2002,Air Force,Large+,0,1,1,146,192,22792,46086771145.30846
2002,Air Force,Large+,1,1,1,4,6,91,108061675.06468746
2002,Air Force,Medium,0,0,0,10,11,16,1126354.3510826638
2002,Air Force,Medium,0,0,1,69,69,108,2946306.686640338
2002,Air Force,Medium,0,1,1,916,959,4805,3199507758.4093695
