fiscal_year,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Small,0,0,0,417,417,696,-10308600
2e3,Small,0,0,1,2592,2600,4605,103300061
2e3,Small,0,1,1,19642,20681,172590,51066596035
2e3,Small,1,0,1,2,2,2,85354
2e3,Small,1,1,1,12,12,82,8859284
2e3,Small,NULL,0,0,45,45,1,69931
2e3,Small,NULL,0,1,1,1,1,10115
2e3,Small,NULL,1,1,6,6,3,68676
2e3,Large+,0,0,0,1,1,1,1239073
2e3,Large+,0,0,1,5,13,83,17374418
2e3,Large+,0,1,1,234,393,88396,111400085658
2e3,Large+,1,0,1,1,1,1,39904
2e3,Large+,1,1,1,16,18,1440,1707236503
2e3,Medium,0,0,0,63,63,132,-4524380
2e3,Medium,0,0,1,364,370,474,13653204
2e3,Medium,0,1,1,3993,4256,31700,17794863550
2e3,Medium,1,0,0,28,28,45,-4153299
2e3,Medium,1,0,1,339,339,388,13899246
2e3,Medium,1,1,1,2941,2975,11936,5067912014
2e3,Medium,NULL,0,0,46,46,56,14279
2e3,Medium,NULL,0,1,8,8,23,380971
2e3,Medium,NULL,1,1,4,4,1,512301
2e3,NULL,NULL,NULL,NULL,9,9,105,86937595
2e3,Unlabeled Vendor,NULL,1,1,1,1,16,12602169
2001,Small,0,0,0,670,670,1317,-13655473
2001,Small,0,0,1,3396,3407,6006,129923990
2001,Small,0,1,1,20395,21716,179269,53741132905
2001,Small,1,0,0,1,1,1,-33267
2001,Small,1,0,1,1,1,1,45152
2001,Small,1,1,1,16,19,197,73145728
2001,Small,NULL,0,0,69,69,0,0
2001,Small,NULL,0,1,3,3,3,37786
2001,Small,NULL,1,1,10,10,3,8843
2001,Large+,0,1,1,238,389,99654,112715406042
2001,Large+,1,1,1,22,26,1392,1681516696
2001,Medium,0,0,0,102,102,249,-234397
2001,Medium,0,0,1,413,413,599,13499117
2001,Medium,0,1,1,3926,4207,32454,25868163370
2001,Medium,1,0,0,39,39,56,-2846315
2001,Medium,1,0,1,353,353,435,17364240
2001,Medium,1,1,1,2901,2927,12329,4957910298
2001,Medium,NULL,0,0,35,35,8,825345
2001,Medium,NULL,0,1,9,9,18,56174
2001,Medium,NULL,1,1,10,10,9,516107
2001,NULL,NULL,NULL,NULL,6,6,50,35285884
2001,Unlabeled Vendor,NULL,1,1,1,1,33,14423918
2002,Small,0,0,0,3002,3010,6011,2209940
2002,Small,0,0,1,8167,8198,19994,220109135
2002,Small,0,1,1,23565,25550,261043,63836330168
2002,Small,1,0,0,1,1,1,4358
2002,Small,1,0,1,1,1,11,23996
2002,Small,1,1,1,12,12,47,11864426
2002,Small,NULL,0,0,84,84,4,18181
2002,Small,NULL,0,1,6,6,6,116650
2002,Small,NULL,1,1,17,17,1,27237
2002,Large+,0,0,0,3,3,5,-1816011
2002,Large+,0,0,1,2,2,3,119105
2002,Large+,0,1,1,244,410,131455,138259991922
2002,Large+,1,0,1,1,1,1,35671
2002,Large+,1,1,1,21,36,1576,2785312628
2002,Large+,NULL,1,1,1,3,114,11131488
2002,Medium,0,0,0,385,389,680,-912801
2002,Medium,0,0,1,899,904,2050,64848213
2002,Medium,0,1,1,3905,4219,35228,19839690601
2002,Medium,1,0,0,136,136,648,-5565095
2002,Medium,1,0,1,516,517,1836,21859474
2002,Medium,1,1,1,3059,3087,20592,5800494450
2002,Medium,NULL,0,0,60,60,8,33188
2002,Medium,NULL,0,1,10,10,11,124346
2002,Medium,NULL,1,1,8,23,727,188484677
2002,NULL,NULL,NULL,NULL,11,11,233,91369514
2002,Unlabeled Vendor,NULL,0,0,1,1,0,0
2002,Unlabeled Vendor,NULL,1,1,1,1,56,55065664
2003,Small,0,0,0,4976,4986,8355,10260519
2003,Small,0,0,1,13130,13224,30646,337063643
2003,Small,0,1,1,26983,29510,324343,80129765643
2003,Small,1,0,0,4,4,5,8219
2003,Small,1,0,1,2,2,3,46539
2003,Small,1,1,1,21,21,403,51116147
2003,Small,NULL,0,0,214,214,10,32395
2003,Small,NULL,0,1,6,6,3,24723
2003,Small,NULL,1,1,32,32,1,23553
2003,Large+,0,0,0,7,10,64,-7770334
2003,Large+,0,0,1,4,22,203,13674988
2003,Large+,0,1,1,284,453,169490,172975537856
2003,Large+,1,1,1,22,27,1402,2174624592
2003,Medium,0,0,0,642,645,1098,-2551333
2003,Medium,0,0,1,1328,1347,2598,40934401
2003,Medium,0,1,1,3806,4117,44544,19301914270
2003,Medium,1,0,0,159,159,606,-5648948
2003,Medium,1,0,1,662,664,1902,25780505
2003,Medium,1,1,1,3410,3448,26180,7417146655
2003,Medium,NULL,0,0,89,89,16,63405
2003,Medium,NULL,0,1,18,18,33,321340
2003,Medium,NULL,1,1,20,20,12,136651
2003,NULL,NULL,NULL,NULL,10,10,302,204101343
2003,Unlabeled Vendor,0,0,0,1,1,1,-1210700
2003,Unlabeled Vendor,1,1,1,3,3,37,17020553
2004,Small,0,0,0,7259,7269,13168,1118694
2004,Small,0,0,1,17365,17513,42338,479878539
2004,Small,0,1,1,29218,32513,430595,81049555407
2004,Small,1,0,0,28,14,47,84430
2004,Small,1,0,1,35,33,125,1153647
2004,Small,1,1,1,55,49,587,78227350
2004,Small,NULL,0,0,491,492,1,4164
2004,Small,NULL,0,1,10,12,29,3782702
2004,Small,NULL,1,1,88,88,7,106234
2004,Large+,0,0,0,4,5,10,-106737
2004,Large+,0,0,1,7,11,23,1234666
2004,Large+,0,1,1,280,584,193927,187055627469
2004,Large+,1,0,1,1,3,74,3126435
2004,Large+,1,1,1,21,21,12712,1952707666
2004,Medium,0,0,0,857,860,1492,-4650378
2004,Medium,0,0,1,1682,1719,3739,44996518
2004,Medium,0,1,1,3644,3893,45153,19951141475
2004,Medium,1,0,0,980,980,1973,545575
2004,Medium,1,0,1,1510,1514,4740,51627385
2004,Medium,1,1,1,3407,3452,28769,8658327432
2004,Medium,NULL,0,0,119,119,0,0
2004,Medium,NULL,0,1,2,2,0,0
2004,Medium,NULL,1,1,34,34,3,303760
2004,NULL,NULL,NULL,NULL,10,10,255,129034545
2004,Unlabeled Vendor,0,0,0,1,1,1,4075
2004,Unlabeled Vendor,0,0,1,1,1,1,8216
2004,Unlabeled Vendor,1,0,0,8,2,9,23595
2004,Unlabeled Vendor,1,0,1,6,2,6,64888
2004,Unlabeled Vendor,1,1,1,18,2,35,1909369
2005,Small,0,0,0,9373,9386,16295,34672151
2005,Small,0,0,1,24120,24360,96246,867778068
2005,Small,0,1,1,32013,36062,807441,104025619841
2005,Small,1,0,0,9,6,52,31453
2005,Small,1,0,1,20,20,54,550152
2005,Small,1,1,1,68,68,875,76319421
2005,Small,NULL,0,0,185,185,1,4969
2005,Small,NULL,0,1,13,13,4,63294
2005,Small,NULL,1,1,180,180,3,90072
2005,Large+,0,0,0,4,8,659,8381866
2005,Large+,0,0,1,7,7,71,23336964
2005,Large+,0,1,1,283,547,434453,197345014902
2005,Large+,1,1,1,17,17,15227,2145069120
2005,Medium,0,0,0,1229,1358,4018,96606873
2005,Medium,0,0,1,2334,2371,6295,89903760
2005,Medium,0,1,1,3694,4065,79171,21910574061
2005,Medium,1,0,0,1706,1707,4153,7019500
2005,Medium,1,0,1,2642,2655,15781,85033142
2005,Medium,1,1,1,3351,3423,49763,8716081382
2005,Medium,NULL,0,0,74,74,3,616513
2005,Medium,NULL,0,1,11,11,3,35820
2005,Medium,NULL,1,1,48,48,54,198930
2005,NULL,NULL,NULL,NULL,13,13,706,259098842
2005,Unlabeled Vendor,1,0,0,1,1,1,2204
2005,Unlabeled Vendor,1,0,1,1,1,1,21077
2005,Unlabeled Vendor,1,1,1,9,3,33,3375401
2006,Small,0,0,0,8002,8010,14211,30843984
2006,Small,0,0,1,20846,21050,81030,676901355
2006,Small,0,1,1,34845,39151,791351,106526071143
2006,Small,1,0,0,80,80,184,339372
2006,Small,1,0,1,134,134,295,2794513
2006,Small,1,1,1,348,354,4993,505244389
2006,Small,NULL,0,0,144,144,1,251
2006,Small,NULL,0,1,17,17,2,30615
2006,Small,NULL,1,1,342,342,5,1557994
2006,Large+,0,0,0,1,1,2,143679
2006,Large+,0,0,1,5,23,190,57143643
2006,Large+,0,1,1,293,671,427548,217357447673
2006,Large+,1,0,0,1,1,2,-2559591
2006,Large+,1,1,1,17,17,1602,4222217748
2006,Large+,NULL,0,0,1,1,0,0
2006,Medium,0,0,0,935,948,1577,20318958
2006,Medium,0,0,1,1775,1788,4587,49144498
2006,Medium,0,1,1,3456,3827,56651,21321921193
2006,Medium,1,0,0,1251,1253,3078,-46036387
2006,Medium,1,0,1,2012,2021,6788,55696687
2006,Medium,1,1,1,3325,3383,34537,10231672344
2006,Medium,NULL,0,0,67,67,7,11735
2006,Medium,NULL,0,1,7,7,52,200680
2006,Medium,NULL,1,1,126,126,308,11664761
2006,NULL,NULL,NULL,NULL,14,14,572,321544926
2006,Unlabeled Vendor,1,0,0,4,1,6,2939
