fiscal_year,PlatformPortfolio,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Aircraft,Small,0,0,0,26,26,39,-5318104
2e3,Aircraft,Small,0,0,1,117,117,134,4095070
2e3,Aircraft,Small,0,1,1,2836,3026,16870,5707315814
2e3,Aircraft,Small,NULL,0,0,16,16,0,0
2e3,Aircraft,Large+,0,1,1,96,134,19102,42431532974
2e3,Aircraft,Large+,1,1,1,1,1,13,3622525
2e3,Aircraft,Medium,0,0,0,4,4,7,-1692046
2e3,Aircraft,Medium,0,0,1,10,10,13,136062
2e3,Aircraft,Medium,0,1,1,329,367,2090,1672236319
2e3,Aircraft,Medium,1,0,1,9,9,11,354243
2e3,Aircraft,Medium,1,1,1,142,147,632,338036943
2e3,Aircraft,Medium,NULL,0,0,2,2,0,0
2e3,Aircraft,Medium,NULL,1,1,1,1,0,0
2e3,Aircraft,NULL,NULL,NULL,NULL,5,5,22,11494608
2e3,Aircraft,Unlabeled Vendor,NULL,1,1,1,1,4,9470526
2e3,"Electronics, Comms, & Sensors",Small,0,0,0,24,24,33,-2097471
2e3,"Electronics, Comms, & Sensors",Small,0,0,1,325,325,363,14061971
2e3,"Electronics, Comms, & Sensors",Small,0,1,1,4846,5093,30830,9263772887
2e3,"Electronics, Comms, & Sensors",Small,1,1,1,2,2,5,802562
2e3,"Electronics, Comms, & Sensors",Small,NULL,1,1,1,1,0,0
2e3,"Electronics, Comms, & Sensors",Large+,0,0,1,1,1,1,56602
2e3,"Electronics, Comms, & Sensors",Large+,0,1,1,133,187,26833,18135739301
2e3,"Electronics, Comms, & Sensors",Large+,1,1,1,3,3,43,445747788
2e3,"Electronics, Comms, & Sensors",Medium,0,0,0,7,7,18,-220558
2e3,"Electronics, Comms, & Sensors",Medium,0,0,1,62,62,68,2478353
2e3,"Electronics, Comms, & Sensors",Medium,0,1,1,705,733,2746,1049967428
2e3,"Electronics, Comms, & Sensors",Medium,1,0,0,1,1,1,44236
2e3,"Electronics, Comms, & Sensors",Medium,1,0,1,46,46,52,1733915
2e3,"Electronics, Comms, & Sensors",Medium,1,1,1,347,353,793,199841533
2e3,"Electronics, Comms, & Sensors",Medium,NULL,0,0,2,2,0,0
2e3,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,2,2,7,4986728
2e3,Facilities and Construction,Small,0,0,0,303,303,526,-1484892
2e3,Facilities and Construction,Small,0,0,1,1502,1503,3229,59991503
2e3,Facilities and Construction,Small,0,1,1,8796,9053,65992,15464487002
2e3,Facilities and Construction,Small,1,1,1,9,9,75,7902607
2e3,Facilities and Construction,Small,NULL,0,0,8,8,0,0
2e3,Facilities and Construction,Small,NULL,1,1,2,2,2,40625
2e3,Facilities and Construction,Large+,0,0,1,3,6,61,15279938
2e3,Facilities and Construction,Large+,0,1,1,146,211,8413,4155190310
2e3,Facilities and Construction,Large+,1,1,1,8,10,1204,817459148
2e3,Facilities and Construction,Medium,0,0,0,40,40,92,-1754591
2e3,Facilities and Construction,Medium,0,0,1,168,170,249,5894848
2e3,Facilities and Construction,Medium,0,1,1,1789,1874,13980,6258138852
2e3,Facilities and Construction,Medium,1,0,0,18,18,30,-1466660
2e3,Facilities and Construction,Medium,1,0,1,147,147,164,5904197
2e3,Facilities and Construction,Medium,1,1,1,1626,1637,7167,2652560862
2e3,Facilities and Construction,Medium,NULL,0,0,14,14,1,0
2e3,Facilities and Construction,Medium,NULL,0,1,2,2,2,23664
2e3,Facilities and Construction,Medium,NULL,1,1,1,1,1,512301
2e3,Facilities and Construction,NULL,NULL,NULL,NULL,1,1,25,20745093
2e3,Facilities and Construction,Unlabeled Vendor,NULL,1,1,1,1,1,53849
2e3,Land Vehicles,Small,0,0,0,2,2,3,36574
2e3,Land Vehicles,Small,0,0,1,73,73,79,3324411
2e3,Land Vehicles,Small,0,1,1,948,978,3039,1690886784
2e3,Land Vehicles,Small,NULL,0,0,1,1,0,0
2e3,Land Vehicles,Large+,0,1,1,46,53,717,2646791836
2e3,Land Vehicles,Large+,1,1,1,1,1,1,53961
2e3,Land Vehicles,Medium,0,0,0,1,1,1,-38243
2e3,Land Vehicles,Medium,0,0,1,13,14,17,600971
2e3,Land Vehicles,Medium,0,1,1,126,129,541,344465195
2e3,Land Vehicles,Medium,1,0,0,2,2,2,-1747737
2e3,Land Vehicles,Medium,1,0,1,16,16,18,683343
2e3,Land Vehicles,Medium,1,1,1,183,185,406,120717930
2e3,Land Vehicles,Medium,NULL,0,0,4,4,0,0
2e3,Land Vehicles,Medium,NULL,0,1,2,2,15,305216
2e3,Missile Defense,Small,0,1,1,52,52,211,230251757
2e3,Missile Defense,Large+,0,1,1,16,17,385,1135683992
2e3,Missile Defense,Medium,0,1,1,7,7,31,16493320
