fiscal_year,SubCustomer,PlatformPortfolio,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Air Force,Aircraft,Small,0,0,0,6,6,7,-530584
2e3,Air Force,Aircraft,Small,0,0,1,24,24,27,707590
2e3,Air Force,Aircraft,Small,0,1,1,885,928,3501,1819000652
2e3,Air Force,Aircraft,Large+,0,1,1,54,68,6885,22303605383
2e3,Air Force,Aircraft,Medium,0,0,0,2,2,3,-67814
2e3,Air Force,Aircraft,Medium,0,0,1,3,3,6,-139833
2e3,Air Force,Aircraft,Medium,0,1,1,94,104,392,337939989
2e3,Air Force,Aircraft,Medium,1,0,1,1,1,1,36890
2e3,Air Force,Aircraft,Medium,1,1,1,30,32,95,48167736
2e3,Air Force,Aircraft,Medium,NULL,0,0,1,1,0,0
2e3,Air Force,Aircraft,NULL,NULL,NULL,NULL,4,4,13,10149e3
2e3,Air Force,"Electronics, Comms, & Sensors",Small,0,0,0,7,7,13,-418725
2e3,Air Force,"Electronics, Comms, & Sensors",Small,0,0,1,78,78,86,3194974
2e3,Air Force,"Electronics, Comms, & Sensors",Small,0,1,1,1472,1510,6191,2201881635
2e3,Air Force,"Electronics, Comms, & Sensors",Large+,0,0,1,1,1,1,56602
2e3,Air Force,"Electronics, Comms, & Sensors",Large+,0,1,1,100,113,7131,6084566632
2e3,Air Force,"Electronics, Comms, & Sensors",Large+,1,1,1,1,1,19,437685796
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,0,0,0,1,1,1,-119573
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,0,0,1,9,9,9,367570
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,0,1,1,224,230,684,212778536
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,1,0,1,16,16,16,491939
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,1,1,1,96,98,196,115636851
2e3,Air Force,"Electronics, Comms, & Sensors",Medium,NULL,0,0,1,1,0,0
2e3,Air Force,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,1,1,5,3967515
2e3,Air Force,Facilities and Construction,Small,0,0,0,68,68,89,-549707
2e3,Air Force,Facilities and Construction,Small,0,0,1,365,365,513,11064991
2e3,Air Force,Facilities and Construction,Small,0,1,1,2665,2713,14233,3187163728
2e3,Air Force,Facilities and Construction,Small,1,1,1,2,2,21,1793404
2e3,Air Force,Facilities and Construction,Small,NULL,0,0,2,2,0,0
2e3,Air Force,Facilities and Construction,Large+,0,0,1,1,3,36,5052786
2e3,Air Force,Facilities and Construction,Large+,0,1,1,85,94,1492,808828448
2e3,Air Force,Facilities and Construction,Large+,1,1,1,1,1,6,46312019
2e3,Air Force,Facilities and Construction,Medium,0,0,0,7,7,11,-141447
2e3,Air Force,Facilities and Construction,Medium,0,0,1,37,38,51,1234005
2e3,Air Force,Facilities and Construction,Medium,0,1,1,486,504,2275,874426452
2e3,Air Force,Facilities and Construction,Medium,1,0,0,4,4,7,-517323
2e3,Air Force,Facilities and Construction,Medium,1,0,1,39,39,42,1442670
2e3,Air Force,Facilities and Construction,Medium,1,1,1,447,447,1691,866882728
2e3,Air Force,Facilities and Construction,NULL,NULL,NULL,NULL,1,1,15,14577680
2e3,Air Force,Land Vehicles,Small,0,0,1,8,8,8,285517
2e3,Air Force,Land Vehicles,Small,0,1,1,131,133,236,193366309
2e3,Air Force,Land Vehicles,Large+,0,1,1,7,7,11,18712433
2e3,Air Force,Land Vehicles,Medium,0,0,0,1,1,1,-38243
2e3,Air Force,Land Vehicles,Medium,0,0,1,4,4,4,165762
2e3,Air Force,Land Vehicles,Medium,0,1,1,17,17,193,117388501
2e3,Air Force,Land Vehicles,Medium,1,0,1,5,5,6,201032
2e3,Air Force,Land Vehicles,Medium,1,1,1,48,48,71,7256669
2e3,Air Force,Missile Defense,Small,0,1,1,8,8,10,972919
2e3,Air Force,Missile Defense,Large+,0,1,1,8,8,74,75090788
2e3,Air Force,Missile Defense,Medium,0,1,1,2,2,3,235447
2e3,Air Force,NULL,Small,0,1,1,2,2,1,0
2e3,Air Force,NULL,Large+,0,1,1,1,1,0,0
2e3,Air Force,Ordnance and Missiles,Small,0,0,1,1,1,2,35456
2e3,Air Force,Ordnance and Missiles,Small,0,1,1,217,221,596,220836674
2e3,Air Force,Ordnance and Missiles,Large+,0,1,1,24,24,856,3084611265
2e3,Air Force,Ordnance and Missiles,Medium,0,0,1,1,1,1,35426
2e3,Air Force,Ordnance and Missiles,Medium,0,1,1,25,25,209,132112330
2e3,Air Force,Ordnance and Missiles,Medium,1,0,1,1,1,1,43003
2e3,Air Force,Ordnance and Missiles,Medium,1,1,1,7,7,9,1966310
2e3,Air Force,Ordnance and Missiles,NULL,NULL,NULL,NULL,1,1,1,38946
2e3,Air Force,Other Products,Small,0,0,0,3,3,3,-158786
2e3,Air Force,Other Products,Small,0,0,1,30,30,32,1188164
2e3,Air Force,Other Products,Small,0,1,1,318,325,1970,1249748083
2e3,Air Force,Other Products,Large+,0,0,1,2,3,3,128569
2e3,Air Force,Other Products,Large+,0,1,1,20,20,73,32570009
2e3,Air Force,Other Products,Large+,1,1,1,1,1,2,167777
2e3,Air Force,Other Products,Medium,0,0,0,1,1,1,-52589
2e3,Air Force,Other Products,Medium,0,0,1,5,5,5,189167
2e3,Air Force,Other Products,Medium,0,1,1,48,49,123,35446711
2e3,Air Force,Other Products,Medium,1,0,1,6,6,6,245728
2e3,Air Force,Other Products,Medium,1,1,1,40,40,60,4548842
2e3,Air Force,Other Products,Medium,NULL,0,0,1,1,0,0
2e3,Air Force,Other R&D and Knowledge Based,Small,0,0,0,4,4,6,74159
2e3,Air Force,Other R&D and Knowledge Based,Small,0,0,1,32,32,37,1435192
2e3,Air Force,Other R&D and Knowledge Based,Small,0,1,1,687,697,2793,1589900153
2e3,Air Force,Other R&D and Knowledge Based,Small,1,1,1,1,1,1,52430
2e3,Air Force,Other R&D and Knowledge Based,Large+,0,1,1,60,61,1590,1846502185
2e3,Air Force,Other R&D and Knowledge Based,Medium,0,0,1,8,8,9,362762
2e3,Air Force,Other R&D and Knowledge Based,Medium,0,1,1,206,217,620,302155035
2e3,Air Force,Other R&D and Knowledge Based,Medium,1,0,0,1,1,2,55152
2e3,Air Force,Other R&D and Knowledge Based,Medium,1,0,1,8,8,10,319640
2e3,Air Force,Other R&D and Knowledge Based,Medium,1,1,1,43,43,73,70027883
2e3,Air Force,Other R&D and Knowledge Based,Medium,NULL,0,0,1,1,0,0
2e3,Air Force,Other R&D and Knowledge Based,NULL,NULL,NULL,NULL,1,1,1,388740
2e3,Air Force,Other Services,Small,0,0,0,3,3,3,-37792
2e3,Air Force,Other Services,Small,0,0,1,24,24,30,804326
2e3,Air Force,Other Services,Small,0,1,1,320,321,953,269378438
2e3,Air Force,Other Services,Small,NULL,0,0,1,1,0,0
2e3,Air Force,Other Services,Large+,0,0,1,2,2,5,181740
2e3,Air Force,Other Services,Large+,0,1,1,38,38,1001,947626663
2e3,Air Force,Other Services,Medium,0,0,0,1,1,1,-47471
2e3,Air Force,Other Services,Medium,0,0,1,2,2,4,14386
2e3,Air Force,Other Services,Medium,0,1,1,58,59,445,181023952
2e3,Air Force,Other Services,Medium,1,0,0,1,1,1,-172120
2e3,Air Force,Other Services,Medium,1,0,1,6,6,6,252736
2e3,Air Force,Other Services,Medium,1,1,1,66,66,102,17982317
2e3,Air Force,Other Services,Medium,NULL,0,0,1,1,0,0
2e3,Air Force,Other Services,NULL,NULL,NULL,NULL,1,1,1,55967
2e3,Air Force,Ships & Submarines,Small,0,0,1,1,1,1,37551
2e3,Air Force,Ships & Submarines,Small,0,1,1,20,20,23,3457434
2e3,Air Force,Ships & Submarines,Large+,0,1,1,2,2,2,41831
2e3,Air Force,Ships & Submarines,Medium,0,1,1,3,3,3,547541
2e3,Air Force,Ships & Submarines,Medium,1,1,1,10,10,11,1623258
2e3,Air Force,Space Systems,Small,0,1,1,146,148,426,179748830
2e3,Air Force,Space Systems,Large+,0,1,1,26,26,563,3297205631
2e3,Air Force,Space Systems,Medium,0,1,1,15,15,71,501702094
2e3,Air Force,Space Systems,Medium,1,1,1,2,2,3,1344241
2e3,Army,Aircraft,Small,0,0,0,16,16,26,-4259029
2e3,Army,Aircraft,Small,0,0,1,21,21,22,325327
2e3,Army,Aircraft,Small,0,1,1,1171,1219,4253,2180983864
2e3,Army,Aircraft,Large+,0,1,1,76,88,4042,7746101978
2e3,Army,Aircraft,Large+,1,1,1,1,1,1,-420711
2e3,Army,Aircraft,Medium,0,0,0,1,1,2,-1499697
2e3,Army,Aircraft,Medium,0,1,1,141,148,761,1076469891
2e3,Army,Aircraft,Medium,1,0,1,3,3,4,114390
2e3,Army,Aircraft,Medium,1,1,1,49,49,135,96146567
2e3,Army,Aircraft,NULL,NULL,NULL,NULL,2,2,2,244955
2e3,Army,Aircraft,Unlabeled Vendor,NULL,1,1,1,1,4,9470526
2e3,Army,"Electronics, Comms, & Sensors",Small,0,0,0,7,7,8,-525229
2e3,Army,"Electronics, Comms, & Sensors",Small,0,0,1,96,96,105,4139844
2e3,Army,"Electronics, Comms, & Sensors",Small,0,1,1,1682,1719,7873,2458344157
2e3,Army,"Electronics, Comms, & Sensors",Small,1,1,1,1,1,2,453391
2e3,Army,"Electronics, Comms, & Sensors",Large+,0,1,1,104,111,6236,3652135610
2e3,Army,"Electronics, Comms, & Sensors",Medium,0,0,0,3,3,14,5668
2e3,Army,"Electronics, Comms, & Sensors",Medium,0,0,1,26,26,29,1054393
2e3,Army,"Electronics, Comms, & Sensors",Medium,0,1,1,240,241,627,249720090
2e3,Army,"Electronics, Comms, & Sensors",Medium,1,0,0,1,1,1,44236
2e3,Army,"Electronics, Comms, & Sensors",Medium,1,0,1,18,18,23,755859
2e3,Army,"Electronics, Comms, & Sensors",Medium,1,1,1,152,153,281,71088487
2e3,Army,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,1,1,1,965604
2e3,Army,Facilities and Construction,Small,0,0,0,70,70,95,1457663
2e3,Army,Facilities and Construction,Small,0,0,1,507,507,1253,27549973
2e3,Army,Facilities and Construction,Small,0,1,1,4631,4720,26011,7737565606
2e3,Army,Facilities and Construction,Small,1,1,1,5,5,48,5755950
2e3,Army,Facilities and Construction,Large+,0,0,1,3,5,18,9539330
2e3,Army,Facilities and Construction,Large+,0,1,1,111,137,2892,1593057988
2e3,Army,Facilities and Construction,Large+,1,1,1,6,7,1184,761190945
2e3,Army,Facilities and Construction,Medium,0,0,0,8,8,19,-1132636
2e3,Army,Facilities and Construction,Medium,0,0,1,49,50,59,1981204
2e3,Army,Facilities and Construction,Medium,0,1,1,946,981,6004,3451548606
2e3,Army,Facilities and Construction,Medium,1,0,0,8,8,14,-194512
2e3,Army,Facilities and Construction,Medium,1,0,1,75,75,88,3147558
2e3,Army,Facilities and Construction,Medium,1,1,1,830,835,3754,1251395743
2e3,Army,Facilities and Construction,Medium,NULL,0,0,6,6,0,0
2e3,Army,Facilities and Construction,Medium,NULL,0,1,2,2,2,23664
2e3,Army,Facilities and Construction,Medium,NULL,1,1,1,1,1,512301
2e3,Army,Land Vehicles,Small,0,0,0,2,2,3,36574
2e3,Army,Land Vehicles,Small,0,0,1,29,29,33,1418094
2e3,Army,Land Vehicles,Small,0,1,1,408,424,976,1179195823
2e3,Army,Land Vehicles,Large+,0,1,1,41,43,456,2395030201
2e3,Army,Land Vehicles,Medium,0,0,1,6,7,9,277733
2e3,Army,Land Vehicles,Medium,0,1,1,56,57,185,165598319
2e3,Army,Land Vehicles,Medium,1,0,0,2,2,2,-1747737
2e3,Army,Land Vehicles,Medium,1,0,1,4,4,4,158036
2e3,Army,Land Vehicles,Medium,1,1,1,98,99,250,97459498
2e3,Army,Land Vehicles,Medium,NULL,0,0,2,2,0,0
2e3,Army,Land Vehicles,Medium,NULL,0,1,1,1,14,276875
2e3,Army,Missile Defense,Small,0,1,1,18,18,123,156435072
2e3,Army,Missile Defense,Large+,0,1,1,11,11,83,728575198
2e3,Army,Missile Defense,Medium,0,1,1,3,3,11,7774469
2e3,Army,Missile Defense,Medium,1,1,1,2,2,10,5834588
2e3,Army,NULL,Small,0,1,1,37,37,83,19422945
2e3,Army,NULL,Small,NULL,1,1,1,1,1,28051
2e3,Army,NULL,Large+,0,1,1,18,18,99,22062805
2e3,Army,NULL,Medium,0,0,0,1,1,1,-4961
2e3,Army,NULL,Medium,0,1,1,7,7,22,-582446
2e3,Army,NULL,Medium,NULL,0,0,5,5,55,14279
2e3,Army,NULL,Medium,NULL,0,1,4,4,5,43588
2e3,Army,Ordnance and Missiles,Small,0,0,1,15,15,15,625437
2e3,Army,Ordnance and Missiles,Small,0,1,1,505,511,1216,752717027
2e3,Army,Ordnance and Missiles,Large+,0,1,1,46,47,1437,4300397312
2e3,Army,Ordnance and Missiles,Large+,1,1,1,1,1,5,1604330
2e3,Army,Ordnance and Missiles,Medium,0,0,1,1,1,0,0
2e3,Army,Ordnance and Missiles,Medium,0,1,1,74,75,396,375230449
2e3,Army,Ordnance and Missiles,Medium,1,0,1,4,4,5,261793
2e3,Army,Ordnance and Missiles,Medium,1,1,1,24,24,26,38092426
2e3,Army,Ordnance and Missiles,NULL,NULL,NULL,NULL,2,2,17,38126817
2e3,Army,Other Products,Small,0,0,0,5,5,8,143068
2e3,Army,Other Products,Small,0,0,1,71,71,86,3020751
2e3,Army,Other Products,Small,0,1,1,686,739,1789,489102328
2e3,Army,Other Products,Small,1,0,1,1,1,1,42850
2e3,Army,Other Products,Small,NULL,0,0,2,2,0,0
2e3,Army,Other Products,Large+,0,0,1,1,1,3,180692
2e3,Army,Other Products,Large+,0,1,1,53,60,246,88211532
2e3,Army,Other Products,Large+,1,1,1,1,1,2,48818
2e3,Army,Other Products,Medium,0,0,0,1,1,1,37360
2e3,Army,Other Products,Medium,0,0,1,13,13,15,548363
2e3,Army,Other Products,Medium,0,1,1,152,152,302,127708118
2e3,Army,Other Products,Medium,1,0,1,13,13,13,494688
2e3,Army,Other Products,Medium,1,1,1,121,121,200,76136766
2e3,Army,Other Products,Medium,NULL,0,0,1,1,0,0
2e3,Army,Other Products,NULL,NULL,NULL,NULL,1,1,1,47833
2e3,Army,Other R&D and Knowledge Based,Small,0,0,0,10,10,13,144410
2e3,Army,Other R&D and Knowledge Based,Small,0,0,1,94,94,125,4136402
2e3,Army,Other R&D and Knowledge Based,Small,0,1,1,1573,1605,6354,1941207972
2e3,Army,Other R&D and Knowledge Based,Small,NULL,0,1,1,1,1,10115
2e3,Army,Other R&D and Knowledge Based,Small,NULL,1,1,2,2,0,0
2e3,Army,Other R&D and Knowledge Based,Large+,0,1,1,83,90,2987,2209652851
2e3,Army,Other R&D and Knowledge Based,Large+,1,1,1,1,1,1,163817
2e3,Army,Other R&D and Knowledge Based,Medium,0,0,0,2,2,3,-46083
2e3,Army,Other R&D and Knowledge Based,Medium,0,0,1,17,17,19,674474
2e3,Army,Other R&D and Knowledge Based,Medium,0,1,1,430,464,1866,1148632333
2e3,Army,Other R&D and Knowledge Based,Medium,1,0,0,1,1,1,-39936
2e3,Army,Other R&D and Knowledge Based,Medium,1,0,1,8,8,11,379765
2e3,Army,Other R&D and Knowledge Based,Medium,1,1,1,61,61,111,67372544
2e3,Army,Other R&D and Knowledge Based,Medium,NULL,0,0,1,1,0,0
2e3,Army,Other R&D and Knowledge Based,NULL,NULL,NULL,NULL,1,1,8,1434321
2e3,Army,Other Services,Small,0,0,0,4,4,9,-472938
2e3,Army,Other Services,Small,0,0,1,77,77,106,3115426
2e3,Army,Other Services,Small,0,1,1,656,663,1935,886675824
2e3,Army,Other Services,Small,NULL,0,0,2,2,0,0
2e3,Army,Other Services,Large+,0,1,1,41,41,938,1439610914
2e3,Army,Other Services,Medium,0,0,1,10,10,10,381461
2e3,Army,Other Services,Medium,0,1,1,149,150,364,493668895
2e3,Army,Other Services,Medium,1,0,1,24,24,26,1012770
2e3,Army,Other Services,Medium,1,1,1,133,133,290,245610837
2e3,Army,Other Services,Medium,NULL,0,0,2,2,0,0
2e3,Army,Other Services,Medium,NULL,0,1,1,1,1,8502
2e3,Army,Other Services,NULL,NULL,NULL,NULL,1,1,3,7012932
2e3,Army,Ships & Submarines,Small,0,0,0,2,2,2,6858
2e3,Army,Ships & Submarines,Small,0,0,1,9,9,9,334335
2e3,Army,Ships & Submarines,Small,0,1,1,125,125,276,85592167
2e3,Army,Ships & Submarines,Large+,0,1,1,7,7,17,5293971
2e3,Army,Ships & Submarines,Medium,0,0,1,2,2,2,81200
2e3,Army,Ships & Submarines,Medium,0,1,1,8,8,13,1374547
2e3,Army,Ships & Submarines,Medium,1,1,1,4,4,4,563254
2e3,Army,Space Systems,Small,0,1,1,17,17,36,11655675
2e3,Army,Space Systems,Large+,0,1,1,12,12,62,135534673
2e3,Army,Space Systems,Medium,0,1,1,6,6,9,24439219
2e3,DLA,Aircraft,Small,0,0,0,5,5,6,-528491
2e3,DLA,Aircraft,Small,0,0,1,56,56,65,2496773
2e3,DLA,Aircraft,Small,0,1,1,1159,1246,6898,919703373
2e3,DLA,Aircraft,Small,NULL,0,0,16,16,0,0
2e3,DLA,Aircraft,Large+,0,1,1,44,62,3761,759585807
2e3,DLA,Aircraft,Large+,1,1,1,1,1,9,2387430
2e3,DLA,Aircraft,Medium,0,0,0,1,1,2,-124536
2e3,DLA,Aircraft,Medium,0,0,1,4,4,4,156396
2e3,DLA,Aircraft,Medium,0,1,1,109,130,669,109792732
2e3,DLA,Aircraft,Medium,1,0,1,1,1,2,43219
2e3,DLA,Aircraft,Medium,1,1,1,25,28,139,21685847
2e3,DLA,Aircraft,Medium,NULL,0,0,1,1,0,0
2e3,DLA,Aircraft,NULL,NULL,NULL,NULL,2,2,3,701906
2e3,DLA,"Electronics, Comms, & Sensors",Small,0,0,0,1,1,1,4251
2e3,DLA,"Electronics, Comms, & Sensors",Small,0,0,1,40,40,45,1091190
2e3,DLA,"Electronics, Comms, & Sensors",Small,0,1,1,1016,1076,3655,526833903
2e3,DLA,"Electronics, Comms, & Sensors",Small,NULL,1,1,1,1,0,0
2e3,DLA,"Electronics, Comms, & Sensors",Large+,0,1,1,75,88,1436,495378635
2e3,DLA,"Electronics, Comms, & Sensors",Medium,0,0,0,1,1,1,-74688
2e3,DLA,"Electronics, Comms, & Sensors",Medium,0,0,1,6,6,6,237804
2e3,DLA,"Electronics, Comms, & Sensors",Medium,0,1,1,103,110,299,36738801
2e3,DLA,"Electronics, Comms, & Sensors",Medium,1,0,1,1,1,1,43888
2e3,DLA,"Electronics, Comms, & Sensors",Medium,1,1,1,12,14,33,8130619
2e3,DLA,Facilities and Construction,Small,0,0,0,2,2,2,-92464
2e3,DLA,Facilities and Construction,Small,0,0,1,26,26,29,492286
2e3,DLA,Facilities and Construction,Small,0,1,1,608,621,1561,365127107
2e3,DLA,Facilities and Construction,Small,NULL,0,0,3,3,0,0
2e3,DLA,Facilities and Construction,Large+,0,0,1,1,1,2,241448
2e3,DLA,Facilities and Construction,Large+,0,1,1,38,43,409,140622165
2e3,DLA,Facilities and Construction,Large+,1,1,1,1,1,3,7075699
2e3,DLA,Facilities and Construction,Medium,0,0,1,6,6,6,241571
2e3,DLA,Facilities and Construction,Medium,0,1,1,96,96,277,77043545
2e3,DLA,Facilities and Construction,Medium,1,0,1,2,2,2,86749
2e3,DLA,Facilities and Construction,Medium,1,1,1,27,27,114,46797721
2e3,DLA,Facilities and Construction,Medium,NULL,0,0,3,3,0,0
2e3,DLA,Facilities and Construction,NULL,NULL,NULL,NULL,1,1,6,3410785
2e3,DLA,Land Vehicles,Small,0,0,1,24,24,26,1022753
2e3,DLA,Land Vehicles,Small,0,1,1,415,418,1486,192153044
2e3,DLA,Land Vehicles,Small,NULL,0,0,1,1,0,0
2e3,DLA,Land Vehicles,Large+,0,1,1,24,27,161,23624091
2e3,DLA,Land Vehicles,Medium,0,0,1,1,1,1,39181
2e3,DLA,Land Vehicles,Medium,0,1,1,38,40,97,10661146
2e3,DLA,Land Vehicles,Medium,1,1,1,7,7,8,2376827
2e3,DLA,Land Vehicles,Medium,NULL,0,0,1,1,0,0
2e3,DLA,NULL,Large+,0,1,1,1,1,0,0
2e3,DLA,Ordnance and Missiles,Small,0,0,1,4,4,3,121462
2e3,DLA,Ordnance and Missiles,Small,0,1,1,137,137,194,23899460
2e3,DLA,Ordnance and Missiles,Large+,0,1,1,13,13,36,9403001
2e3,DLA,Ordnance and Missiles,Medium,0,1,1,10,10,15,1653126
2e3,DLA,Ordnance and Missiles,Medium,1,1,1,1,1,1,267309
2e3,DLA,Other Products,Small,0,0,0,8,8,13,-772308
2e3,DLA,Other Products,Small,0,0,1,79,79,102,-813210
2e3,DLA,Other Products,Small,0,1,1,1091,1137,11307,3041022185
2e3,DLA,Other Products,Small,NULL,0,0,6,6,0,0
2e3,DLA,Other Products,Large+,0,0,1,1,1,9,1342128
2e3,DLA,Other Products,Large+,0,1,1,65,74,7923,3727213288
2e3,DLA,Other Products,Large+,1,1,1,5,5,10,405378362
2e3,DLA,Other Products,Medium,0,0,0,1,1,1,-79769
2e3,DLA,Other Products,Medium,0,0,1,14,14,15,577327
2e3,DLA,Other Products,Medium,0,1,1,224,230,2450,1519806987
2e3,DLA,Other Products,Medium,1,0,1,3,3,4,151284
2e3,DLA,Other Products,Medium,1,1,1,65,65,207,641441301
2e3,DLA,Other Products,Medium,NULL,0,0,1,1,0,0
2e3,DLA,Other Products,Medium,NULL,1,1,1,1,0,0
2e3,DLA,Other Products,NULL,NULL,NULL,NULL,1,1,2,271645
2e3,DLA,Other R&D and Knowledge Based,Small,0,0,1,2,2,2,86163
2e3,DLA,Other R&D and Knowledge Based,Small,0,1,1,62,63,337,114044319
2e3,DLA,Other R&D and Knowledge Based,Large+,0,1,1,17,17,527,208172371
2e3,DLA,Other R&D and Knowledge Based,Medium,0,1,1,21,21,55,13350636
2e3,DLA,Other Services,Small,0,0,1,1,1,2,26888
2e3,DLA,Other Services,Small,0,1,1,21,21,22,9558973
2e3,DLA,Other Services,Large+,0,1,1,3,3,5,8724547
2e3,DLA,Other Services,Medium,0,0,1,1,1,1,43249
2e3,DLA,Other Services,Medium,0,1,1,9,9,22,7241311
2e3,DLA,Ships & Submarines,Small,0,0,0,2,2,4,-38053
2e3,DLA,Ships & Submarines,Small,0,0,1,7,7,7,283609
2e3,DLA,Ships & Submarines,Small,0,1,1,258,262,581,70425444
2e3,DLA,Ships & Submarines,Large+,0,0,1,1,1,1,204750
2e3,DLA,Ships & Submarines,Large+,0,1,1,17,18,56,5625522
2e3,DLA,Ships & Submarines,Medium,0,1,1,26,27,49,11364092
2e3,DLA,Ships & Submarines,Medium,1,1,1,2,2,2,189253
2e3,DLA,Space Systems,Small,0,1,1,1,1,1,610241
2e3,DLA,Space Systems,Medium,1,1,1,1,1,1,38465
2e3,MDA,Missile Defense,Small,0,1,1,6,6,25,45237805
2e3,MDA,Missile Defense,Large+,0,1,1,2,2,19,83236557
2e3,MDA,Ordnance and Missiles,Small,0,1,1,26,26,132,88544312
2e3,MDA,Ordnance and Missiles,Large+,0,1,1,11,11,225,1699810786
2e3,MDA,Ordnance and Missiles,Medium,1,1,1,2,2,16,30003353
2e3,MilitaryHealth,"Electronics, Comms, & Sensors",Small,0,1,1,1,1,1,1179899
2e3,MilitaryHealth,"Electronics, Comms, & Sensors",Large+,0,1,1,1,1,1,150998
2e3,MilitaryHealth,Other R&D and Knowledge Based,Large+,0,1,1,3,3,3,2872597
2e3,MilitaryHealth,Other Services,Large+,0,0,0,1,1,1,1239073
2e3,MilitaryHealth,Other Services,Large+,0,1,1,3,3,102,1269031417
2e3,MilitaryHealth,Other Services,Medium,0,0,0,2,2,3,-76871
2e3,MilitaryHealth,Other Services,Medium,0,1,1,4,4,49,665874552
2e3,Navy,Aircraft,Small,0,0,1,14,14,15,609130
2e3,Navy,Aircraft,Small,0,1,1,568,607,2099,754280643
2e3,Navy,Aircraft,Large+,0,1,1,51,66,4302,11430487704
2e3,Navy,Aircraft,Large+,1,1,1,1,1,3,1655807
2e3,Navy,Aircraft,Medium,0,0,1,3,3,3,119498
2e3,Navy,Aircraft,Medium,0,1,1,68,78,266,147915647
2e3,Navy,Aircraft,Medium,1,0,1,4,4,4,159744
2e3,Navy,Aircraft,Medium,1,1,1,55,57,262,171984982
2e3,Navy,Aircraft,Medium,NULL,1,1,1,1,0,0
2e3,Navy,"Electronics, Comms, & Sensors",Small,0,0,0,6,6,7,102855
2e3,Navy,"Electronics, Comms, & Sensors",Small,0,0,1,94,94,102,4049630
2e3,Navy,"Electronics, Comms, & Sensors",Small,0,1,1,2030,2103,10137,3080762781
2e3,Navy,"Electronics, Comms, & Sensors",Small,1,1,1,1,1,3,349171
2e3,Navy,"Electronics, Comms, & Sensors",Large+,0,1,1,100,126,7025,5410415603
2e3,Navy,"Electronics, Comms, & Sensors",Large+,1,1,1,1,1,4,423306
2e3,Navy,"Electronics, Comms, & Sensors",Medium,0,0,0,1,1,1,-35426
2e3,Navy,"Electronics, Comms, & Sensors",Medium,0,0,1,18,18,20,700503
2e3,Navy,"Electronics, Comms, & Sensors",Medium,0,1,1,257,263,782,408470215
2e3,Navy,"Electronics, Comms, & Sensors",Medium,1,0,1,9,9,10,359545
2e3,Navy,"Electronics, Comms, & Sensors",Medium,1,1,1,88,91,158,58695562
2e3,Navy,"Electronics, Comms, & Sensors",Medium,NULL,0,0,1,1,0,0
2e3,Navy,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,1,1,1,53609
2e3,Navy,Facilities and Construction,Small,0,0,0,161,161,337,-2309239
2e3,Navy,Facilities and Construction,Small,0,0,1,610,610,1411,20118375
2e3,Navy,Facilities and Construction,Small,0,1,1,2998,3053,23244,3930753601
2e3,Navy,Facilities and Construction,Small,1,1,1,4,4,6,353254
2e3,Navy,Facilities and Construction,Small,NULL,0,0,3,3,0,0
2e3,Navy,Facilities and Construction,Small,NULL,1,1,2,2,2,40625
2e3,Navy,Facilities and Construction,Large+,0,0,1,1,1,5,446374
2e3,Navy,Facilities and Construction,Large+,0,1,1,88,107,3333,1293538827
2e3,Navy,Facilities and Construction,Large+,1,1,1,2,3,11,2880485
2e3,Navy,Facilities and Construction,Medium,0,0,0,25,25,62,-480509
2e3,Navy,Facilities and Construction,Medium,0,0,1,69,69,121,2099508
2e3,Navy,Facilities and Construction,Medium,0,1,1,544,556,5189,1750854052
2e3,Navy,Facilities and Construction,Medium,1,0,0,6,6,9,-754825
2e3,Navy,Facilities and Construction,Medium,1,0,1,28,28,29,1116367
2e3,Navy,Facilities and Construction,Medium,1,1,1,412,415,1576,471443545
2e3,Navy,Facilities and Construction,Medium,NULL,0,0,5,5,1,0
2e3,Navy,Facilities and Construction,NULL,NULL,NULL,NULL,1,1,2,797459
2e3,Navy,Facilities and Construction,Unlabeled Vendor,NULL,1,1,1,1,1,53849
2e3,Navy,Land Vehicles,Small,0,0,1,12,12,12,598047
2e3,Navy,Land Vehicles,Small,0,1,1,142,143,320,119434047
2e3,Navy,Land Vehicles,Large+,0,1,1,19,19,82,206659199
2e3,Navy,Land Vehicles,Large+,1,1,1,1,1,1,53961
2e3,Navy,Land Vehicles,Medium,0,0,1,2,2,3,118295
2e3,Navy,Land Vehicles,Medium,0,1,1,28,28,61,48311774
2e3,Navy,Land Vehicles,Medium,1,0,1,7,7,8,324275
2e3,Navy,Land Vehicles,Medium,1,1,1,33,33,62,11450111
2e3,Navy,Land Vehicles,Medium,NULL,0,0,1,1,0,0
2e3,Navy,Land Vehicles,Medium,NULL,0,1,1,1,1,28341
