fiscal_year	Customer	SubCustomer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
2014	Defense	MDA	Missile Defense	S	Always Small Vendor	PDuns	NULL	1	1	1	1	0	0.0000
2014	Defense	MilitaryHealth	Other Products	S	Always Small Vendor	PDuns	0	1	1	6	6	7	1375200.0000
2014	Defense	MilitaryHealth	Other Products	U	Unlabeled Vendor	PDuns	0	1	1	1	1	0	0.0000
2014	Defense	MilitaryHealth	Other R&D and Knowledge Based	M	Medium Vendor	PID	0	1	1	4	4	14	3066529.5000
2014	Defense	MilitaryHealth	Other Services	M	Medium Vendor	PID	0	1	1	9	9	267	1249950146.7704
2014	Defense	MilitaryHealth	Other Services	N	Sometimes Small Vendor	PID	0	1	1	1	1	1	0.0000
2014	Defense	MilitaryHealth	Other Services	S	Always Small Vendor	PDuns	0	1	1	16	16	26	11462088.9900
2014	Defense	Navy	Aircraft	NULL	NULL	PID	NULL	NULL	NULL	6	6	77	112176993.2800
2014	Defense	Navy	Aircraft	M	Medium Vendor	PDuns	1	0	1	6	6	8	46827.4400
2014	Defense	Navy	Aircraft	N	Sometimes Small Vendor	PDuns	1	1	1	3	3	3	-16687.5500
2014	Defense	Navy	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	0	0	1	932	934	1453	13983548.1000
2014	Defense	Navy	Facilities and Construction	NULL	NULL	PID	NULL	NULL	NULL	12	12	302	32825325.3900
2014	Defense	Navy	Facilities and Construction	M	Medium Vendor	PID	0	0	1	3	3	5	-35042.2200
2014	Defense	Navy	Facilities and Construction	N	Sometimes Small Vendor	PID	0	1	1	219	219	3298	455083275.3979
2014	Defense	Navy	Facilities and Construction	S	Always Small Vendor	PDuns	1	0	1	4	4	4	56382.6800
2014	Defense	Navy	Facilities and Construction	S	Always Small Vendor	PID	0	1	1	16	16	385	66117333.8900
2014	Defense	Navy	Facilities and Construction	U	Unlabeled Vendor	PDuns	0	1	1	1	191	989	125586573.0456
2014	Defense	Navy	Land Vehicles	B	Big Five	PID	0	1	1	4	4	98	178048209.3100
2014	Defense	Navy	Land Vehicles	M	Medium Vendor	PDuns	0	0	0	2	2	3	5690.0000
2014	Defense	Navy	Land Vehicles	N	Sometimes Small Vendor	PDuns	0	0	1	26	26	36	194487.6600
2014	Defense	Navy	Land Vehicles	N	Sometimes Small Vendor	PID	0	1	1	35	35	134	28762383.7000
2014	Defense	Navy	Land Vehicles	S	Always Small Vendor	PDuns	NULL	0	0	1	1	0	0.0000
2014	Defense	Navy	Land Vehicles	U	Unlabeled Vendor	PDuns	0	1	1	1	16	31	792200.0422
2014	Defense	Navy	Missile Defense	L	Large Vendor	PID	0	1	1	5	5	12	-519182.0000
2014	Defense	Navy	Ordnance and Missiles	M	Medium Vendor	PDuns	0	1	1	29	30	85	51531004.5000
2014	Defense	Navy	Ordnance and Missiles	U	Unlabeled Vendor	PDuns	0	1	1	1	23	83	19564177.8782
2014	Defense	Navy	Other Products	M	Medium Vendor	PDuns	0	0	1	63	63	118	878027.5500
2014	Defense	Navy	Other Products	N	Sometimes Small Vendor	PDuns	0	0	0	3	3	6	-31741.3700
2014	Defense	Navy	Other Products	N	Sometimes Small Vendor	PID	0	1	1	97	97	1023	148362732.6046
2014	Defense	Navy	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns	0	0	0	45	45	82	-19123.4700
2014	Defense	Navy	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns	1	0	1	3	3	5	51638.3500
2014	Defense	Navy	Other R&D and Knowledge Based	S	Always Small Vendor	PID	0	1	1	36	36	350	87527966.2408
2014	Defense	Navy	Other Services	NULL	NULL	PID	NULL	NULL	NULL	5	5	129	37721477.1200
2014	Defense	Navy	Other Services	B	Big Five	PID	0	1	1	5	5	381	215395142.9868
2014	Defense	Navy	Other Services	M	Medium Vendor	PDuns	NULL	0	0	3	3	0	0.0000
2014	Defense	Navy	Other Services	S	Always Small Vendor	PDuns	0	0	1	240	240	476	2768246.4300
2014	Defense	Navy	Ships & Submarines	NULL	NULL	PID	NULL	NULL	NULL	5	5	246	89745434.3001
2014	Defense	Navy	Ships & Submarines	M	Medium Vendor	PDuns	NULL	1	1	1	1	0	0.0000
2014	Defense	Navy	Ships & Submarines	N	Sometimes Small Vendor	PDuns	1	1	1	1	1	8	157330.8800
2014	Defense	Navy	Ships & Submarines	S	Always Small Vendor	PDuns	0	0	0	65	66	129	95056.1600
2014	Defense	Navy	Space Systems	L	Large Vendor	PID	0	1	1	13	13	124	25915326.6500
2014	Defense	Navy	Space Systems	M	Medium Vendor	PDuns	0	1	1	2	2	11	4600792.0000
2014	Defense	Other DoD	Aircraft	M	Medium Vendor	PDuns	0	0	1	2	2	2	22978.0000
2014	Defense	Other DoD	Electronics, Comms, & Sensors	B	Big Five	PID	0	1	1	5	5	6831	1618970939.6441
2014	Defense	Other DoD	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	0	0	1	124	124	158	1530732.6400
2014	Defense	Other DoD	Facilities and Construction	NULL	NULL	PID	NULL	NULL	NULL	4	4	9	433635.7000
2014	Defense	Other DoD	Facilities and Construction	M	Medium Vendor	PDuns	NULL	1	1	1	1	0	0.0000
2014	Defense	Other DoD	Facilities and Construction	M	Medium Vendor	PDuns	0	0	1	28	28	36	292196.2100
2014	Defense	Other DoD	Facilities and Construction	N	Sometimes Small Vendor	PDuns	0	0	1	24	24	31	131056.8000
2014	Defense	Other DoD	Facilities and Construction	N	Sometimes Small Vendor	PID	0	1	1	65	65	197	8896302.3702
2014	Defense	Other DoD	Facilities and Construction	U	Unlabeled Vendor	PDuns	0	1	1	1	28	84	30481400.4521
2014	Defense	Other DoD	Land Vehicles	S	Always Small Vendor	PDuns	0	1	1	39	39	63	353597.1600
2014	Defense	Other DoD	Land Vehicles	U	Unlabeled Vendor	PDuns	0	1	1	1	4	4	-855069.8096
2014	Defense	Other DoD	Missile Defense	B	Big Five	PID	0	1	1	5	5	34	-27128946.4303
2014	Defense	Other DoD	Ordnance and Missiles	B	Big Five	PID	0	1	1	5	5	252	18471193.9900
2014	Defense	Other DoD	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns	0	1	1	51	52	100	14221354.9600
2014	Defense	Other DoD	Other Products	L	Large Vendor	PID	0	1	1	14	14	54	294926.3100
2014	Defense	Other DoD	Other Products	S	Always Small Vendor	PID	0	1	1	1	1	2	0.0000
2014	Defense	Other DoD	Other R&D and Knowledge Based	M	Medium Vendor	PDuns	0	0	0	1	1	1	2358.0000
2014	Defense	Other DoD	Other R&D and Knowledge Based	U	Unlabeled Vendor	PDuns	0	1	1	1	73	225	70698697.0111
2014	Defense	Other DoD	Other Services	N	Sometimes Small Vendor	PDuns	NULL	1	1	1	1	NULL	0.0000
2015	Defense	Air Force	Aircraft	N	Sometimes Small Vendor	PID	0	1	1	65	65	991	621557510.2385
2015	Defense	Air Force	Electronics, Comms, & Sensors	B	Big Five	PID	0	1	1	5	5	3786	2821082956.7592
2015	Defense	Air Force	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns	0	0	1	54	54	77	684728.6800
2015	Defense	Air Force	Electronics, Comms, & Sensors	M	Medium Vendor	PID	0	1	1	40	40	670	2119022820.6662
2015	Defense	Air Force	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	Duns	0	1	1	1	1	91	4274710.1300
2015	Defense	Air Force	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns	0	0	0	19	19	26	-95338.6700
2015	Defense	Air Force	Facilities and Construction	L	Large Vendor	PID	1	1	1	3	3	44	43944285.7500
2015	Defense	Air Force	Facilities and Construction	N	Sometimes Small Vendor	PDuns	0	0	0	3	3	4	5495.9900
2015	Defense	Air Force	Facilities and Construction	N	Sometimes Small Vendor	PDuns	0	1	1	1633	2168	16551	1479357215.4986
2015	Defense	Air Force	Facilities and Construction	S	Always Small Vendor	PDuns	1	0	1	5	5	5	48167.6400
2015	Defense	Air Force	Land Vehicles	N	Sometimes Small Vendor	PDuns	1	1	1	1	1	2	39900.6000
2015	Defense	Air Force	Land Vehicles	S	Always Small Vendor	PDuns	NULL	0	1	1	1	NULL	0.0000
2015	Defense	Air Force	Missile Defense	L	Large Vendor	PID	0	1	1	1	1	4	322041.2100
2015	Defense	Air Force	Missile Defense	M	Medium Vendor	PID	0	1	1	1	1	5	1100000.0000
2015	Defense	Air Force	Missile Defense	N	Sometimes Small Vendor	PDuns	0	1	1	2	2	26	3855521.2600
2015	Defense	Air Force	Ordnance and Missiles	S	Always Small Vendor	PDuns	NULL	0	0	1	1	NULL	0.0000
2015	Defense	Air Force	Ordnance and Missiles	S	Always Small Vendor	PID	0	1	1	2	2	2	360030.0000
2015	Defense	Air Force	Other Products	M	Medium Vendor	PID	1	1	1	1	1	0	0.0000
2015	Defense	Air Force	Other R&D and Knowledge Based	M	Medium Vendor	PDuns	NULL	0	0	2	2	0	0.0000
2015	Defense	Air Force	Other R&D and Knowledge Based	M	Medium Vendor	PDuns	NULL	1	1	3	3	0	0.0000
