fiscal_year,PrimeObligatedAmount,SubawardAmount,NumberOfActions,NumberOfContracts,IsInFSRS
1987,-171000,NULL,NULL,2,0
1988,7652670,NULL,NULL,45,0
1989,1636683946,NULL,NULL,2006,0
1990,1.2035E+11,NULL,3,98811,0
1991,1.36154E+11,NULL,6,104038,0
1992,1.23407E+11,NULL,28,96456,0
1993,1.21373E+11,NULL,2500,91540,0
1994,1.17964E+11,NULL,237482,88584,0
1995,1.1804E+11,NULL,258357,88509,0
1996,1.19667E+11,NULL,282646,96004,0
1997,1.17204E+11,NULL,275702,96012,0
1998,1.18133E+11,NULL,277265,92112,0
1999,1.24701E+11,NULL,289363,92575,0
2000,2.06953E+11,NULL,587336,448847,0
2000,NULL,258308.2344,NULL,NULL,1
2001,2.24539E+11,NULL,634794,489675,0
2001,NULL,4000000,NULL,NULL,1
2002,2.6543E+11,NULL,811908,629484,0
2003,3.19366E+11,NULL,1162724,932113,0
2003,NULL,3461861.125,NULL,NULL,1
2004,3.39265E+11,NULL,1999110,1638859,0
2004,NULL,6098455.734,NULL,NULL,1
2005,3.91341E+11,NULL,8150840,2401637,0
2005,NULL,32878029,NULL,NULL,1
2006,4.31906E+11,NULL,7851813,3283011,0
2006,NULL,639712130.5,NULL,NULL,1
2007,4.68961E+11,NULL,9069966,3526731,0
2007,NULL,685658264.6,NULL,NULL,1
2008,5.27605E+11,NULL,8339594,3874270,0
2008,NULL,1298181074,NULL,NULL,1
2009,5.54385E+11,NULL,5566832,2820407,0
2009,NULL,431337953.8,NULL,NULL,1
2010,5.34816E+11,NULL,5803402,2773833,0
2010,3652632413,NULL,1006,769,1
2010,NULL,8436879798,NULL,NULL,1
2011,5.1368E+11,NULL,17479179,2555898,0
2011,NULL,47463403635,NULL,NULL,1
2011,23388085202,NULL,14850,6679,1
2012,4.70829E+11,NULL,17453659,2339690,0
2012,44902424917,NULL,22587,8777,1
2012,NULL,65770280119,NULL,NULL,1
2013,4.04855E+11,NULL,13451772,1789920,0
2013,55484826107,NULL,30007,10131,1
2013,NULL,99759875029,NULL,NULL,1
2014,3.88623E+11,NULL,15597392,1836857,0
2014,NULL,66810820185,NULL,NULL,1
2014,55901463233,NULL,31360,11642,1
2015,3.84182E+11,NULL,17281206,3069532,0
2015,53244448593,NULL,24759,9080,1
2015,NULL,51981951886,NULL,NULL,1
2016,NULL,20377599302,NULL,NULL,1
NULL,259871,NULL,1,1,0
