fiscal_year,Customer,PrimeObligatedAmount,SubawardAmount,NumberOfActions,NumberOfContracts,IsInFSRS
2011,DHS,12925044235.2676,NULL,85048,58598,0
2012,Defense,31341225395.4922,303086653295.3435,17012,6657,1
2000,Defense,99507479125.8690,NULL,224387,151829,0
2006,NASA,12568540520.4387,NULL,27131,15169,0
2008,Energy,24469472797.5222,NULL,13105,7232,0
2010,DHS,12739991898.4338,NULL,83935,59625,0
2007,Energy,23215097129.6345,NULL,12221,6414,0
2006,Other Agencies,40638183925.4486,NULL,3364642,1243242,0
2008,HHS,11896453870.5673,NULL,49950,37010,0
2001,State and IAP,2674512789.4895,NULL,10216,7779,0
2004,Other Agencies,35302060119.1783,NULL,312698,223572,0
2004,DHS,7379248398.3379,NULL,21925,13391,0
2012,Defense,298623117891.3375,NULL,14158109,1021999,0
2013,NASA,13857209469.6100,NULL,32480,17712,0
2013,State and IAP,1427238452.0200,3344281819.4525,427,206,1
2004,HHS,7720677045.2646,NULL,36158,26107,0
2005,GSA,14499911214.7804,NULL,789626,756927,0
2011,HHS,10382584977.7689,NULL,64006,47625,0
2015,Energy,806592083.5500,304237266.4924,115,42,1
2013,DHS,11656428839.0198,NULL,77971,57109,0
2014,NASA,1316517873.5400,46447832136.3565,726,154,1
2013,Other Agencies,60164361128.5700,NULL,2344441,498132,0
2005,State and IAP,7802471132.3112,NULL,179798,48932,0
2012,Energy,22472012899.6624,NULL,12612,6318,0
2002,NASA,6944317963.4442,NULL,10479,5782,0
2005,Energy,23193045630.5384,NULL,10234,5173,0
2014,Other Agencies,2125857480.2700,68698115512.9241,2921,1047,1
2003,Energy,30507208084.1807,NULL,7550,3468,0
2014,Defense,237316713413.0801,NULL,12961416,1003819,0
2011,NASA,12635307363.6094,NULL,36685,14527,0
2015,DHS,13097931179.1187,NULL,76630,57048,0
2011,Other Agencies,55481422174.9431,NULL,1781553,533742,0
2015,State and IAP,875099027.1600,1366177690.7426,333,180,1
2002,HHS,6451880269.9145,NULL,17956,12622,0
2002,Other Agencies,30804009781.5311,NULL,172477,133869,0
2015,GSA,722654660.7500,3373057245.8449,646,199,1
2003,State and IAP,5771586281.5051,NULL,12349,9445,0
2003,GSA,18957286638.6026,NULL,266926,238610,0
2014,Energy,24611224784.6100,NULL,12472,6669,0
2004,NASA,10825740939.0906,NULL,20408,14033,0
2014,HHS,1841152404.3800,3414721181.6943,834,471,1
1987,Defense,-171000.0000,NULL,NULL,2,0
2013,HHS,16929335947.8600,NULL,76297,61706,0
2010,Defense,354045710823.2953,NULL,3555267,1105462,0
2006,DHS,15930838980.7014,NULL,75360,53829,0
2014,DHS,12341128201.2100,NULL,74103,54799,0
2003,NASA,12034854978.9559,NULL,11188,6590,0
2011,Defense,332874770187.3335,NULL,13807342,1069217,0
2015,DHS,378192379.5500,1016458902.5947,360,176,1
2002,GSA,19207472461.8704,NULL,81005,62337,0
2004,Energy,21812242366.8198,NULL,7752,3844,0
1997,Defense,117203970180.0000,NULL,275702,96012,0
2015,Other Agencies,2303715888.2100,39492553704.0397,2027,845,1
2003,DHS,4005654583.2285,NULL,18138,11943,0
2011,State and IAP,10279375747.4458,NULL,81975,64814,0
2010,Other Agencies,59011335340.7458,NULL,923097,523546,0
2015,NASA,1552291810.8100,33456884327.6391,456,114,1
2014,GSA,832665886.5200,13345469197.3684,794,220,1
2015,Energy,24365127142.0600,NULL,12677,6927,0
2011,Energy,22637902050.4868,NULL,13540,6423,0
2005,HHS,7749085499.7928,NULL,66062,50954,0
2010,NASA,14040396367.4236,NULL,33072,15449,0
2013,GSA,7834969216.8000,NULL,96034,99623,0
2004,Defense,230659172744.3007,NULL,808984,544968,0
2003,Other Agencies,32280343236.8035,NULL,189193,142923,0
2012,HHS,10373824292.8718,NULL,65295,48617,0
2004,State and IAP,5488482162.2017,NULL,21625,17533,0
2007,DHS,11914715661.2337,NULL,79724,56117,0
2011,Energy,31720055.3165,32299694.0311,33,16,1
2012,HHS,661760207.4129,5875367506.0672,519,272,1
1989,Defense,1636683946.0000,NULL,NULL,2006,0
2000,HHS,4178496811.3408,NULL,15457,9087,0
2015,Other Agencies,63054752865.8926,NULL,4047595,490282,0
2008,Defense,394404125895.9126,NULL,3594240,1182807,0
2010,Other Agencies,179662718.3637,1034343030.6453,163,134,1
2000,DHS,241518123.9494,NULL,1521,1066,0
1993,Defense,121373382142.0000,NULL,2500,91540,0
2006,Defense,299485379719.6181,NULL,3319756,1064673,0
2009,GSA,15121795492.7753,NULL,959176,917135,0
2010,NASA,18659353.0117,467527441.9518,19,9,1
2015,NULL,0.0000,NULL,1,1,0
2000,Other Agencies,29086708416.4292,NULL,147252,114678,0
2010,HHS,79413227.4804,26270924.1915,31,28,1
2012,DHS,456141653.2894,826438997.8083,450,175,1
2001,Energy,22977425607.0234,NULL,6683,3211,0
1991,Defense,136154193844.0000,NULL,6,104038,0
2014,DHS,558531574.9800,1449368006.6797,435,195,1
2002,DHS,950146362.9030,NULL,1865,1233,0
2013,Energy,680271301.8300,6964188225.4222,112,25,1
2000,NASA,6366913847.8881,NULL,10910,6092,0
2007,GSA,12733158076.9077,NULL,818538,777318,0
2009,State and IAP,12456207933.7602,NULL,209414,58892,0
2015,HHS,20331521047.9310,NULL,83853,68412,0
2012,Other Agencies,2151808016.8406,121312019749.5378,2379,948,1
2015,NASA,15079861366.1400,NULL,33950,20829,0
2007,State and IAP,9657876685.2854,NULL,206775,53045,0
2012,NASA,208054446.2674,3055279473.7401,300,88,1
2008,State and IAP,9756067039.8720,NULL,207549,54383,0
2006,GSA,13432776623.2412,NULL,779381,735516,0
2000,Energy,20356494713.7873,NULL,6376,3196,0
2014,Other Agencies,61587203725.3219,NULL,2246769,505580,0
2007,Defense,331624675229.5911,NULL,3478165,1094531,0
2006,State and IAP,7926203299.9467,NULL,192975,52917,0
2011,NASA,179854747.4847,13796034360.6389,314,83,1
2001,Other Agencies,27121357383.2592,NULL,165214,128859,0
2010,Energy,1572578.3750,1450484.9688,1,1,1
2011,HHS,539275135.7210,11758322541.2233,401,200,1
1999,NASA,1378437222.4000,NULL,1,1,0
2016,NASA,33978.9102,NULL,1,1,0
2011,Other Agencies,1258178456.4167,23988366532.1419,1809,908,1
1992,Defense,123406660550.0000,NULL,28,96456,0
2013,HHS,2056259898.4700,13783354063.2993,698,369,1
2016,HHS,1172546.2206,NULL,8,8,0
2014,NASA,14322703086.7600,NULL,29499,17094,0
2008,GSA,12938363252.5447,NULL,895202,853361,0
2011,DHS,533704277.1893,3209066020.1815,371,179,1
2016,DHS,59613.4744,NULL,46,46,0
2002,Energy,24048187166.9638,NULL,7105,3354,0
1990,Defense,120350129405.0000,NULL,3,98811,0
2013,DHS,590676627.8900,4973254327.7617,524,222,1
2010,GSA,16963471225.1063,NULL,867453,829901,0
2001,HHS,4998347162.5880,NULL,15988,10899,0
2001,DHS,340536669.0396,NULL,1440,1004,0
2016,Other Agencies,2905625.2573,NULL,68,57,0
2012,Energy,73250422.4610,618409652.2938,68,23,1
2009,Defense,365782154995.3671,NULL,3499357,1099645,0
2002,Defense,115549812858.0292,NULL,327384,237477,0
2006,Energy,23841643916.0499,NULL,11207,6142,0
2013,Energy,23252024045.3900,NULL,12354,6415,0
2005,Other Agencies,37459012001.4692,NULL,3435891,320638,0
2014,Defense,46876773076.2300,546086581490.5445,25127,9315,1
2010,DHS,79968052.7540,87009694.2234,22,18,1
2005,DHS,11407464559.5319,NULL,65337,47242,0
2002,State and IAP,4758939204.1432,NULL,12353,9088,0
2015,HHS,1300285749.7000,1205079612.1987,704,387,1
2014,HHS,18380992902.6000,NULL,80554,65543,0
1988,Defense,7652670.0000,NULL,NULL,45,0
2012,NASA,11693861029.0020,NULL,30433,15094,0
2003,HHS,7445914782.3995,NULL,22423,16726,0
2010,HHS,12526147377.3560,NULL,63822,47731,0
2012,DHS,11295665749.1488,NULL,81570,57136,0
2013,NASA,1121846653.9500,332457077445.2678,714,141,1
2014,Energy,984619139.8800,2532130549.7695,140,28,1
2001,NASA,6827628225.3110,NULL,10489,5833,0
2013,State and IAP,10438325598.2100,NULL,95570,80260,0
2012,Other Agencies,53247124818.8357,NULL,2383850,468151,0
2005,NASA,12214057806.6733,NULL,25303,15261,0
2013,Other Agencies,2102663335.6700,242317254745.4040,2748,886,1
1995,Defense,118040376008.0000,NULL,258357,88509,0
2013,Defense,260722130433.9480,NULL,10716625,968963,0
2011,GSA,11210986174.0852,NULL,662495,628127,0
2004,GSA,14941946397.9511,NULL,764931,731330,0
2014,State and IAP,1365345797.0500,3253226166.6142,383,212,1
