fiscal_year,Customer,PrimeObligatedAmount,SubawardAmount,NumberOfActions,NumberOfContracts,IsInFSRS
2003,Defense,212043372134.1429,NULL,633951,454117,0
2010,State and IAP,12128970027.1375,NULL,209730,66193,0
2014,GSA,8196069996.9000,NULL,95759,101814,0
1994,Defense,117964116539.0000,NULL,237482,88584,0
1996,Defense,119666794871.0000,NULL,282646,96004,0
2012,State and IAP,10761029919.2178,NULL,87792,68325,0
2012,GSA,7860011167.9505,NULL,552701,522578,0
2005,Defense,270089176283.7665,NULL,3402952,1087464,0
2015,Defense,45305616993.3100,194524918443.5524,20118,7137,1
1998,Defense,118132963568.0000,NULL,277265,92112,0
2009,Energy,31615846148.1044,NULL,14919,8071,0
2009,DHS,13748148398.1839,NULL,84953,58925,0
2007,HHS,12171923267.4675,NULL,58860,43874,0
2010,Energy,25015476887.0618,NULL,15038,7561,0
2008,NASA,13841249953.2606,NULL,31757,15846,0
2008,Other Agencies,49608684446.1550,NULL,3388667,1584193,0
2008,DHS,13518038861.8204,NULL,81962,56858,0
2015,GSA,8425181813.2400,NULL,86716,89065,0
2010,Defense,2112111781.6741,8830551838.8817,646,486,1
2001,GSA,12612575854.0321,NULL,65948,51702,0
2012,GSA,667656302.6069,4872750307.5747,691,174,1
2011,Defense,16766329995.6724,333937619933.0203,10683,4842,1
2016,Defense,6371569.8744,NULL,111994,59,0
2000,GSA,10722488902.4572,NULL,63201,50311,0
2013,GSA,897779283.6500,8793626276.5686,812,211,1
1999,Defense,123322330794.0000,NULL,289362,92574,0
2016,State and IAP,200276.3810,NULL,13,8,0
2009,NASA,13913524993.0117,NULL,30954,14817,0
2006,HHS,10015636083.5862,NULL,69378,49052,0
2010,State and IAP,877653158.7266,213956566.9103,74,58,1
2009,Other Agencies,53647327119.7690,NULL,684677,523180,0
2011,State and IAP,971007605.3429,2336136407.3348,322,179,1
2007,NASA,12546190894.3988,NULL,26314,13449,0
2015,State and IAP,12598728183.0302,NULL,98337,82880,0
2016,GSA,4971.0000,NULL,5,17,0
2012,State and IAP,1191438285.9996,6312317140.5630,346,196,1
2011,GSA,506704089.4796,13903670442.3935,459,135,1
2010,GSA,90735176.5270,466199828.8596,22,11,1
2014,State and IAP,11867260596.2000,NULL,96820,81539,0
2000,State and IAP,1830464716.7212,NULL,6523,5350,0
2015,Defense,227228697693.1874,NULL,12841447,2254088,0
2013,Defense,46608090553.2800,477663640397.8809,23972,8071,1
2001,Defense,104504689180.2528,NULL,232180,165334,0
2007,Other Agencies,46377477913.2566,NULL,4378373,1409728,0
2009,HHS,16182116371.7959,NULL,57937,43060,0
