fiscal_year,PlatformPortfolio,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Ships & Submarines,Small,0,0,0,19,19,27,287271.0
2e3,Ships & Submarines,Small,0,0,1,88,88,117,3002118.0
2e3,Ships & Submarines,Small,0,1,1,1305,1355,8637,1954987105.0
2e3,Ships & Submarines,Large,0,0,1,1,1,1,204750.0
2e3,Ships & Submarines,Large,0,1,1,71,87,4978,9865716280.0
2e3,Ships & Submarines,Large,1,1,1,2,2,152,32319524.0
2e3,Ships & Submarines,Medium,0,0,1,8,8,9,213646.0
2e3,Ships & Submarines,Medium,0,1,1,143,148,2474,1512194207.0
2e3,Ships & Submarines,Medium,1,0,0,1,1,2,0.0
2e3,Ships & Submarines,Medium,1,0,1,8,8,11,320099.0
2e3,Ships & Submarines,Medium,1,1,1,108,110,461,131778831.0
2e3,Ships & Submarines,Medium,NULL,0,0,4,4,0,0.0
2e3,Ships & Submarines,NULL,NULL,NULL,NULL,2,2,7,342633.0
2e3,Space Systems,Small,0,1,1,174,176,555,254499314.0
2e3,Space Systems,Large,0,1,1,32,32,704,3527302973.0
2e3,Space Systems,Medium,0,1,1,25,26,86,529763731.0
2e3,Space Systems,Medium,1,1,1,4,4,5,1836157.0
2001.0,Aircraft,Small,0,0,0,20,20,30,-2414229.0
2001.0,Aircraft,Small,0,0,1,121,121,153,6553652.0
2001.0,Aircraft,Small,0,1,1,2720,2921,16360,5323114304.0
2001.0,Aircraft,Small,1,1,1,1,2,6,5933921.0
2001.0,Aircraft,Small,NULL,0,0,27,27,0,0.0
2001.0,Aircraft,Large,0,1,1,90,119,17569,42655816810.0
2001.0,Aircraft,Large,1,1,1,2,2,10,8390162.0
2001.0,Aircraft,Medium,0,0,1,12,12,12,939535.0
2001.0,Aircraft,Medium,0,1,1,290,312,1461,1025615688.0
2001.0,Aircraft,Medium,1,0,0,2,2,2,-566699.0
2001.0,Aircraft,Medium,1,0,1,10,10,17,2148807.0
2001.0,Aircraft,Medium,1,1,1,112,112,523,325373838.0
2001.0,Aircraft,NULL,NULL,NULL,NULL,2,2,11,3066276.0
2001.0,"Electronics, Comms, & Sensors",Small,0,0,0,51,51,75,-1226329.0
2001.0,"Electronics, Comms, & Sensors",Small,0,0,1,450,455,548,17000111.0
2001.0,"Electronics, Comms, & Sensors",Small,0,1,1,5055,5375,31549,8972271839.0
2001.0,"Electronics, Comms, & Sensors",Small,1,1,1,4,5,14,1000840.0
2001.0,"Electronics, Comms, & Sensors",Small,NULL,0,0,2,2,0,0.0
2001.0,"Electronics, Comms, & Sensors",Large,0,1,1,133,174,30600,19952858117.0
2001.0,"Electronics, Comms, & Sensors",Large,1,1,1,5,6,106,75943220.0
2001.0,"Electronics, Comms, & Sensors",Medium,0,0,0,11,11,44,-68929.0
2001.0,"Electronics, Comms, & Sensors",Medium,0,0,1,62,62,85,2176363.0
2001.0,"Electronics, Comms, & Sensors",Medium,0,1,1,706,763,3764,1755295013.0
2001.0,"Electronics, Comms, & Sensors",Medium,1,0,0,8,8,9,-471352.0
2001.0,"Electronics, Comms, & Sensors",Medium,1,0,1,49,49,55,2003226.0
2001.0,"Electronics, Comms, & Sensors",Medium,1,1,1,359,359,751,257065405.0
2001.0,"Electronics, Comms, & Sensors",Medium,NULL,0,1,1,1,1,10206.0
2001.0,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,3,3,15,1218750.0
2001.0,"Electronics, Comms, & Sensors",Unlabeled Vendor,NULL,1,1,1,1,1,58339.0
2001.0,Facilities and Construction,Small,0,0,0,439,439,956,-6594516.0
2001.0,Facilities and Construction,Small,0,0,1,1926,1931,4017,69305722.0
2001.0,Facilities and Construction,Small,0,1,1,9067,9434,71154,17039995237.0
2001.0,Facilities and Construction,Small,1,0,0,1,1,1,-33267.0
2001.0,Facilities and Construction,Small,1,1,1,7,7,91,9623714.0
2001.0,Facilities and Construction,Small,NULL,0,0,17,17,0,0.0
2001.0,Facilities and Construction,Small,NULL,1,1,5,5,0,0.0
2001.0,Facilities and Construction,Large,0,1,1,157,212,9316,4615377097.0
2001.0,Facilities and Construction,Large,1,1,1,10,13,1058,1010371451.0
2001.0,Facilities and Construction,Medium,0,0,0,53,53,149,-1990266.0
2001.0,Facilities and Construction,Medium,0,0,1,173,173,287,3024828.0
2001.0,Facilities and Construction,Medium,0,1,1,1779,1863,14663,6418175043.0
2001.0,Facilities and Construction,Medium,1,0,0,19,19,24,-1097885.0
2001.0,Facilities and Construction,Medium,1,0,1,149,149,173,6435776.0
2001.0,Facilities and Construction,Medium,1,1,1,1596,1610,7723,2819346214.0
2001.0,Facilities and Construction,Medium,NULL,0,0,8,8,0,0.0
2001.0,Facilities and Construction,Medium,NULL,0,1,1,1,1,8303.0
2001.0,Facilities and Construction,Medium,NULL,1,1,3,3,1,65596.0
2001.0,Facilities and Construction,NULL,NULL,NULL,NULL,1,1,2,88838.0
2001.0,Facilities and Construction,Unlabeled Vendor,NULL,1,1,1,1,1,105176.0
2001.0,Land Vehicles,Small,0,0,0,8,8,10,-13680.0
2001.0,Land Vehicles,Small,0,0,1,80,80,91,2942142.0
2001.0,Land Vehicles,Small,0,1,1,1054,1108,3662,1293566398.0
2001.0,Land Vehicles,Small,1,1,1,1,1,61,48774112.0
2001.0,Land Vehicles,Small,NULL,0,0,2,2,0,0.0
2001.0,Land Vehicles,Small,NULL,0,1,1,1,1,12772.0
2001.0,Land Vehicles,Large,0,1,1,47,55,1127,2677985415.0
2001.0,Land Vehicles,Large,1,1,1,3,3,7,12041344.0
2001.0,Land Vehicles,Medium,0,0,0,8,8,11,-142621.0
2001.0,Land Vehicles,Medium,0,0,1,9,9,11,407656.0
2001.0,Land Vehicles,Medium,0,1,1,123,126,425,582214971.0
2001.0,Land Vehicles,Medium,1,0,1,17,17,22,744963.0
2001.0,Land Vehicles,Medium,1,1,1,179,181,408,283461066.0
2001.0,Land Vehicles,Medium,NULL,0,0,4,4,0,0.0
2001.0,Missile Defense,Small,0,0,0,1,1,1,-43788.0
2001.0,Missile Defense,Small,0,1,1,58,59,264,245587031.0
2001.0,Missile Defense,Large,0,1,1,18,18,321,2424866136.0
2001.0,Missile Defense,Medium,0,1,1,11,11,56,39436157.0
2001.0,Missile Defense,Medium,1,1,1,1,1,12,4119554.0
2001.0,NULL,Small,0,0,1,1,1,1,11216.0
2001.0,NULL,Small,0,1,1,51,51,84,7497169.0
2001.0,NULL,Small,NULL,0,0,2,2,0,0.0
2001.0,NULL,Small,NULL,0,1,1,1,1,10794.0
2001.0,NULL,Small,NULL,1,1,3,3,3,8843.0
2001.0,NULL,Large,0,1,1,25,25,66,5507451.0
2001.0,NULL,Medium,0,0,0,1,1,1,0.0
2001.0,NULL,Medium,0,1,1,8,8,13,284895.0
2001.0,NULL,Medium,1,1,1,1,1,1,17264.0
2001.0,NULL,Medium,NULL,0,0,8,8,7,8516.0
2001.0,NULL,Medium,NULL,0,1,7,7,16,37665.0
2001.0,NULL,Medium,NULL,1,1,3,3,6,213244.0
2001.0,Ordnance and Missiles,Small,0,0,0,6,6,8,-375531.0
2001.0,Ordnance and Missiles,Small,0,0,1,41,41,47,1573356.0
2001.0,Ordnance and Missiles,Small,0,1,1,1081,1114,3224,1877010831.0
2001.0,Ordnance and Missiles,Small,NULL,0,0,1,1,0,0.0
2001.0,Ordnance and Missiles,Large,0,1,1,66,71,3774,11611471055.0
2001.0,Ordnance and Missiles,Medium,0,0,1,2,2,2,95120.0
2001.0,Ordnance and Missiles,Medium,0,1,1,133,139,896,1098792128.0
2001.0,Ordnance and Missiles,Medium,1,0,1,6,6,7,231496.0
2001.0,Ordnance and Missiles,Medium,1,1,1,68,68,102,71846687.0
2001.0,Ordnance and Missiles,NULL,NULL,NULL,NULL,2,2,17,30795714.0
2001.0,Other Products,Small,0,0,0,36,36,44,-3526731.0
2001.0,Other Products,Small,0,0,1,326,326,416,13795955.0
2001.0,Other Products,Small,0,1,1,2556,2720,14864,6122697146.0
2001.0,Other Products,Small,1,1,1,2,2,3,225945.0
2001.0,Other Products,Small,NULL,0,0,10,10,0,0.0
2001.0,Other Products,Small,NULL,0,1,1,1,1,14219.0
2001.0,Other Products,Small,NULL,1,1,1,1,0,0.0
2001.0,Other Products,Large,0,1,1,107,134,16421,5565543270.0
2001.0,Other Products,Large,1,1,1,7,7,17,510853951.0
2001.0,Other Products,Medium,0,0,0,5,5,6,-98245.0
2001.0,Other Products,Medium,0,0,1,48,48,57,2103148.0
2001.0,Other Products,Medium,0,1,1,488,508,3428,1445559345.0
2001.0,Other Products,Medium,1,0,0,1,1,2,0.0
2001.0,Other Products,Medium,1,0,1,36,36,41,1505324.0
2001.0,Other Products,Medium,1,1,1,238,238,552,482028741.0
2001.0,Other Products,Medium,NULL,0,0,6,6,0,0.0
2001.0,Other Products,Medium,NULL,1,1,1,1,1,29797.0
2001.0,Other Products,Unlabeled Vendor,NULL,1,1,1,1,31,14260403.0
2001.0,Other R&D and Knowledge Based,Small,0,0,0,80,80,118,590184.0
2001.0,Other R&D and Knowledge Based,Small,0,0,1,281,281,360,8546136.0
2001.0,Other R&D and Knowledge Based,Small,0,1,1,3640,3787,21926,7719758352.0
2001.0,Other R&D and Knowledge Based,Small,1,0,1,1,1,1,45152.0
2001.0,Other R&D and Knowledge Based,Small,1,1,1,4,4,14,3878359.0
2001.0,Other R&D and Knowledge Based,Small,NULL,0,0,3,3,0,0.0
2001.0,Other R&D and Knowledge Based,Large,0,1,1,124,137,12220,7038132571.0
2001.0,Other R&D and Knowledge Based,Large,1,1,1,4,4,6,15649791.0
2001.0,Other R&D and Knowledge Based,Medium,0,0,0,10,10,12,-173671.0
2001.0,Other R&D and Knowledge Based,Medium,0,0,1,72,72,84,2919761.0
2001.0,Other R&D and Knowledge Based,Medium,0,1,1,855,920,4932,2389632716.0
2001.0,Other R&D and Knowledge Based,Medium,1,0,0,4,4,7,-706366.0
2001.0,Other R&D and Knowledge Based,Medium,1,0,1,49,49,60,2030354.0
2001.0,Other R&D and Knowledge Based,Medium,1,1,1,297,298,877,163379260.0
2001.0,Other R&D and Knowledge Based,Medium,NULL,0,0,4,4,1,816828.0
2001.0,Other Services,Small,0,0,0,32,32,67,-126796.0
2001.0,Other Services,Small,0,0,1,170,170,230,6373653.0
2001.0,Other Services,Small,0,1,1,1708,1753,6159,2250627338.0
2001.0,Other Services,Small,1,1,1,1,1,3,2226360.0
2001.0,Other Services,Small,NULL,0,0,6,6,0,0.0
2001.0,Other Services,Small,NULL,1,1,1,1,0,0.0
2001.0,Other Services,Large,0,1,1,75,77,2615,4923058713.0
2001.0,Other Services,Large,1,1,1,2,2,5,1505446.0
2001.0,Other Services,Medium,0,0,0,13,13,23,-2805858.0
2001.0,Other Services,Medium,0,0,1,35,35,49,1445872.0
2001.0,Other Services,Medium,0,1,1,338,345,1619,2684684319.0
2001.0,Other Services,Medium,1,0,0,5,5,10,65183.0
2001.0,Other Services,Medium,1,0,1,35,35,44,1610709.0
2001.0,Other Services,Medium,1,1,1,378,378,891,396390213.0
2001.0,Other Services,Medium,NULL,0,0,4,4,0,0.0
2001.0,Other Services,Medium,NULL,1,1,1,1,1,207470.0
2001.0,Ships & Submarines,Small,0,0,0,5,5,8,75942.0
2001.0,Ships & Submarines,Small,0,0,1,100,100,141,3965246.0
2001.0,Ships & Submarines,Small,0,1,1,1327,1402,9447,2038253569.0
2001.0,Ships & Submarines,Small,1,1,1,1,1,1,115711.0
2001.0,Ships & Submarines,Small,NULL,0,0,1,1,0,0.0
2001.0,Ships & Submarines,Large,0,1,1,72,83,4793,6705796482.0
2001.0,Ships & Submarines,Large,1,1,1,3,3,183,46761331.0
2001.0,Ships & Submarines,Medium,0,0,0,2,2,2,-213594.0
2001.0,Ships & Submarines,Medium,0,0,1,9,9,12,386834.0
2001.0,Ships & Submarines,Medium,0,1,1,129,134,1084,8337987451.0
2001.0,Ships & Submarines,Medium,1,0,0,1,1,2,-69195.0
2001.0,Ships & Submarines,Medium,1,0,1,11,11,14,570134.0
2001.0,Ships & Submarines,Medium,1,1,1,107,109,483,140875673.0
2001.0,Ships & Submarines,Medium,NULL,0,0,1,1,0,0.0
2001.0,Ships & Submarines,Medium,NULL,1,1,2,2,0,0.0
2001.0,Ships & Submarines,NULL,NULL,NULL,NULL,2,2,5,116306.0
2001.0,Space Systems,Small,0,0,1,2,2,2,-143201.0
2001.0,Space Systems,Small,0,1,1,183,185,576,850753691.0
2001.0,Space Systems,Small,1,1,1,1,1,4,1366766.0
2001.0,Space Systems,Large,0,1,1,32,33,832,4538992926.0
2001.0,Space Systems,Medium,0,0,0,1,1,1,5258788.0
2001.0,Space Systems,Medium,0,1,1,29,31,113,90485645.0
2001.0,Space Systems,Medium,1,0,1,1,1,2,83451.0
2001.0,Space Systems,Medium,1,1,1,4,4,6,14006385.0
2002.0,Aircraft,Small,0,0,0,29,29,38,-354426.0
2002.0,Aircraft,Small,0,0,1,179,179,220,6245091.0
2002.0,Aircraft,Small,0,1,1,2909,3134,18886,5479657335.0
2002.0,Aircraft,Small,1,1,1,1,1,1,93715.0
2002.0,Aircraft,Small,NULL,0,0,21,21,0,0.0
2002.0,Aircraft,Small,NULL,0,1,1,1,0,0.0
2002.0,Aircraft,Small,NULL,1,1,6,6,0,0.0
2002.0,Aircraft,Large,0,1,1,88,132,20638,45532723408.0
2002.0,Aircraft,Large,1,1,1,3,4,23,3844914.0
2002.0,Aircraft,Medium,0,0,0,5,5,7,-110410.0
2002.0,Aircraft,Medium,0,0,1,13,13,16,30786.0
2002.0,Aircraft,Medium,0,1,1,236,247,1233,1142702613.0
2002.0,Aircraft,Medium,1,0,1,4,4,5,184265.0
2002.0,Aircraft,Medium,1,1,1,116,119,535,362814675.0
2002.0,Aircraft,Medium,NULL,0,0,4,4,0,0.0
2002.0,Aircraft,Medium,NULL,1,1,1,2,6,411852.0
2002.0,Aircraft,NULL,NULL,NULL,NULL,6,6,59,8862967.0
2002.0,"Electronics, Comms, & Sensors",Small,0,0,0,439,441,633,1013111.0
2002.0,"Electronics, Comms, & Sensors",Small,0,0,1,1296,1303,2128,33494613.0
2002.0,"Electronics, Comms, & Sensors",Small,0,1,1,6152,6621,48680,10595605353.0
2002.0,"Electronics, Comms, & Sensors",Small,1,1,1,3,3,5,524263.0
2002.0,"Electronics, Comms, & Sensors",Small,NULL,0,0,5,5,0,0.0
2002.0,"Electronics, Comms, & Sensors",Small,NULL,0,1,1,1,1,10238.0
2002.0,"Electronics, Comms, & Sensors",Small,NULL,1,1,1,1,0,0.0
2002.0,"Electronics, Comms, & Sensors",Large,0,1,1,132,207,42183,22880017750.0
2002.0,"Electronics, Comms, & Sensors",Large,1,1,1,3,9,394,112845717.0
2002.0,"Electronics, Comms, & Sensors",Medium,0,0,0,44,44,72,150486.0
2002.0,"Electronics, Comms, & Sensors",Medium,0,0,1,143,144,245,3521208.0
2002.0,"Electronics, Comms, & Sensors",Medium,0,1,1,612,647,3714,1254104695.0
2002.0,"Electronics, Comms, & Sensors",Medium,1,0,0,10,10,17,-22115.0
2002.0,"Electronics, Comms, & Sensors",Medium,1,0,1,78,78,107,2468742.0
2002.0,"Electronics, Comms, & Sensors",Medium,1,1,1,357,360,804,370900395.0
2002.0,"Electronics, Comms, & Sensors",Medium,NULL,0,0,1,1,0,0.0
2002.0,"Electronics, Comms, & Sensors",Medium,NULL,1,1,1,5,218,58480949.0
2002.0,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,8,8,35,2750158.0
2002.0,"Electronics, Comms, & Sensors",Unlabeled Vendor,NULL,1,1,1,1,4,1244261.0
2002.0,Facilities and Construction,Small,0,0,0,1441,1446,2864,-368836.0
2002.0,Facilities and Construction,Small,0,0,1,4237,4243,10518,103360933.0
2002.0,Facilities and Construction,Small,0,1,1,10406,10991,103104,19096190878.0
2002.0,Facilities and Construction,Small,1,0,0,1,1,1,4358.0
2002.0,Facilities and Construction,Small,1,0,1,1,1,11,23996.0
2002.0,Facilities and Construction,Small,1,1,1,4,4,8,6352944.0
2002.0,Facilities and Construction,Small,NULL,0,0,19,19,0,0.0
2002.0,Facilities and Construction,Small,NULL,0,1,1,1,2,45758.0
2002.0,Facilities and Construction,Small,NULL,1,1,6,6,0,0.0
2002.0,Facilities and Construction,Large,0,0,1,1,1,2,82199.0
2002.0,Facilities and Construction,Large,0,1,1,160,216,13793,5579316261.0
2002.0,Facilities and Construction,Large,1,1,1,11,17,729,662584399.0
2002.0,Facilities and Construction,Large,NULL,1,1,1,3,114,11131488.0
2002.0,Facilities and Construction,Medium,0,0,0,170,172,314,-952406.0
2002.0,Facilities and Construction,Medium,0,0,1,385,386,728,19735586.0
2002.0,Facilities and Construction,Medium,0,1,1,1879,1990,15644,7424751517.0
2002.0,Facilities and Construction,Medium,1,0,0,76,76,339,-4594056.0
2002.0,Facilities and Construction,Medium,1,0,1,255,255,858,9728830.0
2002.0,Facilities and Construction,Medium,1,1,1,1706,1715,12355,2496947227.0
2002.0,Facilities and Construction,Medium,NULL,0,0,19,19,1,4086.0
2002.0,Facilities and Construction,Medium,NULL,0,1,2,2,3,48265.0
2002.0,Facilities and Construction,Medium,NULL,1,1,4,10,46,16907150.0
2002.0,Facilities and Construction,NULL,NULL,NULL,NULL,4,4,71,19868306.0
2002.0,Facilities and Construction,Unlabeled Vendor,NULL,0,0,1,1,0,0.0
2002.0,Facilities and Construction,Unlabeled Vendor,NULL,1,1,1,1,8,645570.0
2002.0,Land Vehicles,Small,0,0,0,116,116,264,491408.0
2002.0,Land Vehicles,Small,0,0,1,338,338,1608,6724719.0
