fiscal_year,PlatformPortfolio,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2e3,Aircraft,Small,0,0,0,26,26,39,-5318104.0
2e3,Aircraft,Small,0,0,1,117,117,134,4095070.0
2e3,Aircraft,Small,0,1,1,2836,3026,16870,5707315814.0
2e3,Aircraft,Small,NULL,0,0,16,16,0,0.0
2e3,Aircraft,Large,0,1,1,96,134,19102,42431532974.0
2e3,Aircraft,Large,1,1,1,1,1,13,3622525.0
2e3,Aircraft,Medium,0,0,0,4,4,7,-1692046.0
2e3,Aircraft,Medium,0,0,1,10,10,13,136062.0
2e3,Aircraft,Medium,0,1,1,329,367,2090,1672236319.0
2e3,Aircraft,Medium,1,0,1,9,9,11,354243.0
2e3,Aircraft,Medium,1,1,1,142,147,632,338036943.0
2e3,Aircraft,Medium,NULL,0,0,2,2,0,0.0
2e3,Aircraft,Medium,NULL,1,1,1,1,0,0.0
2e3,Aircraft,NULL,NULL,NULL,NULL,5,5,22,11494608.0
2e3,Aircraft,Unlabeled Vendor,NULL,1,1,1,1,4,9470526.0
2e3,"Electronics, Comms, & Sensors",Small,0,0,0,24,24,33,-2097471.0
2e3,"Electronics, Comms, & Sensors",Small,0,0,1,325,325,363,14061971.0
2e3,"Electronics, Comms, & Sensors",Small,0,1,1,4846,5093,30830,9263772887.0
2e3,"Electronics, Comms, & Sensors",Small,1,1,1,2,2,5,802562.0
2e3,"Electronics, Comms, & Sensors",Small,NULL,1,1,1,1,0,0.0
2e3,"Electronics, Comms, & Sensors",Large,0,0,1,1,1,1,56602.0
2e3,"Electronics, Comms, & Sensors",Large,0,1,1,133,187,26833,18135739301.0
2e3,"Electronics, Comms, & Sensors",Large,1,1,1,3,3,43,445747788.0
2e3,"Electronics, Comms, & Sensors",Medium,0,0,0,7,7,18,-220558.0
2e3,"Electronics, Comms, & Sensors",Medium,0,0,1,62,62,68,2478353.0
2e3,"Electronics, Comms, & Sensors",Medium,0,1,1,705,733,2746,1049967428.0
2e3,"Electronics, Comms, & Sensors",Medium,1,0,0,1,1,1,44236.0
2e3,"Electronics, Comms, & Sensors",Medium,1,0,1,46,46,52,1733915.0
2e3,"Electronics, Comms, & Sensors",Medium,1,1,1,347,353,793,199841533.0
2e3,"Electronics, Comms, & Sensors",Medium,NULL,0,0,2,2,0,0.0
2e3,"Electronics, Comms, & Sensors",NULL,NULL,NULL,NULL,2,2,7,4986728.0
2e3,Facilities and Construction,Small,0,0,0,303,303,526,-1484892.0
2e3,Facilities and Construction,Small,0,0,1,1502,1503,3229,59991503.0
2e3,Facilities and Construction,Small,0,1,1,8796,9053,65992,15464487002.0
2e3,Facilities and Construction,Small,1,1,1,9,9,75,7902607.0
2e3,Facilities and Construction,Small,NULL,0,0,8,8,0,0.0
2e3,Facilities and Construction,Small,NULL,1,1,2,2,2,40625.0
2e3,Facilities and Construction,Large,0,0,1,3,6,61,15279938.0
2e3,Facilities and Construction,Large,0,1,1,146,211,8413,4155190310.0
2e3,Facilities and Construction,Large,1,1,1,8,10,1204,817459148.0
2e3,Facilities and Construction,Medium,0,0,0,40,40,92,-1754591.0
2e3,Facilities and Construction,Medium,0,0,1,168,170,249,5894848.0
2e3,Facilities and Construction,Medium,0,1,1,1789,1874,13980,6258138852.0
2e3,Facilities and Construction,Medium,1,0,0,18,18,30,-1466660.0
2e3,Facilities and Construction,Medium,1,0,1,147,147,164,5904197.0
2e3,Facilities and Construction,Medium,1,1,1,1626,1637,7167,2652560862.0
2e3,Facilities and Construction,Medium,NULL,0,0,14,14,1,0.0
2e3,Facilities and Construction,Medium,NULL,0,1,2,2,2,23664.0
2e3,Facilities and Construction,Medium,NULL,1,1,1,1,1,512301.0
2e3,Facilities and Construction,NULL,NULL,NULL,NULL,1,1,25,20745093.0
2e3,Facilities and Construction,Unlabeled Vendor,NULL,1,1,1,1,1,53849.0
2e3,Land Vehicles,Small,0,0,0,2,2,3,36574.0
2e3,Land Vehicles,Small,0,0,1,73,73,79,3324411.0
2e3,Land Vehicles,Small,0,1,1,948,978,3039,1690886784.0
2e3,Land Vehicles,Small,NULL,0,0,1,1,0,0.0
2e3,Land Vehicles,Large,0,1,1,46,53,717,2646791836.0
2e3,Land Vehicles,Large,1,1,1,1,1,1,53961.0
2e3,Land Vehicles,Medium,0,0,0,1,1,1,-38243.0
2e3,Land Vehicles,Medium,0,0,1,13,14,17,600971.0
2e3,Land Vehicles,Medium,0,1,1,126,129,541,344465195.0
2e3,Land Vehicles,Medium,1,0,0,2,2,2,-1747737.0
2e3,Land Vehicles,Medium,1,0,1,16,16,18,683343.0
2e3,Land Vehicles,Medium,1,1,1,183,185,406,120717930.0
2e3,Land Vehicles,Medium,NULL,0,0,4,4,0,0.0
2e3,Land Vehicles,Medium,NULL,0,1,2,2,15,305216.0
2e3,Missile Defense,Small,0,1,1,52,52,211,230251757.0
2e3,Missile Defense,Large,0,1,1,16,17,385,1135683992.0
2e3,Missile Defense,Medium,0,1,1,7,7,31,16493320.0
2e3,Missile Defense,Medium,1,1,1,2,2,10,5834588.0
2e3,NULL,Small,0,1,1,47,47,92,21302319.0
2e3,NULL,Small,NULL,1,1,1,1,1,28051.0
2e3,NULL,Large,0,1,1,23,23,108,23351275.0
2e3,NULL,Medium,0,0,0,1,1,1,-4961.0
2e3,NULL,Medium,0,1,1,7,7,22,-582446.0
2e3,NULL,Medium,NULL,0,0,6,6,55,14279.0
2e3,NULL,Medium,NULL,0,1,4,4,5,43588.0
2e3,Ordnance and Missiles,Small,0,0,0,1,1,2,-318832.0
2e3,Ordnance and Missiles,Small,0,0,1,28,28,28,859342.0
2e3,Ordnance and Missiles,Small,0,1,1,1005,1028,2782,1549637298.0
2e3,Ordnance and Missiles,Large,0,1,1,65,70,3899,12998414649.0
2e3,Ordnance and Missiles,Large,1,1,1,1,1,5,1604330.0
2e3,Ordnance and Missiles,Medium,0,0,1,2,2,1,35426.0
2e3,Ordnance and Missiles,Medium,0,1,1,122,125,715,604321853.0
2e3,Ordnance and Missiles,Medium,1,0,1,5,5,6,304795.0
2e3,Ordnance and Missiles,Medium,1,1,1,46,46,72,99775453.0
2e3,Ordnance and Missiles,NULL,NULL,NULL,NULL,2,2,19,38312908.0
2e3,Other Products,Small,0,0,0,18,18,27,-843384.0
2e3,Other Products,Small,0,0,1,222,222,266,5282352.0
2e3,Other Products,Small,0,1,1,2261,2409,16738,5266069270.0
2e3,Other Products,Small,1,0,1,1,1,1,42850.0
2e3,Other Products,Small,NULL,0,0,11,11,1,69931.0
2e3,Other Products,Large,0,0,1,2,4,15,1651389.0
2e3,Other Products,Large,0,1,1,105,123,8467,4040942351.0
2e3,Other Products,Large,1,1,1,7,7,15,405664250.0
2e3,Other Products,Medium,0,0,0,3,3,3,-94998.0
2e3,Other Products,Medium,0,0,1,50,51,54,2059742.0
2e3,Other Products,Medium,0,1,1,493,509,3125,1741764194.0
2e3,Other Products,Medium,1,0,1,37,37,39,1534921.0
2e3,Other Products,Medium,1,1,1,282,282,604,775430225.0
2e3,Other Products,Medium,NULL,0,0,8,8,0,0.0
2e3,Other Products,Medium,NULL,1,1,2,2,0,0.0
2e3,Other Products,NULL,NULL,NULL,NULL,2,2,3,319479.0
2e3,Other Products,Unlabeled Vendor,NULL,1,1,1,1,11,3077795.0
2e3,Other R&D and Knowledge Based,Small,0,0,0,19,19,25,-59032.0
2e3,Other R&D and Knowledge Based,Small,0,0,1,175,175,219,7786092.0
2e3,Other R&D and Knowledge Based,Small,0,1,1,3301,3396,21325,7309717761.0
2e3,Other R&D and Knowledge Based,Small,1,0,1,1,1,1,42504.0
2e3,Other R&D and Knowledge Based,Small,1,1,1,2,2,2,154115.0
2e3,Other R&D and Knowledge Based,Small,NULL,0,0,1,1,0,0.0
2e3,Other R&D and Knowledge Based,Small,NULL,0,1,1,1,1,10115.0
2e3,Other R&D and Knowledge Based,Small,NULL,1,1,2,2,0,0.0
2e3,Other R&D and Knowledge Based,Large,0,1,1,112,149,11530,7686093747.0
2e3,Other R&D and Knowledge Based,Large,1,0,1,1,1,1,39904.0
2e3,Other R&D and Knowledge Based,Large,1,1,1,4,4,6,724166.0
2e3,Other R&D and Knowledge Based,Medium,0,0,0,2,2,3,-46083.0
2e3,Other R&D and Knowledge Based,Medium,0,0,1,38,38,42,1591010.0
2e3,Other R&D and Knowledge Based,Medium,0,1,1,812,882,4545,2454435079.0
2e3,Other R&D and Knowledge Based,Medium,1,0,0,3,3,5,-362599.0
2e3,Other R&D and Knowledge Based,Medium,1,0,1,26,26,33,1068811.0
2e3,Other R&D and Knowledge Based,Medium,1,1,1,287,289,842,256687068.0
2e3,Other R&D and Knowledge Based,Medium,NULL,0,0,3,3,0,0.0
2e3,Other R&D and Knowledge Based,NULL,NULL,NULL,NULL,3,3,18,3667248.0
2e3,Other Services,Small,0,0,0,8,8,14,-510730.0
2e3,Other Services,Small,0,0,1,125,126,170,4897200.0
2e3,Other Services,Small,0,1,1,1615,1639,5519,2353668723.0
2e3,Other Services,Small,NULL,0,0,10,10,0,0.0
2e3,Other Services,Large,0,0,0,1,1,1,1239073.0
2e3,Other Services,Large,0,0,1,2,2,5,181740.0
2e3,Other Services,Large,0,1,1,80,81,3260,4753325970.0
2e3,Other Services,Large,1,1,1,1,1,1,40811.0
2e3,Other Services,Medium,0,0,0,5,5,7,-672899.0
2e3,Other Services,Medium,0,0,1,18,18,21,643146.0
2e3,Other Services,Medium,0,1,1,323,327,1345,1611665817.0
2e3,Other Services,Medium,1,0,0,3,3,5,-620538.0
2e3,Other Services,Medium,1,0,1,50,50,54,1994921.0
2e3,Other Services,Medium,1,1,1,376,377,944,485412423.0
2e3,Other Services,Medium,NULL,0,0,4,4,0,0.0
2e3,Other Services,Medium,NULL,0,1,1,1,1,8502.0
2e3,Other Services,NULL,NULL,NULL,NULL,1,1,4,7068899.0
