Customer,CSIScontractID,PrimeAwardPIID,PrimeAwardIDVPIID,PrimeAwardFederalAwardID,MinOfPrimeAwardDateSigned,MaxOfPrimeAwardDateSigned,SubawardAmount,PrimeFiscalYear
Defense,22287883,GFK1,SPM50002D0122,,5/3/2012,5/3/2012,33787.8281,2012
Defense,25881884,14,N6247311D3012,,11/29/2012,11/29/2012,3096867.5,2013
Defense,25855323,157,N0001911G0001,,10/31/2014,12/15/2014,201886.8008,2015
Defense,10026652,6Y03,FA664308D0003,,6/7/2012,8/27/2012,79926.8203,2012
Defense,4851326,SPM7L311M9875,,,9/28/2011,9/28/2011,43000,2011
Defense,27783051,W81XWH14F0219,GS35F5192G,,9/24/2014,9/24/2014,12663,2014
Defense,25666724,5,FA920012D0289,,7/25/2013,7/25/2013,62978.6406,2013
Defense,27496636,SPRPA114PZ005,,,1/20/2014,1/20/2014,356832,2014
Defense,28044767,E504,SPM2DV11D1022,,1/29/2014,1/29/2014,26520.88,2014
Defense,4850424,SPM7L311M7647,,,12/6/2010,6/14/2011,63750,2011
Defense,26043023,AA88,SPM2DV11D0708,,7/24/2013,7/24/2013,72245.5,2013
Defense,28429922,SPRMM114PPF32,,,2/14/2014,2/14/2014,16536,2014
Defense,24799654,11,W912DY10D0051,,10/4/2012,8/22/2013,1808979.356,2013
Defense,4300017,SPE4A412V2675,,,8/16/2012,8/16/2012,63757.2891,2012
Defense,27720931,FA480114F0072,GS07F0199U,,7/31/2014,7/31/2014,50089.5703,2014
Defense,24720232,6,W9126G08D0057,,11/23/2010,8/29/2011,13834097,2011
Defense,27769693,24,HC104714D0001,,1/22/2015,1/22/2015,85223,2015
Defense,26045172,BY54,SPM2DV11D1008,,5/2/2013,5/2/2013,95433.6719,2013
Defense,21461801,AL51,SPM2DV11D7002,,9/25/2012,9/25/2012,39493.4414,2012
Defense,18687360,4T37,N0002411G2121,,10/25/2012,10/25/2012,26401,2013
Defense,18663756,87,N0001911G0001,,5/22/2014,5/22/2014,481824,2014
Defense,25660023,SH01,FA805312D0041,,1/25/2013,1/25/2013,75584.8789,2013
Defense,25801573,798,H9225409D0001,,10/9/2013,7/18/2014,186676,2014
Defense,25262363,N6833513C0172,,,8/1/2013,8/1/2013,103112,2013
Defense,25729519,N6600113F7281,GS10F0587P,,7/24/2013,7/24/2013,124074.8828,2013
Defense,19207376,14,N6258309D0131,,11/5/2014,11/5/2014,18438,2015
Defense,27651182,38,H9222212D0020,,10/15/2013,10/15/2013,617430,2014
Defense,18172416,10,H9222210D0018,,2/1/2013,2/1/2013,106417.3984,2013
Defense,25461557,SPRMM113CPA76,,,12/4/2013,12/4/2013,707353.0035,2014
Defense,27835893,Z523,N0001914D0001,,11/21/2014,1/6/2015,1160366.566,2015
Defense,18853891,2,N0018912D0024,,9/19/2012,9/27/2012,12000000,2012
Defense,24581878,3,W5J9CQ11D0004,,8/31/2011,8/31/2011,1192320,2011
Defense,27841034,4,N0017813D2002,,5/6/2014,5/6/2014,371419.9688,2014
Defense,8076513,W911QX12C0084,,,3/25/2013,9/24/2013,650880,2013
Defense,18172381,5,H9222210D0016,,6/11/2010,6/11/2010,2500000,2010
Defense,9987599,5036,FA446010D0005,,12/29/2011,9/19/2012,251396.1406,2012
Defense,27678646,3,FA852813D0009,,10/28/2014,12/22/2014,102003.6094,2015
Defense,22348382,BKE3,SPM50004DBP10,,9/30/2010,9/30/2010,83989.6563,2010
Defense,26312905,647,W9124D08D0045,,10/1/2013,10/1/2013,166500,2014
Defense,27633076,F315,FA873214D0005,,9/26/2014,9/26/2014,76890.6094,2014
Defense,27601587,31,FA862011G4029,,12/11/2014,12/14/2014,149793.1562,2015
Defense,25666262,42,FA877111D1006,,10/31/2012,10/31/2012,60423.8398,2013
Defense,26380161,19,FA890308D8792,,5/8/2014,5/8/2014,91500,2014
Defense,24982512,2Y18,W91QUZ06D0019,,1/4/2013,1/4/2013,135280,2013
Defense,10075984,16,FA825110D0005,,4/26/2011,4/26/2011,164138,2011
Defense,25461153,SPRDL113C0154,,,8/26/2014,8/26/2014,46930,2014
Defense,19044137,3,N4008511D0300,,10/10/2012,9/6/2013,905883.7969,2013
Defense,26353744,N6945013C3087,,,10/21/2013,10/21/2013,198954,2014
Defense,10001434,5032,FA480910DC003,,12/23/2011,12/23/2011,176526.5313,2012
Defense,24526305,53,W31P4Q10D0092,,11/21/2012,11/21/2012,88050,2013
Defense,25380698,SPM5E713M3717,,,6/3/2013,6/3/2013,42800,2013
Defense,27504643,W912P814C0023,,,3/31/2014,9/30/2014,4318679.535,2014
Defense,10093085,1217,FA862011G4026,,2/1/2013,8/2/2013,1772978.803,2013
Defense,27784139,33,H9222211D0008,,6/5/2014,9/18/2014,494807.6446,2014
Defense,27975559,A135,SPM2DV11D0604,,5/7/2014,5/7/2014,44730.9702,2014
Defense,28514162,G110,SPM2DV11D0200,,10/10/2013,10/10/2013,27549.9593,2014
Defense,22287623,FVA3,SPM50002D0122,,10/27/2011,10/27/2011,116450,2012
Defense,24601246,9N03,W90FYQ09D0001,,1/6/2005,1/6/2005,54300,2005
Defense,7977749,W56HZV12C0198,,,10/28/2013,3/18/2014,842447.461,2014
Defense,25879001,3,N4523A12D0011,,7/19/2013,7/19/2013,1244579.5,2013
Defense,18199801,VC12,HC102808D2025,,6/13/2014,9/19/2014,690501.8125,2014
Defense,18883768,27,N0025311D0003,,9/27/2012,9/27/2012,117709.2031,2012
Defense,24816388,108,W912HN07D0019,,7/29/2011,7/29/2011,70407,2011
Defense,4847698,SPM7L311C0051,,,12/17/2010,12/17/2010,411700,2011
Defense,25397452,SPM7L313M0794,,,11/28/2012,11/28/2012,190025,2013
Defense,18175256,639,H9225409D0001,,11/14/2012,11/14/2012,41265,2013
Defense,28535930,2,SPRPA111G001X,,7/23/2014,8/6/2014,130688,2014
Defense,10104212,R218,FA877104D0003,,10/17/2011,10/17/2011,43499,2012
Defense,25800875,ZL55,H9222210D0018,,8/1/2013,8/1/2013,1102615.75,2013
Defense,24504133,430,W15P7T07DH001,,7/26/2012,7/26/2012,37492.7188,2012
Defense,7936868,W31P4Q12C0019,,,11/1/2013,5/6/2014,221233.7735,2014
Defense,19180497,18,N6247309D2613,,10/5/2010,4/1/2011,1020605,2011
Defense,24731890,362,W9127810D0043,,2/7/2012,2/7/2012,44296,2012
Defense,19181712,10,N6247310D0809,,11/1/2011,9/28/2012,1864343,2012
Defense,25439237,SPM7MC13C0011,,,5/8/2013,5/8/2013,42320,2013
Defense,24503539,125,W15P7T06DT206,,11/21/2012,11/21/2012,26370,2013
Defense,27719786,W91SMC14F0015,GS07F0082J,,6/10/2014,6/10/2014,30751.3906,2014
Defense,10001517,5005,FA480911DC007,,7/31/2012,8/13/2012,207766,2012
Defense,27406120,SPE7M514V1473,,,12/19/2013,12/19/2013,66796.7969,2014
Defense,22417419,HSD4,SPM50005DBP06,,9/4/2010,9/4/2010,35901.1602,2010
Defense,26168299,NXB6,SPM50005DBP06,,4/9/2013,4/9/2013,68911,2013
Defense,4847770,SPM7L311C0138,,,10/11/2010,10/11/2010,896750,2011
Defense,24718742,23,W9126G07D0018,,4/18/2011,8/29/2011,389179.1231,2011
Defense,8239902,W9126G12C0106,,,10/19/2012,1/30/2013,1683465,2013
Defense,24631603,51,W911RX12D0003,,9/10/2012,9/10/2012,43700,2012
Defense,7880420,W15P7T11CH263,,,8/9/2010,8/9/2010,3855011,2010
Defense,28105223,F916,SPM2DV11D8003,,2/20/2014,2/20/2014,31810.7297,2014
Defense,19456822,6,N6945008D1283,,9/21/2011,9/27/2011,782890,2011
Defense,24895965,19,W9132V06D0005,,10/27/2010,5/25/2011,381951,2011
Defense,26206989,GB86,SPRPA111G001Y,,11/14/2013,11/14/2013,127980,2014
Defense,19011576,1042,N4008008D0305,,4/4/2011,9/6/2011,130356.8828,2011
Defense,28208947,11,W912DQ13D1004,,10/6/2014,10/6/2014,200918,2015
Defense,62631591,SPE7M515M1664,,,11/18/2014,11/18/2014,103635,2015
Defense,18883750,9,N0025311D0003,,10/22/2012,10/22/2012,59518.8008,2013
Defense,20440894,476,SP070003D1380,,11/5/2012,11/5/2012,1568694,2013
Defense,21464318,AL42,SPM2DV11D9200,,9/14/2012,9/14/2012,47819.75,2012
Defense,18851462,206,N0018910DZ009,,10/1/2011,10/1/2011,37306.5,2012
Defense,26398307,HQ051613F0065,NNG07DA18B,,9/25/2013,9/25/2013,21445.5,2013
Defense,26326444,54,W912P809D0014,,12/23/2013,12/23/2013,148967.6544,2014
Defense,28043275,EN31,SPM2DV11D1008,,3/18/2014,3/18/2014,26848.1401,2014
Defense,4868085,SPM7L411V3917,,,8/14/2008,8/14/2008,38516.5586,2008
Defense,17835445,N6308211F0018,GS35F0783M,,6/6/2011,6/6/2011,51809.3203,2011
Defense,27623820,258,FA480110D0001,,7/21/2014,7/21/2014,136950.0313,2014
Defense,27165879,N0001914C0067,,,9/25/2014,9/26/2014,8094891,2014
Defense,24502171,46,W15P7T06DE401,,1/20/2010,8/26/2010,15950000,2010
Defense,5163034,SPM7MC11M2585,,,4/22/2010,4/22/2010,110867,2010
Defense,27705119,JZYV,N0001911G0001,,1/18/2015,1/18/2015,85866,2015
Defense,26392584,16,N0018910DZ026,,12/13/2010,12/13/2010,111602.3984,2011
Defense,9989759,119,FA449708D0005,,12/2/2012,12/2/2012,64300,2013
Defense,27993151,F518,SPM2DV11D7001,,7/23/2014,7/23/2014,36547.3107,2014
Defense,8239399,W9126G11C0053,,,11/19/2012,9/4/2013,85329892,2013
Defense,25044216,16,W91WAW08D0014,,5/14/2013,5/15/2013,2654097.469,2013
Defense,8051705,W911KB11C0009,,,6/30/2011,9/6/2011,11669051,2011
Defense,19207276,17,N6258309D0129,,2/16/2012,8/23/2012,358140,2012
Defense,19044601,2,N4008511D6632,,6/5/2012,6/5/2012,409170,2012
Defense,22417987,JJM9,SPM50005DBP06,,12/6/2010,12/6/2010,25696.1992,2011
Defense,27784105,85,N0003911D0030,,2/7/2014,2/7/2014,26330.1895,2014
Defense,19011840,2051,N4008008D0305,,4/25/2012,4/25/2012,25573,2012
Defense,21379168,Y216,SPM20005D6552,,7/19/2011,7/19/2011,153171.9688,2011
Defense,22286867,EYR5,SPM50002D0122,,9/30/2010,9/30/2010,555798.375,2010
Defense,27830827,73,N0001912G0006,,10/3/2014,12/19/2014,644170,2015
Defense,19012294,476,N4008008D0306,,5/12/2011,5/12/2011,749100,2011
Defense,26045683,CU08,SPM2DV11D1008,,8/7/2013,8/7/2013,30104.2001,2013
Defense,22287043,FCR4,SPM50002D0122,,12/10/2010,12/10/2010,169635.3125,2011
Defense,17837210,HC102811F0672,GS35F0785J,,7/24/2013,9/30/2013,617931.2633,2013
Defense,8405427,W912LA12C0007,,,11/16/2012,12/12/2012,15877400,2013
Defense,28489847,5,N6523613D4867,,9/19/2014,9/25/2014,838561.2969,2014
Defense,18493868,3,HT940211D0001,,10/1/2011,12/30/2011,611701,2012
Defense,21460401,A009,SPM2DV11D2011,,6/22/2012,6/22/2012,27349.3008,2012
Defense,21379269,Y398,SPM20005D6552,,7/20/2011,7/20/2011,129095.7109,2011
Defense,20433387,736,SP070000D3180,,5/9/2014,8/5/2014,3317917.406,2014
Defense,24797729,12,W912DY08D0024,,7/12/2011,7/12/2011,44660.4805,2011
Defense,22348649,BNY7,SPM50004DBP10,,9/30/2011,9/30/2011,81431,2011
Defense,28031517,H149,SPM2DV11D0200,,2/3/2014,2/3/2014,36500.4499,2014
Defense,25147338,FA461013C0008,,,7/30/2013,8/15/2013,81724,2013
Defense,2362397,HR001112C0014,,,12/20/2012,8/28/2013,3333570,2013
Defense,18793955,1,N0017312D2015,,12/5/2014,12/5/2014,85414,2015
Defense,4553143,SPM4A711C0546,,,6/5/2012,6/5/2012,273000,2012
Defense,19343592,12,N6523612D4120,,9/24/2012,9/24/2012,174330,2012
Defense,26042859,AV70,SPM2DV11D0704,,7/16/2013,7/16/2013,27296.4492,2013
Defense,27993169,FD37,SPM2DV11D7001,,8/20/2014,8/20/2014,36769.8797,2014
Defense,22418937,LBU9,SPM50005DBP06,,8/9/2011,8/9/2011,80633.7734,2011
Defense,18201760,347,HC104705D4002,,8/31/2012,9/4/2012,330077,2012
Defense,24826878,905,W912HZ09D0003,,8/3/2011,8/3/2011,94167.9609,2011
Defense,25230276,N0010413PQA70,,,8/21/2013,8/21/2013,59055,2013
Defense,27768640,399,HC104705D4002,,12/5/2013,12/5/2013,143548,2014
Defense,9970918,TG01,FA300208D0012,,11/5/2012,4/2/2013,272748,2013
Defense,18201730,317,HC104705D4002,,11/3/2011,11/3/2011,25505,2012
Defense,27861411,130,N4008014D0352,,10/7/2014,10/7/2014,83826.8203,2015
Defense,4479018,SPM4A611MMB36,,,6/22/2011,6/22/2011,28168,2011
Defense,28551851,56,W912DW11D1001,,10/15/2014,10/15/2014,63000,2015
Defense,19044336,6,N4008511D3030,,8/18/2011,8/18/2011,42493,2011
Defense,28284999,3,W9123613D0052,,5/28/2014,5/28/2014,80364,2014
Defense,19343578,9,N6523612D4119,,10/16/2012,10/16/2012,53243.2813,2013
Defense,24983474,2F03,W91QUZ07D0001,,9/16/2011,9/16/2011,1360080,2011
Defense,8348587,W912HQ11C0067,,,8/23/2011,8/23/2011,481706,2011
Defense,22417880,JFX7,SPM50005DBP06,,9/30/2010,9/30/2010,64125,2010
Defense,4871715,SPM7L412V3318,,,1/11/2012,1/11/2012,67714.9531,2012
Defense,26361827,SPE7MC13M1878,,,10/1/2013,10/1/2013,48904.3594,2014
Defense,24720991,12,W9126G09D0034,,10/4/2012,8/9/2013,5780232,2013
Defense,26362065,SPE7MC13V2238,,,9/24/2013,9/24/2013,51210.6016,2013
Defense,2166038,HDTRA111C0008,,,6/6/2011,6/6/2011,120000,2011
Defense,28280114,KZ26,W15P7T12DM603,,9/9/2014,9/9/2014,78420,2014
Defense,26432246,DQ01,W9127811D0073,,10/1/2013,7/3/2014,15118198,2014
Defense,28272491,4,W9127810D0025,,12/18/2014,12/18/2014,37950,2015
Defense,24732232,103,W9127810D0044,,4/13/2011,4/13/2011,495030,2011
Defense,24733504,8,W9127811D0034,,5/16/2012,5/16/2012,644096.5,2012
Defense,26377280,6,FA461013D0008,,10/2/2013,10/2/2013,76559.6719,2014
Defense,24982637,BA01,W91QUZ06D0024,,10/17/2014,1/22/2015,175624.125,2015
Defense,1215588,FA252111C0026,,,3/9/2012,4/10/2012,99924,2012
Defense,27259243,SPE4A414VL922,,,8/26/2014,8/26/2014,66440,2014
Defense,26377080,135,FA447910D0003,,11/22/2013,1/15/2014,60004,2014
Defense,26065240,BN38,SPM2DV11D9001,,1/10/2013,1/10/2013,30459.4902,2013
Defense,26434327,14,W912HN12D0030,,10/23/2013,12/31/2013,1100204.969,2014
Defense,19532409,HQ051612F0132,NNG07DA18B,,9/11/2012,9/11/2012,90859.7422,2012
Defense,27525004,W81XWH14C0021,,,12/20/2013,12/20/2013,200000,2014
Defense,9987597,5034,FA446010D0005,,11/21/2011,1/25/2012,20040,2012
Defense,26045274,C350,SPM2DV11D1008,,5/20/2013,5/20/2013,29780.1399,2013
Defense,4413276,SPM4A511MD740,,,4/15/2011,4/15/2011,29172,2011
Defense,19011522,955,N4008008D0305,,10/13/2011,2/3/2012,168017,2012
Defense,4996307,SPM7M211M5323,,,9/21/2011,9/21/2011,103566,2011
Defense,26301302,3,W56HZV13D0008,,12/3/2012,5/22/2013,10782506.55,2013
Defense,18090501,HC102811F0224,GS35F5192G,,3/15/2011,3/15/2011,229930,2011
Defense,2166146,HDTRA112C0002,,,4/28/2014,4/28/2014,130480,2014
Defense,1422190,FA865012C7200,,,11/5/2013,4/8/2014,2456895,2014
Defense,19354177,4,N6554012D0007,,10/31/2013,9/5/2014,2051873.875,2014
Defense,24983735,4,W91QUZ07D0005,,10/2/2013,9/19/2014,154534889,2014
Defense,18787291,1,N0016411GWT04,,10/18/2011,10/31/2011,14122079.92,2012
Defense,61042975,4008,N0001914G0019,,12/19/2014,12/19/2014,2268723,2015
Defense,1421598,FA865011C6158,,,10/3/2013,10/3/2013,1498784,2014
Defense,25666725,6,FA920012D0289,,9/23/2013,9/23/2013,51143.3398,2013
Defense,18201679,266,HC104705D4002,,3/5/2013,3/11/2013,187475,2013
Defense,18172676,2,H9222211D0002,,10/15/2014,1/8/2015,1339710.566,2015
Defense,25463194,SPRMM113PWF83,,,5/15/2013,5/15/2013,28057.5,2013
Defense,2166148,HDTRA112C0004,,,6/19/2012,8/24/2012,62380.8008,2012
Defense,10395170,M6785412F4911,GS00Q09BGD0048,,3/6/2012,3/8/2012,1474302.158,2012
Defense,4629911,SPM5A412M1683,,,2/7/2012,2/7/2012,42350,2012
Defense,1433245,FA890310C8112,,,12/3/2010,1/24/2011,350459,2011
Defense,25325392,SPE4A613M6095,,,1/11/2013,1/11/2013,60360,2013
Defense,24802903,9,W912EK10D0002,,9/26/2012,9/26/2012,25600,2012
Defense,22419165,LJT2,SPM50005DBP06,,9/20/2011,9/20/2011,53550,2011
Defense,7977672,W56HZV12C0056,,,2/20/2012,2/20/2012,50000,2012
Defense,26428870,19,W5J9CQ12D0004,,10/15/2013,9/25/2014,2039770.548,2014
Defense,21457405,AU11,SPM2DV11D0600,,9/17/2012,9/17/2012,76385.56,2012
Defense,26064381,E592,SPM2DV11D8202,,8/22/2013,8/22/2013,35343.5997,2013
Defense,19181710,8,N6247310D0809,,5/6/2013,6/5/2013,538864.6563,2013
Defense,25555101,W56HZV13C0103,,,1/16/2013,7/31/2013,3683688.068,2013
Defense,3542142,N6600112C4050,,,11/7/2014,11/7/2014,19995,2015
Defense,25374292,SPM3SE13M0587,,,1/23/2013,1/23/2013,49135.9219,2013
Defense,28132992,1,W9127814D0069,,10/27/2014,11/24/2014,400211,2015
Defense,25463822,SPRMM113PYE73,,,3/28/2013,3/28/2013,75400,2013
Defense,8190166,W9124C12C0009,,,10/8/2012,10/8/2012,7311.8901,2013
Defense,18172676,2,H9222211D0002,,10/10/2011,10/10/2011,183724,2012
Defense,61826714,FA870215C0001,,,10/1/2014,12/30/2014,2092419.691,2015
Defense,26429566,14,W911QX10D0004,,4/8/2014,4/8/2014,500000,2014
Defense,25564444,W911SA13C0010,,,12/19/2012,12/19/2012,306327,2013
Defense,25224508,N0001913C0017,,,7/29/2013,7/29/2013,1393540,2013
Defense,10357347,W912BU12F0038,GS00F0032M,,7/2/2012,7/2/2012,37749.2813,2012
Defense,26429309,10,W9113M07D0009,,11/5/2013,11/5/2013,2089804,2014
Defense,28247850,17,W58RGZ13D0048,,1/28/2015,1/28/2015,47227.1992,2015
Defense,8346119,W912HN10C0054,,,8/23/2010,9/29/2010,93253772,2010
Defense,3164263,N0018910CZ079,,,2/20/2013,2/20/2013,32175,2013
Defense,10000638,6,FA480309D0010,,3/8/2011,4/12/2011,99318.5,2011
Defense,20440902,484,SP070003D1380,,3/11/2013,3/11/2013,2446084,2013
Defense,9988013,85,FA447910D0003,,11/19/2012,2/1/2013,339347.1094,2013
Defense,26434400,24,W912HP12D0003,,5/12/2014,5/14/2014,163097,2014
Defense,25872311,17,N4002508D8003,,2/28/2013,2/28/2013,39795,2013
Defense,18655783,1,N0001411D0370,,8/11/2011,8/11/2011,45710,2011
Defense,22418843,KWN2,SPM50005DBP06,,7/18/2011,7/18/2011,49480.5195,2011
Defense,4872509,SPM7L412V5310,,,12/5/2008,12/5/2008,25436.0293,2009
Defense,21306087,QJ37,SPM20005D6220,,8/6/2011,8/6/2011,75562.002,2011
Defense,28518105,G657,SPM2DV11D8202,,3/24/2014,3/24/2014,39672.36,2014
Defense,7880301,W15P7T11CA021,,,6/8/2011,6/8/2011,99420,2011
Defense,21372540,AZ18,SPM20005D6552,,4/11/2012,4/11/2012,25597.6203,2012
Defense,22417488,HTN4,SPM50005DBP06,,9/21/2010,9/21/2010,55174.3203,2010
Defense,9373044,197,DAHA9201D0008,,2/21/2013,2/21/2013,93020,2013
Defense,24526274,21,W31P4Q10D0092,,1/23/2014,7/29/2014,2510059.188,2014
Defense,5174126,SPM7MC12V0660,,,10/26/2011,10/26/2011,56901.0195,2012
Defense,9970991,CT03,FA300208D0016,,1/13/2012,1/13/2012,591279,2012
Defense,28455735,66,FA252113D0005,,7/25/2014,7/25/2014,37308.5586,2014
Defense,26398315,N0017813F1011,NNG07DA18B,,9/27/2013,9/27/2013,246890,2013
Defense,28032509,B513,SPM2DV11D0700,,3/12/2014,3/13/2014,31461.8401,2014
Defense,19012336,518,N4008008D0306,,8/5/2011,8/5/2011,71874,2011
Defense,24818717,3,W912HN11D0043,,10/10/2012,10/10/2012,115000,2013
Defense,28060636,BU99,SPM2DV11D6500,,2/21/2014,2/21/2014,25062.8008,2014
Defense,26379165,260,FA860111D0009,,11/7/2013,11/18/2013,211845,2014
Defense,8405615,W912LA12P7039,,,10/1/2012,10/1/2012,25731.1992,2013
Defense,9216458,2267,DABJ0103D0009,,10/18/2011,10/26/2011,289491.4375,2012
Defense,5226805,SPM8ED11M0735,,,12/28/2010,12/28/2010,43420,2011
Defense,27401148,SPRMM114PWE86,,,3/20/2014,3/20/2014,25895.4004,2014
Defense,2970555,N0003912C0084,,,3/14/2014,3/14/2014,89170,2014
Defense,10105480,V7AM,FA877104D0003,,6/8/2012,6/8/2012,751900,2012
Defense,4852834,SPM7L312M2849,,,4/20/2012,4/20/2012,105100,2012
Defense,2961733,N0001912C0061,,,12/10/2012,7/15/2013,2945286.938,2013
Defense,19011755,1232,N4008008D0305,,2/28/2012,2/28/2012,87304.8594,2012
Defense,10097325,4,FA865012D1344,,12/19/2013,12/19/2013,102501,2014
Defense,24506292,2T01,W15P7T10DD415,,11/1/2011,9/1/2012,42698017.84,2012
Defense,10077547,5339,FA850106D0004,,3/2/2011,3/2/2011,58866,2011
Defense,19172457,38,N6247306D1065,,10/18/2011,10/18/2011,37350,2012
Defense,1423338,FA865112C0075,,,2/22/2012,2/22/2012,252520,2012
Defense,19215970,22,N6264508A0016,,9/23/2011,9/23/2011,49871.2305,2011
Defense,25449215,SPM8E813V0382,,,2/21/2013,2/21/2013,26686.8008,2013
Defense,62702520,SPRAL115C0004,,,12/11/2014,1/8/2015,81554,2015
Defense,26397116,46,N6523612D4120,,10/10/2013,12/6/2013,3174738,2014
Defense,28142553,156,W912P809D0014,,5/30/2014,5/30/2014,212823.0508,2014
Defense,26309094,29,W911S011D0038,,11/4/2014,11/4/2014,475012.375,2015
Defense,27123320,N0042114C0038,,,10/9/2014,2/18/2015,17601035.2,2015
Defense,27494742,SPRMM114PWC14,,,2/20/2014,2/20/2014,50385,2014
Defense,19178895,109,N6247308D8603,,5/24/2013,9/26/2013,520685.9766,2013
Defense,18633066,3,M6785411D5028,,10/30/2012,2/7/2013,3616045.793,2013
Defense,25827828,2,HQ003413A0002,,7/22/2013,7/22/2013,2353401.5,2013
Defense,10076003,35,FA825110D0005,,11/23/2011,6/19/2012,233109,2012
Defense,27349294,SPE7M314V1291,,,11/20/2013,11/20/2013,47553.8008,2014
Defense,1426893,FA875012C0317,,,9/12/2012,9/12/2012,6174412,2012
Defense,28488058,23,N4008511D6632,,3/20/2014,3/20/2014,56615,2014
Defense,24506153,2,W15P7T10DA804,,11/3/2011,9/11/2012,8987344.953,2012
Defense,1426856,FA875012C0262,,,3/25/2014,4/11/2014,464316.6523,2014
Defense,26046595,E269,SPM2DV11D1022,,4/29/2013,4/29/2013,30456.7702,2013
Defense,24744949,15,W9128Z11D0007,,11/15/2012,8/16/2013,3042590.209,2013
Defense,2142073,H9821010C0011,,,11/3/2014,11/13/2014,1507778,2015
Defense,24595487,14,W81XWH08D0023,,10/5/2012,10/5/2012,524580,2013
Defense,18680038,754,N0002402D6604,,10/20/2011,10/20/2011,25000,2012
Defense,26397155,14,N6523612D4132,,10/1/2013,10/3/2013,66002.1016,2014
Defense,28052181,EE75,SPM2DV11D7001,,4/16/2014,4/16/2014,31686.4999,2014
Defense,2347771,HQ003412P0236,,,9/26/2012,9/26/2012,55613.7891,2012
Defense,27326980,SPE4A614VN807,,,10/1/2014,10/1/2014,27856,2015
Defense,20433366,715,SP070000D3180,,10/14/2013,10/14/2013,2906268,2014
Defense,26301304,5,W56HZV13D0008,,9/7/2011,9/7/2011,86000,2011
Defense,24609764,45,W911KB06D0006,,12/20/2011,7/12/2012,1743124.625,2012
Defense,20450827,239,SP070099D0301,,6/30/2014,6/30/2014,763414.5625,2014
Defense,28106617,9932,SPRPA109G004Y,,12/15/2014,12/15/2014,57657.6016,2015
