Customer,CSIScontractID,PrimeAwardPIID,PrimeAwardIDVPIID,PrimeAwardFederalAwardID,MinOfPrimeAwardDateSigned,MaxOfPrimeAwardDateSigned,SubawardAmount,PrimeFiscalYear
Defense,25448556,SPM8E713V0003,,,10/4/2012,10/4/2012,52399.75,2013
Defense,27619745,9,FA150010D0004,,7/31/2014,7/31/2014,4672546,2014
Defense,27875643,76,N6523612D4120,,7/23/2014,7/23/2014,187849,2014
Defense,28033614,EH25,SPM2DV11D1001,,3/4/2014,3/4/2014,30281.8496,2014
Defense,28002779,E516,SPM2DV11D1022,,2/12/2013,2/12/2013,340.28,2013
Defense,27806529,48,N4008014D0353,,10/3/2014,2/3/2015,407917.5,2015
Defense,24731556,66,W9127810D0042,,10/11/2012,11/2/2012,356826,2013
Defense,19179491,5,N6247308G0601,,11/1/2012,7/25/2013,904814,2013
Defense,26427612,BD27,W15P7T06DE402,,2/10/2014,3/11/2014,908935.8594,2014
Defense,3540716,N6600111C4003,,,10/16/2012,3/7/2013,359674.873,2013
Defense,24506154,3,W15P7T10DA804,,11/9/2011,8/9/2012,8520286.172,2012
Defense,8354290,W912HZ11C0035,,,2/11/2011,9/30/2011,134559021.1,2011
Defense,17713188,N0010411FQB44,GS35F0330J,,3/30/2011,3/30/2011,184265.6094,2011
Defense,24822865,251,W912HZ05D0013,,8/11/2011,8/11/2011,229943,2011
Defense,26411851,E997,SPM2DV11D8202,,9/11/2013,9/11/2013,83220.3004,2013
Defense,26409600,AR67,SPM2DV11D0703,,9/27/2013,9/27/2013,262727.8438,2013
Defense,24700483,476,W9124D08D0045,,8/15/2011,8/15/2011,597068.6309,2011
Defense,2362311,HR001111C0060,,,3/1/2013,3/1/2013,814834,2013
Defense,3634348,N6945012C0060,,,6/6/2012,7/5/2012,674097,2012
Defense,25872331,36,N4002508D8006,,4/1/2013,8/28/2013,761645.9454,2013
Defense,5105438,SPM7M811M3423,,,5/11/2011,5/11/2011,125019.8984,2011
Defense,28099755,FQ68,SPM2DV11D9200,,5/12/2014,5/12/2014,57209.9298,2014
Defense,28252494,38,W911SA11D0005,,8/22/2014,8/22/2014,32298.4004,2014
Defense,26039940,C665,SPM2DV11D0200,,3/20/2013,3/20/2013,33535.1202,2013
Defense,25663308,1006,FA852711D0011,,11/3/2014,11/3/2014,107238,2015
Defense,19532015,FA251712F6017,NNG07DA18B,,2/3/2012,2/3/2012,440532.375,2012
Defense,24778153,2,W912DQ11D3006,,3/28/2014,8/14/2014,33242,2014
Defense,60528616,106,N0003911D0030,,12/12/2014,12/12/2014,50281.8086,2015
Defense,25390873,SPM7L213C0042,,,4/30/2013,4/30/2013,375249,2013
Defense,60673411,354,W9124D11D0036,,10/20/2014,10/20/2014,183600,2015
Defense,24504053,343,W15P7T07DH001,,10/12/2010,10/12/2010,353645,2011
Defense,10358354,HS002112F0122,GS00F0039N,,4/16/2012,4/16/2012,270000,2012
Defense,21379695,Z577,SPM20005D6552,,8/18/2011,8/18/2011,32612.1201,2011
Defense,18803135,EX01,N0017805D4626,,10/1/2010,10/1/2010,1346779.625,2011
Defense,14362282,FA483012F0008,GS07F5965P,,4/16/2012,4/16/2012,51999.8984,2012
