numberofoffersreceived	statutoryexceptiontofairopportunity	extentcompeted	tcount	obligatedamount
20		D	278	77700609.8661
99		D	108	14620520.2188
5	MG	F	1	2500.0000
0	FOO	G	1	-3000.0000
1	URG	A	3753	593056088.0475
14		A	317	80222980.4819
73		A	7	307082.4004
80		D	31	1713575.6330
22	CSA	D	177	300285416.2181
20	FAIR	D	439	57859753.2828
58	FAIR	A	87	4326508.0000
3	FAIR	B	31	12883323.7892
131		F	57	184400.0000
159		D	1	0.0000
38	CSA	A	3	4229489.3242
36	FAIR	A	10	65805.8207
1	ONE	A	31180	5152921986.1231
133	FOO	A	1	168403.3750
14	FOO	A	6	499638.5226
0		E	110	32388177.6769
132		F	73	561794.1922
115		A	2	323130.0000
36		A	41	34878848.1601
53		F	69	1504306.0500
270		D	9	505526.0000
10		CDO	2	-38131.4891
26	FOO	D	1	-0.0200
37		A	38	3415272.2184
5	MG	D	17	9871636.7969
87		A	7	764322.0000
11		F	10048	140759468.6911
3	FOO	A	1431	198333190.5714
2	MG	D	37	36027693.5117
30		F	1054	32844710.7521
21	MG	D	7	-25000.0000
47	FAIR	A	3	244280.6993
4		CDO	88	1282525.8533
39		F	217	5221902.2718
14		CDO	4	-91886.5117
116		A	21	4178910.8750
2	FAIR	F	502	30066908.0583
27		A	194	42026148.7291
96		A	3	0.0000
50	FAIR	A	35	290667.7107
16	ONE	A	1	117695.0938
112		F	2	23705.5996
13	OSA	D	14	6762795.5547
21	FAIR	D	665	109331619.2560
11	MG	D	19	225843.0000
69	FAIR	A	2	437049.5938
48		D	13	627963.4946
1	FOO	F	328	11739274.6259
65	FAIR	A	16	-4741132.9883
5		CDO	45	5393858.8399
77	FAIR	A	1	636916.9375
0	CSA	A	143	16953007.1819
3		CDO	193	150182.8139
20	MG	D	11	-24500.0000
650		A	1	325000.0000
81	MG	A	1	-23593.0703
20		F	2066	40505579.2118
1		C	131528	100690461779.9257
873	CSA	A	1	5828.6499
33		F	412	8530980.8200
16	FOO	D	8	251742.6439
0	ONE	D	35	9423397.2671
1		NDO	18	338675.3000
23		A	311	222957532.4430
42		A	64	22934919.3219
102		A	16	6376882.4239
1	FOO	C	6	-9871.0302
89		D	1	0.0000
4	OSA	D	92	32377803.6332
11		D	736	304302128.7128
28	CSA	A	4	627980.9531
71	FAIR	D	3	5707560.5000
30	FAIR	D	47	6367695.6102
62		F	25	466682.1853
4	CSA	F	37	2972320.8047
4		A	6518	17488931156.5010
103		F	12	450703.9337
12	CSA	D	110	25068126.3945
24		F	1077	19922125.9632
32	CSA	D	2	30623.7598
0	FAIR	A	814	184670197.5680
5		A	5101	6563477309.0253
1	SS	F	3	104069.5234
24	FAIR	F	1	188081.0000
21		F	1614	30780608.4440
46	FAIR	A	2	23809.5996
26		D	37	8487574.1447
188		D	4	298654.9766
8	FAIR	A	4268	972552173.1134
89		F	2	187091.0000
30		D	157	34587925.3159
31	FAIR	D	32	-2252998.3360
79	FAIR	A	1	0.0000
8		A	1437	1405194539.5105
43		F	322	5599972.8511
122		F	1	137014.5000
46		A	53	8436373.6406
314		A	14	1257161.0000
1	CSA	B	13	540798.8099
8	MG	A	22	8666.8296
13	FOO	A	10	1351363.4155
