numberofoffersreceived	statutoryexceptiontofairopportunity	extentcompeted	tcount	obligatedamount
18	FAIR	A	5433	58734879.6153
125	FAIR	A	45	222624.7704
53	FAIR	D	24	10802945.9591
34	FAIR	D	6	145073.8600
43	MG	D	1	2000.0000
37	FAIR	A	2	10250.7700
63	FAIR	D	9	2512901.9511
229	FAIR	D	1	1088058.5000
15	FAIR	A	787	68023773.6128
52		F	117	2392052.8648
64	MG	D	1	-5000.0000
1		F	219315	4654710901.1148
100		D	2	149969.5938
134		A	7	0.0000
213		A	2	0.0000
11	URG	A	8	79941.7891
21		D	218	60914018.4344
150		F	1	76752.0000
0		NDO	1	0.0000
15	URG	A	1	277909.7500
53	MG	D	7	1447680.5000
7		D	2466	1461861561.1574
76		D	3	0.0000
999	FOO	A	7	270871.1423
247		D	4	0.0000
329		D	1	58511.0508
49	FAIR	D	15	14000.0000
64		A	12	565379.0000
862		A	2	-24365.8906
18	FOO	A	6	-103336.0803
29	MG	D	29	-25000.0000
19	CSA	D	89	19241312.9153
39		D	19	1166503.9610
111		A	2	-155368.6065
0		G	8928	426249296.3681
170		A	4	750000.0000
4	FOO	D	346	71749409.0102
3	FAIR		11	-126.5400
3	MG	A	76	55444258.5589
75		F	57	1994255.6189
17	FAIR	D	158	17564041.5902
8	FAIR	B	13	4180366.6817
33	FAIR	A	20	96330.1554
20	FOO	A	5	56088.0411
430		D	20	-6508.5100
55		A	24	5485047.9883
9		CDO	2	-843996.0938
11	OSA	A	5	270144.0420
8	OSA	F	10	132720.0000
8		B	1	0.0000
2	FOO	D	626	111348819.1239
9	MG	F	2	5000.0000
129		A	1	58892.0000
55	FAIR	A	1730	22413188.5669
57		F	47	1151946.4925
94		F	1	577.8000
245		A	2	0.0000
15		F	4669	93744212.6167
166		A	3	210000.0000
39	FAIR	D	2	-1000.0000
3		E	1	-12700.0000
17	MG	D	30	58791.8398
2	URG	D	30	41255635.6291
70	CSA	A	1	2481811.0000
89	CSA	A	1	20074.6992
10	CSA	A	244	43368802.5117
27	CSA	D	14	2925572.4611
6	FAIR	D	2930	1081308826.1390
62		D	14	5480929.9063
108		F	1	-1800.0000
127		F	55	481962.0703
1	CSA	A	8409	1174935182.9365
5	CSA	D	1601	576862357.7742
29	CSA	D	11	2709424.1329
27	FAIR	D	72	10297509.1986
4	OSA	F	2	997.3700
131		D	29	2724448.3321
1	MG	A	819	220824297.8711
4	FOO	F	10	180136.7511
0	ONE	C	3	-103.1900
8	FOO	D	21	39935112.0587
10		A	976	520223271.7101
32		A	75	38198218.6002
999	FAIR	B	43	725944.8838
6	OSA	D	42	21644743.4283
8	CSA	F	4	66360.0000
180		A	1	0.0000
43		D	31	14998938.3713
7	MG	D	1	0.0000
391	FAIR	A	4	-10004.0000
349		F	1453	33219591.2550
12	ONE	A	4	281676.3634
26		F	1310	18076837.9721
421		A	1	-9074.3096
5	FOO	NDO	1	-1.9800
9	OSA	D	16	10850764.7721
1	FAIR	G	35	133463.1144
122		D	32	3708574.3594
1	URG	B	2	24095.3809
24	CSA	A	10	2664450.4648
0		CDO	3	470602.0000
44	FAIR	A	6	-230823.6274
15	CSA	D	60	19255204.6333
6	FAIR	F	84	3061308.0377
15	MG	A	6	-40000.0000
7	CSA	F	1	-258680.1563
127		D	3	-70535.6797
30	FOO	D	43	9746868.8132
6		F	40020	637746617.9188
7	FOO	A	77	36102886.0884
85		F	8	155756.6738
52		D	5	306107.7002
22	FAIR	A	103	18425068.3589
48		F	394	9117688.1210
8	CSA	D	334	122641281.1741
87	FOO	A	1	3668.0000
34		D	26	1930016.3437
41		A	50	11932867.0590
14	FAIR	D	319	103942368.0460
120		A	8	3281570.0000
46	FOO	A	1	171028.5625
113		D	1	0.0000
3	FAIR	A	53214	13081707463.3009
2	OSA	A	786	138665397.0338
29	FOO	D	1	306772.4063
150		D	6	710697.2813
3	CSA	A	4812	910776789.2104
12	MG	A	21	38000.0000
18		CDO	1	0.0000
11	FAIR	A	581	192072283.0958
84		F	53	303748.6491
163		F	2	0.0000
50		A	83	11934227.8477
104		D	1	0.0000
80		F	13	519031.9014
64	CSA	D	1	-5000.0000
68		A	9	4074818.8125
16		D	292	103978944.0769
12		B	4	372132.5313
159		F	156	5660017.4869
55	CSA	D	10	367808.1581
7			1	0.0000
2			130	-1080941.0311
25		D	118	36155969.7013
0	SS	A	1	7420.9502
78		A	7	1171379.3435
147		A	17	4852524.0000
43	FAIR	A	7	1615829.7071
10	FOO	A	34	7141618.4617
22	OSA	A	2	-189888.3006
43	CSA	A	2	59168.0000
1	FAIR	CDO	1	0.0000
1	ONE	G	53	362275.0810
62	FAIR	D	1	0.0000
8	URG	A	4	196998.7989
6	URG	A	5	876212.1055
6	FAIR	C	5	474263.0586
57	FAIR	D	3	275178.5801
148		A	4	1367453.0000
59		A	8	-220866.0000
71		F	14	794984.6519
24	FOO	NDO	1	0.0000
35		F	418	9275550.5802
40	CSA	D	4	3252339.2500
13		A	367	106805649.6684
18		F	2606	47817116.8642
43	FAIR	D	7	14000.0000
6	CSA	B	2	65088.0000
117		D	1	0.0000
2	ONE	NDO	1	-0.0300
72		A	26	2821661.6563
23	CSA	D	23	3593584.8550
0	URG	A	16	5983027.9434
92		A	46	5304940.2780
330	FAIR	D	15	7372263.3438
7	FAIR	B	3	224.8800
1	OSA	B	7	221834.5684
193		F	2	0.0000
51	FAIR	A	12	7737.4399
2	ONE	A	21	1087652.8130
97		F	3	81914.6992
7		B	5	162809.9829
37	CSA	D	1	-1500.0000
4	FAIR	B	7	3730781.0000
38	FAIR	D	17	8602281.1876
196		D	1	0.0000
13	CSA	A	83	6205634.2409
4		B	23	11974657.4747
25	FOO	D	1	0.0000
233		D	2	0.0000
20	FOO	D	21	1779429.0936
0	ONE	B	1	0.0000
11	FOO		2	-5008.2101
65		D	25	0.0000
420		A	4	20918.3599
129		F	255	8308682.9038
120		F	1	4514.0000
19		A	208	110333726.9154
1	FOO	NDO	116	11426180.3373
26	CSA	D	6	922598.4064
17	CSA	D	43	7549061.4019
29		F	752	15037595.0378
2	FOO	A	1216	692290449.5242
1	FAIR	F	701	19844360.8528
144		D	5	0.0000
28		A	183	37001996.6280
18	OSA	D	8	2249844.2238
126		F	130	344125.0000
3		B	71	294422158.4411
160	MG	A	1	0.0000
9	FAIR	D	3355	552938624.7519
3	FAIR	D	12927	2921291500.9400
31		A	114	17957321.3079
0	MG	F	2	0.0000
80	FAIR	D	27	113535.2002
135		D	3	0.0000
10	MG	D	6	22500.0000
111		F	1	7416.0000
7	URG	D	1	32784.3281
496		A	1	0.0000
110		A	14	1028285.0000
104		A	6	2332585.0000
56		D	12	439671.9346
32		F	474	11623143.9470
0		C	269365	48127833293.9917
38		F	305	5429713.4697
4	FOO	NDO	1	0.0000
22		A	174	75626941.3184
98		A	9	485362.0000
7	ONE	A	1	-140222.8594
2	CSA	F	143	13540491.9740
12	OSA	D	3	399849.3829
15	FOO	D	1	109054.0000
19	MG	D	5	-7142.8400
5	CSA	A	2193	484861091.1289
101		A	10	834115.4902
25	FAIR	A	89	28459748.1742
66		F	195	5010567.2201
12	FOO	D	2	2567.5000
280		A	2	394621.0000
29		D	67	29903861.6439
11	CSA	D	161	36287196.1924
126		D	17	995145.7188
343		D	1	0.0000
40	OSA	A	1	14423.0400
27	CSA	A	11	5979419.5679
284		D	10	-4.0700
126	FAIR	D	1	40118.3984
12		D	875	240709410.1181
88	FAIR	D	1	51050.0000
28	FOO	A	4	-14970.5801
10	FAIR	F	23	-4794242.1236
3	CSA	F	42	1649761.6075
3	OSA	F	2	2188.4102
47		F	145	3242836.8480
999	FAIR	A	10648	195404959.7311
61		F	25	359602.8999
264		D	3	927243.3125
108		D	1	499999.3125
319		A	3	874987.0000
13	MG	F	2	92141.2031
160		A	1	-34269.3008
9		F	16886	251909186.8006
2		A	16495	36503671250.9065
24	OSA	D	3	3450459.0000
1	FOO		1	0.0000
41	FOO	A	2	0.0000
45		A	56	24344985.3183
153		D	37	3022856.9768
44		F	173	7402893.6459
123		F	26	275212.2676
5	OSA	A	173	101333550.4348
35	FAIR	D	3	130836.1401
15		D	343	187881984.7444
19	FAIR	A	128	48924650.7215
253	FAIR	A	102	-80032.0000
79		F	9	258285.8800
96	FAIR	A	1	48624.1094
14	OSA	A	2	47827.7383
0		F	82832	1513893475.2334
6		D	3301	1494940936.4787
9	MG	A	21	2385108.1600
3	ONE	D	16	719354.2264
182		D	1	0.0000
9	CSA	B	1	161869.5625
85		D	1	26423.3105
6	OSA	A	70	167027565.8626
316		F	1	4514.0000
176		D	31	999322.0000
149		F	4	170388.1169
35	MG	A	2	0.0000
142		A	11	2125535.5938
88		D	1	0.0000
1	FAIR	C	40	8254316.1079
21	CSA	A	30	14342101.1771
33	CSA	A	13	3071485.8321
70		F	12	375530.4780
23	MG	A	9	22500.0000
146		F	1	35628.0391
6	FOO	B	2	130530.7803
32	FAIR	A	286	82202301.6358
2	MG	A	95	29746075.2132
1		D	8867	2159112881.1866
17	FOO	A	5	40637.3496
130		A	5	-11855.9400
230		A	1	254356.0000
38		D	43	5147672.6439
4	MG	F	1	0.0000
5	CSA	B	4	285495.9502
21	FOO	A	2	4135.2002
2	FAIR		6	2628282.2000
158		D	18	4823314.4485
5	FOO	D	198	46526929.4963
7	OSA	A	33	7835268.3999
76		F	19	194139.8508
234		D	32	1614090.1720
17		A	260	100941889.9323
8		CDO	3	0.0000
54		A	44	24213116.0691
271		D	6	303982.7813
237		D	15	649222.6954
18	CSA	A	33	809486.8469
586		D	2	0.0000
171	CSA	A	1	4692.3999
10	OSA	A	15	733206.6959
200		D	14	647966.3359
51		CDO	1	192722.0000
1	FOO	D	3519	873737770.4431
316		D	1	0.0000
15	FAIR	F	3	-226192.0000
36	CSA	D	15	14000.0000
44	CSA	D	6	383777.0000
56		F	45	983066.7675
74		A	11	501977.7402
165		A	2	0.0000
93		F	195	3136651.5460
14	CSA	A	53	49898052.9833
14		F	5160	81673683.3739
2	CSA	D	3571	1121831788.3690
99		F	2	499358.9531
66		D	2	-78838.4629
2		B	38	6058947.7342
1	ONE	B	49	2305426.2567
35		D	17	4273577.7982
19	FOO	D	19	2301159.5802
5	FAIR	D	4818	1493610258.7207
9	CSA	A	295	79767902.1414
40		A	50	8829608.9267
30	CSA	D	15	325977.6065
999	OSA	A	61	759209.1778
204		F	68	431709.9781
90		F	4	77005.6484
4	CSA	D	2281	806917725.0555
5	FOO	F	7	178320.0903
11	CSA	F	5	116165.0000
223		D	3	99737.1484
28	FAIR	D	73	6200527.7191
670		D	4	198015.5586
1	URG	G	3	504193.0000
10	FAIR	D	981	281801662.7899
2	FAIR	D	12849	3877338913.2237
6	FOO	A	148	37320895.1469
16	FAIR	D	252	88617990.8054
585		A	1	0.0000
47		D	34	5368130.7306
1	SS	D	1343	343851968.1715
24	FAIR	D	27	2556472.0616
14	MG	D	1	407012.0000
44		D	1	0.0000
3	URG	D	2	20231.2295
0	FOO	F	1	-1837803.5000
0	FAIR	G	1	78000.0000
6	MG	D	19	186072.0510
139	FOO	A	1	9390.5996
0	OSA	D	104	21814340.8950
26	FAIR	A	81	5723624.2829
225		D	15	2979797.9845
63		A	12	1311919.0000
16	MG	A	3	0.0000
19	OSA	A	2	5510.2998
5	FAIR	F	35	2064383.7335
11	FOO	D	12	1045658.1484
27	FOO	A	1	3977.1799
39	MG	D	10	5000.0000
102		F	2	47736.8799
3	OSA	D	131	40041995.6293
162		A	1	12145.0000
5		F	56009	1105484942.5833
21	FAIR	A	143	19753575.1482
83		A	6	621483.5400
65		F	51	789705.8185
9	FAIR	F	3	-151815.8731
100	FAIR	A	1	14957.7500
125	CSA	A	1	6220.7998
19		CDO	1	-394928.0000
23		F	1352	25958907.2799
86	FOO	A	1	14149.0996
67		D	1	0.0000
11	FOO	F	30	257229.3708
119		A	6	97498.0469
7	FAIR	A	7255	2183893840.8776
11	MG	A	3	36038.4111
61	FAIR	A	1	85987.2031
13	FAIR	D	657	101542805.5988
999		A	676	274671832.7684
0	MG	D	3	-8411.0000
3		A	14731	20464502585.5999
4	FAIR	A	23559	9354016310.6199
1	OSA	A	4815	666961501.4612
191		D	2	0.0000
6	CSA	A	1010	406253733.1219
86		A	25	4527508.3438
33		D	50	33419117.7970
9	URG	D	5	5861913.5000
12	FAIR	A	693	184929286.9978
31	OSA	D	5	199378.0000
112		D	11	2485813.4375
232	FAIR	D	5	102187.5801
4	URG	A	26	647111.4336
246		F	310	8703193.5755
269		D	20	1700037.3126
49		A	34	10223160.0000
58		F	42	931964.6470
20	CSA	A	6	60682.8408
29	FAIR	A	25	2919495.3575
1			459	110597949.3621
24		D	83	14958201.0793
21	OSA	A	2	31854.2207
15	OSA	A	1	9671.9805
137		A	12	4627000.0000
40	FAIR	A	165	1011402.3521
6			42	4352297.1040
77		A	8	478684.6211
47	FOO	D	6	1619153.1377
9	FOO	A	33	3141295.0381
20	FAIR	F	2	545726.0000
67		F	17	580460.6493
139		A	1	0.0000
16	OSA	A	6	3071302.9200
5	URG	A	10	2634654.1377
31		CDO	1	-45000.0000
51		A	100	34707486.8726
60		A	19	4032307.4100
1	MG	B	2	-1275.7800
56	FAIR	D	1	58771.1992
153	FAIR	A	1	-30360.8105
4	ONE	A	2	122326.3672
55		F	85	1653581.7445
116		D	1	1050000.0000
17		F	3067	50707587.7904
36		F	299	8179240.3437
16	FOO	A	19	3913907.9425
4	FAIR		1	0.0000
1	MG	NDO	7	-26692.6401
16	OSA	D	1	-160293.1250
115		F	5	167022.8107
6	FAIR	B	2	0.0000
23	FOO	D	4	-126011.4888
34	FAIR	A	5	2770251.2500
6		B	4	-12289.4375
43	MG	A	2	-72478.7031
24		B	2	1054857.0000
18	FAIR	D	210	30596465.4442
1	FAIR		11	114669.3173
19	FOO	A	1	4876.0000
14	FAIR	A	308	91768060.7265
313		D	2	199962.1797
38	CSA	D	2	362208.0000
3	FOO	D	669	84931690.0775
0	FOO	D	10	5183327.7675
5	MG	A	20	36468437.4992
134		F	2	43018.4883
37	FAIR	D	1	702354.7500
216		F	1	3646.4500
96		F	2	1150877.7500
53	FAIR	A	4	0.0000
10	FOO		1	-1.1500
20	OSA	D	19	1242430.9855
1	URG	D	759	148180498.5033
4	MG	D	26	6222599.4755
12	CSA	A	109	28057717.7155
6	CSA	D	816	288574821.1635
25	CSA	D	18	1117484.4025
16	CSA	D	58	12929652.1017
39		A	66	17441824.4571
28	CSA	D	7	869656.7813
89		A	39	6405503.3400
20		A	308	108400526.8484
21	FOO	D	35	2859495.1602
17	OSA	D	3	787561.1661
1	FOO	A	17296	3126079456.4266
1	URG	NDO	12	-47805.4896
8	FAIR	D	1280	492843969.1149
64		D	8	852021.3175
4		C	1	0.0000
143		D	1	-17922.0000
1	ONE	C	81	115998475.3919
14	FOO	D	15	94281.6011
3	FOO	F	43	1260308.8769
7	OSA	D	15	3159429.2245
15	FAIR	D	354	125956933.1873
7		CDO	10	-276532.2377
1	MG	F	76	1526438.8088
99		A	472	104617154.0890
37		F	265	5947579.8372
22	FOO	D	16	450680.0894
115		D	6	895682.0937
27		F	831	14841337.7702
11		A	427	211882355.0509
30		A	177	59756879.6195
10	FOO	D	11	9919437.6602
90		A	17	1216453.3847
21		A	225	63620840.6906
6	ONE	A	1	146093.4063
74	FAIR	A	5	-57171.7500
1	CSA	F	27	1813390.6484
3	FOO	NDO	7	-16140.3601
116		F	5	521372.0000
1	OSA	G	15	605998.6641
8	MG	D	27	43806.9648
42		D	6	923979.1876
18	MG	D	17	78000.0000
298		A	3	0.0000
15		B	1	201185.8125
105		F	1	8473.0801
47	FAIR	D	14	28000.0000
14	MG	A	17	-2000.0000
1	ONE	D	3198	528700579.9021
13	FOO	D	2	498107.1484
32	FOO	D	7	187480.0000
141		A	6	3147198.7109
36	CSA	B	1	68620.7969
200		A	1	453240.0000
100		A	24	3468498.7188
342		D	1	0.0000
26		G	1	375.0000
125		D	1	-0.0400
46		F	175	4559306.3980
24	FAIR	A	144	79130160.5739
26	FOO	A	1	300000.0000
62	FAIR	A	7	0.0000
99		CDO	1	-92.3600
2	OSA	F	3	-110841.7920
11	FAIR	F	9	666832.8071
1	URG	C	7	-765539.2225
125		F	295	1015050.0000
87		F	5	75268.6807
197		A	1	0.0000
46	FAIR	D	2	-24278.0000
65	FAIR	D	1	47910.0000
8		F	23330	333821616.7358
80		A	42	9218800.7813
7		A	2466	4263243449.6592
2	FAIR	A	46972	18425925548.1073
83	CSA	A	1	3568.3501
4	CSA	A	2107	642086027.1214
4	OSA	A	248	145063721.4983
81	FAIR	A	24	223372.6039
226		F	1	6400.0000
14		D	333	212012915.3496
1	ONE	F	65	10163569.9889
36	FAIR	D	11	3524000.5781
1		A	20823	13634254260.7418
35	CSA	D	1	0.0000
0			28	-155633.2238
138		F	81	457697.4102
5		D	4225	1881534775.2026
8	FOO	A	68	11565207.4935
74		D	17	1686483.0938
77	FAIR	D	3	-49142.3888
0	CSA	D	51	31143996.3317
102		D	2	0.0000
181		D	11	0.0000
171		D	7	1455294.1563
23		D	106	29869510.0378
20	MG	A	32	-10204.3800
13	OSA	A	5	5517326.5000
23	OSA	A	2	0.0000
8	CSA	B	1	201254.4063
387		A	10	2697585.0000
26		CDO	19	-31629131.2500
0	ONE	G	1	-2.0000
71		A	2	795452.7188
308		A	1	-9435.3604
10			4	2150748.8604
24	MG	A	3	-65215.8406
22	CSA	A	10	205363.2601
32	CSA	A	3	1605509.1250
83		D	1	-134.6100
4		D	5028	2182451829.5805
30	FAIR	A	34	4356892.0355
38	FOO	A	1	0.0000
78		D	4	771003.8125
59		D	14	1748975.5938
1	CSA	D	3028	698332116.9726
4			35	430631.0699
92		F	3	189306.8993
41		D	9	5759937.0413
113		A	6	923359.6204
150		A	10	2419765.6875
8	OSA	A	34	25192600.0755
157		D	12	535813.3125
53		A	19	1064262.1581
34		A	137	76729456.0000
4	CSA	B	1	228480.0000
0		D	440771	20116711754.5011
1	FAIR	D	15568	2804669650.3321
120		D	2	-59597.0801
31	FAIR	A	67	11699508.5128
16		A	315	212968156.4391
1	ONE	NDO	65	-1297552.8359
2	URG	A	37	1883083.7596
94		A	8	1238824.0000
17	CSA	A	28	6391410.7148
11		CDO	2	0.0000
2	FAIR	B	20	623480.8414
12	FAIR	B	1	0.0000
9	OSA	A	7	577593.8125
57	FAIR	A	52	1991537.3125
236		D	11	0.0000
1	SS	B	11	2745246.3409
13		F	6503	99235955.4528
15	CSA	A	54	9981189.6009
37		D	41	16897707.3692
326		A	2	0.0000
7	FOO	D	57	13493625.4220
1	URG	F	26	2013160.6294
75		A	12	747262.0000
10		F	14103	208656975.0535
41		F	216	4292485.0956
252		A	3	0.0000
83	FOO	A	1	14891.7598
36		D	22	1098740.7450
0	ONE	A	196	22271935.2200
4	FOO	A	738	126470791.4259
8	CSA	A	416	128734688.2443
49	FAIR	A	6	526330.9444
9	FAIR		1	0.0000
1		B	39722	22388431784.7284
26		A	229	101400242.3644
91		F	3	62386.4805
5	ONE	A	1	43896.6094
12		F	8072	143402228.3014
3	CSA	D	3391	1053707234.0686
31	CSA	D	1	76246.7969
201		F	1	4514.0000
46		D	13	1568186.1600
10	CSA	F	1	-21822.5000
11	FAIR	D	524	211766593.4904
13	MG	D	25	1589182.1600
23	FAIR	D	51	5273953.3016
9	ONE	A	2	107162.5782
0	SS	D	92	22542608.1138
66	FAIR	A	2	7602.5200
525		D	4	612213.5156
3	MG	F	4	4950.0000
179		F	171	2667262.1523
2		CDO	130	-28207562.4745
18	FOO	D	84	58202054.4905
50		D	170	6459159.0882
55		D	10	3561818.0000
15	MG	D	9	80000.0000
134		D	6	1480816.5000
71	FAIR	A	8	20000.0000
25		A	126	7485143.1333
11	OSA	D	4	169614.3281
52	MG	A	1	-1000.0000
345		D	2	149993.9376
43		A	61	8869721.0623
62		A	67	38559823.5000
245		D	9	249699.2618
166		D	76	2518695.2146
27	FAIR	A	316	61712418.3335
8	FAIR	F	302	8173636.8138
64		F	149	3018542.6020
10	CSA	D	229	80733481.4841
17	MG	A	21	12500.0000
10		D	989	376787460.7996
101		F	3	13317.6504
300		F	2	4414.3200
105	CSA	A	2	32793.2998
26	CSA	A	5	2873675.7793
2	OSA	D	129	55014995.3868
163		A	2	53528.0000
500		D	1751	197404208.1990
84		A	7	2194831.6612
263		F	103	3333726.4963
42		F	222	5351378.5246
22		F	1568	31385785.6583
3	FAIR	F	374	10851951.5313
305		D	5	199674.0000
85	FAIR	A	11	560801.8497
50		F	157	3131751.0592
68		D	49	2392090.3554
6	FAIR	A	32839	3874481247.2053
27		D	104	19117321.7921
1	MG	D	602	18924121.2820
69		D	14	1349629.2032
5	OSA	E	1	0.0000
21		CDO	2	-72135.8281
7	CSA	A	425	143620001.5582
48		A	23	4875173.5469
51	FAIR	B	2	36848.1406
16		CDO	4	-120846.4310
32		D	92	33618936.3211
22	OSA	D	14	2560644.0866
111		D	3	-0.0100
82		F	6	-369568.8203
999	CSA	A	1	19304.0000
85		A	21	2271019.0000
2	SS	A	2	10508.0595
127		A	11	487334.0000
7	MG	A	22	-30455.0400
14	CSA	B	1	123419.2031
39	FAIR	A	13	26453.1201
19	CSA	A	14	237763.9282
78		F	8	110717.0321
59		F	29	374759.1108
33	FAIR	D	9	466073.3184
3	FAIR	C	32	724166933.6950
55	FAIR	D	2	-30856.0908
117	FAIR	A	295	210183319.8251
17	FAIR	A	627	54349075.5352
66	CSA	D	17	12261162.8083
69		F	39	919444.2471
126	FAIR	A	1	497.5200
18		D	233	39876852.6061
71	CSA	D	38	1690235.0000
9		D	1132	465065211.9090
57		A	17	3073809.2998
516	FAIR	A	1	0.0000
29	CSA	A	2	42133.5009
68		F	12	197347.1182
1	FOO	B	28	1391256.6724
467		F	1	449959.4375
13	FAIR	B	2	-1985.5500
13	URG	A	12	122387.9139
98	FAIR	A	32	3973644.9697
50	FAIR	D	1	905482.0625
52		A	23	-20299292.0000
2		G	1	0.0000
29	MG	A	2	0.0000
73		F	11	240055.9590
2		D	8426	8720175709.5554
5	FAIR		4	-870726.5977
16		F	3753	61377788.8402
3	ONE	A	57	1131867.1509
5	FAIR	B	6	2417489.8672
19		D	451	69188326.6172
31	MG	D	1	500.0000
98		D	6	324921.0762
217		D	3	-30.0000
15		A	285	142257137.5548
19	FAIR	D	338	41026584.8390
15	FOO	A	10	-385469.3501
81		D	1	0.0000
5		B	5	1233304.7462
21	CSA	D	143	36142991.7793
98	FAIR	D	17	6663112.7002
12		CDO	2	-253227.0782
39	MG	A	1	-500.0000
13	FAIR	A	564	125862884.4906
37	CSA	A	3	1375296.0000
44	FAIR	D	3	1767656.3750
95		F	129	5256649.4298
167		A	3	161319.0000
1		E	113	35702480.0862
7	MG	F	4	309117.2461
114		A	2	-12842.7100
54		F	90	1999999.9979
35		A	86	28937401.6308
88		A	7	347035.3201
11	CSA	A	125	60564367.5730
38		A	83	15515908.4991
230		D	1	0.0000
88	FAIR	A	30	23172711.0781
7	CSA	D	535	171640919.9275
22	MG	D	14	26000.0000
3	MG	D	39	3813688.4787
25	FAIR	D	39	7481287.0036
97		A	5	626582.0000
480		A	1	0.0000
117		A	2	0.0000
999		F	5	139008.5703
6		CDO	25	653587.0565
14	OSA	D	3	2603745.7813
3	MG	NDO	1	-605346.1875
22	FAIR	D	501	26071326.0956
12		A	927	414964053.8387
18		A	180	46114379.9705
8	OSA	D	14	6983209.1549
9	FOO	D	8	1123279.4043
12	MG	D	36	-41500.0000
2	FOO	NDO	4	-5630.1502
29		A	139	17993531.0640
107		F	21	859068.2677
28		F	648	16068689.5173
19		F	2259	48146274.0213
2	FOO	F	48	1557416.1178
6	FOO	F	4	45380.0000
91		A	5	499999.5625
49		D	7	1106557.0000
31		F	590	16424051.3130
256		A	27	10324056.5625
24	CSA	D	16	1459754.0959
34		F	418	12932749.0642
9	MG	D	20	3573697.0000
2		C	10	233188.7694
57	FOO	A	1	-25512.5898
0	URG	D	5	16262002.7500
186		D	30	3295566.9377
13	MG	A	48	75488.5000
82		A	6	-68927.0781
278		A	2	0.0000
5	OSA	D	36	3261009.6959
123		A	4	-29078.8828
23	FAIR	A	44	2671580.4425
45		F	154	3541049.8728
7	FAIR	F	12	1114009.4961
5	CSA	F	8	796363.6837
104		F	2	48481.2890
25		F	1350	23989183.9710
13	CSA	D	95	8535844.0857
63		F	454	2484239.2413
70	MG	A	1	0.0000
72		D	2	49993.8496
110		D	2	0.0000
124		F	65	368648.9414
33	CSA	D	2	309938.5625
12	FAIR	F	4	-97.2200
25	OSA	D	1	152832.0000
