fiscal_year,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
2009,S,Always Small Vendor,PDuns,0,0,0,14706,14738,39398,35646823.9648
2015,L,Large Vendor,PID,NULL,1,1,3,3,0,0.0000
2002,U,Unlabeled Vendor,Name,0,0,1,2,1,2,8481.0000
1998,N,Sometimes Small Vendor,PDuns,NULL,1,1,2399,4208,44162,8436584017.0000
2006,S,Always Small Vendor,PID,NULL,0,0,5,5,3,3766.6299
2001,N,Sometimes Small Vendor,PDuns,NULL,1,1,23,23,36,9144278.9798
2015,U,Unlabeled Vendor,Duns,0,0,1,1,1,1,7078.5400
1995,B,Big Five,PDuns,NULL,1,1,5,46,375,146771861.0000
2001,M,Medium Vendor,PDuns,0,0,0,558,558,1038,-8219500.2499
2007,N,Sometimes Small Vendor,Duns,0,1,1,8,4,574811,8480319889.5358
2008,S,Always Small Vendor,Duns,1,1,1,9,2,24,1193965.0601
2010,S,Always Small Vendor,PDuns,0,0,1,30569,30678,81736,336930318.6076
2011,S,Always Small Vendor,PDuns,1,0,0,45,45,60,18839.9803
1989,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,NULL,1097000.0000
2006,N,Sometimes Small Vendor,PID,0,1,1,1062,1062,679506,49733644317.7854
2008,N,Sometimes Small Vendor,Duns,0,1,1,6,4,320301,10560626905.0532
2000,M,Medium Vendor,PDuns,0,0,0,611,612,997,-16616048.5200
2005,U,Unlabeled Vendor,Duns,0,1,1,61,2,117,107014410.9136
2014,M,Medium Vendor,PDuns,0,0,1,3981,4041,8326,119693554.2300
2012,S,Always Small Vendor,PDuns,0,0,0,10632,10637,29696,18853349.6957
2007,J,Large: Big 5 JV,PID,0,1,1,9,9,1003,5887611731.6476
2010,M,Medium Vendor,PDuns,1,0,0,848,848,1635,2346205.2502
2012,B,Big Five,PID,0,1,1,5,5,78503,110026476571.0194
2000,M,Medium Vendor,PDuns,NULL,0,1,34,34,31,584891.4112
2007,L,Large Vendor,PDuns,0,0,0,2,7,61,1728691.7090
2008,N,Sometimes Small Vendor,PDuns,1,0,1,75,76,370,1355569.2399
2010,M,Medium Vendor,Duns,1,0,1,2,2,2,19883.5000
2003,S,Always Small Vendor,Name,0,1,1,19,3,24,1556403.0000
2008,L,Large Vendor,PDuns,0,0,1,3,7,221,28948183.0793
2001,M,Medium Vendor,PDuns,NULL,0,1,27,27,21,284815.4606
2000,M,Medium Vendor,PID,1,0,1,1,1,1,27000.0000
2007,N,Sometimes Small Vendor,PID,0,1,1,1057,1057,1217196,54996848382.9086
1992,N,Sometimes Small Vendor,PID,NULL,1,1,143,143,1,8026607760.0000
1994,M,Medium Vendor,PID,NULL,1,1,259,259,9728,8644031416.0000
2000,L,Large Vendor,PID,0,0,0,1,1,1,874414.0000
2012,L,Large Vendor,PDuns,0,1,1,83,806,40096,1593060673.7195
2012,M,Medium Vendor,Duns,NULL,0,0,3,3,0,0.0000
2000,N,Sometimes Small Vendor,PDuns,NULL,0,0,6,6,2,51805.0000
1997,S,Always Small Vendor,PID,NULL,1,1,297,297,4173,1405960742.0000
2004,N,Sometimes Small Vendor,PDuns,NULL,0,0,58,59,163,105729.1299
1997,L,Large Vendor,PDuns,NULL,1,1,63,235,2752,801082642.0000
2001,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,33,10422723.0000
2003,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,317,10596.0000
2015,N,Sometimes Small Vendor,PDuns,0,0,0,239,241,1594,1024153.7800
2014,M,Medium Vendor,PDuns,1,1,1,4948,5765,87771,5147317773.1205
2008,U,Unlabeled Vendor,Duns,0,1,1,7,3,21,946519.4478
2003,M,Medium Vendor,Duns,0,1,1,1,1,1,1309233.0000
2011,N,Sometimes Small Vendor,PID,0,0,1,11,11,90,162437.5205
2003,S,Always Small Vendor,Duns,1,0,0,7,2,9,4477.0000
2009,M,Medium Vendor,Duns,1,1,1,1,1,1,31063.1504
2008,S,Always Small Vendor,PDuns,NULL,1,1,3676,3678,60,212182548.7227
2002,L,Large Vendor,PDuns,1,1,1,3,19,583,219439823.0938
2008,U,Unlabeled Vendor,Name,0,0,1,1,1,1,-596.2500
2006,U,Unlabeled Vendor,Duns,1,0,1,24,1,67,430080.3789
2016,N,Sometimes Small Vendor,PID,0,1,1,598,598,301906,30745480764.8291
2007,M,Medium Vendor,PDuns,1,0,0,896,896,1772,1723487.5490
2001,S,Always Small Vendor,PID,1,0,1,1,1,1,5000.0000
1991,M,Medium Vendor,PDuns,NULL,1,1,2940,25154,NULL,28008119876.0000
2004,J,Large: Big 5 JV,PID,0,1,1,8,8,393,3941835278.0313
2003,M,Medium Vendor,PDuns,1,0,0,209,209,729,-7809833.1397
2004,S,Always Small Vendor,Duns,0,0,0,57,2,72,54856.8499
2016,S,Always Small Vendor,PDuns,1,0,1,74,74,129,489863.9297
2015,M,Medium Vendor,PID,NULL,1,1,9,9,9,6781478.3100
2002,S,Always Small Vendor,Duns,0,1,1,1,1,1,25000.0000
2002,M,Medium Vendor,PID,0,1,1,492,492,15577,16199159014.0717
2016,M,Medium Vendor,PID,0,1,1,494,494,1945989,31442841529.0884
2009,S,Always Small Vendor,PDuns,NULL,0,1,211,211,4,936110.3597
1994,S,Always Small Vendor,PDuns,NULL,0,0,217,218,315,-22773286.0000
2001,S,Always Small Vendor,PDuns,0,0,1,8658,8672,18509,237884128.9181
2010,S,Always Small Vendor,PID,NULL,1,1,20,20,0,10719335.6250
1993,S,Always Small Vendor,PID,NULL,1,1,136,136,11,877577789.0000
2008,U,Unlabeled Vendor,Name,1,1,1,2,1,4,235866.7617
2005,M,Medium Vendor,PDuns,0,0,1,5210,5316,22977,166535446.9655
2015,B,Big Five,PDuns,0,1,1,9,57,1648,57663606.3400
2014,L,Large Vendor,PID,0,0,1,1,1,4,11645.3000
2001,J,Large: Big 5 JV,PID,1,1,1,2,2,20,78746705.0000
1996,L,Large Vendor,Duns,NULL,1,1,1,1,72,72276628.0000
2005,M,Medium Vendor,PID,1,1,1,55,55,1474,2237174042.3247
2005,N,Sometimes Small Vendor,PDuns,NULL,1,1,86,87,347,8944589.9927
