fiscal_year,EntitySizeCode,EntitySizeText,EntityCategory,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
1990,N,Sometimes Small Vendor,PDuns,NULL,0,0,16,16,NULL,-16815000.0000
1994,J,Large: Big 5 JV,PID,NULL,1,1,1,1,20,248145948.0000
2006,L,Large Vendor,PID,0,0,0,1,1,1,-10191.7402
2008,S,Always Small Vendor,Duns,0,0,1,28,3,38,199771.3608
2007,M,Medium Vendor,PDuns,0,1,1,10877,12198,723080,17698338529.0382
2009,N,Sometimes Small Vendor,PDuns,0,1,1,14955,23413,1533681,52196121804.2449
2004,S,Always Small Vendor,PDuns,NULL,0,0,4074,4077,14625,5446129.2016
2012,N,Sometimes Small Vendor,PDuns,1,0,1,25,25,98,454137.1004
1989,N,Sometimes Small Vendor,PDuns,NULL,1,1,22,31,NULL,63842000.0000
2004,M,Medium Vendor,PDuns,1,0,1,1834,1838,5459,42929891.6538
1995,S,Always Small Vendor,PDuns,NULL,1,1,16405,16490,59904,12192522459.0000
2011,N,Sometimes Small Vendor,PDuns,0,0,0,491,505,4148,2700143.5391
2011,M,Medium Vendor,PID,1,0,0,3,3,3,4145.8201
2011,L,Large Vendor,PDuns,1,1,1,3,16,204,18755954.4222
2000,M,Medium Vendor,PID,0,0,0,32,32,42,-668217.0000
2002,J,Large: Big 5 JV,PID,0,1,1,5,5,139,1783959205.0000
2003,S,Always Small Vendor,PDuns,1,0,1,77,77,123,2271778.0000
2010,N,Sometimes Small Vendor,PDuns,NULL,1,1,51,52,0,4487928.9552
2007,S,Always Small Vendor,Name,0,1,1,5,2,5,140948.8001
2005,S,Always Small Vendor,PID,0,1,1,416,416,10428,5156128921.1580
2009,S,Always Small Vendor,PID,0,0,0,27,27,47,31311.8799
1998,S,Always Small Vendor,PID,NULL,0,1,6,6,6,168219.0000
1989,B,Big Five,PID,NULL,1,1,5,5,NULL,79809000.0000
2012,M,Medium Vendor,Duns,1,0,0,4,4,4,124.8899
2004,N,Sometimes Small Vendor,Duns,1,1,1,1,1,3,51673.1602
1998,NULL,NULL,PDuns,NULL,NULL,NULL,1,1,2,430215.0000
2011,N,Sometimes Small Vendor,PDuns,NULL,0,1,3,3,0,16000.0000
2007,S,Always Small Vendor,PID,0,0,0,29,29,122,104048.6702
2000,M,Medium Vendor,PDuns,1,0,1,487,487,556,13968698.0000
2012,U,Unlabeled Vendor,Duns,0,0,1,1,1,11,14188.0000
2003,S,Always Small Vendor,PID,NULL,1,1,16,16,1,33036.5117
2001,M,Medium Vendor,PID,0,0,1,23,23,44,559599.7600
2002,N,Sometimes Small Vendor,PDuns,1,0,0,2,2,7,3219.0000
2005,N,Sometimes Small Vendor,PDuns,1,1,1,93,94,1170,137859914.0226
2005,M,Medium Vendor,PID,0,0,1,38,38,106,770061.1607
2015,S,Always Small Vendor,PDuns,NULL,0,0,1455,1455,0,13468.2400
2005,M,Medium Vendor,PID,NULL,1,1,11,11,5,46150341.0000
2007,U,Unlabeled Vendor,Name,0,1,1,15,3,33,1193108.9910
2011,S,Always Small Vendor,PDuns,0,1,1,67831,68514,1278542,48224791936.0264
2014,N,Sometimes Small Vendor,PID,0,0,1,6,6,42,92644.6300
2007,N,Sometimes Small Vendor,Duns,0,0,1,1,1,3,11791.0796
2009,B,Big Five,PDuns,0,1,1,5,7,122,24980942.7672
2014,L,Large Vendor,PID,1,1,1,23,23,15684,3379850894.0900
2010,N,Sometimes Small Vendor,PID,0,0,0,1,1,1,14457.0000
2006,S,Always Small Vendor,Name,0,0,0,204,3,310,-36618.5898
2013,S,Always Small Vendor,Duns,1,0,1,1,1,2,4500.0000
2012,S,Always Small Vendor,PDuns,1,0,1,130,130,268,1532868.0565
2013,N,Sometimes Small Vendor,PID,0,0,0,2,2,23,10518.9700
2004,B,Big Five,PDuns,0,0,0,1,1,4,-198830.0000
2011,N,Sometimes Small Vendor,PID,1,1,1,1,1,4,33563197.0000
2009,S,Always Small Vendor,PDuns,1,0,1,247,247,359,1550122.2043
1991,N,Sometimes Small Vendor,PDuns,NULL,0,1,1,2,NULL,-1282000.0000
2006,B,Big Five,PID,0,1,1,5,5,67030,95686411905.9923
1992,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,3,NULL,1194956.0000
2010,M,Medium Vendor,Duns,1,1,1,4,4,5,1751027.2988
1988,B,Big Five,PID,NULL,1,1,2,2,NULL,694000.0000
2008,L,Large Vendor,PDuns,1,1,1,3,9,347,81147934.5811
2009,S,Always Small Vendor,Duns,0,0,0,9,2,9,-1997.7500
2016,M,Medium Vendor,PDuns,1,0,0,268,270,907,-1676714.9731
2003,L,Large Vendor,PID,0,0,0,4,4,6,-8153681.0000
1990,N,Sometimes Small Vendor,PID,NULL,1,1,109,109,NULL,4833639734.0000
2002,U,Unlabeled Vendor,Name,1,1,1,3,1,3,178974.0000
2004,M,Medium Vendor,PDuns,NULL,0,1,324,324,499,2659598.2694
2015,M,Medium Vendor,PDuns,0,1,1,12570,15175,1336648,23170856056.6201
2006,S,Always Small Vendor,PDuns,0,1,1,50734,51439,1554764,38805206095.7234
2013,NULL,NULL,PID,NULL,NULL,NULL,1,1,1,-3380.3300
2006,N,Sometimes Small Vendor,Name,0,1,1,10,1,54,562474.9681
2005,S,Always Small Vendor,PDuns,1,1,1,166,166,382,62838378.8260
2014,S,Always Small Vendor,PID,NULL,0,0,3,3,0,0.0000
2010,M,Medium Vendor,PDuns,0,1,1,13888,15930,882604,26388411391.5983
2001,N,Sometimes Small Vendor,PID,0,0,0,1,1,3,5000.0000
2004,M,Medium Vendor,PDuns,0,0,0,2515,2523,6967,1380674.0521
2011,S,Always Small Vendor,PDuns,NULL,0,0,2467,2467,0,-171446.4701
2000,L,Large Vendor,Duns,1,1,1,1,1,106,83847569.0000
1988,M,Medium Vendor,PDuns,NULL,1,1,10,10,NULL,575000.0000
1989,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-595000.0000
2014,N,Sometimes Small Vendor,PDuns,NULL,0,0,9,11,0,0.0000
2015,U,Unlabeled Vendor,Duns,0,1,1,4,3,16164,199707549.7600
2001,N,Sometimes Small Vendor,Name,0,1,1,1,1,894,149606000.0000
1993,N,Sometimes Small Vendor,PID,NULL,1,1,155,155,106,9023170999.0000
1988,S,Always Small Vendor,PDuns,NULL,1,1,5,5,NULL,2159000.0000
2011,M,Medium Vendor,Duns,1,1,1,10,10,15,1508892.7306
2005,S,Always Small Vendor,Duns,1,1,1,3,1,6,36440.0000
2010,S,Always Small Vendor,PDuns,1,1,1,382,382,770,113657585.0401
2009,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2006,N,Sometimes Small Vendor,PID,0,0,1,21,21,250,541804.5913
2000,S,Always Small Vendor,PDuns,1,0,1,98,98,111,2757239.0000
1990,S,Always Small Vendor,PID,NULL,1,1,70,70,NULL,854098000.0000
2004,M,Medium Vendor,Duns,0,1,1,1,1,1,1727149.0000
2001,U,Unlabeled Vendor,Duns,0,0,0,1,1,0,0.0000
2010,M,Medium Vendor,PID,NULL,0,0,2,2,0,0.0000
1991,B,Big Five,PDuns,NULL,1,1,2,16,NULL,313791000.0000
2008,M,Medium Vendor,PID,NULL,1,1,9,9,0,712578.9707
2011,S,Always Small Vendor,Duns,0,0,0,1,1,1,-2926.0000
2010,S,Always Small Vendor,PID,0,0,0,14,14,20,-2978.9299
2003,S,Always Small Vendor,Duns,NULL,0,0,2,2,1,0.0000
2001,N,Sometimes Small Vendor,PDuns,1,1,1,25,29,741,77541950.0000
2013,L,Large Vendor,PID,1,1,1,25,25,17666,6185415025.4100
2003,M,Medium Vendor,PID,0,1,1,536,536,21462,12586147291.1155
2016,U,Unlabeled Vendor,Name,0,0,1,1,1,1,0.0000
2013,M,Medium Vendor,PDuns,NULL,0,0,523,524,0,6814.3900
1991,S,Always Small Vendor,PID,NULL,1,1,111,111,NULL,1077662461.0000
2002,N,Sometimes Small Vendor,PDuns,0,1,1,5216,7928,147305,22039083547.2443
2002,S,Always Small Vendor,PDuns,1,1,1,122,122,167,14885033.0000
1990,M,Medium Vendor,PID,NULL,0,0,1,1,NULL,-1137000.0000
1992,J,Large: Big 5 JV,PID,NULL,1,1,3,3,NULL,609360462.0000
2007,S,Always Small Vendor,PID,NULL,0,1,1,1,0,3000.0000
1997,M,Medium Vendor,PDuns,NULL,0,0,49,49,74,-2792924.0000
2013,M,Medium Vendor,Duns,NULL,0,1,2,2,0,19855.3900
2007,N,Sometimes Small Vendor,Name,0,0,1,1,1,2,20453.6402
1999,S,Always Small Vendor,PDuns,NULL,1,1,16574,16903,63056,11785488539.0000
2013,M,Medium Vendor,Duns,0,0,0,5,5,6,-2589.9500
2004,L,Large Vendor,PID,1,1,1,17,17,1147,1253953003.0524
1999,S,Always Small Vendor,PID,NULL,1,1,384,384,4484,1507712992.0000
1995,L,Large Vendor,PID,NULL,1,1,133,133,39364,36163707912.0000
2012,M,Medium Vendor,PID,1,0,0,11,11,15,145444.6902
2010,U,Unlabeled Vendor,Duns,0,0,0,1,1,2,0.0000
2001,L,Large Vendor,PID,1,1,1,18,18,1130,921702602.6309
2014,M,Medium Vendor,PDuns,NULL,1,1,1378,1394,363,181088048.2200
2006,M,Medium Vendor,PID,1,0,0,2,2,3,1950.0000
1989,M,Medium Vendor,PDuns,NULL,0,1,1,1,NULL,44000.0000
2009,M,Medium Vendor,PDuns,0,1,1,12860,14921,802480,25380333364.6611
2000,S,Always Small Vendor,PDuns,NULL,1,1,762,762,101,6887376.0081
2007,L,Large Vendor,PID,1,1,1,17,17,5902,4886895902.3979
1989,B,Big Five,PDuns,NULL,1,1,4,5,NULL,112109000.0000
2010,M,Medium Vendor,PID,0,0,1,31,31,89,76818.5909
2014,L,Large Vendor,Duns,1,1,1,1,1,4900,259753201.7800
2016,U,Unlabeled Vendor,Duns,0,0,1,1,1,1,12063.0000
2002,M,Medium Vendor,PDuns,1,0,1,938,939,2402,28189096.0000
1990,S,Always Small Vendor,PDuns,NULL,0,1,13,13,NULL,941000.0000
1997,M,Medium Vendor,PID,NULL,0,1,1,1,1,27960.0000
2006,U,Unlabeled Vendor,Name,1,0,1,22,1,75,410261.9477
2015,M,Medium Vendor,PDuns,1,0,0,288,289,671,-669414.3800
2006,S,Always Small Vendor,PDuns,1,0,0,114,114,212,338757.2498
2002,U,Unlabeled Vendor,Duns,NULL,0,0,1,1,0,0.0000
2008,S,Always Small Vendor,PDuns,1,1,1,491,491,1204,112821339.3466
2012,M,Medium Vendor,PDuns,NULL,0,1,40,40,3,120486.0304
2007,U,Unlabeled Vendor,Name,0,0,1,5,2,5,11147.2099
2011,M,Medium Vendor,PDuns,0,1,1,14779,17390,1114400,23696827180.0645
2002,S,Always Small Vendor,PID,1,1,1,3,3,5,2579000.0000
2010,S,Always Small Vendor,PDuns,NULL,1,1,3980,3993,154,224209067.6217
2001,B,Big Five,PDuns,0,1,1,4,38,636,157041244.0000
2011,M,Medium Vendor,PID,0,1,1,593,593,45970,30637008003.5899
2008,L,Large Vendor,PID,0,1,1,251,251,868471,177743816247.9975
2005,L,Large Vendor,Duns,1,1,1,1,1,13613,245023010.0000
2006,M,Medium Vendor,PID,0,1,1,424,424,27636,17989299382.4042
2003,S,Always Small Vendor,PDuns,NULL,0,1,85,85,51,427286.9108
2012,M,Medium Vendor,Duns,0,1,1,4,4,5,301542.6953
2011,L,Large Vendor,PDuns,0,0,1,1,52,1558,69013483.7803
2003,U,Unlabeled Vendor,Name,0,0,1,26,2,58,361511.8106
1994,S,Always Small Vendor,PID,NULL,0,0,1,1,1,39233.0000
2005,L,Large Vendor,PDuns,0,0,0,2,8,666,6941400.9405
2003,S,Always Small Vendor,PDuns,0,0,0,8402,8404,17403,12808366.4781
1996,B,Big Five,PID,NULL,1,1,6,6,12735,22106720317.0000
2016,M,Medium Vendor,PDuns,0,1,1,13399,16063,2452254,26113268533.5357
2009,S,Always Small Vendor,PID,1,0,1,1,1,1,4725.0000
2002,S,Always Small Vendor,PID,0,0,0,13,13,17,-16872.0000
2008,M,Medium Vendor,PID,1,1,1,69,69,10474,3872785352.9756
2015,S,Always Small Vendor,PID,0,1,1,218,218,10623,2758649835.2188
2006,M,Medium Vendor,PDuns,1,0,1,2278,2288,7372,48243489.5814
1999,U,Unlabeled Vendor,Duns,NULL,1,1,1,1,22,8184964.0000
2012,S,Always Small Vendor,PID,1,0,0,1,1,2,0.0000
2005,B,Big Five,PID,0,1,1,5,5,65861,81778683987.2320
2005,N,Sometimes Small Vendor,PDuns,0,0,1,3390,3665,42760,142126926.0448
2001,S,Always Small Vendor,PID,0,0,0,16,16,27,9311.2000
1996,L,Large Vendor,PDuns,NULL,1,1,56,295,3534,1069469323.0000
2012,M,Medium Vendor,PDuns,0,0,0,2675,2711,5515,21013644.2339
1995,S,Always Small Vendor,PID,NULL,1,1,174,174,2821,851301440.0000
2011,L,Large Vendor,PID,1,1,1,19,19,1664,4356942129.4179
1996,M,Medium Vendor,PDuns,NULL,0,1,427,428,453,11804286.0000
1996,N,Sometimes Small Vendor,Duns,NULL,1,1,1,1,3306,2942679507.0000
2002,L,Large Vendor,PID,0,1,1,222,222,157466,74885459554.0257
2004,L,Large Vendor,PID,NULL,1,1,2,2,0,0.0000
2014,U,Unlabeled Vendor,Duns,0,1,1,1,1,802,83984411.5300
1996,S,Always Small Vendor,PID,NULL,1,1,190,190,2364,874703851.0000
2003,M,Medium Vendor,PDuns,NULL,0,0,558,558,96,176396.1598
1995,N,Sometimes Small Vendor,PDuns,NULL,1,1,2354,4706,59985,14302900603.0000
2007,M,Medium Vendor,PID,0,1,1,443,443,19239,21655130571.6626
1994,N,Sometimes Small Vendor,PID,NULL,1,1,134,134,10008,5678242258.0000
2013,L,Large Vendor,PID,NULL,1,1,1,1,0,213192640.0000
2000,S,Always Small Vendor,PID,0,0,0,15,15,19,-108000.0000
2012,U,Unlabeled Vendor,Name,1,1,1,1,1,1,12300.0000
2013,M,Medium Vendor,Duns,1,0,1,18,18,38,185577.5900
2005,S,Always Small Vendor,Name,0,1,1,92,3,227,4329360.2795
1991,N,Sometimes Small Vendor,PID,NULL,1,1,134,134,NULL,9203236151.0000
2003,U,Unlabeled Vendor,Duns,0,1,1,17,2,22,3310742.8184
1992,B,Big Five,PDuns,NULL,1,1,3,9,NULL,276029149.0000
2010,S,Always Small Vendor,PDuns,NULL,0,0,3423,3424,0,127361.2592
2001,S,Always Small Vendor,PDuns,NULL,0,0,408,409,39,66809.7997
1996,L,Large Vendor,PDuns,NULL,0,1,1,8,40,2721394.0000
2000,N,Sometimes Small Vendor,PDuns,1,0,0,1,1,9,13000.0000
1999,M,Medium Vendor,PID,0,1,1,1,1,17,1382762773.4000
2010,J,Large: Big 5 JV,PID,0,1,1,13,13,2217,7533865402.9073
2012,B,Big Five,PDuns,0,0,1,1,27,193,70785131.1028
2008,M,Medium Vendor,Duns,0,0,1,1,1,1,6300.0000
2015,N,Sometimes Small Vendor,PID,1,1,1,3,3,51,147600864.4300
2008,U,Unlabeled Vendor,Duns,1,0,0,76,2,82,76779.9998
2014,N,Sometimes Small Vendor,PID,1,1,1,6,6,3236,393710556.7400
2013,M,Medium Vendor,PDuns,1,0,0,577,577,1283,218168.2400
2003,L,Large Vendor,PDuns,NULL,1,1,1,1,1,47000.0000
2004,U,Unlabeled Vendor,Name,0,0,1,54,2,69,222631.9084
2012,S,Always Small Vendor,Duns,1,0,1,1,1,1,4225.0000
2007,N,Sometimes Small Vendor,PDuns,1,0,1,114,114,628,1953497.5603
2007,S,Always Small Vendor,PDuns,1,0,0,185,185,280,415099.8500
2005,M,Medium Vendor,PDuns,1,1,1,4679,4753,59554,5781179330.3248
2013,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,2,0,10415.0000
1989,L,Large Vendor,PDuns,NULL,1,1,5,10,NULL,9983000.0000
1996,S,Always Small Vendor,PDuns,NULL,0,0,198,200,322,-11249998.0000
1998,L,Large Vendor,Duns,NULL,1,1,1,1,133,146644780.0000
2015,N,Sometimes Small Vendor,PID,0,0,1,3,3,11,16905.9300
2004,L,Large Vendor,PDuns,0,0,1,5,19,71,3470933.0697
1993,N,Sometimes Small Vendor,PDuns,NULL,1,1,1216,4648,325,10696377882.0000
2004,N,Sometimes Small Vendor,PDuns,0,1,1,9106,14242,592743,30044855935.8057
2010,U,Unlabeled Vendor,Duns,0,1,1,2,2,2,123262.1699
2004,M,Medium Vendor,PID,1,0,1,2,2,5,25193.0000
2012,S,Always Small Vendor,Name,0,1,1,1,1,1,28228.0000
2010,M,Medium Vendor,PDuns,NULL,0,0,585,587,4,14515.0400
2010,M,Medium Vendor,PID,0,1,1,544,544,34397,26123544149.7423
2013,J,Large: Big 5 JV,PID,0,1,1,13,13,2567,5587308840.5800
2004,S,Always Small Vendor,Name,1,0,0,16,1,18,20270.9598
2002,M,Medium Vendor,PDuns,1,1,1,4231,4262,21479,3949678102.4532
2008,N,Sometimes Small Vendor,PDuns,NULL,0,1,5,5,2,23984.5996
1990,S,Always Small Vendor,PDuns,NULL,1,1,3597,3857,1,3493644675.0000
2013,M,Medium Vendor,PDuns,0,1,1,12645,15338,1022887,18748875202.3800
2010,L,Large Vendor,PDuns,0,1,1,84,495,45373,1480801380.0480
2002,N,Sometimes Small Vendor,PDuns,NULL,0,0,11,11,10,14062.2100
2006,S,Always Small Vendor,PID,0,0,1,50,50,303,1223373.1590
2016,N,Sometimes Small Vendor,PDuns,NULL,1,1,67,71,10,34712033.4515
2009,N,Sometimes Small Vendor,PID,1,1,1,10,10,479,77205979.2800
2008,M,Medium Vendor,PDuns,1,0,0,879,889,2515,3762336.8419
1992,S,Always Small Vendor,PID,NULL,0,0,1,1,NULL,1162211.0000
1999,M,Medium Vendor,PDuns,NULL,1,1,6663,7649,38082,10446391376.0000
2012,N,Sometimes Small Vendor,PID,0,1,1,807,807,451341,47953731115.4716
2004,N,Sometimes Small Vendor,PDuns,1,0,0,4,4,18,26877.8801
2005,U,Unlabeled Vendor,Name,1,0,0,20,2,25,60887.6997
1993,M,Medium Vendor,PDuns,NULL,0,1,66,66,3,1223544.0000
2009,M,Medium Vendor,PDuns,1,0,0,884,886,2603,1803588.4204
1997,S,Always Small Vendor,PDuns,NULL,1,1,16912,17274,60055,11307706646.0000
2016,S,Always Small Vendor,PDuns,NULL,0,1,69,69,0,47038.9999
2014,U,Unlabeled Vendor,Name,0,1,1,1,1,NULL,0.0000
2005,S,Always Small Vendor,PDuns,0,0,1,35104,35231,205101,952051385.3096
2005,S,Always Small Vendor,Duns,1,0,0,4,2,4,616.8000
2004,M,Medium Vendor,PID,NULL,0,1,1,1,0,0.0000
1997,N,Sometimes Small Vendor,PDuns,NULL,1,1,2629,4614,47293,8636136246.0000
1999,N,Sometimes Small Vendor,PID,NULL,0,1,1,1,2,52000.0000
2005,S,Always Small Vendor,PID,NULL,0,1,5,5,9,36862.1500
1994,L,Large Vendor,PDuns,NULL,1,1,31,162,2146,709993183.0000
2012,N,Sometimes Small Vendor,PDuns,NULL,0,1,2,2,0,0.0000
2010,L,Large Vendor,PID,NULL,1,1,2,2,0,0.0000
2004,S,Always Small Vendor,PID,0,0,1,48,48,156,964434.6040
1994,L,Large Vendor,PID,NULL,1,1,134,134,36122,40489848594.0000
2012,N,Sometimes Small Vendor,PDuns,0,0,0,361,367,2011,1494066.8280
2006,S,Always Small Vendor,PID,0,1,1,452,452,15605,3260996207.6895
2002,S,Always Small Vendor,PDuns,NULL,1,1,1601,1601,49,21624681.9189
2014,N,Sometimes Small Vendor,PID,NULL,1,1,1,1,0,0.0000
2003,U,Unlabeled Vendor,Duns,0,0,1,5,1,6,13874.0000
2003,S,Always Small Vendor,Duns,0,0,1,6,2,8,59224.0000
2011,S,Always Small Vendor,PID,NULL,0,0,6,6,0,0.0000
1999,L,Large Vendor,PDuns,NULL,1,1,47,142,1446,349131588.0000
2008,N,Sometimes Small Vendor,PDuns,0,0,0,1287,1319,30282,12061753.2923
2014,J,Large: Big 5 JV,PDuns,0,1,1,1,4,43,-8950183.7800
2008,L,Large Vendor,Duns,1,1,1,1,3,12,194930.2998
2001,B,Big Five,PID,0,1,1,5,5,29719,50568366785.0459
2006,M,Medium Vendor,PDuns,0,0,0,4078,4126,14530,25021841.0374
1988,M,Medium Vendor,PDuns,NULL,0,0,3,3,NULL,-138330.0000
2005,M,Medium Vendor,PID,NULL,0,0,7,7,2,3359.0000
2015,S,Always Small Vendor,PDuns,0,0,1,18863,18899,63303,183101675.0400
2000,S,Always Small Vendor,PID,1,0,1,1,1,1,13000.0000
2003,M,Medium Vendor,PDuns,0,1,1,9291,10106,82080,15238517179.5672
2002,M,Medium Vendor,PID,NULL,0,0,2,2,0,0.0000
2005,M,Medium Vendor,PDuns,NULL,1,1,765,766,692,161362635.4606
2015,M,Medium Vendor,PID,1,1,1,93,93,42462,1713514005.5300
2009,S,Always Small Vendor,PID,0,1,1,352,352,32699,3225319658.6345
2012,S,Always Small Vendor,Duns,0,0,0,2,2,2,7644.0000
2006,S,Always Small Vendor,PDuns,NULL,0,0,3723,3724,1616,1906483.1309
2015,M,Medium Vendor,PDuns,NULL,0,0,659,660,2,-22414.6800
2001,S,Always Small Vendor,PDuns,1,0,0,3,3,3,-22039.0000
2013,S,Always Small Vendor,PDuns,0,0,0,8438,8446,19667,-8728971.3200
