SubawardReportYear,Customer,SubCustomer,CanadaSector,SubawardAmount,NumberOfContracts
2013,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other Services,44482.3203,1
2012,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",3507301941.8610,709
2016,Defense,Army,Other Services,129692242.3718,9
2012,DHS,OPO,C4ISR,28621801.1250,4
2015,DHS,TSA,NULL,4241151.0000,1
2015,Other Agencies,Education,Other R&D and Knowledge Based,52819617.8865,38
2014,Defense,MDA,C4ISR,58366108.3170,13
2011,Other Agencies,Justice,Other Services,3120308.0000,1
2011,State and IAP,State,Other R&D and Knowledge Based,310560.1563,1
2016,Defense,MDA,"Weapons, Ammunition and Missiles",1183857264.3189,15
2008,DHS,FEMA,Other R&D and Knowledge Based,2533518.2500,1
2016,Other Agencies,NULL,NULL,3567160.9062,3
2016,Energy,Energy,Other R&D and Knowledge Based,23094588.5411,8
2014,Defense,Army,C4ISR,6636894226.4540,387
2014,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",302951845.1093,414
2010,Defense,Army,Other R&D and Knowledge Based,26622599.3927,23
2010,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",3023157.0000,3
2013,Defense,Navy,Air,1398067003.3614,146
2013,DHS,CBP,Other R&D and Knowledge Based,827452.9306,2
2014,State and IAP,State,C4ISR,131866994.1598,73
2014,Defense,Air Force,Other Services,63854247.8750,16
2011,Defense,Air Force,C4ISR,233309463.0113,351
2012,NASA,NASA,"Weapons, Ammunition and Missiles",50023.0000,1
2014,Other Agencies,Interior,NULL,280175.2500,3
2016,Defense,Air Force,"Weapons, Ammunition and Missiles",195230469.0192,30
2016,Other Agencies,Education,Other R&D and Knowledge Based,34627591.4413,32
2015,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",7597182.0000,8
2011,DHS,OPO,C4ISR,19156675.9433,12
2014,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",1408954.9492,8
2011,DHS,CBP,Land,48744.0000,1
2016,Other Agencies,EPA,Other R&D and Knowledge Based,20663729.5729,22
2015,State and IAP,State,C4ISR,56525554.6212,54
2015,Other Agencies,Interior,Other R&D and Knowledge Based,18005288.3118,28
2011,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",2097855.2773,31
2013,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,160805.2226,1
2014,Defense,Navy,Air,4711808095.9576,173
2014,HHS,HHS,NULL,56767024.7453,13
2012,DHS,COAST GUARD,Other R&D and Knowledge Based,800804.7969,2
2014,HHS,HHS,Other Products,733566.0000,1
2015,Other Agencies,Agriculture,C4ISR,66645935.1454,34
2013,Other Agencies,Education,NULL,1520516.7500,2
2015,Other Agencies,Treasury,Other R&D and Knowledge Based,27276623.1759,20
2014,Other Agencies,Comptroller,Other R&D and Knowledge Based,531250.0000,2
2015,HHS,HHS,Other Products,131575.0273,2
2012,DHS,ICE,Other Services,301894.3125,1
2011,DHS,TSA,"Other Facilities, Construction, Manufacturing and Testing",1490262.3594,1
2013,NASA,NASA,Air,375013.0000,1
2012,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",222246.0200,3
2012,Defense,Navy,Space,3050435.2191,5
2013,Other Agencies,Labor,NULL,2162430.0000,2
2011,Other Agencies,HUD,C4ISR,20004162.9355,4
2014,Other Agencies,Transportation,C4ISR,1389634567.1078,45
2012,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",511883.0390,5
2011,Other Agencies,Commerce,Other R&D and Knowledge Based,2818138.3146,10
2014,Defense,MilitaryHealth,Other Products,13297786.0000,1
2012,State and IAP,State,Other R&D and Knowledge Based,1697166.4336,8
2013,Defense,Army,"Weapons, Ammunition and Missiles",394904648.6368,41
2014,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1790575571.9358,67
2014,Other Agencies,Interior,Sea,464444.8125,2
2016,DHS,COAST GUARD,NULL,179108810.6444,20
2016,Defense,Army,Air,674204580.5099,90
2014,Other Agencies,Exec Office,C4ISR,14075024.5938,6
2015,NASA,NASA,Air,15361500.9844,2
2012,Other Agencies,NATIONAL ENDOWMENT FOR THE ARTS,Other R&D and Knowledge Based,35137.7305,1
2016,Defense,DLA,Air,69128897.9718,53
2013,GSA,GSA,C4ISR,393400344.0175,109
2010,Defense,Navy,Other Services,290294.0000,2
2012,Defense,Air Force,Other R&D and Knowledge Based,600300192.5963,236
2010,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",8266753.6992,2
2015,Defense,Air Force,Other Services,58090884.7580,26
2016,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,328208.8438,1
2012,Defense,DLA,C4ISR,48001819.8081,177
2016,Other Agencies,HUD,C4ISR,208380.7968,2
2013,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",9255460.3905,9
2011,Other Agencies,All other Customers,C4ISR,4139972.7540,15
2011,DHS,COAST GUARD,Sea,34649.8008,1
2010,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",625000.0000,1
2015,Other Agencies,Labor,Other R&D and Knowledge Based,6333920.9454,13
2015,Other Agencies,HUD,Other R&D and Knowledge Based,2257288.6602,5
2012,Other Agencies,VA,Other R&D and Knowledge Based,36028023.8283,40
2016,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",47927348.9564,50
2014,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",25000.0000,1
2014,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,79833.6328,1
2016,Other Agencies,VA,C4ISR,23128212.8909,19
2012,DHS,TSA,"Other Facilities, Construction, Manufacturing and Testing",32297048.7657,2
2016,Other Agencies,Treasury,Other R&D and Knowledge Based,7203205.2580,6
2012,DHS,COAST GUARD,Air,1041630.3750,1
2012,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",1795358470.8463,427
2011,GSA,GSA,Other Products,85520.0000,1
2013,Defense,Navy,Other Products,6099029.3518,15
2014,Other Agencies,Archives,C4ISR,56751842.0352,5
2011,Defense,Navy,Land,31073634.8755,12
2016,Other Agencies,Justice,Other R&D and Knowledge Based,8450299.2188,9
2012,DHS,TSA,Other Services,156869.1700,1
2012,Other Agencies,VA,"Other Facilities, Construction, Manufacturing and Testing",213291351.4328,78
2016,DHS,CBP,C4ISR,6729182.7188,2
2015,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,Other R&D and Knowledge Based,43000.0000,1
2012,Defense,Other DoD,Space,231207.0000,1
2012,Defense,Other DoD,Other Products,500547.2224,8
2014,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",30000.0000,1
2011,Defense,Army,Other Services,16366828.5274,6
2012,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,89217.2500,1
2015,Defense,DLA,Other R&D and Knowledge Based,888116689.5084,41
2013,HHS,HHS,Other Products,1882737.9741,4
2014,DHS,ICE,C4ISR,1601916.0000,2
2011,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,9416453.4689,10
2015,Defense,Navy,Other Services,28868825.8536,36
2015,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,2242481.7500,3
2010,HHS,HHS,Other R&D and Knowledge Based,18047943.0000,13
2013,HHS,HHS,Other Services,38794777.0352,13
2014,DHS,TSA,C4ISR,320644216.2772,10
2016,State and IAP,State,Other R&D and Knowledge Based,506515.0000,2
2016,NULL,NULL,C4ISR,24799783.6406,7
2013,DHS,FEMA,NULL,1041525.2500,1
2014,Other Agencies,Commerce,C4ISR,30215236.0168,41
2009,Defense,Army,C4ISR,54500000.0000,3
2013,Other Agencies,Justice,Other R&D and Knowledge Based,19318024.5353,10
2014,DHS,Other DHS,Other R&D and Knowledge Based,2486625.0000,1
2016,GSA,GSA,Other Services,17211750.9378,2
2013,Defense,DLA,Sea,10072735.5335,105
2015,DHS,FEMA,NULL,6986084.7032,3
2013,Defense,Air Force,Other R&D and Knowledge Based,425149096.7660,283
2014,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,18355592.7188,4
2014,Energy,Energy,C4ISR,26423591.2188,10
2010,State and IAP,State,Air,1681000.0000,1
2013,Other Agencies,BROADCASTING BOARD OF GOVERNORS,"Other Facilities, Construction, Manufacturing and Testing",163148.0000,1
2011,Defense,Other DoD,Air,1869031.7031,11
2016,Other Agencies,Transportation,NULL,131494548.2988,30
2012,Other Agencies,EPA,C4ISR,8405534.9551,14
2010,State and IAP,USAID,C4ISR,8369929.0000,3
2013,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,2382582.7383,4
2011,Defense,Army,Sea,892779.4844,2
2012,Other Agencies,Commerce,C4ISR,71752342.8243,20
2015,Defense,Other DoD,Sea,1713938.5722,7
2015,HHS,HHS,Other Services,76598706.3751,19
2013,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,3822370.6172,5
2015,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",103446356.9923,17
2012,Other Agencies,VA,C4ISR,93891811.4030,100
2016,Other Agencies,Agriculture,Other R&D and Knowledge Based,2543156.0000,4
2011,Other Agencies,Justice,NULL,13271966.2500,1
2014,Other Agencies,Interior,Other Services,30000.0000,1
2014,DHS,ICE,Other R&D and Knowledge Based,8930.0000,1
2006,Defense,Navy,NULL,15800000.0000,1
2016,DHS,TSA,C4ISR,89088852.4363,9
2015,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,C4ISR,201100.1406,2
2014,DHS,FEMA,Other Products,1644460.0391,3
2015,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",24213463.5215,8
2015,NASA,NASA,Other Services,19725722.6285,17
2016,Other Agencies,All other Customers,Other R&D and Knowledge Based,16744000.0000,1
2012,State and IAP,State,Sea,264800.0000,1
2014,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",23777662.1541,29
2012,DHS,COAST GUARD,C4ISR,3561839.6563,10
2015,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",2204862.0000,4
2011,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",4115632785.6206,798
2012,DHS,COAST GUARD,Other Services,2487188.0000,1
2016,NASA,NASA,Space,975245616.1680,37
2012,State and IAP,USAID,C4ISR,161993674.9707,34
2014,DHS,OPO,Other R&D and Knowledge Based,28267571.6816,52
2016,Defense,Army,Other Products,1074433.0880,8
2016,Defense,Other DoD,NULL,348065579.1390,139
2016,Other Agencies,Exec Office,C4ISR,292744.8086,2
2013,NASA,NASA,Other R&D and Knowledge Based,1019468583.7788,35
2012,Defense,Other DoD,"Weapons, Ammunition and Missiles",1199993.7345,2
2015,DHS,COAST GUARD,Other Products,151103.7032,2
2013,Defense,DLA,Other R&D and Knowledge Based,9936362.8008,22
2013,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",3465669.6993,1
2015,Other Agencies,RAILROAD RETIREMENT BOARD,C4ISR,30417.0000,1
2010,GSA,GSA,Other Services,4571075.6250,2
2012,Defense,Navy,Other Services,11334070.1163,17
2012,Other Agencies,Transportation,Air,26328828.0000,2
2005,Defense,Navy,Other R&D and Knowledge Based,32000000.0000,1
2016,DHS,COAST GUARD,Other R&D and Knowledge Based,82916.3984,1
2016,DHS,Other DHS,NULL,592952.1876,2
2016,Energy,Energy,C4ISR,666899.0000,1
2016,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",-64250.0000,1
2012,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,1387903.5706,2
2012,HHS,HHS,Other Services,2120499.0014,9
2011,DHS,OPO,Other R&D and Knowledge Based,15698854.6875,19
2014,State and IAP,USAID,NULL,65226.0000,1
2010,Defense,DLA,C4ISR,1455972.0000,5
2011,Other Agencies,VA,C4ISR,145480960.1146,154
2013,Defense,Navy,Land,19396823.5840,18
2010,Defense,Army,C4ISR,183429420.2893,50
2011,State and IAP,State,C4ISR,5818835.1018,36
2013,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,156800.0000,2
2013,Other Agencies,Commerce,Other R&D and Knowledge Based,17188109.5492,37
2016,NULL,NULL,Other R&D and Knowledge Based,9244682.0000,10
2014,Defense,MDA,Other R&D and Knowledge Based,32999971.4141,2
2016,Defense,Army,Space,264869.5236,1
2016,Defense,Navy,Other R&D and Knowledge Based,316194324.5856,121
2016,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",37108.9883,1
2015,Defense,Air Force,Air,2167671615.7671,275
2016,Other Agencies,Commerce,NULL,18233116.4570,38
2011,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",488027.3535,5
2009,Other Agencies,Education,C4ISR,1000000.0000,1
2010,Other Agencies,Labor,C4ISR,8103688.0000,5
2015,Defense,DLA,"Weapons, Ammunition and Missiles",658667.5742,8
2014,Other Agencies,VA,Other R&D and Knowledge Based,69371381.2524,28
2015,DHS,ICE,Other R&D and Knowledge Based,408000.0000,1
2012,Other Agencies,Interior,Other R&D and Knowledge Based,20303413.4738,39
2013,Other Agencies,Commerce,Sea,791300.0000,2
2016,Other Agencies,Interior,C4ISR,2026539.5000,4
2014,Other Agencies,FEDERAL TRADE COMMISSION,Other Services,553550.0000,1
2015,Defense,MilitaryHealth,NULL,13404848.0000,1
2016,State and IAP,USAID,Other R&D and Knowledge Based,265162024.3829,71
2014,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,2181828.7149,5
2015,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",2839365.0000,4
2011,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",33406704.4024,10
2016,Other Agencies,Comptroller,NULL,1622104.0000,3
2013,State and IAP,USAID,C4ISR,144169779.5137,25
2015,Other Agencies,Treasury,C4ISR,339964071.0554,44
2012,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,19548708.0000,4
2008,DHS,OPO,C4ISR,318540.0000,1
2014,Other Agencies,Justice,Other Services,2229950.0000,1
2012,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",31991260.7539,43
2011,Defense,Navy,Other Products,26970580.4689,18
2012,DHS,FEMA,Other R&D and Knowledge Based,66954396.5109,19
2008,Defense,Army,C4ISR,581226654.7891,13
2012,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",2867498.1709,3
2015,Other Agencies,Labor,C4ISR,3600484.0920,13
2015,Other Agencies,All other Customers,Other R&D and Knowledge Based,2369468.5313,5
2016,Defense,Army,Land,246295954.6345,42
2012,Other Agencies,Justice,NULL,439915.3984,2
2013,Other Agencies,Commerce,C4ISR,8596631.8517,24
2015,Other Agencies,Transportation,NULL,60405068.0000,2
2014,HHS,HHS,Other Services,74788960.5628,10
2010,Defense,Other DoD,Air,125000.0000,1
2011,HHS,HHS,Other R&D and Knowledge Based,179077249.0830,94
2014,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",8973324.8924,18
2014,Defense,DLA,NULL,457786.6230,7
2014,Other Agencies,NULL,C4ISR,3196497.0000,1
2013,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,2001019.0000,3
2014,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,1231208.0000,2
2012,Defense,Other DoD,Air,21774072.3009,20
2014,Other Agencies,HUD,Other Services,153448.6485,1
2014,NASA,NASA,Other Services,4564924.4297,7
2014,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",100000.0000,1
2016,DHS,Other DHS,C4ISR,46734861.0198,3
2016,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",25049408.3128,11
2015,Other Agencies,Education,Other Services,818670.9104,5
2011,State and IAP,USAID,C4ISR,120908944.3400,28
2013,Other Agencies,Interior,Other Services,2974261.5313,3
2013,Energy,Energy,C4ISR,964489.4395,3
2011,Other Agencies,Interior,C4ISR,585092.0094,6
2012,Defense,Army,Sea,5102565.5759,5
2012,Other Agencies,SMALL BUSINESS ADMINISTRATION,Other R&D and Knowledge Based,498339.2734,2
2014,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,15344456.8204,7
2011,Other Agencies,Justice,Other Products,714012.8438,2
2014,Other Agencies,Justice,Other R&D and Knowledge Based,57213506.3808,26
2016,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",40846620.5938,4
2013,DHS,Other DHS,Other R&D and Knowledge Based,2452553.9531,3
2011,DHS,COAST GUARD,C4ISR,276752.0996,3
2007,Defense,Navy,NULL,4212000.0000,3
2014,Defense,Other DoD,Sea,8644309.0254,3
