SubawardReportYear,Customer,SubCustomer,CanadaSector,SubawardAmount,NumberOfContracts
2016,Defense,Navy,Space,18852118.9849,3
2013,Other Agencies,VA,Other R&D and Knowledge Based,19147252.0411,44
2015,GSA,GSA,Other R&D and Knowledge Based,1758499457.7592,54
2013,Defense,MDA,Other R&D and Knowledge Based,1336002.3125,2
2011,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",94216874.5146,32
2011,Defense,Navy,Other Services,2569119.9297,6
2016,NASA,NASA,Air,124000.0000,1
2013,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",707517210.6805,80
2011,Defense,Other DoD,Other Products,243400.0000,4
2015,Defense,Other DoD,Air,60130179.9069,83
2011,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",1509276.2910,4
2011,Defense,Navy,Air,222221539.5468,38
2010,Other Agencies,All other Customers,C4ISR,106335.3984,3
2016,State and IAP,USAID,C4ISR,6636597.9494,12
2012,DHS,COAST GUARD,Sea,24920000.0000,1
2010,DHS,OPO,Other R&D and Knowledge Based,977889.0000,1
2013,GSA,GSA,Other R&D and Knowledge Based,1252250103.2664,57
2015,Defense,MilitaryHealth,Other Products,34319.4609,1
2011,Other Agencies,INTERNATIONAL TRADE COMMISSION,NULL,81512.7500,1
2016,Defense,MilitaryHealth,Other R&D and Knowledge Based,4128327.9175,5
2011,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",256587986.7500,4
2012,GSA,GSA,C4ISR,279614159.3309,58
2010,State and IAP,State,C4ISR,95255.0000,1
2011,Defense,Army,C4ISR,553881915.7580,271
2012,Other Agencies,All other Customers,C4ISR,78012931.3624,38
2015,Defense,MDA,Other R&D and Knowledge Based,44874066.3594,5
2011,Defense,DLA,C4ISR,18811924.2463,98
2011,Other Agencies,Agriculture,Other Products,56000.0000,1
2011,Defense,Air Force,Other R&D and Knowledge Based,226311411.6791,110
2011,Other Agencies,VA,Other R&D and Knowledge Based,32910032.2188,23
2015,Defense,Other DoD,Land,28082364.4176,10
2011,NASA,NASA,Other Services,350600.0000,1
2016,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",475085.2188,3
2015,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,868052.0000,1
2011,Other Agencies,Interior,Other R&D and Knowledge Based,6795234.1094,10
2016,Other Agencies,Education,Other Services,33723.1992,1
2013,DHS,CBP,C4ISR,17001608.1411,6
2016,Defense,Other DoD,"Weapons, Ammunition and Missiles",263979891.4498,6
2015,Other Agencies,Treasury,NULL,8753788.0000,2
2011,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,27585838.7968,5
2011,Other Agencies,NATIONAL GALLERY OF ART,Other R&D and Knowledge Based,46752641.4493,2
2014,Defense,DLA,"Weapons, Ammunition and Missiles",488323.5625,9
2013,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",5173868.0000,4
2015,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1357189376.9258,80
2015,DHS,CBP,C4ISR,20370655.5360,28
2012,DHS,TSA,C4ISR,62781.0000,1
2011,DHS,TSA,Other R&D and Knowledge Based,775489.1563,2
2011,GSA,GSA,NULL,394000000.0000,1
2012,NASA,NASA,Space,100203091.5000,29
2013,DHS,ICE,C4ISR,2224048.0000,1
2016,Other Agencies,Justice,C4ISR,91462034.9730,14
2016,Energy,Energy,Other Services,1029050.0000,1
2015,Other Agencies,Commerce,NULL,2726739.0004,6
2011,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",363800343.3223,336
2010,Defense,Other DoD,Other Services,119580.0000,1
2015,DHS,ICE,C4ISR,14292218.6417,18
2015,DHS,Other DHS,Other R&D and Knowledge Based,34958407.2186,1
2013,Defense,Navy,"Weapons, Ammunition and Missiles",603975645.2865,50
2012,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",5471305.5957,6
2013,Other Agencies,Interior,Sea,349584.0000,1
2015,DHS,COAST GUARD,NULL,932016.4922,3
2010,Defense,Air Force,C4ISR,29820197.2774,18
2014,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",543253.0196,1
2012,Defense,DLA,Other R&D and Knowledge Based,3577900.0957,8
2014,Other Agencies,Comptroller,C4ISR,4359574.0000,1
2011,GSA,GSA,Other Services,9718340.9220,3
2016,Defense,Air Force,NULL,2080642987.3533,338
2009,DHS,TSA,Other Services,240000.0000,1
2014,Other Agencies,Justice,Land,448600.0000,2
2016,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",6251723568.1466,314
2010,HHS,HHS,C4ISR,4831307.6016,6
2015,DHS,COAST GUARD,Other R&D and Knowledge Based,192982.0000,2
2015,Other Agencies,HUD,C4ISR,20894264.6646,5
2013,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,43185339.0000,2
2012,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",29208157.7030,12
2011,Other Agencies,EPA,C4ISR,57843404.8067,20
2013,Other Agencies,Exec Office,C4ISR,1358521.0938,4
2010,DHS,COAST GUARD,Other R&D and Knowledge Based,1160966.4687,1
2015,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,18745772.0000,2
2011,Other Agencies,Agriculture,C4ISR,42059816.7345,19
2012,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,291478.0000,1
2013,DHS,ICE,Land,30600.0000,1
2010,Other Agencies,Commerce,Other R&D and Knowledge Based,1021482.9971,9
2016,NASA,NASA,Other Services,6462151.1292,14
2012,Other Agencies,Commerce,Other R&D and Knowledge Based,5124583.0655,23
2015,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,86576.7969,1
2013,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",58939158.5430,17
2012,Defense,Army,Other R&D and Knowledge Based,2222707960.1153,362
2015,State and IAP,State,Other R&D and Knowledge Based,21967475.3095,15
2011,DHS,TSA,Other Services,200888.2969,1
2012,Defense,Navy,Other Products,30639600.0157,11
2016,Other Agencies,HUD,Other R&D and Knowledge Based,5015683.0000,3
2015,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",2436515.7657,9
2016,Other Agencies,Treasury,C4ISR,5307868.3206,8
2011,Other Agencies,Transportation,Air,38352192.6057,1
2016,Other Agencies,Labor,Other R&D and Knowledge Based,4105859.7266,5
2015,Other Agencies,Interior,C4ISR,4002235.6329,18
2010,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,40438.0000,1
2011,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",13510609.1875,12
2013,Defense,Navy,NULL,72239696.9610,9
2013,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,422872.0000,2
2012,Other Agencies,EPA,Other R&D and Knowledge Based,22034653.3829,42
2015,State and IAP,USAID,Other R&D and Knowledge Based,1768278801.9796,103
2013,GSA,GSA,Other Services,23413634.9164,21
2011,Other Agencies,VA,Other Services,315226.5371,4
2011,Other Agencies,Commerce,C4ISR,7935248.7735,17
2011,Other Agencies,All other Customers,Other R&D and Knowledge Based,120246.0000,2
2013,State and IAP,State,Other R&D and Knowledge Based,3390439.6328,12
2013,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",7576455.2695,17
2013,Defense,MDA,C4ISR,22061159.9885,9
2013,DHS,FEMA,Other Services,354589.7656,1
2013,DHS,OPO,C4ISR,155403187.6447,12
2012,Defense,Navy,Air,936592529.4156,87
2010,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",17779070.0000,1
2011,Other Agencies,COMMODITY FUTURES TRADING COMMISSION,C4ISR,183347.3242,3
2011,NASA,NASA,"Weapons, Ammunition and Missiles",8634823.0000,1
2013,State and IAP,USAID,NULL,1572071.2500,2
2015,Other Agencies,VA,Other Products,17299062.0898,35
2011,Other Agencies,NATIONAL SCIENCE FOUNDATION,C4ISR,1025061.6836,6
2013,DHS,COAST GUARD,Other Products,42171.0000,1
2016,Defense,MDA,Space,230832.0000,1
2015,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",443311771.5760,369
2012,State and IAP,USAID,NULL,6532242.0000,2
2015,Defense,Army,C4ISR,6226970983.8892,342
2016,Defense,Navy,NULL,5735649146.3817,549
2012,Defense,Air Force,C4ISR,405731140.6074,425
2012,Other Agencies,Interior,Air,755441.0000,1
2015,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",2353469.0000,12
2016,Defense,Other DoD,C4ISR,1044760108.0426,89
2016,DHS,TSA,Other R&D and Knowledge Based,386515.1875,1
2011,Defense,DLA,Other R&D and Knowledge Based,3212250.8751,3
2016,HHS,HHS,Other Products,134090.0000,1
2016,Other Agencies,Transportation,C4ISR,191902.0000,1
2010,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",70654596.7485,50
2011,State and IAP,USAID,Other R&D and Knowledge Based,17394837.4180,12
2012,Other Agencies,Treasury,Other Products,25800.0000,1
2015,Other Agencies,EPA,Other R&D and Knowledge Based,20367280.4787,35
2011,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",3293754464.8696,450
2012,Defense,Navy,"Weapons, Ammunition and Missiles",601133800.0653,35
2014,DHS,FEMA,Other Services,190121.8809,1
2013,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",95111157.1784,28
2013,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,23030.0000,1
2006,GSA,GSA,C4ISR,850000.0000,1
2016,Defense,Navy,Other Products,437542.8750,6
2016,State and IAP,State,C4ISR,33358622.5781,9
2011,Defense,Army,Other R&D and Knowledge Based,338792022.0947,235
2012,NASA,NASA,Air,842944.0000,1
2007,Defense,Navy,C4ISR,39852309.8750,11
2014,Energy,Energy,Other R&D and Knowledge Based,7230336.7970,6
2011,Defense,Air Force,Other Services,36883661.3341,6
2015,HHS,HHS,NULL,8126957.8493,12
2012,Other Agencies,SMALL BUSINESS ADMINISTRATION,C4ISR,41338.0000,1
2015,Other Agencies,All other Customers,C4ISR,262504267.8641,54
2011,DHS,COAST GUARD,Other R&D and Knowledge Based,2024596.6679,4
2016,HHS,HHS,NULL,142406602.4690,42
2014,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",3386600.0937,9
2014,Other Agencies,Labor,NULL,1000000.0000,1
2013,Energy,Energy,Other R&D and Knowledge Based,11429483.4375,11
2012,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",55867880.3213,60
2015,NASA,NASA,NULL,1972759.1172,5
2008,Defense,Army,Other R&D and Knowledge Based,21646700.0000,2
2015,Defense,Navy,Land,115569232.9207,4
2007,DHS,FEMA,Other R&D and Knowledge Based,3257647.0000,1
2016,NASA,NASA,NULL,259297466.4612,34
2014,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",75747646.2171,27
