"","Fiscal.Year","Customer","SubCustomer","SubCustomer.component","SubCustomer.sum","SubCustomer.detail","PlatformPortfolio","PlatformPortfolio.sum","ProductServiceOrRnDarea","ServicesCategory.sum","ProductOrServiceCode","ProductOrServiceCodeText","Obligation.2014"
"20",2001-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1620","AIRCRAFT LANDING GEAR COMPONENTS",0.0418978650793651
"21",2006-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2540","VEHICULAR FURNITURE AND ACCESSORIES",0.000784614055299539
"22",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","6685","PRESSURE TEMP HUMIDITY INSTRUMENTS",0.000144772136826153
"23",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2590","MISCELLANEOUS VEHICULAR COMPONENTS",0.00241847833384821
"24",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2520","VEH POWER TRANSMISSION COMPONENTS",0.002670067347626
"25",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2520","VEH POWER TRANSMISSION COMPONENTS",0.00180185878900216
"26",2011-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Other Products","Other","Other","Products (All)","5340","HARDWARE",3.39634913973982e-05
"27",2010-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","B526","OCEANOLOGICAL STUDIES",4.81587505348738e-06
"28",2001-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6110","ELECTRICAL CONTROL EQUIPMENT",0.000494252645502646
"29",2012-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D308","IT AND TELECOM- PROGRAMMING",2.48120687879724e-05
"30",2002-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",0.00133308352849336
"31",2008-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Clothing & Subsistence","Products (All)","8405","OUTERWEAR, MEN'S",9.94577006507592e-06
"32",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","ERS","Services (Non-R&D)","K062","MOD OF LIGHTING FIXTURES",6.54506678639578e-06
"33",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","4240","SAFETY AND RESCUE EQUIPMENT",0.000160809798887463
"34",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2590","MISCELLANEOUS VEHICULAR COMPONENTS",0.00371621130114743
"35",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2540","VEHICULAR FURNITURE AND ACCESSORIES",0.0132088633504493
"36",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2510","VEH CAB BODY FRAME STRUCTURAL COMP",0.00977323554882009
"37",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",0.0267735692299622
"38",2001-01-01,"Defense","Navy","Navy","Navy","Navy","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1560","AIRFRAME STRUCTURAL COMPONENTS",0.000798289682539683
"39",2009-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6350","MISC ALARM, SIGNAL, SEC SYSTEMS",2.04503139207621e-05
"40",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5306","BOLTS",0.000362764227642276
"41",2011-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","PAMS","Services (Non-R&D)","C215","A/E PROD ENG SVCS (INCL DESIGN-CONT",0.00790107395090222
"42",2007-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7030","ADP SOFTWARE",0.00298046918846111
"43",2005-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1377","CARTRIDGE & PROPELLANT DEVICES",0.000502589679418425
"44",2001-01-01,"Defense","Army","Army","Army","Army","Other Services","Other","PAMS","Services (Non-R&D)","R706","LOGISTICS SUPPORT SERVICES",0.00932539682539683
"45",2012-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","3950","WINCHES HOISTS CRANES & DERRICKS",0.000698368880650808
"46",2005-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2590","MISCELLANEOUS VEHICULAR COMPONENTS",0.000549449410082231
"47",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",1.01569928555965e-05
"48",2011-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R414","SYSTEMS ENGINEERING SERVICES",0.00715759479647503
"49",2005-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Clothing & Subsistence","Products (All)","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP",0.000523195089977357
"50",2011-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1220","FIRE CONT COMPUTING SIGHTS & DEVICE",0
"51",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",0.00451891329292055
"52",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5340","HARDWARE",0.00263350428380187
"53",2008-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Other R&D and Knowledge Based","Other","Applied Research (6.2)","R&D","AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0.000168244034707158
"54",2002-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","6660","METEOROLOG INSTRUMENTS & APPARATUS",4.42362737444705e-05
"55",2002-01-01,"Defense","Navy","Navy","Navy","Navy","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ",0.00039344262295082
"56",2006-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5340","HARDWARE",0.000574184331797235
"57",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5365","BUSHINGS, RINGS, SHIMS AND SPACERS",0.000320895378690629
"58",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6220","ELEC VEHICULAR LIGHTS & FIXTURES",0.00308559464524766
"59",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","4910","MOTOR VEHICLE MAINT EQ",5.07686807293529e-06
"60",2001-01-01,"Defense","Army","Army","Army","Army","Aircraft and Drones","Aircraft and Drones","Ground Vehicles","Products (All)","2640","TIRE REBUILDING AND TIRE AND TUBE REPAIR MATERIALS",0.00243175793650794
"61",2008-01-01,"Defense","Army","Army","Army","Army","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",0.00726993110629067
"62",2001-01-01,"Defense","Navy","Navy","Navy","Navy","Missile and Space Systems","Missile and Space Systems","Missiles & Space","Products (All)","1430","GUIDED MISSILE REMOTE CONT SYSTEMS",0.00135242063492063
"63",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Clothing & Subsistence","Products (All)","6530","HOSP FURNITURE,EQ,UTENSILS & SUP",5.33677331887202e-05
"64",2008-01-01,"Defense","Army","Army","Army","Army","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2350","COMBAT ASSAULT & TACTICAL VEH",0.104354714587852
"65",2009-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","6625","ELECT ELECTRONIC MEASURING INSTRUMT",0.00105031584758606
"66",2005-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Basic Research (6.1)","R&D","AP91","OTHER NATURAL RESOURCES (BASIC)",0.000494463115242522
"67",2012-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5920","FUSES ARRESTERS ABORBERS & PROTECTO",4.40345999382144e-05
"68",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2590","MISCELLANEOUS VEHICULAR COMPONENTS",0.000261157256706701
"69",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1005","GUNS, THROUGH 30 MM",0.000247048373898447
"70",2012-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5985","ANTENNAS WAVEGUIDES & RELATED EQ",0.0103687179899084
"71",2012-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2540","VEHICULAR FURNITURE AND ACCESSORIES",1.61168468746782e-05
"72",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5340","HARDWARE",0.00131304035505521
"73",2006-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Facilities and Construction","Facilities and Construction","Other","Products (All)","4210","FIRE FIGHTING EQUIPMENT",1.3991935483871e-05
"74",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5995","CABLE CORD WIRE ASSEMBLY - COMM EQ",0.00156939110287303
"75",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5895","MISC COMMUNICATION EQ",0.00549138600881897
"76",2012-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D307","AUTOMATED INFORMATION SYSTEM SVCS",0.00207582836988982
"77",2011-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","J070","MAINT-REP OF ADP EQ & SUPPLIES",0.00013927275493076
"78",2006-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",0.000135510368663594
"79",2006-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5315","NAILS, MACHINE KEYS, AND PINS",0.000100630184331797
"80",2005-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","7830","RECREATIONAL & GYMNASTIC EQ",7.84674055535693e-05
"81",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5320","RIVETS",0.0010558791963911
"82",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2350","COMBAT ASSAULT & TACTICAL VEH",0.397114933213604
"83",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Engines & Power Plants","Products (All)","2835","GAS TURBINES & JET ENG EXCEPT AIR",0.000743371638882875
"84",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","3130","BEARINGS, MOUNTED",0.00379448759681221
"85",2012-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","6655","GEOPHYSICAL INSTRUMENTS",0.000469558068170116
