"","Fiscal.Year","Customer","SubCustomer","SubCustomer.component","SubCustomer.sum","SubCustomer.detail","PlatformPortfolio","PlatformPortfolio.sum","ProductServiceOrRnDarea","ServicesCategory.sum","ProductOrServiceCode","ProductOrServiceCodeText","Obligation.2014"
"1808",2006-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6220","ELEC VEHICULAR LIGHTS & FIXTURES",9.93421658986175e-05
"1809",2008-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Aircraft and Drones","Aircraft and Drones","Engines & Power Plants","Products (All)","2840","GAS TURBINES & JET ENGINES AIRCRAFT",0.0021490340021692
"1810",2011-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Other Services","Other","ERS","Services (Non-R&D)","J016","MAINT-REP OF AIRCRAFT COMPONENTS",0.00688791809693663
"1811",2010-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT",1.09287762088147e-05
"1812",2008-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6025","FIBER OPTIC TRANSMITTERS",0.000344671930585683
"1813",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","5280","SETS, KITS & OUTFITS OF MEASURING T",2.64316702819957e-05
"1814",2002-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Weapons and Ammunition","Weapons and Ammunition","Other","Products (All)","3690","SPECIAL AMMUNITION & ORDNANCE MACH",0.000873337236533958
"1815",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","4330","CENTRIFUGALS SEPARATORS & FILTERS",5.1417106297003e-05
"1816",2007-01-01,"Defense","Army","Army","Army","Army","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",0.00488100190818274
"1817",2008-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","6070","FIBER OPTIC ACCESSORIES & SUPPLIES",7.5531453362256e-06
"1818",2007-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1310","AMMUNITION, OVER 30 MM UP TO 75 MM",0.0284437626557414
"1819",2010-01-01,"Defense","Navy","Navy","Navy","Navy","Ships & Submarines","Ships & Submarines","Ships","Products (All)","2010","SHIP AND BOAT PROPULSION COMPONENTS",0.000208675652545999
"1820",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","6810","CHEMICALS",0.000155318217532832
"1821",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",0.00994879171898679
"1822",2005-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Fuels","Products (All)","9140","FUEL OILS",0
"1823",2010-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7030","ADP SOFTWARE",0.00275895064184852
"1824",2011-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7025","ADP INPUT/OUTPUT & STORAGE DEVICES",0.000119402591271506
"1825",2009-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA",0.000567234249837627
"1826",2006-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Facilities and Construction","Facilities and Construction","Other","Products (All)","6625","ELECT ELECTRONIC MEASURING INSTRUMT",0.00043332603686636
"1827",2002-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7030","ADP SOFTWARE",8.74342961228207e-05
"1828",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",0.000895778426310473
"1829",2006-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Advanced Technology Development (6.3)","R&D","AN13","BIOMEDICAL (ADVANCED)",7.21716589861751e-05
"1830",2000-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7030","ADP SOFTWARE",0.00113571292775665
"1831",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","3120","BEARINGS, PLAIN, UNMOUNTED",5.02398237515736e-05
"1832",2000-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6130","CONVERTERS, ELECTRICAL, NONROTATING",0.000209890005431831
"1833",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","4520","SPACE AND WATER HEATING EQUIPMENT",0.00110963281577843
"1834",2006-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Facilities and Construction","Facilities and Construction","Other","Products (All)","7195","MISC FURNITURE & FIXTURES",6.17511520737327e-05
"1835",2010-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7035","ADP SUPPORT EQUIPMENT",0.000235648459563543
"1836",2008-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL",0.000697116052060737
"1837",2005-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Other","Products (All)","3110","BEARINGS, ANTIFRICTION, UNMOUNTED",0.000115902752949589
"1838",2005-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5935","CONNECTORS, ELECTRICAL",0.000216831128590156
"1839",2007-01-01,"Defense","Army","Army","Army","Army","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2350","COMBAT ASSAULT & TACTICAL VEH",0.112826588842743
"1840",2002-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","5440","SCAFFOLDING EQ & CONCRETE FORMS",6.85024720270622e-05
"1841",2012-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Advanced Technology Development (6.3)","R&D","AJ93","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)",0.00294046059108228
"1842",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","9340","GLASS FABRICATED MATERIALS",1.24626781905938e-05
"1843",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6105","MOTORS, ELECTRICAL",6.37903902643726e-05
"1844",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Aircraft and Drones","Aircraft and Drones","Engines & Power Plants","Products (All)","2840","GAS TURBINES & JET ENGINES AIRCRAFT",0.0189329402177573
"1845",2006-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6120","TRANSFORMERS - DISTRIB & POWER STA",0.00182307258064516
"1846",2000-01-01,"Defense","Army","Army","Army","Army","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1730","AIRCRAFT GROUND SERVICING EQUIPMENT",0.000898436990765888
"1847",2011-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R425","ENGINEERING AND TECHNICAL SERVICES",-5.31943978178766e-05
"1848",2010-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D308","IT AND TELECOM- PROGRAMMING",0.000128369704749679
"1849",2011-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","6655","GEOPHYSICAL INSTRUMENTS",0.000215963596307176
"1850",2001-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6110","ELECTRICAL CONTROL EQUIPMENT",0.000302261904761905
"1851",2012-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5895","MISC COMMUNICATION EQ",0.00347620842343734
"1852",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",0.000354716743600504
"1853",2000-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Other","Products (All)","5350","ABRASIVE MATERIALS",0.000751507332971211
"1854",2005-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","4240","SAFETY AND RESCUE EQUIPMENT",0.0070959480395662
"1855",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","6650","OPTICAL INSTRUMENTS",0.00032574042000433
"1856",2007-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Applied Research (6.2)","R&D","AN12","BIOMEDICAL (APPLIED/EXPLORATORY)",4.38882029408463e-05
"1857",2008-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","J070","MAINT-REP OF ADP EQ & SUPPLIES",8.12917570498915e-05
"1858",2012-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Other","Products (All)","6910","TRAINING AIDS",7.24136958088765e-05
"1859",2011-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS",-0.000192418275283256
"1860",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6110","ELECTRICAL CONTROL EQUIPMENT",3.4414375405932e-05
"1861",2000-01-01,"Defense","DLA","DLA","Other DoD","DLA","Missile and Space Systems","Missile and Space Systems","Missiles & Space","Products (All)","1420","GUIDED MISSILE COMPONENTS",0.00126007740358501
"1862",2001-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5895","MISC COMMUNICATION EQ",0.00202638227513227
"1863",2010-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5895","MISC COMMUNICATION EQ",0.00162862011125374
"1864",2005-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Basic Research (6.1)","R&D","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)",0.000861202478846383
"1865",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6117","SOLAR ELECTRIC POWER SYSTEMS",1.98778199566161e-05
"1866",2009-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1240","OPTICAL SIGHTING & RANGING EQUIPMEN",0
"1867",2002-01-01,"Defense","Army","Army","Army","Army","Other Services","Other","ERS","Services (Non-R&D)","W099","LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS",5.72469424928441e-06
"1868",2008-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Basic Research (6.1)","R&D","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)",0
"1869",2010-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D304","ADP SVCS/TELECOMM & TRANSMISSION",1.06974753958066e-05
"1870",2009-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1025","GUNS OVER 150 MM THROUGH 200 MM",0.00524106310889803
"1871",2001-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7045","ADP SUPPLIES",0.000132268518518519
"1872",2010-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Aircraft and Drones","Aircraft and Drones","Engines & Power Plants","Products (All)","2840","GAS TURBINES & JET ENGINES AIRCRAFT",-0.000506219512195122
"1873",2012-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Engines & Power Plants","Products (All)","6620","ENGINE INSTRUMENTS",0.000393958305014932
"1874",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5950","COILS AND TRANSFORMERS",2.83224926563156e-05
"1875",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","5310","NUTS AND WASHERS",2.22396622645594e-05
"1876",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5810","COMM SECURITY EQ & COMPS",0.000721795971874628
"1877",2009-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Clothing & Subsistence","Products (All)","6545","MEDICAL SETS KITS & OUTFITS",1.9034423035289e-05
"1878",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","4130","REFRIGERATION & AIR CONDITION COMP",0.000710926401369277
"1879",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5306","BOLTS",0.000604032731850608
"1880",2008-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Other","Products (All)","9540","STRUCTURAL SHAPES NONFERROUS METAL",0.013779169197397
"1881",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Services","Other","ERS","Services (Non-R&D)","K099","MOD OF MISC EQ",3.25210461331238e-05
"1882",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","4310","COMPRESSORS AND VACUUM PUMPS",5.44370860927152e-06
"1883",2009-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","3930","WAREHOUSE TRKS & TRACTORS SELF-PROP",0.000109687161723317
"1884",2010-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5865","ELEC COUNTERMEASURE & QUICK REAC EQ",0.00221929718656397
"1885",2005-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Operational Systems Development (6.7)","R&D","AD97","R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED)",0.000509325467763079
"1886",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","3805","EARTH MOVING & EXCAVATING EQ",0.000739240453210239
"1887",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2540","VEHICULAR FURNITURE AND ACCESSORIES",0.000277017418655098
"1888",2001-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Engines & Power Plants","Products (All)","2835","GAS TURBINES & JET ENG EXCEPT AIR",0.00184093915343915
"1889",2008-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","6610","FLIGHT INSTRUMENTS",0.00069838399132321
"1890",2012-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7050","ADP COMPONENTS",0.000189057779837298
"1891",2005-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","ERS","Services (Non-R&D)","J066","MAINT-REP OF INSTRUMENTS & LAB EQ",3.89107376951496e-05
"1892",2005-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D314","ADP ACQUISITION SUP SVCS",0.00270527946609463
"1893",2011-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Clothing & Subsistence","Products (All)","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP",5.44303399076794e-05
"1894",2008-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Other R&D and Knowledge Based","Other","Applied Research (6.2)","R&D","AD92","OTHER DEFENSE (APPLIED/EXPLORATORY)",0.000993896963123644
"1895",2012-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","6645","TIME MEASURING INSTRUMENTS",0.0002387921841211
"1896",2012-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","3990","MISC MATERIALS HANDLING EQ",0.00981135594686438
"1897",2006-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","6655","GEOPHYSICAL INSTRUMENTS",6.12085253456221e-05
"1898",2010-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","6650","OPTICAL INSTRUMENTS",0.000145767008985879
"1899",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","6610","FLIGHT INSTRUMENTS",0.00163250054124269
"1900",2009-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Advanced Component Development & Prototypes (6.4)","R&D","AJ14","PHYSICAL SCIENCES (ENGINEERING)",0.000700898462870751
"1901",2011-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Other R&D and Knowledge Based","Other","Basic Research (6.1)","R&D","AD91","OTHER DEFENSE (BASIC)",0.00135739613932018
"1902",2005-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5985","ANTENNAS WAVEGUIDES & RELATED EQ",0.000286046955070909
"1903",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","R425","ENGINEERING AND TECHNICAL SERVICES",0.000497423953305646
"1904",2001-01-01,"Defense","Navy","Navy","Navy","Navy","Weapons and Ammunition","Weapons and Ammunition","Other","Products (All)","3690","SPECIAL AMMUNITION & ORDNANCE MACH",0.000119164021164021
"1905",2008-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","3110","BEARINGS, ANTIFRICTION, UNMOUNTED",0.000739696312364425
"1906",2010-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","7490","MISCELLANEOUS OFFICE MACHINES",2.49952931108258e-05
"1907",2009-01-01,"Defense","Army","Army","Army","Army","Other Products","Other","Clothing & Subsistence","Products (All)","8415","CLOTHING, SPECIAL PURPOSE",0
"1908",2012-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","3810","CRANES AND CRANE-SHOVELS",0.00254243229327567
"1909",2012-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","Operational Systems Development (6.7)","R&D","AC67","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)",0
"1910",2000-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5855","NIGHT VISION EQ",0.000734397066811515
"1911",2012-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","5620","TILE, BRICK AND BLOCK",0
"1912",2006-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","6640","LABORATORY EQUIPMENT AND SUPPLIES",0.000733074884792627
"1913",2007-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS",4.75328319676731e-05
"1914",2002-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5905","RESISTORS",0.000425902940411137
"1915",2008-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1315","AMMUNITION, 75 MM THROUGH 125 MM.",0.037544294143167
"1916",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5365","BUSHINGS, RINGS, SHIMS AND SPACERS",0.000121516444045347
"1917",2007-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","FRS&C","Services (Non-R&D)","Y211","CONSTRUCTION OF DAMS",0.0168781344707599
"1918",2001-01-01,"Defense","DLA","DLA","Other DoD","DLA","Land Vehicles","Land Vehicles","Engines & Power Plants","Products (All)","2815","DIESEL ENGINES AND COMPONENTS",0.000693809523809524
"1919",2011-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","9330","PLASTICS FABRICATED MATERIALS",1.670688208141e-05
"1920",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2540","VEHICULAR FURNITURE AND ACCESSORIES",0.000196666666666667
"1921",2011-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","4610","WATER PURIFICATION EQUIPMENT",0.000105371380612673
"1922",2009-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","4235","HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL",1.12015587789565e-05
"1923",2007-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5950","COILS AND TRANSFORMERS",1.75586485576383e-05
"1924",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","ERS","Services (Non-R&D)","J059","MAINT-REP OF ELECT-ELCT EQ",0.00011752834212594
"1925",2001-01-01,"Defense","DLA","DLA","Other DoD","DLA","Facilities and Construction","Facilities and Construction","Other","Products (All)","3805","EARTH MOVING & EXCAVATING EQ",0.00398719576719577
"1926",2006-01-01,"Defense","Other DoD","Additional DoD Components","Other DoD","Other DoD","Facilities and Construction","Facilities and Construction","Other","Products (All)","6760","PHOTOGRAPHIC EQ & ACCESSORIES",9.21658986175115e-06
"1927",2000-01-01,"Defense","Navy","Navy","Navy","Navy","Land Vehicles","Land Vehicles","Ground Vehicles","Products (All)","2590","MISCELLANEOUS VEHICULAR COMPONENTS",0.00253924497555676
"1928",2008-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","7310","FOOD COOKING BAKING SERVING EQ",0.00535136659436009
"1929",2012-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Other","Products (All)","6910","TRAINING AIDS",0.00310042672227371
"1930",2011-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Facilities and Construction","Facilities and Construction","Other","Products (All)","6625","ELECT ELECTRONIC MEASURING INSTRUMT",0.00455025227654217
"1931",2011-01-01,"Defense","Navy","Navy","Navy","Navy","Other Services","Other","PAMS","Services (Non-R&D)","L099","TECH REP SVCS /MISC EQ",0
"1932",2012-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","7035","ADP SUPPORT EQUIPMENT",5.40087323653589e-05
"1933",2005-01-01,"Defense","Navy","Navy","Navy","Navy","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5977","ELECT CONTACT BRUSHES & ELECTRODES",3.96257895364081e-06
"1934",2010-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","4820","VALVES, NONPOWERED",0.00161262302096705
"1935",2007-01-01,"Defense","Navy","Navy","Navy","Navy","Other Products","Other","Clothing & Subsistence","Products (All)","6550","IN VITRO DIAGNO SUBSTANCES,REAGENTS",4.0969805814345e-06
"1936",2009-01-01,"Defense","Army","Army","Army","Army","Other Services","Other","PAMS","Services (Non-R&D)","V231","LODGING - HOTEL/MOTEL",9.04934617882659e-05
"1937",2002-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Facilities and Construction","Facilities and Construction","Other","Products (All)","6640","LABORATORY EQUIPMENT AND SUPPLIES",0.000276450689565444
"1938",2006-01-01,"Defense","Army","Army","Army","Army","Electronics and Communications","Electronics and Communications","Electronics & Communications","Products (All)","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",0.000743703917050691
"1939",2010-01-01,"Defense","Army","Army","Army","Army","Ships & Submarines","Ships & Submarines","Ships","Products (All)","2090","MISC SHIP & MARINE EQ",8.80910355156183e-06
"1940",2011-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","Other","Products (All)","5450","MISC PREFABRICATED STRUCTURES",2.49934746118338e-05
"1941",2010-01-01,"Defense","Navy","Navy","Navy","Navy","Facilities and Construction","Facilities and Construction","Other","Products (All)","3450","MACHINE TOOLS, PORTABLE",0
"1942",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Electronics and Communications","Electronics and Communications","Engines & Power Plants","Products (All)","6130","CONVERTERS, ELECTRICAL, NONROTATING",0.000469262286209136
"1943",2002-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","Advanced Component Development & Prototypes (6.4)","R&D","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)",0.000292740046838407
"1944",2012-01-01,"Defense","Navy","Navy","Navy","Navy","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","U008","EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT",0.00105329089692102
"1945",2005-01-01,"Defense","Air Force","Air Force","Air Force","Air Force","Electronics and Communications","Electronics and Communications","ICT","Services (Non-R&D)","D311","ADP DATA CONVERSION SERVICES",2.06292456203075e-06
"1946",2008-01-01,"Defense","Army","Army","Army","Army","Other R&D and Knowledge Based","Other","PAMS","Services (Non-R&D)","U008","EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT",5.38362255965293e-05
"1947",2008-01-01,"Defense","Army","Army","Army","Army","Weapons and Ammunition","Weapons and Ammunition","Launchers & Munitions","Products (All)","1220","FIRE CONT COMPUTING SIGHTS & DEVICE",0.00911902494577006
"1948",2008-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","PAMS","Services (Non-R&D)","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER",0.00416036647505423
"1949",2000-01-01,"Defense","Navy","Navy","Navy","Navy","Aircraft and Drones","Aircraft and Drones","Aircraft","Products (All)","1730","AIRCRAFT GROUND SERVICING EQUIPMENT",9.76507332971211e-05
"1950",2009-01-01,"Defense","DLA","DLA","Other DoD","DLA","Other Products","Other","Other","Products (All)","5315","NAILS, MACHINE KEYS, AND PINS",3.02868586274085e-05
"1951",2002-01-01,"Defense","Army","Army","Army","Army","Facilities and Construction","Facilities and Construction","ERS","Services (Non-R&D)","J038","MAINT-REP OF CONTRUCT EQ",4.94613583138173e-05
