"Fiscal.Year","PlatformPortfolio","SubCustomer.sum","Pricing.Mechanism.sum","Faceting","PrimeOrSubTotalAmount.2016"
"2007","Aircraft","Air Force","Combination","PrimeNotReportInFSRS",0.278604169052499
"2007","Aircraft","Air Force","Cost+","PrimeNotReportInFSRS",6.29281476365495
"2007","Aircraft","Air Force","Fixed","PrimeNotReportInFSRS",25.7613199505463
"2007","Aircraft","Air Force","Time/Mat.","PrimeNotReportInFSRS",2.2464182537522
"2007","Aircraft","Air Force","Unlabeled","PrimeNotReportInFSRS",0.00141219553285275
"2007","Aircraft","Air Force","Unlabeled","SubReportInFSRS",0.00351155424027548
"2007","Aircraft","Army","Combination","PrimeNotReportInFSRS",0.0225572481911334
"2007","Aircraft","Army","Cost+","PrimeNotReportInFSRS",1.7602777222349
"2007","Aircraft","Army","Fixed","PrimeNotReportInFSRS",8.52974320650392
"2007","Aircraft","Army","Fixed","SubReportInFSRS",0.111853238580075
"2007","Aircraft","Army","Time/Mat.","PrimeNotReportInFSRS",0.0624635475872781
"2007","Aircraft","Army","Unlabeled","PrimeNotReportInFSRS",0.010643308244044
"2007","Aircraft","Navy","Combination","PrimeNotReportInFSRS",0.643782186604584
"2007","Aircraft","Navy","Cost+","PrimeNotReportInFSRS",11.4023022241301
"2007","Aircraft","Navy","Fixed","PrimeNotReportInFSRS",10.696379707225
"2007","Aircraft","Navy","Time/Mat.","PrimeNotReportInFSRS",0.275619711468224
"2007","Aircraft","Navy","Unlabeled","PrimeNotReportInFSRS",0.00222739673056485
"2007","Aircraft","Other DoD","Combination","PrimeNotReportInFSRS",0.135998891268412
"2007","Aircraft","Other DoD","Cost+","PrimeNotReportInFSRS",0.0493494596663307
"2007","Aircraft","Other DoD","Fixed","PrimeNotReportInFSRS",2.37268872675523
"2007","Aircraft","Other DoD","Fixed","SubReportInFSRS",0.00396597317799773
"2007","Aircraft","Other DoD","Time/Mat.","PrimeNotReportInFSRS",0.0294605360919912
"2007","Aircraft","Other DoD","Unlabeled","PrimeNotReportInFSRS",0
"2007","Aircraft","Other DoD","Unlabeled","SubReportInFSRS",0.00263366568020661
"2007","Electronics, Comms, & Sensors","Air Force","Combination","PrimeNotReportInFSRS",0.527144868486016
"2007","Electronics, Comms, & Sensors","Air Force","Cost+","PrimeNotReportInFSRS",5.24156434390571
"2007","Electronics, Comms, & Sensors","Air Force","Fixed","PrimeNotReportInFSRS",6.89728364211515
"2007","Electronics, Comms, & Sensors","Air Force","Time/Mat.","PrimeNotReportInFSRS",0.975076159527359
"2007","Electronics, Comms, & Sensors","Air Force","Unlabeled","PrimeNotReportInFSRS",0.0107683976310502
"2007","Electronics, Comms, & Sensors","Army","Combination","PrimeNotReportInFSRS",1.18660956686129
"2007","Electronics, Comms, & Sensors","Army","Cost+","PrimeNotReportInFSRS",2.54329657385914
"2007","Electronics, Comms, & Sensors","Army","Cost+","SubReportInFSRS",0.0000948135406987009
"2007","Electronics, Comms, & Sensors","Army","Fixed","PrimeNotReportInFSRS",13.0552787912996
"2007","Electronics, Comms, & Sensors","Army","Time/Mat.","PrimeNotReportInFSRS",6.02490002529627
"2007","Electronics, Comms, & Sensors","Army","Unlabeled","PrimeNotReportInFSRS",0.0035895912514243
"2007","Electronics, Comms, & Sensors","Navy","Combination","PrimeNotReportInFSRS",0.800643428437485
"2007","Electronics, Comms, & Sensors","Navy","Cost+","PrimeNotReportInFSRS",5.45394270793448
"2007","Electronics, Comms, & Sensors","Navy","Cost+","SubReportInFSRS",0.0855727042420732
"2007","Electronics, Comms, & Sensors","Navy","Fixed","PrimeNotReportInFSRS",9.24652056236839
"2007","Electronics, Comms, & Sensors","Navy","Fixed","SubReportInFSRS",0.0000514684567331884
"2007","Electronics, Comms, & Sensors","Navy","Time/Mat.","PrimeNotReportInFSRS",0.633906134772569
"2007","Electronics, Comms, & Sensors","Navy","Unlabeled","PrimeNotReportInFSRS",0.464713591847685
"2007","Electronics, Comms, & Sensors","Other DoD","Combination","PrimeNotReportInFSRS",0.906671816182866
"2007","Electronics, Comms, & Sensors","Other DoD","Cost+","PrimeNotReportInFSRS",1.01870499000932
"2007","Electronics, Comms, & Sensors","Other DoD","Fixed","PrimeNotReportInFSRS",4.16669517351468
"2007","Electronics, Comms, & Sensors","Other DoD","Fixed","SubReportInFSRS",0.00314275978165142
"2007","Electronics, Comms, & Sensors","Other DoD","Time/Mat.","PrimeNotReportInFSRS",1.83003057860986
"2007","Electronics, Comms, & Sensors","Other DoD","Unlabeled","PrimeNotReportInFSRS",0.00043470856579981
"2007","Facilities and Construction","Air Force","Combination","PrimeNotReportInFSRS",0.395196179858089
"2007","Facilities and Construction","Air Force","Cost+","PrimeNotReportInFSRS",2.61118589683039
"2007","Facilities and Construction","Air Force","Fixed","PrimeNotReportInFSRS",5.66226776746356
"2007","Facilities and Construction","Air Force","Time/Mat.","PrimeNotReportInFSRS",0.416176963184186
"2007","Facilities and Construction","Air Force","Unlabeled","PrimeNotReportInFSRS",0.00102729138276913
"2007","Facilities and Construction","Army","Combination","PrimeNotReportInFSRS",0.751518587960751
"2007","Facilities and Construction","Army","Cost+","PrimeNotReportInFSRS",2.52919967225544
"2007","Facilities and Construction","Army","Fixed","PrimeNotReportInFSRS",27.0748745784722
"2007","Facilities and Construction","Army","Fixed","SubReportInFSRS",0.00393773774108468
"2007","Facilities and Construction","Army","Other","PrimeNotReportInFSRS",0.00293917012298223
"2007","Facilities and Construction","Army","Time/Mat.","PrimeNotReportInFSRS",0.271827140629245
"2007","Facilities and Construction","Army","Unlabeled","PrimeNotReportInFSRS",-0.00438431908158959
"2007","Facilities and Construction","Navy","Combination","PrimeNotReportInFSRS",0.0846265399066094
"2007","Facilities and Construction","Navy","Cost+","PrimeNotReportInFSRS",1.00886945656866
"2007","Facilities and Construction","Navy","Fixed","PrimeNotReportInFSRS",8.94881973300117
"2007","Facilities and Construction","Navy","Fixed","SubReportInFSRS",0.0000992621770152041
"2007","Facilities and Construction","Navy","Other","PrimeNotReportInFSRS",0.0000662702819603572
"2007","Facilities and Construction","Navy","Time/Mat.","PrimeNotReportInFSRS",0.100796075686755
"2007","Facilities and Construction","Navy","Unlabeled","PrimeNotReportInFSRS",0.0391145968255671
"2007","Facilities and Construction","Other DoD","Combination","PrimeNotReportInFSRS",0.151578842404507
"2007","Facilities and Construction","Other DoD","Cost+","PrimeNotReportInFSRS",0.0176688456604254
"2007","Facilities and Construction","Other DoD","Fixed","PrimeNotReportInFSRS",3.77264319939304
"2007","Facilities and Construction","Other DoD","Other","PrimeNotReportInFSRS",0.000841331536300587
"2007","Facilities and Construction","Other DoD","Time/Mat.","PrimeNotReportInFSRS",0.00915647045830181
"2007","Facilities and Construction","Other DoD","Unlabeled","PrimeNotReportInFSRS",0.000298395671904525
"2007","Land Vehicles","Air Force","Combination","PrimeNotReportInFSRS",0.000823803795960991
"2007","Land Vehicles","Air Force","Cost+","PrimeNotReportInFSRS",0.0130114983600865
"2007","Land Vehicles","Air Force","Fixed","PrimeNotReportInFSRS",0.240979513985955
"2007","Land Vehicles","Air Force","Time/Mat.","PrimeNotReportInFSRS",0.0786096402324142
"2007","Land Vehicles","Air Force","Unlabeled","PrimeNotReportInFSRS",-0.000000258242041003374
"2007","Land Vehicles","Army","Combination","PrimeNotReportInFSRS",1.3845296166752
"2007","Land Vehicles","Army","Cost+","PrimeNotReportInFSRS",5.9008704922541
"2007","Land Vehicles","Army","Fixed","PrimeNotReportInFSRS",18.6378953693466
"2007","Land Vehicles","Army","Time/Mat.","PrimeNotReportInFSRS",0.136259294323686
"2007","Land Vehicles","Army","Unlabeled","PrimeNotReportInFSRS",0.000385052674429537
"2007","Land Vehicles","Navy","Combination","PrimeNotReportInFSRS",0.00849743658608733
"2007","Land Vehicles","Navy","Cost+","PrimeNotReportInFSRS",0.35230833457421
"2007","Land Vehicles","Navy","Fixed","PrimeNotReportInFSRS",5.27326739946375
"2007","Land Vehicles","Navy","Time/Mat.","PrimeNotReportInFSRS",0.00513453300830312
"2007","Land Vehicles","Navy","Unlabeled","PrimeNotReportInFSRS",0.00014258664859178
"2007","Land Vehicles","Other DoD","Combination","PrimeNotReportInFSRS",0.0673283028741929
"2007","Land Vehicles","Other DoD","Cost+","PrimeNotReportInFSRS",0.000694821828865998
"2007","Land Vehicles","Other DoD","Fixed","PrimeNotReportInFSRS",0.799858895168194
"2007","Land Vehicles","Other DoD","Fixed","SubReportInFSRS",0.0000461081816083344
"2007","Land Vehicles","Other DoD","Unlabeled","PrimeNotReportInFSRS",0.00000329521518384396
"2007","Missile Defense","Air Force","Cost+","PrimeNotReportInFSRS",0.0905492656538762
"2007","Missile Defense","Air Force","Fixed","PrimeNotReportInFSRS",0.00628889143033334
"2007","Missile Defense","Air Force","Time/Mat.","PrimeNotReportInFSRS",0
"2007","Missile Defense","Army","Combination","PrimeNotReportInFSRS",0.312720609033075
"2007","Missile Defense","Army","Cost+","PrimeNotReportInFSRS",0.901398346069685
"2007","Missile Defense","Army","Fixed","PrimeNotReportInFSRS",0.949014814690004
"2007","Missile Defense","Army","Time/Mat.","PrimeNotReportInFSRS",0.175227292754841
"2007","Missile Defense","Army","Unlabeled","PrimeNotReportInFSRS",-0.00000390047131123905
"2007","Missile Defense","Navy","Combination","PrimeNotReportInFSRS",0.351147004869605
"2007","Missile Defense","Navy","Cost+","PrimeNotReportInFSRS",0.683590726067679
"2007","Missile Defense","Navy","Fixed","PrimeNotReportInFSRS",0.0131039069441889
"2007","Missile Defense","Navy","Time/Mat.","PrimeNotReportInFSRS",0.0377481321170302
"2007","Missile Defense","Other DoD","Combination","PrimeNotReportInFSRS",1.62697336422939
"2007","Missile Defense","Other DoD","Cost+","PrimeNotReportInFSRS",4.03968691069121
"2007","Missile Defense","Other DoD","Cost+","SubReportInFSRS",0.00255751246855966
"2007","Missile Defense","Other DoD","Fixed","PrimeNotReportInFSRS",0.084590914205185
"2007","Missile Defense","Other DoD","Time/Mat.","PrimeNotReportInFSRS",0.00473456634466303
"2007","Missile Defense","Other DoD","Unlabeled","PrimeNotReportInFSRS",0.00366428800319994
"2007","Ordnance and Missiles","Air Force","Combination","PrimeNotReportInFSRS",0.26142679870463
"2007","Ordnance and Missiles","Air Force","Cost+","PrimeNotReportInFSRS",2.80434795041816
"2007","Ordnance and Missiles","Air Force","Fixed","PrimeNotReportInFSRS",2.22930858606702
"2007","Ordnance and Missiles","Air Force","Time/Mat.","PrimeNotReportInFSRS",0.112925042763217
"2007","Ordnance and Missiles","Air Force","Unlabeled","PrimeNotReportInFSRS",0.000167509127106297
"2007","Ordnance and Missiles","Army","Combination","PrimeNotReportInFSRS",0.237906514940493
"2007","Ordnance and Missiles","Army","Cost+","PrimeNotReportInFSRS",0.73201000771563
"2007","Ordnance and Missiles","Army","Fixed","PrimeNotReportInFSRS",8.18887911410154
"2007","Ordnance and Missiles","Army","Time/Mat.","PrimeNotReportInFSRS",0.0347712484283912
