fiscal_year,Customer,SubCustomer,CanadaSector,IsSubcontractReportingContract,obligatedAmount,numberOfActions,NumberOfContracts
NULL,Defense,Air Force,NULL,0,259871.0000,1,1
1988,Defense,Navy,Air,0,221670.0000,NULL,12
1989,Defense,Navy,Land,0,1529000.0000,NULL,16
1989,Defense,Navy,Sea,0,498376000.0000,NULL,212
1989,Defense,Other DoD,Other R&D and Knowledge Based,0,62860000.0000,NULL,34
1989,Defense,Other DoD,Other Services,0,762000.0000,NULL,2
1990,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,3111243000.0000,NULL,6750
1990,Defense,Army,C4ISR,0,4638841000.0000,NULL,3692
1990,Defense,Army,Other Services,0,631309000.0000,NULL,752
1990,Defense,DLA,C4ISR,0,333059000.0000,NULL,1815
1990,Defense,DLA,Other Services,0,101629000.0000,NULL,136
1990,Defense,Navy,Air,0,8346860148.0000,NULL,2925
1990,Defense,Navy,Other Products,0,498721000.0000,NULL,2123
1991,Defense,Air Force,Space,0,2301103000.0000,NULL,157
1991,Defense,Air Force,"Weapons, Ammunition and Missiles",0,4899542000.0000,NULL,1079
1991,Defense,DLA,"Weapons, Ammunition and Missiles",0,30438000.0000,NULL,122
1991,Defense,Navy,NULL,0,5016999.0000,NULL,5
1991,Defense,Navy,Land,0,148372421.0000,NULL,313
1991,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,90595000.0000,NULL,370
1992,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,3811652165.0000,NULL,6902
1992,Defense,Air Force,Sea,0,4076254.0000,NULL,29
1992,Defense,Army,C4ISR,0,4960038294.0000,NULL,4119
1992,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,8300532581.0000,NULL,12392
1992,Defense,Army,Other Services,0,930470652.0000,NULL,1301
1992,Defense,DLA,C4ISR,0,287588066.0000,NULL,1349
1992,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,528136412.0000,NULL,1728
1992,Defense,DLA,Other Services,0,36072409.0000,NULL,86
1992,Defense,Navy,Other Products,0,300445037.0000,1,1218
1992,Defense,Other DoD,C4ISR,0,1918687988.0000,NULL,1136
1992,Defense,Other DoD,Space,0,564331.0000,NULL,2
1993,Defense,Air Force,Air,0,16040880043.0000,NULL,4776
1993,Defense,Air Force,Space,0,1388689193.0000,NULL,119
1993,Defense,Army,Space,0,28034.0000,NULL,3
1993,Defense,Army,"Weapons, Ammunition and Missiles",0,6283600283.0000,NULL,1840
1993,Defense,DLA,"Weapons, Ammunition and Missiles",0,8248732.0000,NULL,81
1993,Defense,Navy,NULL,0,2445059.0000,3,4
1993,Defense,Navy,Other R&D and Knowledge Based,0,2313466306.0000,85,2850
1993,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,148398792.0000,NULL,541
1994,Defense,Air Force,Land,0,1241174868.0000,1153,765
1994,Defense,Air Force,Sea,0,3658084.0000,36,29
1994,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,8014034988.0000,25391,11214
1994,Defense,Army,Sea,0,162810096.0000,368,205
1994,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,405993194.0000,2834,1414
1994,Defense,DLA,Sea,0,63020292.0000,660,562
1994,Defense,Other DoD,Air,0,36441998.0000,171,120
1994,Defense,Other DoD,C4ISR,0,2149132772.0000,6715,1246
1995,Defense,Air Force,Air,0,14662015275.0000,11298,4619
1995,Defense,Air Force,Other Products,0,2640669138.0000,3837,819
1988,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,704000.0000,NULL,4
1988,Defense,Navy,Other R&D and Knowledge Based,0,149000.0000,NULL,2
1988,Defense,Navy,Other Services,0,1252000.0000,NULL,6
1989,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,53425000.0000,NULL,20
1989,Defense,Navy,Other Products,0,7073000.0000,NULL,74
1990,Defense,Army,Space,0,6682000.0000,NULL,4
1990,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,3484626305.0000,NULL,9089
1990,Defense,Navy,Other R&D and Knowledge Based,0,1937965440.0000,2,3550
1990,Defense,Navy,Sea,0,10626885493.0000,NULL,3139
1990,Defense,Other DoD,Land,0,2470000.0000,NULL,10
1991,Defense,Air Force,NULL,0,3224000.0000,NULL,4
1991,Defense,Air Force,Other Services,0,290050000.0000,NULL,501
1991,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,8571726000.0000,NULL,12707
1991,Defense,Army,Sea,0,119587000.0000,NULL,260
1991,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,633929000.0000,NULL,2061
1991,Defense,DLA,Sea,0,106183000.0000,NULL,850
1991,Defense,Navy,Air,0,7702888282.0000,2,2944
1991,Defense,Navy,Space,0,16338000.0000,NULL,21
1992,Defense,Air Force,Other Products,0,2507312394.0000,NULL,889
1992,Defense,Army,Air,0,3586750166.0000,NULL,1454
1992,Defense,Army,Space,0,2557985.0000,NULL,4
1992,Defense,DLA,Air,0,146888233.0000,NULL,819
1992,Defense,Navy,Sea,0,9324190829.0000,4,4474
1992,Defense,Other DoD,Other Services,0,325993831.0000,NULL,62
1993,Defense,Air Force,NULL,0,5436136.0000,NULL,19
1993,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,3498274391.0000,NULL,6414
1993,Defense,Air Force,Other R&D and Knowledge Based,0,2557642736.0000,NULL,2487
1993,Defense,Air Force,Other Services,0,641269161.0000,NULL,392
1993,Defense,Army,C4ISR,0,5376274319.0000,NULL,4028
1993,Defense,Army,Land,0,3875629280.0000,NULL,1845
1993,Defense,Army,Sea,0,188721819.0000,NULL,227
1993,Defense,DLA,C4ISR,0,279483216.0000,NULL,1523
1993,Defense,DLA,Land,0,362063233.0000,NULL,900
1993,Defense,Navy,Air,0,7897960206.0000,133,2375
1993,Defense,Navy,Other Services,0,711157542.0000,77,1056
1993,Defense,Other DoD,Other Products,0,793917844.0000,NULL,404
1993,Defense,Other DoD,Sea,0,16097508.0000,NULL,4
1994,Defense,Air Force,Other Products,0,1437762123.0000,2411,852
1994,Defense,Air Force,Space,0,813805009.0000,532,101
1994,Defense,Army,Air,0,2351571711.0000,2176,1137
1994,Defense,DLA,Air,0,182526052.0000,1780,1197
1994,Defense,MilitaryHealth,"Other Facilities, Construction, Manufacturing and Testing",0,8214786.0000,20,6
1994,Defense,Navy,Land,0,1263459363.0000,1250,817
1994,Defense,Other DoD,NULL,0,11697066.0000,110,100
1994,Defense,Other DoD,Other Services,0,60950145.0000,109,54
1994,Other Agencies,NULL,Other R&D and Knowledge Based,0,1152947.0000,5,3
1995,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,4271486779.0000,17586,6910
1995,Defense,Air Force,Other R&D and Knowledge Based,0,2286960630.0000,5402,2344
1988,Defense,Navy,Sea,0,-175000.0000,NULL,2
1988,Defense,Other DoD,Other R&D and Knowledge Based,0,258000.0000,NULL,2
1989,Defense,Army,C4ISR,0,3763000.0000,NULL,8
1989,Defense,Army,Other Services,0,1014000.0000,NULL,4
1989,Defense,Navy,Air,0,92720000.0000,NULL,123
1990,Defense,Air Force,Space,0,2259524000.0000,NULL,152
1990,Defense,Air Force,"Weapons, Ammunition and Missiles",0,5681632000.0000,NULL,1175
1990,Defense,Navy,NULL,0,18881000.0000,NULL,153
1990,Defense,Navy,Land,0,95872000.0000,NULL,336
1990,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,63401000.0000,NULL,213
1990,Defense,Other DoD,Other Services,0,643549000.0000,NULL,88
1991,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,4143731000.0000,NULL,7343
1991,Defense,Air Force,Sea,0,16394000.0000,NULL,48
1991,Defense,Army,C4ISR,0,4591555000.0000,NULL,4546
1991,Defense,Army,Other Services,0,981317000.0000,NULL,1235
1991,Defense,DLA,C4ISR,0,337617000.0000,NULL,1861
1991,Defense,DLA,Other Services,0,75426000.0000,NULL,129
1991,Defense,Navy,Other Products,0,422205460.0000,NULL,1493
1991,Defense,Other DoD,C4ISR,0,1327038000.0000,NULL,1031
1992,Defense,Air Force,Air,0,16403839744.0000,NULL,5200
1992,Defense,Air Force,Space,0,1332795688.0000,NULL,133
1992,Defense,Army,"Weapons, Ammunition and Missiles",0,6899737660.0000,NULL,2074
1992,Defense,DLA,"Weapons, Ammunition and Missiles",0,5838649.0000,NULL,62
1992,Defense,Navy,NULL,0,2735092.0000,NULL,5
1992,Defense,Navy,Land,0,166291567.0000,NULL,258
1992,Defense,Navy,Other R&D and Knowledge Based,0,2181840113.0000,2,2941
1992,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,146770558.0000,NULL,504
1993,Defense,Air Force,Sea,0,8528712.0000,NULL,35
1993,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,8393119876.0000,NULL,12746
1993,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,573922152.0000,NULL,1782
1993,Defense,DLA,Sea,0,63575316.0000,NULL,612
1993,Defense,Navy,Other Products,0,275063314.0000,55,1036
1993,Defense,Other DoD,C4ISR,0,1782655508.0000,NULL,1036
1993,Defense,Other DoD,Space,0,42348183.0000,NULL,1
1994,Defense,Air Force,Air,0,18441192206.0000,11443,4465
1994,Defense,Army,Space,0,342631.0000,2,2
1994,Defense,Army,"Weapons, Ammunition and Missiles",0,3516263719.0000,2392,1000
1994,Defense,DLA,"Weapons, Ammunition and Missiles",0,15533122.0000,140,129
1994,Defense,MilitaryHealth,Other R&D and Knowledge Based,0,354684912.0000,64,10
1994,Defense,Navy,Other R&D and Knowledge Based,0,2560825204.0000,9577,3295
1994,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,317473047.0000,1276,842
1994,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,208771191.0000,275,156
1995,Defense,Air Force,NULL,0,1708124.0000,14,12
1995,Defense,Air Force,Land,0,196491553.0000,410,232
1995,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,9059174204.0000,31361,13153
1995,Defense,Army,Sea,0,162369989.0000,381,242
1995,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,458455251.0000,2987,1643
1987,Defense,Army,C4ISR,0,-171000.0000,NULL,2
1988,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,44000.0000,NULL,1
1989,Defense,Army,Other Products,0,379000.0000,NULL,3
1989,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,322979000.0000,NULL,984
1989,Defense,Navy,Other R&D and Knowledge Based,0,29225000.0000,NULL,100
1990,Defense,Air Force,Other Services,0,433786000.0000,NULL,624
1990,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,4883357000.0000,NULL,8648
1990,Defense,Army,Other R&D and Knowledge Based,0,1179746000.0000,NULL,2598
1990,Defense,Army,Sea,0,534348000.0000,NULL,249
1990,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,464988000.0000,NULL,2139
1990,Defense,DLA,Other R&D and Knowledge Based,0,45510000.0000,NULL,35
1990,Defense,DLA,Sea,0,49866000.0000,NULL,420
1990,Defense,Other DoD,Other R&D and Knowledge Based,0,1847997000.0000,NULL,1130
1991,Defense,Air Force,C4ISR,0,8844671000.0000,NULL,4686
1991,Defense,Air Force,Land,0,157312000.0000,NULL,222
1991,Defense,Army,Air,0,3644202000.0000,NULL,1782
1991,Defense,DLA,Air,0,250677000.0000,NULL,1271
1991,Defense,Navy,"Weapons, Ammunition and Missiles",0,6331638311.0000,NULL,1424
1991,Defense,Other DoD,Other Services,0,276063000.0000,NULL,60
1992,Defense,Air Force,NULL,0,3884502.0000,NULL,14
1992,Defense,Air Force,"Weapons, Ammunition and Missiles",0,3457680523.0000,NULL,907
1992,Defense,Navy,Space,0,298709561.0000,NULL,18
1992,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,18339873.0000,NULL,14
1993,Defense,Air Force,Other Products,0,2477396481.0000,NULL,830
1993,Defense,Army,Other Services,0,1080472545.0000,NULL,1211
1993,Defense,DLA,Other Services,0,11475887.0000,NULL,37
1993,Defense,Navy,C4ISR,0,7641188463.0000,310,6132
1993,Defense,Navy,Land,0,119564275.0000,27,251
1993,Defense,Navy,Sea,0,9627128720.0000,207,3507
1993,Defense,Other DoD,Air,0,9288369.0000,NULL,7
1994,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,4260363583.0000,17573,7354
1994,Defense,Air Force,Other R&D and Knowledge Based,0,2861334006.0000,6160,2772
1994,Defense,Army,C4ISR,0,3025984506.0000,11190,2790
1994,Defense,Army,Land,0,234677685.0000,590,338
1994,Defense,DLA,C4ISR,0,168905246.0000,1700,1360
