fiscal_year,Customer,SubCustomer,CanadaSector,IsSubcontractReportingContract,obligatedAmount,numberOfActions,NumberOfContracts
1994,Defense,DLA,Land,0,106954987.0000,840,656
1994,Defense,Navy,NULL,0,2930459.0000,24,4
1994,Defense,Navy,Air,0,7547342791.0000,5487,2122
1994,Defense,Other DoD,Other Products,0,760911226.0000,3549,1423
1994,Defense,Other DoD,Sea,0,11353064.0000,57,28
1994,Other Agencies,NULL,Other Products,0,694485274.0000,9200,331
1995,Defense,Army,NULL,0,43090.0000,1,1
1995,Defense,DLA,NULL,0,16974604.0000,165,140
1995,Defense,DLA,"Weapons, Ammunition and Missiles",0,18863322.0000,145,124
1995,Defense,MDA,C4ISR,0,592440.0000,7,6
1995,Defense,MilitaryHealth,"Other Facilities, Construction, Manufacturing and Testing",0,8976539.0000,9,2
1995,Defense,Navy,Other Products,0,303471107.0000,2093,1030
1995,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,220334486.0000,760,400
1988,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",0,-35000.0000,NULL,1
1988,Defense,Navy,C4ISR,0,3015000.0000,NULL,9
1989,Defense,Navy,NULL,0,NULL,NULL,2
1989,Defense,Navy,"Weapons, Ammunition and Missiles",0,84145000.0000,NULL,43
1989,Defense,Other DoD,C4ISR,0,17516000.0000,NULL,24
1990,Defense,Air Force,NULL,0,15573000.0000,NULL,638
1990,Defense,Air Force,Air,0,15263519000.0000,NULL,5778
1990,Defense,Army,"Weapons, Ammunition and Missiles",0,2807436000.0000,NULL,809
1990,Defense,DLA,"Weapons, Ammunition and Missiles",0,5408000.0000,NULL,75
1990,Defense,Navy,Space,0,26038000.0000,NULL,31
1990,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,8619000.0000,NULL,10
1991,Defense,Air Force,Other Products,0,2389684000.0000,NULL,1048
1991,Defense,Army,Space,0,9101000.0000,NULL,7
1991,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,4788756093.0000,NULL,9493
1991,Defense,Navy,Other R&D and Knowledge Based,0,2074759793.0000,3,3261
1991,Defense,Navy,Sea,0,10289285024.0000,1,4320
1991,Defense,Other DoD,Air,0,4968000.0000,NULL,5
1992,Defense,Air Force,Other R&D and Knowledge Based,0,2590529407.0000,NULL,2502
1992,Defense,Air Force,Other Services,0,428982673.0000,NULL,508
1992,Defense,Army,Sea,0,271497592.0000,NULL,259
1992,Defense,DLA,Sea,0,71401661.0000,NULL,547
1992,Defense,Navy,Air,0,8353080513.0000,10,2836
1992,Defense,Other DoD,Other Products,0,855311592.0000,NULL,490
1992,Defense,Other DoD,Other R&D and Knowledge Based,0,2864991740.0000,NULL,1130
1992,Defense,Other DoD,Sea,0,855084.0000,NULL,3
1993,Defense,Air Force,C4ISR,0,8534494662.0000,NULL,4212
1993,Defense,Air Force,Land,0,140399440.0000,NULL,235
1993,Defense,Army,Air,0,3041470988.0000,NULL,1303
1993,Defense,DLA,NULL,0,38952339.0000,NULL,84
1993,Defense,DLA,Air,0,120809600.0000,NULL,860
1993,Defense,Other DoD,Other Services,0,461508679.0000,NULL,45
1994,Defense,Air Force,NULL,0,1672590.0000,11,6
1994,Defense,Air Force,"Weapons, Ammunition and Missiles",0,3990441978.0000,2556,1025
1994,Defense,Army,Other Products,0,461508913.0000,2147,978
1994,Defense,DLA,Other Products,0,5699575538.0000,11259,10009
1994,Defense,Navy,Other Services,0,1196132040.0000,4355,1411
1994,Other Agencies,NULL,C4ISR,0,17361519.0000,85,39
1995,Defense,Air Force,Space,0,1026913379.0000,474,111
1995,Defense,Army,Other Services,0,927058537.0000,3375,1194
1995,Defense,DLA,Other R&D and Knowledge Based,0,55192347.0000,258,81
1995,Defense,DLA,Other Services,0,5058783.0000,44,27
1995,Defense,MilitaryHealth,Other Services,0,1344041248.0000,237,27
1995,Defense,Navy,C4ISR,0,6856316291.0000,22200,6121
1995,Defense,Navy,Land,0,116526850.0000,372,213
1996,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,4143853638.0000,17844,7249
1996,Defense,Air Force,Sea,0,4845510.0000,39,33
1996,Defense,Army,C4ISR,0,6521219592.0000,20420,5831
1996,Defense,Army,Land,0,3170712816.0000,3249,2033
1996,Defense,DLA,C4ISR,0,317754472.0000,2963,2181
1996,Defense,DLA,Land,0,497358024.0000,1580,1004
1989,Defense,Navy,C4ISR,0,131562946.0000,NULL,249
1989,Defense,Navy,Other Services,0,60314000.0000,NULL,82
1989,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,-32000.0000,NULL,1
1990,Defense,Air Force,Other Products,0,2096517000.0000,NULL,1382
1990,Defense,Air Force,Other R&D and Knowledge Based,0,2709583000.0000,NULL,2586
1990,Defense,Army,Land,0,3138470000.0000,NULL,1959
1990,Defense,DLA,Land,0,460872000.0000,NULL,887
1990,Defense,Navy,C4ISR,0,10457842121.0000,1,6950
1990,Defense,Other DoD,NULL,0,NULL,NULL,16
1990,Defense,Other DoD,Other Products,0,97392000.0000,NULL,73
1991,Defense,Air Force,Other R&D and Knowledge Based,0,2507260000.0000,NULL,2603
1991,Defense,Army,NULL,0,330000.0000,NULL,5
1991,Defense,Army,Land,0,5982598000.0000,NULL,2311
1991,Defense,DLA,NULL,0,14269000.0000,NULL,126
1991,Defense,DLA,Land,0,884784000.0000,NULL,1134
1991,Defense,Other DoD,Land,0,6890000.0000,NULL,15
1991,Defense,Other DoD,Other Products,0,101126000.0000,NULL,108
1991,Defense,Other DoD,Sea,0,181000.0000,NULL,1
1992,Defense,Army,NULL,0,201491.0000,NULL,6
1992,Defense,Army,Other Products,0,742697861.0000,NULL,1483
1992,Defense,DLA,NULL,0,19919288.0000,NULL,102
1992,Defense,DLA,Other Products,0,5382727812.0000,NULL,11659
1992,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,4255667014.0000,2,8837
1992,Defense,Navy,Other Services,0,1292181907.0000,2,1210
1993,Defense,Army,Other Products,0,480132516.0000,NULL,1247
1993,Defense,Army,Other R&D and Knowledge Based,0,1938332156.0000,NULL,3197
1993,Defense,DLA,Other Products,0,6425212762.0000,NULL,12032
1993,Defense,DLA,Other R&D and Knowledge Based,0,41779767.0000,NULL,35
1993,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,3910454866.0000,1558,7973
1994,Defense,Air Force,C4ISR,0,9177541128.0000,18101,4775
1994,Defense,Air Force,Other Services,0,1325785250.0000,1276,565
1994,Defense,Army,Other R&D and Knowledge Based,0,2164760739.0000,6622,2950
1994,Defense,DLA,Other R&D and Knowledge Based,0,39602369.0000,248,35
1994,Defense,MDA,Other R&D and Knowledge Based,0,343747860.0000,398,104
1994,Defense,MilitaryHealth,C4ISR,0,2098385.0000,12,9
1994,Defense,MilitaryHealth,Other Services,0,511658746.0000,154,18
1994,Defense,Navy,"Weapons, Ammunition and Missiles",0,5098824860.0000,2559,1210
1994,Defense,Other DoD,Land,0,729879869.0000,742,499
1994,Defense,Other DoD,Other R&D and Knowledge Based,0,656144241.0000,933,416
1995,Defense,Air Force,C4ISR,0,8329659359.0000,17442,4557
1995,Defense,Navy,Space,0,9356834.0000,26,10
1995,Defense,Navy,"Weapons, Ammunition and Missiles",0,4581617490.0000,2184,965
1995,Other Agencies,NULL,Land,0,30208.0000,1,1
1996,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,5514668500.0000,19206,8286
1996,Defense,Navy,Sea,0,7960336454.0000,10020,2978
1996,Defense,Navy,Space,0,151498356.0000,51,12
1996,Other Agencies,NULL,Land,0,34208.0000,1,1
1997,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",0,3733150675.0000,15410,6595
1997,Defense,Air Force,Other Services,0,968643184.0000,1032,513
1988,Defense,Army,C4ISR,0,34000.0000,NULL,2
1988,Defense,Navy,"Weapons, Ammunition and Missiles",0,2185000.0000,NULL,4
1989,Defense,Army,NULL,0,NULL,NULL,5
1989,Defense,Army,Other R&D and Knowledge Based,0,700000.0000,NULL,4
1989,Defense,Army,"Weapons, Ammunition and Missiles",0,176315000.0000,NULL,3
1989,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",0,4572000.0000,NULL,21
1990,Defense,Air Force,C4ISR,0,9222030000.0000,NULL,4792
1990,Defense,Air Force,Land,0,138246000.0000,NULL,274
1990,Defense,Air Force,Sea,0,100663000.0000,NULL,72
1990,Defense,Navy,"Weapons, Ammunition and Missiles",0,6859908714.0000,NULL,1448
1990,Defense,Other DoD,Air,0,67000.0000,NULL,1
1990,Defense,Other DoD,C4ISR,0,667558000.0000,NULL,728
1991,Defense,Air Force,Air,0,18072113000.0000,NULL,6241
1991,Defense,Army,"Weapons, Ammunition and Missiles",0,7676054000.0000,NULL,2118
1991,Defense,Other DoD,Other R&D and Knowledge Based,0,2190032000.0000,NULL,1107
1991,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,14953000.0000,NULL,14
1992,Defense,Air Force,C4ISR,0,7859693454.0000,NULL,4541
1992,Defense,Air Force,Land,0,202276232.0000,NULL,238
1992,Defense,Other DoD,Air,0,7151571.0000,NULL,9
1993,Defense,Air Force,"Weapons, Ammunition and Missiles",0,4159438459.0000,NULL,898
1993,Defense,Other DoD,Other R&D and Knowledge Based,0,2645170315.0000,NULL,1045
1993,Defense,Other DoD,"Weapons, Ammunition and Missiles",0,54788706.0000,NULL,21
1994,Defense,Army,NULL,0,317266.0000,4,4
1994,Defense,Army,Other Services,0,696029654.0000,2809,874
1994,Defense,DLA,Other Services,0,2318144.0000,32,21
1994,Defense,Navy,C4ISR,0,8179108490.0000,22127,6766
1994,Defense,Navy,Other Products,0,329059276.0000,2229,1198
1994,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",0,88971454.0000,409,234
1994,Other Agencies,NULL,Other Services,0,242620.0000,4,4
1995,Defense,Air Force,"Weapons, Ammunition and Missiles",0,2917469096.0000,2177,806
1995,Defense,Army,Other Products,0,610415375.0000,2774,1400
1995,Defense,DLA,Other Products,0,5034464426.0000,11961,8555
1995,Defense,Navy,NULL,0,1835248.0000,24,3
1996,Defense,Army,NULL,0,950006.0000,3,3
1996,Defense,Army,Other R&D and Knowledge Based,0,3061562263.0000,10029,4121
1996,Defense,Army,Other Services,0,1460397412.0000,4112,1516
1996,Defense,DLA,NULL,0,16634399.0000,182,156
1996,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",0,381740148.0000,2836,1733
1996,Defense,DLA,Other R&D and Knowledge Based,0,83796578.0000,460,91
1996,Defense,DLA,Other Services,0,4036792.0000,40,29
1996,Defense,MDA,C4ISR,0,348205.0000,2,2
1996,Defense,MilitaryHealth,Other Services,0,1386279949.0000,310,26
1996,Defense,Navy,C4ISR,0,7039896212.0000,22452,6584
1996,Defense,Navy,Other Products,0,312714349.0000,2072,1087
1996,Other Agencies,NULL,"Other Facilities, Construction, Manufacturing and Testing",0,107097912.0000,458,249
1997,Defense,Army,Other Products,0,466685597.0000,3256,2065
1997,Defense,Army,Space,0,731730.0000,4,4
1997,Defense,DLA,Other Products,0,5684589513.0000,17422,5418
1989,Defense,Army,Air,0,9269000.0000,NULL,4
1989,Defense,Army,Land,0,66699000.0000,NULL,5
1989,Defense,Army,Sea,0,11018000.0000,NULL,1
1989,Defense,Other DoD,Other Products,0,500000.0000,NULL,1
1990,Defense,Army,NULL,0,15303000.0000,NULL,2204
1990,Defense,Army,Air,0,4172008000.0000,NULL,1424
1990,Defense,Army,Other Products,0,805533000.0000,NULL,1387
1990,Defense,DLA,NULL,0,11744000.0000,NULL,284
1990,Defense,DLA,Air,0,127679000.0000,NULL,759
1990,Defense,DLA,Other Products,0,7587835000.0000,NULL,15502
1990,Defense,Navy,Other Services,0,1631537184.0000,NULL,1165
1991,Defense,Army,Other Products,0,1029985000.0000,NULL,1793
1991,Defense,Army,Other R&D and Knowledge Based,0,2287387000.0000,NULL,3532
1991,Defense,DLA,Other Products,0,9313636000.0000,NULL,12576
1991,Defense,DLA,Other R&D and Knowledge Based,0,36513000.0000,NULL,38
1991,Defense,Navy,C4ISR,0,9002932854.0000,NULL,6986
1991,Defense,Navy,Other Services,0,1157756607.0000,NULL,1242
1992,Defense,Army,Land,0,3492056002.0000,NULL,2290
1992,Defense,Army,Other R&D and Knowledge Based,0,1927268714.0000,NULL,3201
1992,Defense,DLA,Land,0,382471774.0000,NULL,853
1992,Defense,DLA,Other R&D and Knowledge Based,0,40900735.0000,NULL,38
1992,Defense,Navy,C4ISR,0,8683086435.0000,7,6837
1992,Defense,Navy,"Weapons, Ammunition and Missiles",0,5786024545.0000,NULL,1287
1992,Defense,Other DoD,Land,0,5264296.0000,NULL,20
1993,Defense,Army,NULL,0,-3352.0000,NULL,2
1993,Defense,Navy,Space,0,28945959.0000,NULL,13
1993,Defense,Navy,"Weapons, Ammunition and Missiles",0,4855366252.0000,45,1133
1993,Defense,Other DoD,Land,0,716394.0000,NULL,9
1994,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,6336904845.0000,20039,9607
1994,Defense,Navy,Sea,0,7580265521.0000,11075,2946
1994,Defense,Navy,Space,0,36428891.0000,36,10
1995,Defense,Air Force,Other Services,0,738731775.0000,907,389
1995,Defense,Army,Other R&D and Knowledge Based,0,2861200737.0000,8806,3551
1995,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",0,5074187264.0000,17697,7814
1995,Defense,Navy,Sea,0,10471491960.0000,11528,2933
1995,Defense,Other DoD,Other R&D and Knowledge Based,0,919266149.0000,1508,666
1996,Defense,Air Force,C4ISR,0,7477535389.0000,17578,4919
1996,Defense,Air Force,Other Services,0,816788229.0000,987,489
1996,Defense,Navy,Air,0,6950812344.0000,5813,2289
1996,Defense,Other DoD,Other R&D and Knowledge Based,0,742636812.0000,1732,668
1996,Defense,Other DoD,Other Services,0,159324387.0000,256,87
1996,Other Agencies,NULL,Other Products,0,1101000047.0000,21569,552
1997,Defense,Air Force,C4ISR,0,7711771409.0000,16758,4549
1997,Defense,Air Force,"Weapons, Ammunition and Missiles",0,2442280739.0000,1921,752
1997,Defense,MDA,C4ISR,0,1702744.0000,12,10
1997,Defense,Other DoD,Other Services,0,103939372.0000,259,108
1997,Other Agencies,NULL,Land,0,101126.0000,3,3
1998,Defense,Air Force,Space,0,1428852729.0000,357,74
1998,Defense,Air Force,"Weapons, Ammunition and Missiles",0,3019655684.0000,1953,800
1998,Defense,Army,Other Services,0,1133654840.0000,4593,1712
1995,Defense,Air Force,Sea,0,4644261.0000,33,28
1995,Defense,Army,C4ISR,0,5989469670.0000,17849,4576
1995,Defense,Army,Land,0,2488683799.0000,2581,1572
1995,Defense,DLA,C4ISR,0,287483110.0000,2324,1542
1995,Defense,DLA,Land,0,386932757.0000,1106,808
1995,Defense,MDA,Other R&D and Knowledge Based,0,251001833.0000,301,92
1995,Defense,MilitaryHealth,C4ISR,0,7818658.0000,22,16
1995,Defense,Navy,Air,0,7411297167.0000,5721,2131
