CSIScontractID,PrimeAwardIDVPIID,PrimeAwardPIID,PrimeAwardFederalAwardID,PrimeFiscalYear,MinOfPrimeAwardDateSigned,MaxOfPrimeAwardDateSigned,SubawardAmount
61923897,GS23F0168K,GSP0915KT7007,,2015,2015-07-30,2015-07-30,512963.0000
60706863,W58RGZ12D0089,0468,,2015,2015-05-28,2015-05-28,310176.0000
26206989,SPRPA111G001Y,GB86,,2014,2013-11-14,2013-11-14,127980.0000
25826323,HHSN292201000010I,HHSN29200400,,2014,2013-11-13,2013-12-05,119579.0313
28049807,SPM2DV11D2011,A788,,2014,2014-05-05,2014-05-05,32819.1602
9800594,EPS60701,0107,,2012,2011-10-19,2012-04-27,90000.0000
26068864,SPM2DV11D9200,CU07,,2013,2013-06-21,2013-06-21,45941.4098
2362459,,HR001112C0088,,2013,2012-10-26,2013-08-31,64735.0000
25877079,N4008512D7007,0005,,2013,2013-07-30,2013-07-30,319816.1250
27809453,N6523612D4132,0027,,2014,2014-02-03,2014-02-03,76558.0000
8024561,,W900KK12C0020,,2013,2012-11-28,2012-11-28,31560.0000
18686263,N0002407G5438,FG14,,2012,2011-10-20,2012-05-22,1160322.8692
60465206,SP470112D0006,0086,,2015,2014-12-11,2014-12-11,62281.0390
63009620,SPM2DV11D8003,N311,,2016,2016-01-05,2016-01-05,79847.3596
18801858,N0017804D4119,FY01,,2013,2012-11-20,2012-11-20,2707143.6250
19532751,NNG07DA18B,NNG12VI04D,,2012,2012-02-17,2012-02-17,1069204.0000
28206413,W9127814D0086,0002,,2015,2014-11-18,2014-12-04,262674.0000
28111364,W52P1J12D0005,0006,,2014,2014-09-25,2014-09-25,103285.2969
19343578,N6523612D4119,0009,,2013,2012-10-16,2012-10-16,53243.2813
19586192,NNH12CF62Z,NNH12CG17D,,2013,2012-10-01,2012-10-01,184834.0313
26303496,W58RGZ13D0124,0001,,2013,2013-06-14,2013-06-14,79040.0000
27854425,N4008513D5008,0008,,2014,2014-09-04,2014-09-04,325547.0000
22417880,SPM50005DBP06,JFX7,,2010,2010-09-30,2010-09-30,64125.0000
18294647,HHSD200201141276I,HHSD2002011412760001,,2011,2011-09-24,2011-09-24,1537640.0000
24720991,W9126G09D0034,0012,,2013,2012-10-04,2013-08-09,5780232.0000
26362065,,SPE7MC13V2238,,2013,2013-09-24,2013-09-24,51210.6016
28280114,W15P7T12DM603,KZ26,,2014,2014-09-09,2014-09-09,78420.0000
24733504,W9127811D0034,0008,,2012,2012-05-16,2012-05-16,644096.5000
26377280,FA461013D0008,0006,,2014,2013-10-02,2013-10-02,76559.6719
19544828,NNG07DA23B,VA26012F1249,,2012,2012-05-01,2012-05-01,107381.1797
63010777,GS00Q14OADU317,N6133116F3601,,2016,2015-12-18,2015-12-18,735025.2500
63010523,M6785414D4802,0034,,2016,2015-11-23,2015-11-23,69571.6562
24982637,W91QUZ06D0024,BA01,,2015,2014-10-17,2015-01-22,175624.1250
1215588,,FA252111C0026,,2012,2012-03-09,2012-04-10,99924.0000
27868326,NNG07DA23B,HHSP233201400068W,,2014,2014-06-01,2014-09-03,2008084.7609
28286326,W912DY09D0062,0015,,2014,2014-06-20,2014-06-20,2604145.5000
63011320,SPM2DV11D1046,CC39,,2015,2015-09-16,2015-09-16,32434.5201
26434327,W912HN12D0030,0014,,2014,2013-10-23,2013-12-31,1100204.9689
19532409,NNG07DA18B,HQ051612F0132,,2012,2012-09-11,2012-09-11,90859.7422
27525004,,W81XWH14C0021,,2014,2013-12-19,2013-12-20,2895500.0000
19011522,N4008008D0305,0955,,2012,2011-10-13,2012-02-03,168017.0000
4996307,,SPM7M211M5323,,2011,2011-09-21,2011-09-21,103566.0000
25647315,DOCWC133R13BA0050,DOCWC133R13BA0050C0003,,2013,2013-09-26,2013-09-26,115899.2031
10388578,GS00P09CYD0293,GSP0312DX5012,,2012,2012-01-20,2012-01-20,126272.3008
18090501,GS35F5192G,HC102811F0224,,2011,2011-03-15,2011-03-15,229930.0000
61042975,N0001914G0019,4008,,2015,2014-10-29,2014-12-19,2304003.0000
61286262,NNG07DA20B,AG7245D150045,,2015,2015-03-24,2015-03-24,21351796.0000
25666725,FA920012D0289,0006,,2013,2013-09-23,2013-09-23,51143.3398
19544769,NNG07DA23B,VA11811F0336,,2011,2011-07-29,2011-07-29,774920.0000
18201679,HC104705D4002,0266,,2013,2013-03-05,2013-03-11,187475.0000
60531442,N0001912G0006,0110,,2015,2015-05-28,2015-05-28,236204.9375
25463194,,SPRMM113PWF83,,2013,2013-05-15,2013-05-15,28057.5000
61088004,SPRPA114D002U,5004,,2015,2015-06-09,2015-06-09,657699.6250
2166148,,HDTRA112C0004,,2012,2012-06-19,2012-08-24,62380.8008
17581425,GS35F0109P,SAQMMA12F4318,,2012,2012-09-24,2012-09-24,3499000.0000
60947174,FA810108D0006,2018,,2015,2015-09-15,2015-09-15,73140.8906
61691348,DOC50PAPT1400015,DOC56PAPT1500453,,2015,2015-03-26,2015-03-26,341452.0469
63009552,N0018913D0023,0013,,2016,2015-11-19,2015-11-19,1253412.7500
25138436,,DTNH2210C00183,,2010,2010-09-10,2010-09-10,549682.0000
17671320,GS35F0265X,DOCWC133F12NC0307,,2012,2012-03-01,2012-03-01,80744.2383
26064381,SPM2DV11D8202,E592,,2013,2013-08-22,2013-08-22,35343.5997
61826268,,FA865015C7541,,2015,2015-04-23,2015-04-23,77000.0000
28515445,SPM2DV11D2002,H575,,2014,2014-07-24,2014-07-24,81581.4609
27734493,N6554011D0020,0006,,2014,2014-09-22,2014-09-22,956182.0000
62486456,,SPE4A615VK591,,2015,2015-08-12,2015-08-12,45758.0000
25374292,,SPM3SE13M0587,,2013,2013-01-23,2013-01-23,49135.9219
28132992,W9127814D0069,0001,,2015,2014-10-27,2014-11-24,400211.0000
25463822,,SPRMM113PYE73,,2013,2013-03-28,2013-03-28,75400.0000
27904743,SPM2DV11D8202,J282,,2014,2014-05-09,2014-05-09,34735.3005
26429566,W911QX10D0004,0014,,2014,2014-04-08,2014-04-08,500000.0000
25564444,,W911SA13C0010,,2013,2012-12-19,2012-12-19,306327.0000
15492920,GS10F0261K,HHSP233201000506G,,2011,2011-09-28,2011-09-28,198176.5938
22773933,SPRDL110D0044,0010,,2011,2010-12-28,2011-06-16,345990.0801
20433364,SP070000D3180,0713,,2015,2014-12-02,2014-12-02,251690.0000
19354112,N6554011D0019,0002,,2013,2013-05-23,2013-05-23,25763.1406
63010245,SPM2DV11D2007,FM11,,2016,2015-10-05,2015-10-05,71865.7188
17581506,GS35F0109P,SAQMSP12F0290,,2012,2012-09-01,2012-09-01,0.0000
26308149,W911QY11D0012,0012,,2013,2013-01-09,2013-01-09,28000.0000
24731974,W9127810D0043,0454,,2012,2011-10-27,2011-11-01,84050.0000
10097299,FA865011D5702,0001,,2011,2011-06-21,2011-06-23,2381672.7500
24731561,W9127810D0042,0072,,2013,2012-11-14,2012-11-14,41146.0000
28518608,SPM2DV11D9014,PD12,,2014,2014-07-08,2014-07-08,52608.5688
2294890,,HHSN268201000041C,,2011,2010-10-04,2011-08-12,1520091.0000
8780794,263010088,TTB12K00001,,2012,2011-12-16,2011-12-16,17524665.3750
28518951,SPM2DV11D9200,GY85,,2014,2014-09-11,2014-09-11,171203.7656
27859252,N6247313D4808,0005,,2014,2014-08-26,2014-08-26,1562238.1602
19577105,NNG07DA49B,DJFA2D206321,,2012,2012-08-24,2012-08-24,311660.9942
28002132,SPM2DV11D9200,GQ21,,2014,2014-08-12,2014-08-12,35356.6007
60339626,SPE4A615D7832,0001,,2015,2015-09-24,2015-09-24,45592.5000
19073271,N5523611D0011,0002,,2012,2011-10-20,2011-10-20,87162.7812
18508341,IN00002200711DM08PC14501,INM10PD00522,,2009,2008-10-01,2008-10-01,1944168.0000
25602544,AIDEDHI000800027,AID114TO1300001,,2015,2014-10-21,2014-10-21,29166.7109
28492766,SAQMMA09A0688,SAQMSP14L0059,,2014,2014-07-08,2014-07-08,129465.0000
25224508,,N0001913C0017,,2013,2012-12-21,2013-07-29,1466341.6504
3164263,,N0018910CZ079,,2013,2013-02-20,2013-02-20,32175.0000
62609517,,SPE7M115V5836,,2015,2015-01-12,2015-01-12,64642.3203
26433625,W912DY12D0012,CK18,,2013,2013-09-28,2013-09-28,33332896.0000
27683137,HHSS283201200001I,HHSS28342001T,,2014,2014-08-28,2014-08-28,1737571.6562
26434400,W912HP12D0003,0024,,2014,2014-05-12,2014-05-14,163097.0000
62095577,GS35F0265X,IBM15F0030,,2015,2015-02-09,2015-02-09,8015636.0000
18655783,N0001411D0370,0001,,2011,2011-08-11,2011-08-11,45710.0000
22418843,SPM50005DBP06,KWN2,,2011,2011-07-18,2011-07-18,49480.5195
18442057,HSCG8310DPCR107,HSCG4711JA10701,,2011,2011-09-07,2011-09-22,1203655.2657
4872509,,SPM7L412V5310,,2009,2008-12-05,2008-12-05,25436.0293
24350475,VA11811D1007,VA11810070002,,2014,2014-04-29,2014-06-12,164492.6504
28133739,W9128F09D0015,0017,,2014,2014-09-25,2014-09-25,652593.0000
62480139,,SPE4A615V9684,,2015,2015-02-24,2015-02-24,34288.8008
22417488,SPM50005DBP06,HTN4,,2010,2010-09-21,2010-09-21,55174.3203
62468399,,SPE4A615M4567,,2015,2015-01-12,2015-01-12,32772.6016
5174126,,SPM7MC12V0660,,2012,2011-10-26,2011-10-26,56901.0195
62705885,,SPRMM115VWE94,,2015,2015-02-10,2015-02-10,72416.0000
61713709,,DTNH2215C00032,,2015,2015-09-30,2015-09-30,2010454.0000
61882070,SPM2DV11D1001,GJ71,,2015,2014-10-24,2014-10-24,169682.3125
63010746,FA930215D0004,0012,,2016,2015-12-10,2015-12-10,1533512.0000
25653485,EPS91301,0005,,2014,2013-10-07,2014-06-12,319065.0000
28060636,SPM2DV11D6500,BU99,,2014,2014-02-21,2014-02-21,25062.8008
28263761,W52P1J13D0071,0020,,2014,2014-09-29,2014-09-29,494120.0000
9216458,DABJ0103D0009,2267,,2012,2011-10-18,2011-10-26,289491.4375
60388974,HC104714D4006,0012,,2015,2015-06-04,2015-06-04,277087.0000
2961733,,N0001912C0061,,2013,2012-12-10,2013-07-15,2945286.9375
60367932,N0001914G0021,0006,,2015,2015-07-22,2015-07-22,1322518.0000
10097325,FA865012D1344,0004,,2014,2013-12-19,2013-12-19,102501.0000
27692110,GS06P12GZD0001,GSP0614GY5001,,2014,2013-12-17,2013-12-17,47822.1992
24506292,W15P7T10DD415,2T01,,2012,2011-11-01,2012-09-01,42698017.8438
27975725,SPM2DV11D0704,BZ67,,2014,2014-09-30,2014-09-30,51556.7813
61585543,GS35F0511T,DEDT0010096,,2015,2015-09-04,2015-09-04,26272.6992
19172457,N6247306D1065,0038,,2012,2011-10-18,2011-10-18,37350.0000
63009867,N6523607D6880,0395,,2016,2016-03-04,2016-03-04,600000.0000
25737638,GS23F0047U,VA24113F1172,,2012,2012-06-01,2012-06-01,4043.2800
1423338,,FA865112C0075,,2012,2012-02-22,2012-02-22,252520.0000
27591794,FA448414D0003,0034,,2014,2014-09-30,2014-09-30,51132.6016
26309094,W911S011D0038,0029,,2015,2014-11-04,2014-11-04,475012.3750
27123320,,N0042114C0038,,2015,2014-10-09,2015-02-18,17601035.1959
27494742,,SPRMM114PWC14,,2014,2014-02-20,2014-02-20,50385.0000
60352700,N6554015D0007,0003,,2015,2015-05-29,2015-05-29,1080176.0000
60379817,N6600113D0075,0009,,2015,2015-07-02,2015-07-02,520002.0000
60903230,TCC09HQD0014,150019,,2015,2014-12-22,2014-12-22,536144.5208
18633066,M6785411D5028,0003,,2013,2012-10-30,2013-02-07,3616045.7930
25827828,HQ003413A0002,0002,,2013,2013-07-22,2013-07-22,2353401.5000
27428811,DABL0103A1006,2E71,,2014,2014-09-27,2014-09-27,9237332.0000
26364438,,SPM7L413M3196,,2013,2013-09-11,2013-09-11,45707.0703
24506153,W15P7T10DA804,0002,,2012,2011-11-03,2012-09-11,8987344.9532
27857890,N6247010D3011,0048,,2014,2014-03-31,2014-03-31,427518.0000
26046595,SPM2DV11D1022,E269,,2013,2013-04-29,2013-04-29,30456.7702
24744949,W9128Z11D0007,0015,,2013,2012-11-15,2013-08-16,3042590.2094
62912747,,W81K0015P0646,,2015,2015-07-07,2015-07-07,429924.2500
25881178,N6247012D7004,WE06,,2014,2013-12-06,2014-09-11,2044257.0507
9216524,DABJ0103D0009,2366,,2013,2012-12-12,2012-12-21,159147.0000
28488864,N6247309D2617,0037,,2014,2013-11-21,2013-11-21,198935.0000
28551258,W9127813D0030,0004,,2014,2014-05-13,2014-05-13,143520.0000
24597474,W900KK09D0323,0006,,2011,2011-08-17,2011-08-17,3094326.0000
63009678,N0002412D6404,0425,,2016,2016-02-02,2016-02-02,547788.0000
3453925,,N6247312C2221,,2013,2012-12-13,2012-12-13,105068.0000
25559496,,W900KK13C0043,,2015,2014-10-21,2014-10-21,104828.0000
60723747,FA860111D0009,0514,,2015,2015-09-14,2015-09-14,172172.0000
62319227,GS35F0265X,NSFDACS15D1192,,2015,2015-08-11,2015-08-11,93607.1406
62047222,,HR001115C0149,,2015,2015-09-17,2015-09-17,337933.5938
9788353,EDODS12A0019,0002,,2013,2013-01-18,2013-01-18,312553.9063
10089604,FA860111D0009,0091,,2012,2012-07-13,2012-07-13,26770.0000
25147342,,FA461013C0013,,2013,2013-08-26,2013-08-26,357300.0000
24700482,W9124D08D0045,0475,,2011,2011-08-15,2011-08-15,171500.0000
25337785,,SPE4A613VG004,,2013,2013-06-19,2013-06-19,70283.0000
26397286,N6523613D4904,0001,,2013,2013-09-30,2013-09-30,78539.7188
60423750,FA825212D0005,0033,,2015,2014-11-21,2014-11-21,58971.0000
2347771,,HQ003412P0236,,2012,2012-09-26,2012-09-26,55613.7891
27326980,,SPE4A614VN807,,2015,2014-10-01,2014-10-01,27856.0000
20433366,SP070000D3180,0715,,2014,2013-10-14,2013-10-14,2906268.0000
1496005,,GS04P11BVC0027,,2012,2012-06-15,2012-09-28,78285227.0000
26301304,W56HZV13D0008,0005,,2011,2011-09-07,2011-09-07,86000.0000
24609764,W911KB06D0006,0045,,2012,2011-12-20,2012-07-12,1743124.6250
62146240,N6274211D3512,JN01,,2015,2014-11-24,2014-11-24,2896486.4532
24349934,VA101CFMP0156,VA101F12J0167,,2012,2012-09-06,2012-09-06,304326.0000
2965059,,N0002411C4303,,2011,2010-12-07,2010-12-07,26220334.3653
25666584,FA890309D8586,0019,,2014,2013-11-07,2013-11-07,78418.0000
26432243,W9127811D0062,DW06,,2014,2013-10-15,2014-06-25,21447104.0000
5029204,,SPM7M312M4640,,2012,2012-05-09,2012-05-09,65654.0000
10104242,FA877104D0003,R517,,2011,2011-08-03,2011-08-03,29494.0000
2298788,,HHSN269201200005C,,2013,2013-02-26,2013-02-26,94495.0000
27766026,H9400304D0002,0105,,2014,2014-04-15,2014-04-15,37851.0000
8198483,,W9124D11C0016,,2011,2011-09-30,2011-09-30,2468018.0000
25662754,FA825112D0003,0006,,2013,2013-08-14,2013-08-14,122500.0000
19577084,NNG07DA49B,DJFA2D201763,,2012,2012-02-17,2012-02-17,506756.5508
24360605,VA24712D0083,VA24712J5023,,2012,2012-06-01,2012-06-01,91058.6328
61090626,N0003911D0030,5054,,2015,2014-10-02,2014-10-13,182883.0391
63011246,SPM2DV11D1046,DA32,,2016,2016-02-09,2016-02-09,54053.6016
60411228,N6600113D0101,0023,,2015,2015-01-26,2015-01-26,23819.6992
18406556,HQ014711D0015,0004,,2011,2011-08-30,2011-08-30,583774.0000
27793732,HDEC0412D0014,0038,,2014,2014-07-20,2014-07-20,31263.5703
60423767,FA875012D0001,0033,,2015,2015-05-14,2015-05-14,2791114.5002
27860340,N6600113D0106,0006,,2014,2014-01-27,2014-01-27,218922.9531
25224515,,N0001913C0024,,2014,2014-07-18,2014-07-18,327624.0000
27746233,NNG07DA49B,DJF141200E0011731,,2014,2014-09-23,2014-09-23,1369313.0000
63010148,FA860111D0009,0570,,2016,2016-05-11,2016-05-11,63058.0000
26377196,FA460006D0003,0059,,2015,2014-10-10,2014-11-14,2083289.7813
4565597,,SPM4A711V0677,,2011,2011-04-27,2011-04-27,25404.0000
4303811,,SPE4A612V1476,,2012,2012-05-22,2012-05-22,85268.1484
28048131,SPM2DV11D2005,LD11,,2014,2014-04-02,2014-04-02,167645.4063
27998117,SPM2DV11D8003,H704,,2014,2014-04-29,2014-04-29,33081.5001
24564705,W56HZV12D0036,0001,,2012,2012-05-18,2012-09-06,369875.2812
25010957,W91QUZ08A0001,7C02,,2011,2011-04-27,2011-04-27,193731.1250
25139564,,EDOII13C0073,,2014,2013-11-06,2013-11-06,44640.0000
18632846,M6785410D5117,0008,,2011,2010-10-18,2010-10-18,700351.5000
28178802,V797P6029B,VA797H14J0213,,2014,2014-09-26,2014-09-26,1501510.0000
19183013,N6247310D5416,0004,,2013,2013-03-06,2013-03-06,82079.0000
26379170,FA860111D0009,0265,,2013,2013-09-27,2013-09-27,30080.0000
24808831,W912ER11D0013,0002,,2013,2013-03-23,2013-09-24,3366491.7969
7936263,,W31P4Q11C0101,,2011,2011-01-06,2011-08-29,32748176.6588
25484159,,TMHQ13P0056,,2012,2012-09-28,2012-09-28,28799.0000
25896197,NNG07DA18B,M6786113F0007,,2013,2013-03-11,2013-03-11,209404.7813
