CSIScontractID,PrimeAwardIDVPIID,PrimeAwardPIID,PrimeAwardFederalAwardID,PrimeFiscalYear,MinOfPrimeAwardDateSigned,MaxOfPrimeAwardDateSigned,SubawardAmount
19011576,N4008008D0305,1042,,2011,2011-04-04,2011-09-06,130356.8828
21464318,SPM2DV11D9200,AL42,,2012,2012-09-14,2012-09-14,47819.7500
63010827,FA860415D7976,0031,,2016,2016-05-20,2016-05-20,379981.0938
26398307,NNG07DA18B,HQ051613F0065,,2013,2013-09-25,2013-09-25,21445.5000
19046706,N4019210D2806,0027,,2012,2012-09-28,2012-09-28,63777.0000
28043275,SPM2DV11D1008,EN31,,2014,2014-03-18,2014-03-18,26848.1401
27165879,,N0001914C0067,,2014,2014-08-14,2014-09-26,829725523.9851
2551128,,HSHQDC12C00097,,2014,2013-10-11,2013-12-18,437325.0701
4868085,,SPM7L411V3917,,2008,2008-08-14,2008-08-14,38516.5586
17835445,GS35F0783M,N6308211F0018,,2011,2011-06-06,2011-06-06,51809.3203
24502171,W15P7T06DE401,0046,,2010,2010-01-20,2010-08-26,15950000.0000
27705119,N0001911G0001,JZYV,,2015,2015-01-18,2015-01-18,85866.0000
62022965,HHSN272201200003I,HHSN27200013,,2015,2015-08-18,2015-08-18,84040.0000
9989759,FA449708D0005,0119,,2013,2012-12-02,2012-12-02,64300.0000
27993151,SPM2DV11D7001,F518,,2014,2014-07-23,2014-07-23,36547.3107
25044216,W91WAW08D0014,0016,,2013,2013-05-14,2013-05-15,2654097.4688
1085897,,EDOII12C0076,,2011,2011-08-17,2011-08-17,97425.0000
19207276,N6258309D0129,0017,,2012,2012-02-16,2012-08-23,358140.0000
25270780,,NNX13CJ09C,,2012,2012-06-19,2012-06-19,60589.0000
22417987,SPM50005DBP06,JJM9,,2011,2010-12-06,2010-12-06,25696.1992
19011840,N4008008D0305,2051,,2012,2012-04-25,2012-04-25,25573.0000
21379168,SPM20005D6552,Y216,,2011,2011-07-19,2011-07-19,153171.9688
22286867,SPM50002D0122,EYR5,,2010,2010-09-30,2010-09-30,555798.3750
27830827,N0001912G0006,0073,,2015,2014-10-03,2014-12-19,644170.0000
8405427,,W912LA12C0007,,2013,2012-11-16,2012-12-12,15877400.0000
60958841,SPM4A111G0010,21W6,,2015,2015-02-27,2015-02-27,26575.9004
61088292,DTFH6113D00012,5009,,2015,2015-09-17,2015-09-17,62111.6797
9066688,AIDEDHI000800027,AID306TO1200008,,2012,2012-05-31,2012-05-31,1200000.0000
24797729,W912DY08D0024,0012,,2011,2011-07-12,2011-07-12,44660.4805
22348649,SPM50004DBP10,BNY7,,2011,2011-09-30,2011-09-30,81431.0000
28031517,SPM2DV11D0200,H149,,2014,2014-02-03,2014-02-03,36500.4499
18793955,N0017312D2015,0001,,2015,2014-12-05,2014-12-05,85414.0000
4553143,,SPM4A711C0546,,2012,2012-06-05,2012-06-05,273000.0000
62219218,N0017805D4563,M804,,2015,2015-04-21,2015-04-21,14327966.6501
19343592,N6523612D4120,0012,,2012,2012-09-24,2012-09-24,174330.0000
26042859,SPM2DV11D0704,AV70,,2013,2013-07-16,2013-07-16,27296.4492
27993169,SPM2DV11D7001,FD37,,2014,2014-08-20,2014-08-20,36769.8797
27806525,N4008014D0353,0022,,2014,2014-09-11,2014-09-11,39075.0000
9970918,FA300208D0012,TG01,,2013,2012-11-05,2013-04-02,272748.0000
27768640,HC104705D4002,0399,,2014,2013-12-05,2013-12-05,143548.0000
63010121,GS35F0362J,TIRNO13Z000070035,,2016,2016-03-22,2016-03-22,137394.2344
27861411,N4008014D0352,0130,,2015,2014-10-07,2014-10-07,83826.8203
4479018,,SPM4A611MMB36,,2011,2011-06-22,2011-06-22,28168.0000
19044336,N4008511D3030,0006,,2011,2011-08-18,2011-08-18,42493.0000
28284999,W9123613D0052,0003,,2014,2014-05-28,2014-05-28,80364.0000
3350078,,N0042111P0664,,2011,2011-08-26,2011-08-26,106392.0000
27571571,DOCYA132314BU0005,DOC45PAPT1400412,,2014,2014-08-20,2014-08-20,1760332.7500
63010408,N5005414D1408,0065,,2016,2015-12-02,2015-12-02,599212.4376
27295067,,SPE7MC14MA713,,2015,2014-10-02,2014-10-02,57618.0000
25570671,,W912BU13C0015,,2013,2013-05-16,2013-05-16,1635322.0000
19385318,N6660412D2130,0002,,2013,2013-04-15,2013-04-15,128100.0000
27726801,N4425512D7009,0197,,2015,2014-10-30,2014-10-30,120653.0000
25379816,,SPM5E413V3426,,2013,2013-05-02,2013-05-02,52812.4102
19533284,NNG07DA18B,VA11812F0037,,2012,2011-12-12,2011-12-12,56925.0000
25898556,NNG07DA23B,VA11813F0423,,2013,2013-09-18,2013-09-18,218769.1094
24350505,VA11811D1012,VA11810120001,,2012,2012-09-21,2012-09-28,176195.7793
63009459,N6523613D2800,0140,,2016,2015-11-18,2015-11-18,12272120.2110
27129903,,DTFH6114C00005,,2014,2014-03-31,2014-03-31,256626.0000
27669973,FA447910D0003,0173,,2015,2014-11-13,2014-11-13,213766.0000
10096848,FA865009D3900,0014,,2012,2011-12-06,2012-04-30,5743439.2501
63010534,FA873214D0005,R219,,2016,2015-10-09,2015-10-09,86663.7968
63010398,FA873214D0012,SJ01,,2016,2016-06-10,2016-06-10,1202029.8750
24505477,W15P7T08DP417,0019,,2011,2011-09-22,2011-09-22,564000.0000
26040088,SPM2DV11D0200,C919,,2013,2013-07-19,2013-07-19,25123.6494
10105075,FA877104D0003,SW20,,2012,2012-02-16,2012-02-16,32123.0000
24502178,W15P7T06DE401,0053,,2009,2008-10-30,2008-10-30,3045151.7891
60360873,W52P1J12D0079,0004,,2015,2014-12-17,2014-12-17,1187748.0000
18625194,M6785402A9000,0116,,2011,2010-10-01,2010-10-01,1000000.0000
63011271,SPM2DV11D1046,DR53,,2016,2016-03-24,2016-03-24,67801.9826
2362418,,HR001112C0037,,2015,2014-10-16,2014-10-20,1506735.3906
62478589,,SPE4A615V5392,,2015,2014-12-12,2014-12-12,31056.4492
28064886,SPM2DV11D8003,G835,,2014,2014-04-28,2014-04-28,39304.3404
25461557,,SPRMM113CPA76,,2014,2013-12-04,2013-12-04,707353.0035
25826906,HHSP23320095647WC,HHSP23337040T,,2013,2013-09-23,2013-09-23,37405.0000
27835893,N0001914D0001,Z523,,2015,2014-11-21,2015-01-06,1160366.5664
18853891,N0018912D0024,0002,,2012,2012-09-19,2012-09-27,12000000.0000
28276734,W912LP12D0016,0007,,2014,2014-09-19,2014-09-19,10870351.0000
60416225,N6600113D0101,0027,,2015,2015-03-17,2015-03-17,88.0000
8076513,,W911QX12C0084,,2013,2013-03-25,2013-09-24,650880.0000
60465101,N4425514D9000,0086,,2015,2015-05-11,2015-05-11,146365.8125
9987599,FA446010D0005,5036,,2012,2011-12-29,2012-09-19,251396.1406
27678646,FA852813D0009,0003,,2015,2014-10-28,2014-12-22,102003.6094
62661768,,SPE7MC15V5468,,2015,2015-05-21,2015-05-21,29325.0000
27864392,NAMANAS10D0007,0093,,2015,2014-10-30,2014-10-30,966003.0000
27633076,FA873214D0005,F315,,2014,2014-09-26,2014-09-26,76890.6094
16598104,GS23F0047U,VA557C15072,,2012,2012-06-01,2012-06-01,132063.0469
27601587,FA862011G4029,0031,,2015,2014-12-11,2014-12-14,149793.1562
25461153,,SPRDL113C0154,,2014,2014-08-26,2014-08-26,46930.0000
26263038,VA25612D0261,VA25613J2328,,2014,2014-06-13,2014-06-13,194450.0000
19044137,N4008511D0300,0003,,2013,2012-10-10,2013-09-06,905883.7969
15496359,GS10F0293K,W912QR11F0266,,2011,2011-08-03,2011-08-03,75000.0000
10001434,FA480910DC003,5032,,2012,2011-12-23,2011-12-23,176526.5313
25380698,,SPM5E713M3717,,2013,2013-06-03,2013-06-03,42800.0000
10093085,FA862011G4026,1217,,2013,2013-02-01,2013-08-02,1772978.8027
63009565,GS35F0265X,DOCSB134116NC0072,,2016,2016-01-14,2016-01-14,101627.5626
61997995,HHSH250201500002I,HHSH25034002T,,2015,2015-09-10,2015-09-10,169054.0000
409511,,AIDCIOO1200002,,2012,2012-04-13,2012-04-13,89205.0000
28514162,SPM2DV11D0200,G110,,2014,2013-10-10,2013-10-10,27549.9593
19544793,NNG07DA23B,VA118A11F0031,,2011,2011-07-27,2011-07-27,131430.8281
63010848,W9127815D0060,0002,,2016,2015-10-27,2015-10-27,1545861.1250
25201296,,HSHQDC13CB0028,,2013,2013-09-20,2013-09-20,898484.0000
18585744,INR11PA10003,INRF11PB10041,,2012,2012-01-31,2012-01-31,26760.0000
18199801,HC102808D2025,VC12,,2014,2014-06-13,2014-09-19,690501.8125
390566,,AID267C001000005,,2010,2010-08-01,2010-08-23,28314229.0000
19141202,N6247011D8013,F276,,2012,2012-08-29,2012-08-29,144767.0000
18883768,N0025311D0003,0027,,2012,2012-09-27,2012-09-27,117709.2031
25397452,,SPM7L313M0794,,2013,2012-11-28,2012-11-28,190025.0000
18175256,H9225409D0001,0639,,2013,2012-11-14,2012-11-14,41265.0000
10104212,FA877104D0003,R218,,2012,2011-10-17,2011-10-17,43499.0000
7936868,,W31P4Q12C0019,,2014,2013-11-01,2014-05-06,221233.7735
25737643,GS23F0047U,VA24413F1477,,2012,2012-05-01,2012-05-01,83096.9219
1577573,,GS11P11MKC0045,,2015,2014-11-24,2014-11-24,110000.0000
19180497,N6247309D2613,0018,,2011,2010-10-05,2011-04-01,1020605.0000
25439237,,SPM7MC13C0011,,2013,2013-05-08,2013-05-08,42320.0000
24503539,W15P7T06DT206,0125,,2013,2012-11-21,2012-11-21,26370.0000
19535351,NNG07DA20B,AG3144D120046,,2012,2011-11-30,2011-11-30,328406.1250
27719786,GS07F0082J,W91SMC14F0015,,2014,2014-06-10,2014-06-10,30751.3906
10001517,FA480911DC007,5005,,2012,2012-07-31,2012-08-13,207766.0000
27406120,,SPE7M514V1473,,2014,2013-12-19,2013-12-19,66796.7969
22417419,SPM50005DBP06,HSD4,,2010,2010-09-04,2010-09-04,35901.1602
4847770,,SPM7L311C0138,,2011,2010-10-11,2010-10-11,896750.0000
24718742,W9126G07D0018,0023,,2011,2011-04-18,2011-08-29,389179.1231
8239902,,W9126G12C0106,,2013,2012-10-19,2013-01-30,1683465.0000
24631603,W911RX12D0003,0051,,2012,2012-09-10,2012-09-10,43700.0000
7880420,,W15P7T11CH263,,2010,2010-08-09,2010-08-09,3855011.0000
28105223,SPM2DV11D8003,F916,,2014,2014-02-20,2014-02-20,31810.7297
