RoughUniqueEntityCategory,VendorSize,fiscal_year,RoughUniqueEntity,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
PDuns,Always Small,1987,1,1,NULL,-171000
PDuns,Always Small,1988,8,9,NULL,3667000
PDuns,Always Small,1989,286,794,NULL,324737971
PID,Always Small,1989,12,12,NULL,2753000
PDuns,Always Small,1990,4168,14994,1,7917202175
PID,Always Small,1990,70,70,NULL,848245000
PDuns,Always Small,1991,5146,19427,3,12799310352
PID,Always Small,1991,106,106,NULL,1026271461
PDuns,Always Small,1992,5278,22046,9,12644939054
PID,Always Small,1992,119,119,NULL,578253784
PDuns,Always Small,1993,4055,21303,1025,12661301915
PID,Always Small,1993,132,132,11,849718014
PDuns,Always Small,1994,17057,17461,60089,12398090147
PID,Always Small,1994,154,154,1924,712896673
PDuns,Always Small,1995,17638,17798,62660,12557730061
PID,Always Small,1995,171,171,2617,797696968
PDuns,Always Small,1996,19589,20733,66687,12804174808
PID,Always Small,1996,188,188,2260,827420829
PDuns,Always Small,1997,18963,19424,63787,11608934425
PID,Always Small,1997,304,304,3980,1285847421
Name,Always Small,1998,1,1,1,294364
PDuns,Always Small,1998,17937,18381,62429,11057062902
PID,Always Small,1998,311,311,2976,1022864549
PDuns,Always Small,1999,18725,19202,67230,12128723669
PID,Always Small,1999,389,389,4239,1383223265
Name,Always Small,2000,2,1,0,0
PDuns,Always Small,2000,41256,41717,165430,20653430077
PID,Always Small,2000,614,614,8615,2566673551
Name,Always Small,2001,4,3,1,791682
PDuns,Always Small,2001,43905,44441,182676,23535110287
PID,Always Small,2001,620,620,9660,2525572674
Name,Always Small,2002,9,3,6,91393
PDuns,Always Small,2002,53839,54530,236285,25944631816
PID,Always Small,2002,628,628,11176,5668530861
Name,Always Small,2003,189,3,261,6348672
PDuns,Always Small,2003,70764,71695,356290,30884715722
PID,Always Small,2003,715,715,16530,3938480867
Duns,Always Small,2004,1,1,1,12500
Name,Always Small,2004,315,3,466,13379469.13
PDuns,Always Small,2004,91675,92879,602194,30528773266
PID,Always Small,2004,583,583,10377,3130368683
Duns,Always Small,2005,1,1,2,3000
Name,Always Small,2005,1483,3,2393,11947979.71
PDuns,Always Small,2005,112944,114399,2866813,36322666993
PID,Always Small,2005,534,534,10753,5104795042
Duns,Always Small,2006,2,2,4,1160
Name,Always Small,2006,519,3,758,1212005.033
PDuns,Always Small,2006,122679,124671,2042496,41469364624
PID,Always Small,2006,541,541,15937,3254722552
Name,Always Small,2007,25,3,36,204889.7055
PDuns,Always Small,2007,125684,127765,2079343,44350578449
PID,Always Small,2007,529,529,30625,2894164842
Duns,Always Small,2008,1,1,1,16408
Name,Always Small,2008,9,2,17,194591.17
PDuns,Always Small,2008,127040,129127,1914765,47067063073
PID,Always Small,2008,472,472,33016,2780428724
Duns,Always Small,2009,1,1,1,9276
Name,Always Small,2009,8,2,9,347492.4128
PDuns,Always Small,2009,122453,124297,1405229,51736082975
PID,Always Small,2009,429,429,32772,3139787070
Duns,Always Small,2010,3,3,4,262085.8156
Name,Always Small,2010,6,2,8,158205.1802
PDuns,Always Small,2010,122000,123744,1405737,54989357054
PID,Always Small,2010,378,378,34239,3331951545
Duns,Always Small,2011,8,8,12,422692.228
Name,Always Small,2011,6,2,7,127262.5407
PDuns,Always Small,2011,118337,119855,1427161,51268112091
PID,Always Small,2011,355,355,36241,2990865816
Duns,Always Small,2012,17,17,19,357462.5957
Name,Always Small,2012,2,1,1,28228
PDuns,Always Small,2012,107833,109286,1340591,51223427603
PID,Always Small,2012,316,316,34401,3505664975
Duns,Always Small,2013,24,24,31,824458.98
Name,Always Small,2013,1,1,1,1535.58
PDuns,Always Small,2013,98499,99724,832869,47409634901
PID,Always Small,2013,281,281,30606,2607836910
Name,Always Small,2014,1,1,0,0
PDuns,Always Small,2014,97392,98813,697594,53300905167
PID,Always Small,2014,262,262,30189,2973758708
Name,Always Small,2015,2,1,0,0
PDuns,Always Small,2015,92738,94082,1149485,53027400565
PID,Always Small,2015,250,250,11779,2058350690
Name,Always Small,2016,1,1,0,0
PDuns,Always Small,2016,89089,90446,1383144,55288868457
