RoughUniqueEntityCategory,VendorSize,fiscal_year,RoughUniqueEntity,AllContractor,SumOfNumberOfActions,SumOfObligatedAmount
PID,Always Small,2016,239,239,5639,1876344799
PID,Large,1988,9,9,NULL,2460000
PID,Large,1989,33,33,NULL,250590000
PDuns,Large,1990,1,1,NULL,NULL
PID,Large,1990,107,107,NULL,47689802888
PDuns,Large,1991,1,1,NULL,256097000
PID,Large,1991,110,110,2,47871034037
PDuns,Large,1992,1,1,NULL,98838884
PID,Large,1992,120,120,8,42232116460
PDuns,Large,1993,1,1,NULL,6449079
PID,Large,1993,130,130,340,43258751357
PID,Large,1994,134,134,36122,40489848594
PID,Large,1995,133,133,39364,36163707912
Name,Large,1996,1,1,72,72276628
PID,Large,1996,159,159,49271,38260363376
PID,Large,1997,182,182,52965,29670511355
Name,Large,1998,1,1,133,146644780
PID,Large,1998,183,183,57167,27639508486
Name,Large,1999,1,1,146,138402938
PID,Large,1999,194,194,60968,29099194320
Name,Large,2000,1,1,106,83847569
PID,Large,2000,229,229,110374,64577518552
Name,Large,2001,1,1,144,124311920
PID,Large,2001,233,233,125451,67442261819
Name,Large,2002,1,1,153,125687663
PID,Large,2002,246,246,158322,76594156744
Name,Large,2003,2,1,207,172804548
PID,Large,2003,251,251,228413,1.03979E+11
Name,Large,2004,1,1,11570,200407795
PID,Large,2004,258,258,310299,1.11655E+11
Name,Large,2005,2,1,13613,245023010
PID,Large,2005,258,258,746526,1.24684E+11
Name,Large,2006,2,1,2520,222511071.2
PID,Large,2006,268,268,727118,1.41207E+11
Name,Large,2007,2,1,7953,277650106.4
PID,Large,2007,270,270,822484,1.51794E+11
Name,Large,2008,3,1,7124,270346929.3
PID,Large,2008,273,273,869301,1.81897E+11
Name,Large,2009,2,1,8883,279001162
PID,Large,2009,287,287,785187,1.92405E+11
Name,Large,2010,2,1,6843,227626029.7
PID,Large,2010,290,290,802795,1.83575E+11
Name,Large,2011,2,1,7094,283090482.6
PID,Large,2011,294,294,10250275,1.76529E+11
Name,Large,2012,2,1,6046,263128250.6
PID,Large,2012,292,292,10800213,1.7484E+11
Name,Large,2013,1,1,5492,274042050.3
PID,Large,2013,290,290,9302823,1.5196E+11
Name,Large,2014,1,1,4900,259753201.8
PID,Large,2014,283,283,11409105,1.42586E+11
Name,Large,2015,1,1,3192,201264992.7
PID,Large,2015,269,269,11029228,1.38094E+11
Name,Large,2016,1,1,3561,149381104.4
PID,Large,2016,259,259,10954374,1.40287E+11
PID,Large: Big 5,1988,2,2,NULL,694000
PID,Large: Big 5,1989,5,5,NULL,79809000
PID,Large: Big 5,1990,6,6,NULL,15869032707
PID,Large: Big 5,1991,6,6,NULL,18455984964
PID,Large: Big 5,1992,6,6,4,18797646629
PID,Large: Big 5,1993,6,6,36,16833823927
PID,Large: Big 5,1994,5,5,7636,18817857883
PID,Large: Big 5,1995,6,6,8806,18604012168
PID,Large: Big 5,1996,6,6,12735,22106720317
PID,Large: Big 5,1997,6,6,19511,32138431090
PID,Large: Big 5,1998,5,5,20702,36132486815
PID,Large: Big 5,1999,5,5,21259,37961326457
PID,Large: Big 5,2000,5,5,28740,46002974504
PID,Large: Big 5,2001,5,5,29719,50568366785
PID,Large: Big 5,2002,5,5,39414,65622989502
PID,Large: Big 5,2003,5,5,48594,76305685923
PID,Large: Big 5,2004,5,5,51001,80189089447
PID,Large: Big 5,2005,5,5,65861,81778683987
PID,Large: Big 5,2006,5,5,67030,95686411906
PID,Large: Big 5,2007,5,5,81219,1.0657E+11
PID,Large: Big 5,2008,5,5,88485,1.13022E+11
PID,Large: Big 5,2009,5,5,84640,1.14229E+11
PID,Large: Big 5,2010,5,5,88010,1.04192E+11
PID,Large: Big 5,2011,5,5,90683,1.17749E+11
PID,Large: Big 5,2012,5,5,78503,1.10026E+11
PID,Large: Big 5,2013,5,5,74553,1.0383E+11
PID,Large: Big 5,2014,5,5,72810,88805189115
PID,Large: Big 5,2015,5,5,93338,89472094259
PID,Large: Big 5,2016,6,6,189723,1.0622E+11
PID,Large: Big 5 JV,1990,1,1,NULL,103874000
PID,Large: Big 5 JV,1991,2,2,NULL,337699000
PID,Large: Big 5 JV,1992,3,3,NULL,609360462
PID,Large: Big 5 JV,1993,3,3,NULL,671254155
PID,Large: Big 5 JV,1994,1,1,20,248145948
PID,Large: Big 5 JV,1995,1,1,32,231653159
PID,Large: Big 5 JV,1996,2,2,77,480900547
PID,Large: Big 5 JV,1997,4,4,83,777473053
PID,Large: Big 5 JV,1998,4,4,101,765214663
PID,Large: Big 5 JV,1999,5,5,149,1355152574
PID,Large: Big 5 JV,2000,7,7,118,1641141138
PID,Large: Big 5 JV,2001,7,7,97,1370600396
PID,Large: Big 5 JV,2002,7,7,157,1825683521
PID,Large: Big 5 JV,2003,10,10,376,2794345681
PID,Large: Big 5 JV,2004,10,10,407,3984880868
PID,Large: Big 5 JV,2005,9,9,499,4552197785
PID,Large: Big 5 JV,2006,10,10,497,4638511158
PID,Large: Big 5 JV,2007,10,10,1021,5949317488
PID,Large: Big 5 JV,2008,13,13,1161,6938885078
PID,Large: Big 5 JV,2009,14,14,1536,7801880962
PID,Large: Big 5 JV,2010,15,15,2248,7594346171
PID,Large: Big 5 JV,2011,12,12,2507,6658232488
PID,Large: Big 5 JV,2012,13,13,2277,8195698301
PID,Large: Big 5 JV,2013,14,14,2568,5587652872
PID,Large: Big 5 JV,2014,13,13,3566,7763864567
PID,Large: Big 5 JV,2015,13,13,3180,7597832306
PID,Large: Big 5 JV,2016,13,13,4586,7882616438
PDuns,Medium <1B,1988,14,16,NULL,896670
PID,Medium <1B,1988,2,2,NULL,-65000
PDuns,Medium <1B,1989,332,559,NULL,602407000
PID,Medium <1B,1989,30,30,NULL,272708975
PDuns,Medium <1B,1990,4576,14969,2,20361054672
PID,Medium <1B,1990,158,158,NULL,7901746493
PDuns,Medium <1B,1991,3567,13046,NULL,23946826063
PID,Medium <1B,1991,149,149,1,7491205571
PDuns,Medium <1B,1992,4263,14704,4,21075770977
PID,Medium <1B,1992,176,176,NULL,5998655814
PDuns,Medium <1B,1993,4507,15093,732,19923258169
PID,Medium <1B,1993,192,192,39,6282702785
PDuns,Medium <1B,1994,8615,11851,64711,20403304311
PID,Medium <1B,1994,226,226,7605,6373356639
PDuns,Medium <1B,1995,9254,12358,70336,20018635851
PID,Medium <1B,1995,202,202,6075,4123151309
PDuns,Medium <1B,1996,9822,13156,73327,18434168513
PID,Medium <1B,1996,235,235,5038,3178756691
Duns,Medium <1B,1997,1,1,116,119725780
PDuns,Medium <1B,1997,9228,11514,55140,13285553184
PID,Medium <1B,1997,376,376,8220,5205283114
PDuns,Medium <1B,1998,8257,10319,49597,12001303140
PID,Medium <1B,1998,413,413,8834,4415953396
PDuns,Medium <1B,1999,7791,9459,47354,12279919002
PID,Medium <1B,1999,462,462,9856,4721399937
PDuns,Medium <1B,2000,17518,18853,90445,21510880741
PID,Medium <1B,2000,687,687,13163,6064844222
PDuns,Medium <1B,2001,18253,19774,98205,20918149611
PID,Medium <1B,2001,560,560,14489,7333142255
PDuns,Medium <1B,2002,19901,21765,119495,22618169773
PID,Medium <1B,2002,553,553,15120,8490934554
Duns,Medium <1B,2003,1,1,1,1309233
PDuns,Medium <1B,2003,22921,25214,151060,23260434986
PID,Medium <1B,2003,623,623,21214,9789304832
Duns,Medium <1B,2004,1,1,1,1727149
PDuns,Medium <1B,2004,28584,31731,185317,23769331858
PID,Medium <1B,2004,575,575,21445,10764719671
Duns,Medium <1B,2005,1,1,1,1588458
PDuns,Medium <1B,2005,33001,37031,1226103,28035175552
PID,Medium <1B,2005,567,567,42555,13354746099
Duns,Medium <1B,2006,1,1,2,1606901
PDuns,Medium <1B,2006,29875,34051,1110603,29137547201
PID,Medium <1B,2006,510,510,25899,13219425092
Duns,Medium <1B,2007,2,2,3,56610
PDuns,Medium <1B,2007,29934,34615,1164983,28458803375
PID,Medium <1B,2007,524,524,20650,14469727851
Duns,Medium <1B,2008,3,3,5,11160
PDuns,Medium <1B,2008,31387,36774,1175928,32710691395
PID,Medium <1B,2008,511,511,34447,28142460217
Duns,Medium <1B,2009,8,8,10,334630.3516
PDuns,Medium <1B,2009,31951,38005,1215169,38311410779
PID,Medium <1B,2009,559,559,47298,2691144676
Duns,Medium <1B,2010,12,12,15,2000943.371
PDuns,Medium <1B,2010,33451,40041,1311748,39253278741
PID,Medium <1B,2010,669,669,52541,19987282565
Duns,Medium <1B,2011,20,20,27,1038981.454
PDuns,Medium <1B,2011,35064,41725,1366614,35742391689
PID,Medium <1B,2011,746,746,68630,23822388193
Duns,Medium <1B,2012,46,46,51,2821435.051
PDuns,Medium <1B,2012,31857,38320,2525666,35698954245
PID,Medium <1B,2012,762,762,82138,22408527493
Duns,Medium <1B,2013,71,71,135,2645215.12
PDuns,Medium <1B,2013,29404,35201,970212,29719708875
PID,Medium <1B,2013,712,712,113489,21538687922
PDuns,Medium <1B,2014,27392,33358,1117113,34284412664
PID,Medium <1B,2014,646,646,50590,19085171872
PDuns,Medium <1B,2015,28026,34329,1783553,33776614686
PID,Medium <1B,2015,600,600,108965,19315446222
PDuns,Medium <1B,2016,28364,34649,3076690,39405779486
PID,Medium <1B,2016,564,564,107088,19223849235
PID,Medium >1B,1989,9,9,NULL,25062000
PID,Medium >1B,1990,38,38,NULL,4559724000
PID,Medium >1B,1991,41,41,NULL,4161703929
PID,Medium >1B,1992,47,47,2,3881287676
PID,Medium >1B,1993,51,51,47,3772384704
PID,Medium >1B,1994,58,58,3012,3104798793
PID,Medium >1B,1995,56,56,3678,7164501499
PID,Medium >1B,1996,67,67,4479,3998912170
PID,Medium >1B,1997,77,77,7548,5454087966
PID,Medium >1B,1998,78,78,8732,7240983320
PID,Medium >1B,1999,83,83,9158,8318466155
PID,Medium >1B,2000,105,105,19599,12805237523
PID,Medium >1B,2001,105,105,17990,17820344412
PID,Medium >1B,2002,108,108,24259,16667467132
PID,Medium >1B,2003,112,112,32637,23706717777
PID,Medium >1B,2004,111,111,35400,19492949999
PID,Medium >1B,2005,113,113,42957,23019854142
PID,Medium >1B,2006,114,114,40318,21493253324
PID,Medium >1B,2007,112,112,46185,25815974984
PID,Medium >1B,2008,112,112,48764,27296535645
PID,Medium >1B,2009,112,112,47912,30859480356
PID,Medium >1B,2010,110,110,48372,29501442246
PID,Medium >1B,2011,111,111,66182,31081774714
PID,Medium >1B,2012,109,109,53608,28137075428
PID,Medium >1B,2013,108,108,42840,23945466228
PID,Medium >1B,2014,104,104,138364,21612760700
PID,Medium >1B,2015,102,102,1027974,22448147200
PID,Medium >1B,2016,98,98,1911970,21854166357
PDuns,Sometimes Small,1989,17,27,NULL,77519000
PID,Sometimes Small,1989,1,1,NULL,1097000
PDuns,Sometimes Small,1990,1722,3147,NULL,10790415736
PID,Sometimes Small,1990,100,100,NULL,4309031734
PDuns,Sometimes Small,1991,1378,2298,NULL,13029686362
PID,Sometimes Small,1991,120,120,NULL,6778375105
PDuns,Sometimes Small,1992,1258,2246,NULL,10755431809
PID,Sometimes Small,1992,129,129,1,6734359001
PDuns,Sometimes Small,1993,998,2161,195,9887365803
PID,Sometimes Small,1993,133,133,75,7226372234
Name,Sometimes Small,1994,2,2,8526,1809399553
PDuns,Sometimes Small,1994,2004,2143,38646,8739352291
PID,Sometimes Small,1994,116,116,9191,4867065707
Name,Sometimes Small,1995,2,2,7045,2834896911
PDuns,Sometimes Small,1995,2159,2313,45281,10042701231
PID,Sometimes Small,1995,142,142,12463,5501688939
Name,Sometimes Small,1996,1,1,3306,2942679507
PDuns,Sometimes Small,1996,2541,2785,45862,9424222597
PID,Sometimes Small,1996,213,213,19532,7136198888
Name,Sometimes Small,1997,2,2,2861,2697298445
PDuns,Sometimes Small,1997,2421,2603,36003,6923636186
PID,Sometimes Small,1997,346,346,25488,8037188161
Name,Sometimes Small,1998,1,1,2480,2266586927
PDuns,Sometimes Small,1998,2208,2384,35684,6996877139
PID,Sometimes Small,1998,390,390,28422,8443423338
Name,Sometimes Small,1999,2,2,2352,1504768827
PDuns,Sometimes Small,1999,2081,2283,34528,6327476833
PID,Sometimes Small,1999,430,430,32102,9474529075
Name,Sometimes Small,2000,3,3,4792,1022251845
PDuns,Sometimes Small,2000,4158,4421,87682,14716031276
PID,Sometimes Small,2000,681,681,58580,15295123837
Name,Sometimes Small,2001,4,3,4316,1588190606
PDuns,Sometimes Small,2001,4463,4791,96272,15942480781
PID,Sometimes Small,2001,672,672,55938,15238304633
Name,Sometimes Small,2002,5,3,3181,2357437245
PDuns,Sometimes Small,2002,5547,6059,132287,19461173586
PID,Sometimes Small,2002,718,718,72200,20019230604
Name,Sometimes Small,2003,10,4,2627,881618189.7
PDuns,Sometimes Small,2003,7078,7715,201088,21164995512
PID,Sometimes Small,2003,898,898,102261,27706992370
Name,Sometimes Small,2004,15,4,36989,2348218072
PDuns,Sometimes Small,2004,11309,12394,576196,26514049544
PID,Sometimes Small,2004,984,984,152630,26037651246
Name,Sometimes Small,2005,135,4,212188,8646800708
PDuns,Sometimes Small,2005,15584,17260,2447109,32942807274
PID,Sometimes Small,2005,1018,1018,300790,31564909921
Name,Sometimes Small,2006,33,4,561954,8970486583
PDuns,Sometimes Small,2006,16339,18427,2607637,33847820804
PID,Sometimes Small,2006,1018,1018,643014,36424679260
Name,Sometimes Small,2007,6,4,575545,8487124083
PDuns,Sometimes Small,2007,19112,21606,3058605,39505707248
PID,Sometimes Small,2007,1009,1009,1178562,39891379491
Name,Sometimes Small,2008,5,3,320594,10550168326
PDuns,Sometimes Small,2008,19726,22380,3078904,46502855132
PID,Sometimes Small,2008,1017,1017,707241,43038953749
Name,Sometimes Small,2009,5,4,253751,6829140477
PDuns,Sometimes Small,2009,18122,20199,1295505,47290940507
PID,Sometimes Small,2009,946,946,388579,43984673002
Name,Sometimes Small,2010,6,4,285304,6029790022
PDuns,Sometimes Small,2010,18460,20305,1450895,49799000099
PID,Sometimes Small,2010,882,882,328038,40082901947
Duns,Sometimes Small,2011,1,1,5,32799.8398
Name,Sometimes Small,2011,5,4,153143,5256836235
PDuns,Sometimes Small,2011,17655,19180,1973963,47158032495
PID,Sometimes Small,2011,790,790,1230487,39211902429
Name,Sometimes Small,2012,4,3,78489,2514512330
PDuns,Sometimes Small,2012,15752,17099,2050569,43403662593
PID,Sometimes Small,2012,772,772,415151,36500440287
Name,Sometimes Small,2013,6,3,121924,2751214536
PDuns,Sometimes Small,2013,14747,16073,1823560,40783454059
PID,Sometimes Small,2013,679,679,160673,29927437291
Name,Sometimes Small,2014,3,3,18765,226116663.5
PDuns,Sometimes Small,2014,13720,14968,1867108,44639104955
PID,Sometimes Small,2014,637,637,149962,27540533012
Name,Sometimes Small,2015,3,2,58216,1108392374
PDuns,Sometimes Small,2015,14498,15645,1766041,44896419237
PID,Sometimes Small,2015,585,585,243912,25057087460
Name,Sometimes Small,2016,4,3,14022,153565155.7
PDuns,Sometimes Small,2016,14414,15578,1729930,49781716860
PID,Sometimes Small,2016,565,565,270029,23808172919
Name,Unlabeled,1998,1,1,7,3759749
Name,Unlabeled,1999,1,1,22,8184964
Name,Unlabeled,2000,5,3,26,10432768
Name,Unlabeled,2001,5,2,36,10987205.31
Name,Unlabeled,2002,33,4,89,42839474.11
Name,Unlabeled,2003,364,3,618,29977799.24
Name,Unlabeled,2004,414,3,601,14561605.73
Name,Unlabeled,2005,1266,3,2611,130672845.7
PDuns,Unlabeled,2005,1,1,28,12196716
Name,Unlabeled,2006,358,3,673,9948028.341
Name,Unlabeled,2007,39,3,117,7070138.214
PDuns,Unlabeled,2007,1,1,40,13962437.56
Name,Unlabeled,2008,15,3,134,13512912.88
Name,Unlabeled,2009,13,3,848,41513042.32
Name,Unlabeled,2010,3,2,926,32543142.5
Name,Unlabeled,2011,8,3,2395,113467585.2
Name,Unlabeled,2012,7,3,59567,2031281550
Name,Unlabeled,2013,2,2,3,960071.79
Name,Unlabeled,2014,4,2,68686,1447160307
Name,Unlabeled,2015,6,3,27102,373692925
Name,Unlabeled,2016,3,2,56349,1332920189
Name,Sometimes Small,2002,2,3,3240,2398936123
PDuns,Sometimes Small,2002,5452,5793,120347,16914967668
PID,Sometimes Small,2002,718,718,72200,20019230604
PPID,Sometimes Small,2002,92,267,11940,2546205918
Name,Sometimes Small,2003,4,4,2663,892995660.7
PDuns,Sometimes Small,2003,6979,7444,190373,19146190308
PID,Sometimes Small,2003,898,898,102261,27706992370
PPID,Sometimes Small,2003,95,272,10715,2018805204
Name,Sometimes Small,2004,9,4,36989,2348218072
PDuns,Sometimes Small,2004,11178,12017,560422,23974604244
PID,Sometimes Small,2004,984,984,152630,26037651246
PPID,Sometimes Small,2004,126,377,15774,2539445301
Name,Sometimes Small,2005,128,4,212188,8646800708
PDuns,Sometimes Small,2005,15434,16780,2389477,29755906146
PID,Sometimes Small,2005,1018,1018,300790,31564909921
PPID,Sometimes Small,2005,145,481,57632,3186901128
Name,Sometimes Small,2006,27,4,561956,8971670418
PDuns,Sometimes Small,2006,16178,17879,2551822,30711478675
PID,Sometimes Small,2006,1018,1018,643014,36424679260
PPID,Sometimes Small,2006,153,549,55815,3136342129
Name,Sometimes Small,2007,0,4,575546,8488601582
PDuns,Sometimes Small,2007,18954,20998,2976109,35503149796
PID,Sometimes Small,2007,1009,1009,1178562,39891379491
PPID,Sometimes Small,2007,150,609,82496,4002557452
Name,Sometimes Small,2008,1,3,320594,10550168326
PDuns,Sometimes Small,2008,19551,21755,2989412,41719539625
PID,Sometimes Small,2008,1017,1017,707241,43038953749
PPID,Sometimes Small,2008,166,625,89492,4783315507
Name,Sometimes Small,2009,0,4,253751,6829140477
PDuns,Sometimes Small,2009,17949,19661,1258210,42898881694
PID,Sometimes Small,2009,946,946,388579,43984673002
PPID,Sometimes Small,2009,165,538,37295,4392058814
Name,Sometimes Small,2010,1,4,285304,6029790022
PDuns,Sometimes Small,2010,18306,19843,1414149,46010788078
PID,Sometimes Small,2010,882,882,328038,40082901947
PPID,Sometimes Small,2010,146,462,36746,3788212021
Duns,Sometimes Small,2011,1,1,5,32799.8398
Name,Sometimes Small,2011,0,4,153143,5256836235
PDuns,Sometimes Small,2011,17503,18785,1937803,43546627308
PID,Sometimes Small,2011,790,790,1230487,39211902429
PPID,Sometimes Small,2011,146,424,36160,3611405187
Name,Sometimes Small,2012,0,3,78489,2514512330
PDuns,Sometimes Small,2012,15627,16775,2025784,40426095981
PID,Sometimes Small,2012,772,772,415151,36500440287
PPID,Sometimes Small,2012,119,338,24794,2977666477
Name,Sometimes Small,2013,2,3,121924,2751214536
PDuns,Sometimes Small,2013,14635,15779,1804703,38084992089
PID,Sometimes Small,2013,679,679,160673,29927437291
PPID,Sometimes Small,2013,106,308,18857,2698461970
Name,Sometimes Small,2014,0,3,19567,310101075
PDuns,Sometimes Small,2014,13615,14697,1848846,41856079935
PID,Sometimes Small,2014,637,637,149962,27540533012
PPID,Sometimes Small,2014,102,284,18262,2783025020
Name,Sometimes Small,2015,1,2,58945,1245510157
PDuns,Sometimes Small,2015,14425,15484,1753839,43876490515
PID,Sometimes Small,2015,585,585,243912,25057087460
PPID,Sometimes Small,2015,71,168,12202,1019928722
Name,Sometimes Small,2016,0,3,14022,153565155.7
PDuns,Sometimes Small,2016,14342,15442,1720658,49095515246
PID,Sometimes Small,2016,565,565,270029,23808172919
PPID,Sometimes Small,2016,70,144,9272,686201614.8
Name,Unlabeled,1998,1,1,7,3759749
Name,Unlabeled,1999,1,1,22,8184964
Name,Unlabeled,2000,4,3,10,1539417
Name,Unlabeled,2001,4,2,3,564482.3125
Name,Unlabeled,2002,30,4,30,1340596.113
Name,Unlabeled,2003,363,3,582,18600328.24
Name,Unlabeled,2004,414,3,601,14561605.73
Name,Unlabeled,2005,1266,3,2611,130672845.7
PPID,Unlabeled,2005,1,1,28,12196716
Name,Unlabeled,2006,357,3,671,8764193.997
Name,Unlabeled,2007,38,3,116,5592639.214
PPID,Unlabeled,2007,1,1,40,13962437.56
Name,Unlabeled,2008,14,3,134,13512912.88
Name,Unlabeled,2009,13,3,848,41513042.32
Name,Unlabeled,2010,3,2,926,32543142.5
Name,Unlabeled,2011,8,3,2395,113467585.2
Name,Unlabeled,2012,6,3,59567,2031281550
Name,Unlabeled,2013,1,2,3,960071.79
Name,Unlabeled,2014,3,2,67884,1363175895
Name,Unlabeled,2015,3,3,26373,236575142.5
Name,Unlabeled,2016,3,2,56349,1332920189
