"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","1145","7110","$10,012,423.22"
"2019","1145","7290","$30,583.72"
"2019","1145","7490","$303.96"
"2019","1145","7520","$139,070.00"
"2019","1145","7630","$14,616.00"
"2019","1145","7690","$60,000.00"
"2019","1145","8340","$235,226.00"
"2019","1145","9999","($15,982.60)"
"2019","1145","B522","($4,435.00)"
"2019","1145","B544","($12,187.32)"
"2019","1145","B546","($48,537.53)"
"2019","1145","D301","$661,258.89"
"2019","1145","D302","($451.92)"
"2019","1145","D304","$1,198,454.89"
"2019","1145","D305","$390,742.75"
"2019","1145","D307","($80,999.40)"
"2019","1145","D308","$24,412.95"
"2019","1145","D309","$2,245.00"
"2019","1145","D310","$36,684.00"
"2019","1145","D313","$0.00"
"2019","1145","D315","$11,445.00"
"2019","1145","D316","$7,279,577.18"
"2019","1145","D317","$221,874.98"
"2019","1145","D318","$3,798,831.00"
"2019","1145","D319","$326,574.12"
"2019","1145","D320","$31,993.40"
"2019","1145","D321","$1,488,856.40"
"2019","1145","D322","$297,118.80"
"2019","1145","D324","$39,197.78"
"2019","1145","D325","$362,315.23"
"2019","1145","D399","$148,386.33"
"2019","1145","G099","$15,952.86"
"2019","1145","J099","($12,656.25)"
"2019","1145","K049","$0.00"
"2019","1145","M1AB","($7,662.66)"
"2019","1145","N071","$0.00"
"2019","1145","Q301","($9,984.42)"
"2019","1145","Q403","$0.00"
"2019","1145","Q509","$0.00"
"2019","1145","Q999","($0.05)"
"2019","1145","R408","$10,605,861.49"
"2019","1145","R410","$99,820.00"
"2019","1145","R413","($495.00)"
"2019","1145","R425","($1,933.41)"
"2019","1145","R497","$70,932,759.88"
"2019","1145","R499","$40,191.86"
"2019","1145","R604","$370,685.19"
"2019","1145","R608","($3,503.48)"
"2019","1145","R614","$698,081.53"
"2019","1145","R615","$59,129.66"
"2019","1145","R699","$793,618.41"
"2019","1145","R701","$993,789.28"
"2019","1145","R704","$484,663.57"
"2019","1145","R799","$29,517.15"
"2019","1145","S203","$37,454.29"
"2019","1145","T003","$13,526.00"
"2019","1145","T011","$6,935.12"
"2019","1145","U002","$121,365.39"
"2019","1145","U006","$26,500.00"
"2019","1145","U008","$82,150.00"
"2019","1145","U009","$645,938.05"
"2019","1145","U010","($7,360.08)"
"2019","1145","U099","$72,788.00"
"2019","1145","V114","$150,519.00"
"2019","1145","V119","$74,757.15"
"2019","1145","V229","$2,400.00"
"2019","1145","V231","$302,400.00"
"2019","1145","V251","$0.00"
"2019","1145","V301","$180,550.00"
"2019","1145","V302","$833,509.07"
"2019","1145","V999","$24,546.73"
"2019","1145","X1AB","$265,744.47"
"2019","1153","7025","$3,000.00"
"2019","1153","7030","$106,320.34"
"2019","1153","7110","$10,000.00"
"2019","1153","7490","$1,039.08"
"2019","1153","7510","$15,000.00"
"2019","1153","9905","$9,392.33"
"2019","1153","AJ96","$14,050.64"
"2019","1153","D301","$43,926.40"
"2019","1153","D302","$163,111.00"
"2019","1153","D304","($5,400.00)"
"2019","1153","D310","$24,000.00"
"2019","1153","D317","$6,250.00"
"2019","1153","D318","$100,000.00"
"2019","1153","D319","$9,096.17"
"2019","1153","D320","$6,553.22"
"2019","1153","D322","$100,634.29"
"2019","1153","D399","$157,118.40"
"2019","1153","J059","$18,000.00"
"2019","1153","J070","$452.84"
"2019","1153","J074","$502.92"
"2019","1153","L069","$1,325.00"
"2019","1153","L075","$3,779.80"
"2019","1153","R401","($60,733.63)"
"2019","1153","R410","($365.29)"
"2019","1153","R415","($6.00)"
"2019","1153","R425","$1,780,999.66"
"2019","1153","R497","$659,232.00"
"2019","1153","R499","$17,834,299.30"
"2019","1153","R602","$15,000.00"
"2019","1153","R701","$32,890.00"
"2019","1153","R703","$202,368.00"
"2019","1153","R704","$494,108.43"
"2019","1153","R707","$274,755.06"
"2019","1153","R799","$475,785.14"
"2019","1153","S112","$30,000.00"
"2019","1153","S201","$20,139.76"
"2019","1153","S215","$1,439.00"
"2019","1153","S299","$6,047.50"
"2019","1153","T001","$78,366.36"
"2019","1153","T006","$10,000.00"
"2019","1153","U008","$0.00"
"2019","1153","U009","$136,837.08"
"2019","1153","V226","$30,000.00"
"2019","1153","V301","$143.84"
"2019","1153","V302","$3,000.00"
"2019","1153","V999","$15,000.00"
"2019","1153","Z1AA","$5,636.88"
"2019","1204","1395","$43,812.55"
"2019","1204","2320","$11,895.00"
"2019","1204","5820","$13,300.00"
"2019","1204","5895","$15,470.00"
"2019","1204","6920","$161,424.00"
"2019","1204","7010","$251,945.28"
"2019","1204","7021","$92,794.43"
"2019","1204","7025","$182,428.09"
"2019","1204","7030","$896,559.21"
"2019","1204","7035","$24,300.00"
"2019","1204","7042","$265,550.00"
"2019","1204","7110","$15,065.87"
"2019","1204","7610","($0.66)"
"2019","1204","D301","$48,659.37"
"2019","1204","D310","$215,655.40"
"2019","1204","D313","$218,010.00"
"2019","1204","D316","$227,196.80"
"2019","1204","D317","$387,073.02"
"2019","1204","D318","$172,558.79"
"2019","1204","D320","$41,583.16"
"2019","1204","D399","$236,576.70"
"2019","1204","J049","$5,230.00"
"2019","1204","J070","$311,538.82"
"2019","1204","J099","$31,756.65"
"2019","1204","N035","$7,876.00"
"2019","1204","N061","$4,753.30"
"2019","1204","Q201","$64,070.40"
"2019","1204","R404","$73,341.00"
"2019","1204","R411","$183,545.00"
"2019","1204","R418","$128,494.00"
"2019","1204","R424","$87,264.86"
"2019","1204","R425","$495,484.57"
"2019","1204","R497","$577,821.48"
"2019","1204","R499","$2,625,214.27"
"2019","1204","R608","$150,000.00"
"2019","1204","R614","$3,120.00"
"2019","1204","R699","$221,240.00"
"2019","1204","R704","$1,100,858.11"
"2019","1204","U001","$16,577.00"
"2019","1204","U009","$19,426.33"
"2019","1204","V231","$190,117.80"
"2019","1204","W074","$40,985.58"
"2019","1205","1005","$1,800.00"
"2019","1205","1230","$104,452.44"
"2019","1205","1240","$0.00"
