Proj+A1:H8ectID,ProjectName,ProjectPrettyName,ProjectAbbreviation,IsJointDevelopmentCaseStudy,CSISmodifiedDate,CSISmodifiedBy,IsPerformanceBasedLogistics,PlatformPortfolio,ObligatedAmount,MinOfFiscalYear,MaxOfFiscalYear,TopPlatformPortfolio,TopPlatformPortfolioObligatedAmount,TopParentID,TopParentIDObligatedAmount,Investigate,Wrong,Replacement,Notes,
1461,AABNCP-E4,AABNCP-E4,3AMB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,527110066,1990,2003,Aircraft and Drones,74639869,BOEING,434222346,,,,Advanced Airborne Command Post,
639,ABL ,ABL ,228,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,14211752.66,2004,2014,Aircraft and Drones,8724169,LOCKHEED MARTIN,11337764.46,,,,Airborne Laser,
1850,ACM ,ACM ,700,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4290064.617,2006,2016,Aircraft and Drones,923154.6474,BOEING,3725102.528,,,,Asian Composite Manufacturing? ,
1329,AESA ,AESA ,330,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,696194038,2004,2016,Aircraft and Drones,122939787.7,RAYTHEON,509876904.1,,,,Electronically scanned array systems for aircraft,
1728,AF INT COM CTRL SYS,AF INT COM CTRL SYS,3GYA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1512828288,1991,2010,Aircraft and Drones,346319111,RAYTHEON,1052763813,Unknown,,,,
101,AH-1 COBRA,AH-1 COBRA,1AHM,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,186025809.9,1990,2016,Aircraft and Drones,78036953,NULL,63083633,,,,,
109,AH-1G HUEYCOBRA,AH-1G HUEYCOBRA,1AHW,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1544010193,1990,2011,Aircraft and Drones,291871504,TEXTRON,961484120,,,,,
102,AH-1J IRANIAN,AH-1J IRANIAN,1AHN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,20488000,1990,1991,Aircraft and Drones,11866000,TEXTRON,20257000,,,,,
750,AH-1J SEA COBRA,AH-1J SEA COBRA,2AHD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,593343217.3,1990,2010,Aircraft and Drones,161886174,TEXTRON,313733968.9,,,,,
751,AH-1W SUPER COBRA,AH-1W SUPER COBRA,2AHE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,546903824.4,1996,2009,Aircraft and Drones,263255369,TEXTRON,461785784,,,,,
97,AH-56 CHEYENNE,AH-56 CHEYENNE,1AHH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,191000,1991,1991,Aircraft and Drones,191000,NULL,191000,,,,,
113,AH-64 APACHE,AH-64 APACHE,1AIC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,9387015771,1990,2016,Aircraft and Drones,1717355455,MCDONNELL DOUGLAS [BOEING],3633421355,,,,,
1760,AIR CONDITIONER A3,AIR CONDITIONER A3,3HXD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,16354156,1991,1999,Aircraft and Drones,6759000,NULL,16264251,,,,,
1011,AIRBORNE ECM/ECCM NKC-135,AIRBORNE ECM/ECCM NKC-135,2GHA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3398707,1990,2003,Aircraft and Drones,1015989,NULL,1837387,,,,,
476,AIRBORNE RECON LOW (ARL),AIRBORNE RECON LOW (ARL),1GHL,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,52886546.12,1999,2012,Aircraft and Drones,52710621,TEXTRON,34057101.12,,,,,
1906,APACHE (AH-64) ADV ATTACK,APACHE (AH-64) ADV ATTACK,AIC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,150117453.5,2000,2016,Aircraft and Drones,41136793,DRS,47354094,,,,,
54,APACHE (AH-64A) ,APACHE (AH-64A) ,158,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,6171112269,2004,2016,Aircraft and Drones,1304600171,BOEING,4096754337,,,,,
836,AQM-37 TARGET DRONE,AQM-37 TARGET DRONE,2CMI,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,141181014,1989,1998,Missile and Space Systems,67112000,NORTHROP GRUMMAN,82800354,,,,,
850,AQM-38,AQM-38,2CND,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,807286,1990,1992,Missile and Space Systems,642000,SOUTHERN RESEARCH TECHNOLOGIES,586000,,,,,
852,AQM-41 PETREL,AQM-41 PETREL,2CNF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,75000,1991,1991,Missile and Space Systems,75000,LOCKHEED,75000,,,,,
75,ARH ,ARH ,179,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,350422619.5,2006,2016,Aircraft and Drones,95043538.81,TEXTRON,281526588.4,,,,,
1942,ARL,ARL,GHL,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,260748146.2,2000,2016,Aircraft and Drones,89854271,GENERAL ATOMICS,246603547.2,Unknown,,,,
795,AV-8 HARRIER,AV-8 HARRIER,2AVG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4678858674,1988,2011,Aircraft and Drones,675666688,MCDONNELL DOUGLAS [BOEING],2074601802,,,,,
1342,AV-8A ,AV-8A ,344,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,145147.3398,2007,2011,Aircraft and Drones,140757.5,ROLLS ROYCE,140757.5,,,,,
63,AV-8B ,AV-8B ,167,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,155922918,2005,2016,Aircraft and Drones,25178335.02,DEFENSE SUPPORT SERVICES,53891067.86,,,,,
1818,AV-8B REMANUFACTURE ,AV-8B REMANUFACTURE ,530,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,162992798,2002,2016,Aircraft and Drones,37550282.96,BOEING,94285227.69,,,,,
1815,AWACS RSIP (E-3) ,AWACS RSIP (E-3) ,524,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2835838980,2004,2016,Aircraft and Drones,512195056.6,BOEING,2356889554,,,,,
682,AWACS UPGRADE,AWACS UPGRADE,277,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,520738450.5,2015,2016,Aircraft and Drones,242772963.8,BOEING,505410015.8,,,,,
1797,B-1 ,B-1 ,404,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5651305257,1990,2016,Aircraft and Drones,396014000,BOEING,1721157467,,,,,
641,B-1 CMUP-DSUP ,B-1 CMUP-DSUP ,230,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2255239.88,2007,2012,Aircraft and Drones,2163214.56,UNITED TECH,2164185,,,,,
64,B1-B ,B1-B ,168,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,931203917.9,2006,2016,Aircraft and Drones,119417972.2,BOEING,313064459.1,,,,,
693,B1-B CMUP ,B1-B CMUP ,288,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1472524635,2004,2016,Aircraft and Drones,225178967.2,BOEING,1343090178,,,,,
635,B-2 EHF ,B-2 EHF ,224,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,101441873.9,2006,2016,Aircraft and Drones,24898980.19,NULL,21486991.01,,,,,
1370,B-2 RMP ,B-2 RMP ,376,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,611671202.9,2004,2016,Aircraft and Drones,156586653,NORTHROP GRUMMAN,560347255,,,,,
1883,B-2 STEALTH,B-2 STEALTH,ABK,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,18616969632,1990,2016,Aircraft and Drones,4345706841,NORTHROP GRUMMAN,17617929901,,,,,
1395,B-26 INVADER,B-26 INVADER,3ABA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,515224,1991,1995,Aircraft and Drones,180686,HONEYWELL,630915,,,,,
1860,B-2A ,B-2A ,755,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,6070038209,2003,2016,Aircraft and Drones,823994486.5,NORTHROP GRUMMAN,5719076655,,,,,
1397,B-47 STRATOJET,B-47 STRATOJET,3ABD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,171224,1991,1994,Aircraft and Drones,105000,NULL,143007,,,,,
1400,B-50 SUPER FORTRESS,B-50 SUPER FORTRESS,3ABG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5563494,1990,1999,Aircraft and Drones,2352338,HONEYWELL,2403500,,,,,
1868,B-52 OAS/CMI MODS ,B-52 OAS/CMI MODS ,782,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,68848504.53,2007,2016,Aircraft and Drones,18890430.52,HONEYWELL,25152072.17,,,,,
1398,B-57 CANBERRA,B-57 CANBERRA,3ABE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,294483,1992,1995,Aircraft and Drones,138963,NULL,294483,,,,,
1399,B-58 HUSTLER,B-58 HUSTLER,3ABF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,195905,1991,1994,Aircraft and Drones,112000,NULL,151825,,,,,
1403,B-70 VALKYRIE,B-70 VALKYRIE,3ABM,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1069141,1991,1998,Aircraft and Drones,942000,NULL,999000,,,,,
52,BLACK HAWK (UH-60A/L) ,BLACK HAWK (UH-60A/L) ,156,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,6235607401,2004,2016,Aircraft and Drones,1010322391,UNITED TECH,1992023814,,,,,
1339,BLACK HAWK UPGRADE (UH-60,BLACK HAWK UPGRADE (UH-60M) ,341,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1094115631,2000,2016,Aircraft and Drones,431231312.5,UNITED TECH,357639305.4,,,,,
1905,BLACKHAWK,BLACKHAWK,AIA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1015328560,2000,2016,Aircraft and Drones,810749815,GENERAL DYNAMICS,687652584.5,,,,,
1962,BSM ENERGY,BSM ENERGY,M17,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,82095753.07,2004,2015,Aircraft and Drones,31680193,ROBERTSON FUEL SYSTEMS,59634321.65,Unknown,,,,
16,C/MH-53E ,C/MH-53E ,116,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,406312080.6,2005,2016,Aircraft and Drones,118759327.2,UNITED TECH,211136636.5,,,,,
1426,C-10,C-10,3ADB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1365594256,1990,2003,Aircraft and Drones,194798940,LOCKHEED MARTIN,443695111,,,,,
1412,C-117 SKYTRAIN,C-117 SKYTRAIN,3ACJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1944217,1992,2003,Aircraft and Drones,953920,E SYSTEMS,953920,,,,,
1413,C-118 LIFTMASTER,C-118 LIFTMASTER,3ACK,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,173000,1991,1991,Aircraft and Drones,173000,PARKER HANNIFIN,173000,,,,,
723,C-119 FLYING BOXCAR,C-119 FLYING BOXCAR,2ACM,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,6290510,1990,1999,Aircraft and Drones,2693954,ALLIED SIGNAL,2653876,,,,,
89,C-12,C-12,1ACE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1035435345,1990,2010,Aircraft and Drones,117796312,NULL,641853501.6,,,,,
1409,C-121 CONSTELLATION,C-121 CONSTELLATION,3ACF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,8700699,1990,2003,Aircraft and Drones,1950318,NULL,6984827,,,,,
728,C-123 PROVIDER,C-123 PROVIDER,2ACT,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,791104,1990,1999,Aircraft and Drones,299665,NULL,573104,,,,,
1415,C-124 GLOBEMASTER,C-124 GLOBEMASTER,3ACN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,36633502,1992,2002,Aircraft and Drones,31611644,RAYTHEON,17342676,,,,,
1427,C-12A (CX-X),C-12A (CX-X),3ADC,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,303689786,1991,2001,Aircraft and Drones,58156084,RAYTHEON,111927609,,,,,
702,C-130 AMP ,C-130 AMP ,298,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,466655976.1,2004,2016,Aircraft and Drones,127663782.9,BOEING,238987785.5,,,,,
716,C-130 HERCULES,C-130 HERCULES,2ACD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,12756709740,1989,2011,Aircraft and Drones,1345137761,LOCKHEED,4074461919,,,,,
1827,C-130H ,C-130H ,548,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,508660963.4,2006,2016,Aircraft and Drones,93274484.01,NULL,150630734.9,,,,,
631,C130-J ,C130-J ,220,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,21030558083,2003,2016,Aircraft and Drones,5451011269,LOCKHEED MARTIN,18109295638,,,,,
726,C-131 SAMARITAN,C-131 SAMARITAN,2ACP,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4775978,1990,1999,Aircraft and Drones,1277488,NULL,3068673,,,,,
1418,C-133 CARGOMASTER,C-133 CARGOMASTER,3ACQ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,133000,1990,1991,Aircraft and Drones,56000,NULL,83000,,,,,
1423,C-137 STRATOLINER,C-137 STRATOLINER,3ACV,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,415322165,1991,2003,Aircraft and Drones,77284196,BOEING,312343458,,,,,
1428,C-14,C-14,3ADD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5729860,1991,1995,Aircraft and Drones,5704860,NULL,5704860,,,,,
1424,C-140 JET STAR,C-140 JET STAR,3ACW,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,222479,1990,1997,Aircraft and Drones,151686,NULL,123095,,,,,
1420,C-141 STARLIFTER,C-141 STARLIFTER,3ACS,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1064992949,1990,2010,Aircraft and Drones,161195000,NULL,451712448.5,,,,,
1425,C-142,C-142,3ACY,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,703344,1991,1995,Aircraft and Drones,515280,TRANSTECHNOLOGY,468000,,,,,
614,C-17A ,C-17A ,200,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,32725763224,2000,2016,Aircraft and Drones,5497130031,BOEING,30876835777,,,,,
1430,C-17A CARGO TRANSPORT,C-17A CARGO TRANSPORT,3ADG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,23701959249,1990,2009,Aircraft and Drones,3175515284,MCDONNELL DOUGLAS [BOEING],13128921830,,,,,
1429,C-18,C-18,3ADF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,115692331.2,1990,2011,Aircraft and Drones,26426822,E SYSTEMS,54875379,,,,,
714,C-2 GREYHOUND,C-2 GREYHOUND,2ACB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,159712506,1988,2008,Aircraft and Drones,45131553,UNITED TECH,46403332,,,,,
1431,C-20,C-20,3ADH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,526217541,1990,2003,Aircraft and Drones,51842287,SABRELINER,313117613,,,,,
730,C-20 GULFSTREAM III/IV,C-20 GULFSTREAM III/IV,2ACV,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3152569,1998,2003,Aircraft and Drones,1643031,GENERAL DYNAMICS,2085144,,,,,
90,C-23 SHERPA,C-23 SHERPA,1ACF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,251521120,1990,2003,Aircraft and Drones,123695511,BOMBARDIER,169971959,,,,,
729,C-4 GULFSTREAM,C-4 GULFSTREAM,2ACU,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,12937797,1994,2002,Aircraft and Drones,2289432,BERKSHIRE HATHAWAY,9565013,,,,,
1411,C-45 EXPEDITOR,C-45 EXPEDITOR,3ACH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3925551,1990,2003,Aircraft and Drones,2210161,L3 COMMUNICATIONS,1849579,,,,,
1416,C-46 COMMANDO,C-46 COMMANDO,3ACO,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,21734316,1990,2002,Aircraft and Drones,18446269,CHRYSLER,18387268,,,,,
719,C-47 SKYTRAIN,C-47 SKYTRAIN,2ACG,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,49779499,1990,2003,Aircraft and Drones,9216747,NULL,48749897,,,,,
1404,C-5 GALAXY,C-5 GALAXY,3ACA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2152956479,1990,2011,Aircraft and Drones,217048299,NULL,726788609.2,,,,,
1326,C-5 RERP ,C-5 RERP ,327,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5247153653,2003,2016,Aircraft and Drones,1134225545,LOCKHEED MARTIN,5227646776,,,,,
721,C-54 SKYMASTER,C-54 SKYMASTER,2ACI,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,455506,1993,1997,Aircraft and Drones,396000,MCDONNELL DOUGLAS [BOEING],396000,,,,,
1348,C-5A ,C-5A ,351,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,165293410.5,2004,2016,Aircraft and Drones,40446477.84,NULL,76569383.38,,,,,
615,C-5B ,C-5B ,201,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,706241978.9,2005,2016,Aircraft and Drones,110159069.9,NULL,251158789.9,,,,,
1405,C-7 CARIBOU,C-7 CARIBOU,3ACB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,23802384,1990,2003,Aircraft and Drones,8290047,BATTELLE,18543636,,,,,
1422,C-9 NIGHTINGALE,C-9 NIGHTINGALE,3ACU,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,29134709,1990,1999,Aircraft and Drones,12775816,LOCKHEED MARTIN,14480693,,,,,
724,C-9 SKYTRAIN II,C-9 SKYTRAIN II,2ACN,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,867260115.5,1989,2010,Aircraft and Drones,140296132,E SYSTEMS,431304035,,,,,
14,CGN-38 ,CGN-38 ,114,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1101968.199,2007,2014,Aircraft and Drones,465739.0625,AAR,465739.0625,,,,,
1459,CH-34 CHOCTAW,CH-34 CHOCTAW,3AHX,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2000,1990,1991,Aircraft and Drones,33000,NULL,33000,,,,,
98,CH-46 SEA KNIGHT,CH-46 SEA KNIGHT,1AHJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,47700857.07,1990,2010,Aircraft and Drones,47657307,GENERAL ELECTRIC,38192152,,,,,
99,CH-47 CHINOOK,CH-47 CHINOOK,1AHK,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4927188856,1990,2011,Aircraft and Drones,1217304407,BOEING,1941066425,,,,,
15,CH-47D ,CH-47D ,115,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,7241331651,2004,2016,Aircraft and Drones,1287782762,BOEING,5745367409,,,,,
683,CH-47F,CH-47F,278,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,8043887352,2004,2016,Aircraft and Drones,1477396204,BOEING,7244249264,,,,,
760,CH-53 SEA STALLION,CH-53 SEA STALLION,2AHP,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,3099031275,1989,2010,Aircraft and Drones,774667839,UNITED TECH,2261008597,,,,,
105,CH-54 TARHE,CH-54 TARHE,1AHQ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,23873114,1990,1993,Aircraft and Drones,12033000,NULL,18730884,,,,,
17,CHEYENNE ,CHEYENNE ,117,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2630481.55,2008,2013,Aircraft and Drones,3187182,TEXTRON,2316260.55,,,,,
661,COMANCHE ,COMANCHE ,254,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,777431491.8,2003,2015,Aircraft and Drones,890216098,JOINT VENTURE [Boeing/UTC],759988572,,,,,
