Proj+A1:H8ectID,ProjectName,ProjectPrettyName,ProjectAbbreviation,IsJointDevelopmentCaseStudy,CSISmodifiedDate,CSISmodifiedBy,IsPerformanceBasedLogistics,PlatformPortfolio,ObligatedAmount,MinOfFiscalYear,MaxOfFiscalYear,TopPlatformPortfolio,TopPlatformPortfolioObligatedAmount,TopParentID,TopParentIDObligatedAmount,Investigate,Wrong,Replacement,Notes,
1896,****AFX,****AFX,AFX ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1268243804,2000,2014,Aircraft and Drones,318090361,BOEING,1083074896,Unknown,,,,
119,0-1 BIRD DOG,0-1 BIRD DOG,1AOA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,39546,1992,1992,Aircraft and Drones,39546,GENERAL MOTORS,39546,,,,,
1497,0-300D,0-300D,3BRJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,35000,1990,1990,Aircraft and Drones,35000,NULL,35000,,,,Aircraft Engine,
1750,15 KW,15 KW,3HDD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,40000,1990,1990,Aircraft and Drones,40000,NULL,40000,Unknown,,,,
1754,200 KW MOD MEP-009,200 KW MOD MEP-009,3HDH,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,4424146,1991,2000,Aircraft and Drones,1381000,EXIDE ELECTRONICS,2216298,,,,,
786,2B-31 SYN FLGT TRN CHINOO,2B-31 SYN FLGT TRN CHINOOK,2ATF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,2937102,1990,1997,Aircraft and Drones,1004598,GENERAL ELECTRIC,1436614,,,,,
1748,30-E EMU GENERATOR,30-E EMU GENERATOR,3HDB,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,694463,1992,1998,Aircraft and Drones,273694,NULL,667966,,,,,
1726,436M SAC CMD & CTRL,436M SAC CMD & CTRL,3GXS,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,380000,1991,1991,Aircraft and Drones,380000,HEWLETT PACKARD,380000,Unknown,,,,
1725,485L TAC AIR CTRL SYS,485L TAC AIR CTRL SYS,3GXQ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,5951924,1991,1993,Aircraft and Drones,1656000,NULL,3488000,Unknown,,,,
1165,A/P22P-9(V) CBR,A/P22P-9(V) CBR,2HYD,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,24251487,1997,2002,Aircraft and Drones,5673997,NULL,24251487,,,,Protective garment worn by helicopter crew,
704,A-1 SKYRAIDER,A-1 SKYRAIDER,2AAA,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,23881051,1990,2010,Aircraft and Drones,5530277,NULL,9099984,,,,,
1499,A-10,A-10,3BSF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1997148385,1990,2016,Aircraft and Drones,293537900.7,BOEING,816382786.3,,,,,
710,A-12 AVENGER (TO REPLACE ,A-12 AVENGER (TO REPLACE A-6),2AAJ,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,569034973,1990,2003,Aircraft and Drones,555000000,MC DONNELL DGLS GEN DYNAMCS JV,555000000,,,,,
711,A-37,A-37,2AAO,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,13734077,1990,2003,Aircraft and Drones,4057000,NULL,8888875,,,,,
707,A-6 INTRUDER,A-6 INTRUDER,2AAE,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,1920626011,1988,2016,Aircraft and Drones,1121863149,GRUMMAN,1088715595,,,,,
83,A-6E / A-6 UPGRADE ,A-6E / A-6 UPGRADE ,188,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,66631.8119,2006,2012,Aircraft and Drones,52416.9519,PARKER HANNIFIN,55858.2119,,,,,
708,A-7 CORSAIR II,A-7 CORSAIR II,2AAF,NULL,45:53.6,Automated from obligated amounts and standardizedname by CSIS\GSanders,NULL,Aircraft,131150270,1990,2003,Missile and Space Systems,47252000,LORAL SPACE,115422111,,,,,
